i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	13	0	5	0.0275	10.4	52.0	0.0
2	48	0	5	0.1125	26.0	130.0	0.3333333333333333
3	24	0	5	0.055	19.0	95.0	0.3333333333333333
4	40	0	5	0.095	26.4	132.0	0.0
5	17	0	5	0.03	8.6	43.0	0.3333333333333333
6	22	0	5	0.05	8.8	44.0	0.6666666666666666
7	56	0	4	0.1375	23.0	115.0	0.6666666666666666
8	32	0	4	0.075	17.0	85.0	0.6666666666666666
9	36	0	5	0.0675	21.0	105.0	0.3333333333333333
10	42	0	5	0.1	28.8	144.0	0.0
11	21	0	5	0.0475	16.6	83.0	0.3333333333333333
12	36	0	5	0.085	26.8	134.0	0.3333333333333333
13	47	0	4	0.115	18.8	94.0	0.6666666666666666
14	55	0	5	0.1325	19.4	97.0	0.3333333333333333
15	70	0	4	0.17	28.8	144.0	0.6666666666666666
16	22	0	5	0.05	15.2	76.0	0.3333333333333333
17	42	0	4	0.095	26.6	133.0	0.6666666666666666
18	49	0	3	0.1175	34.2	171.0	0.6666666666666666
19	31	0	5	0.0725	16.2	81.0	0.3333333333333333
20	25	0	5	0.0525	9.8	49.0	0.6666666666666666
21	41	0	5	0.0975	34.0	170.0	0.3333333333333333
22	21	0	5	0.0475	17.4	87.0	0.3333333333333333
23	21	0	5	0.0475	14.2	71.0	0.0
24	34	0	5	0.08	21.6	108.0	0.3333333333333333
25	42	0	1	0.0875	33.6	168.0	0.6666666666666666
26	34	0	5	0.08	30.4	152.0	0.0
27	19	0	5	0.0425	17.0	85.0	0.0
28	36	0	4	0.0875	18.2	91.0	0.6666666666666666
29	50	0	3	0.11	23.8	119.0	0.6666666666666666
30	45	0	5	0.1075	33.0	165.0	0.3333333333333333
31	23	0	5	0.0525	17.8	89.0	0.3333333333333333
32	42	0	5	0.0975	26.4	132.0	0.6666666666666666
33	70	0	4	0.17	26.8	134.0	0.6666666666666666
34	48	0	5	0.1125	33.4	167.0	0.3333333333333333
35	20	0	5	0.045	9.2	46.0	0.3333333333333333
36	28	0	5	0.065	9.2	46.0	0.3333333333333333
37	31	0	5	0.0725	13.8	69.0	0.6666666666666666
38	48	0	5	0.115	35.8	179.0	0.3333333333333333
39	37	0	4	0.09	25.6	128.0	0.6666666666666666
40	46	0	4	0.1125	25.8	129.0	0.6666666666666666
41	41	0	5	0.0975	28.4	142.0	0.0
42	14	0	5	0.03	10.4	52.0	0.3333333333333333
43	8	0	5	0.015	6.0	30.0	0.0
44	25	0	5	0.0575	12.6	63.0	0.3333333333333333
45	11	0	5	0.0225	6.6	33.0	0.3333333333333333
46	38	0	5	0.09	27.2	136.0	0.6666666666666666
47	40	0	5	0.095	36.8	184.0	0.3333333333333333
48	39	1	4	0.0975	23.8	119.0	1.0
49	44	0	4	0.105	29.4	147.0	0.6666666666666666
50	20	0	5	0.045	15.6	78.0	0.3333333333333333
51	17	0	5	0.0375	15.0	75.0	0.0
52	46	0	4	0.1125	11.4	57.0	0.6666666666666666
53	7	0	5	0.0125	5.0	25.0	0.0
54	22	0	5	0.05	11.2	56.0	0.0
55	38	0	5	0.0875	25.0	125.0	0.6666666666666666
56	24	0	5	0.055	12.4	62.0	0.3333333333333333
57	38	0	5	0.09	36.0	180.0	0.0
58	61	0	2	0.1475	46.0	230.0	0.6666666666666666
59	38	0	5	0.085	29.6	148.0	0.0
60	46	0	4	0.1125	22.4	112.0	0.6666666666666666
61	26	0	5	0.0575	21.6	108.0	0.3333333333333333
62	43	0	2	0.105	35.4	177.0	0.6666666666666666
63	39	0	4	0.0875	14.0	70.0	0.6666666666666666
