i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	20	0	1	0.045	18.0	18.0	0.0
2	40	0	1	0.09	38.0	38.0	0.0
3	29	0	1	0.0675	27.0	27.0	0.0
4	23	1	0	0.0575	23.0	23.0	1.0
5	27	0	1	0.0625	25.0	25.0	0.0
6	48	0	1	0.115	46.0	46.0	0.0
7	26	0	1	0.06	24.0	24.0	0.0
8	33	0	1	0.0675	31.0	31.0	0.0
9	4	0	1	0.005	2.0	2.0	0.0
10	10	0	1	0.02	8.0	8.0	0.0
11	16	0	1	0.035	14.0	14.0	0.0
12	24	1	0	0.06	24.0	24.0	1.0
13	14	0	1	0.03	12.0	12.0	0.0
14	26	0	1	0.06	24.0	24.0	0.0
15	16	0	1	0.035	14.0	14.0	0.0
16	7	0	1	0.0125	5.0	5.0	0.0
17	11	0	1	0.0225	9.0	9.0	0.0
18	41	0	1	0.0975	39.0	39.0	0.0
19	23	0	1	0.0525	21.0	21.0	0.0
20	17	0	1	0.0375	15.0	15.0	0.0
21	23	0	1	0.0525	21.0	21.0	0.0
22	7	1	0	0.0175	7.0	7.0	1.0
23	9	0	1	0.0175	7.0	7.0	0.0
24	33	0	1	0.0775	31.0	31.0	0.0
25	19	0	1	0.0425	17.0	17.0	0.0
26	17	0	1	0.0375	15.0	15.0	0.0
27	38	0	1	0.09	36.0	36.0	0.0
28	44	0	1	0.1025	42.0	42.0	0.0
29	4	0	1	0.005	2.0	2.0	0.0
30	24	0	1	0.055	22.0	22.0	0.0
31	30	0	1	0.07	28.0	28.0	0.0
32	16	0	1	0.035	14.0	14.0	0.0
33	13	0	1	0.0275	11.0	11.0	0.0
34	14	0	1	0.03	12.0	12.0	0.0
35	11	0	1	0.0225	9.0	9.0	0.0
36	4	0	1	0.005	2.0	2.0	0.0
37	44	0	1	0.105	42.0	42.0	0.0
38	12	0	1	0.025	10.0	10.0	0.0
39	26	0	1	0.06	24.0	24.0	0.0
40	9	0	1	0.0175	7.0	7.0	0.0
41	19	0	1	0.0425	17.0	17.0	0.0
42	13	0	1	0.0275	11.0	11.0	0.0
43	26	0	1	0.06	24.0	24.0	0.0
44	21	0	1	0.0475	19.0	19.0	0.0
45	20	0	1	0.045	18.0	18.0	0.0
46	8	0	1	0.015	6.0	6.0	0.0
47	7	0	1	0.0125	5.0	5.0	0.0
48	5	1	0	0.0125	5.0	5.0	1.0
49	33	0	1	0.0775	31.0	31.0	0.0
50	17	0	1	0.0375	15.0	15.0	0.0
51	16	0	1	0.035	14.0	14.0	0.0
52	7	1	0	0.0175	7.0	7.0	1.0
53	41	0	1	0.095	39.0	39.0	0.0
54	17	0	1	0.0375	15.0	15.0	0.0
55	13	0	1	0.0275	11.0	11.0	0.0
56	13	0	1	0.0275	11.0	11.0	0.0
57	21	0	1	0.0475	19.0	19.0	0.0
58	2	0	1	0.0	0.0	0.0	0.0
59	12	0	1	0.025	10.0	10.0	0.0
60	34	0	1	0.0575	32.0	32.0	0.0
61	20	0	1	0.045	18.0	18.0	0.0
62	11	0	1	0.0225	9.0	9.0	0.0
63	24	1	0	0.06	24.0	24.0	1.0
64	22	0	1	0.05	20.0	20.0	0.0
65	25	0	1	0.0575	23.0	23.0	0.0
66	21	0	1	0.0475	19.0	19.0	0.0
67	29	0	1	0.0675	27.0	27.0	0.0
68	10	0	1	0.02	8.0	8.0	0.0
69	46	0	1	0.11	44.0	44.0	0.0
70	17	0	1	0.0375	15.0	15.0	0.0
71	24	1	0	0.06	24.0	24.0	1.0
