i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	5	0	1	0.0075	3.0	3.0	0.0
2	10	0	1	0.02	8.0	8.0	0.0
3	20	0	1	0.045	18.0	18.0	0.0
4	21	0	1	0.0475	19.0	19.0	0.3333333333333333
5	20	0	1	0.045	18.0	18.0	0.0
6	14	0	1	0.03	12.0	12.0	0.0
7	21	0	1	0.0475	19.0	19.0	0.0
8	18	0	1	0.04	16.0	16.0	0.0
9	8	0	1	0.015	6.0	6.0	0.0
10	27	0	1	0.0625	25.0	25.0	0.0
11	30	0	1	0.07	28.0	28.0	0.3333333333333333
12	18	0	1	0.04	16.0	16.0	0.0
13	21	0	1	0.0475	19.0	19.0	0.0
14	29	0	1	0.0675	27.0	27.0	0.0
15	27	0	1	0.0625	25.0	25.0	0.0
16	7	0	1	0.0125	5.0	5.0	0.0
17	23	0	1	0.0525	21.0	21.0	0.0
18	28	0	1	0.065	26.0	26.0	0.0
19	19	0	1	0.0425	17.0	17.0	0.0
20	12	0	1	0.025	10.0	10.0	0.0
21	12	0	1	0.025	10.0	10.0	0.0
22	27	0	1	0.0625	25.0	25.0	0.0
23	13	0	1	0.0275	11.0	11.0	0.0
24	27	0	1	0.0625	25.0	25.0	0.0
25	34	0	1	0.08	32.0	32.0	0.0
26	35	0	1	0.0825	33.0	33.0	0.0
27	27	0	1	0.0625	25.0	25.0	0.3333333333333333
28	20	0	1	0.045	18.0	18.0	0.0
29	4	0	1	0.005	2.0	2.0	0.0
30	27	0	1	0.0625	25.0	25.0	0.0
31	21	0	1	0.0475	19.0	19.0	0.0
32	34	0	1	0.08	32.0	32.0	0.3333333333333333
33	11	0	1	0.0225	9.0	9.0	0.0
34	22	0	1	0.05	20.0	20.0	0.0
35	19	0	1	0.0425	17.0	17.0	0.0
36	24	0	1	0.055	22.0	22.0	0.0
37	23	0	1	0.0525	21.0	21.0	0.0
38	15	0	1	0.0325	13.0	13.0	0.0
39	19	0	1	0.0425	17.0	17.0	0.0
40	22	0	1	0.05	20.0	20.0	0.0
41	16	0	1	0.035	14.0	14.0	0.0
42	22	0	1	0.05	20.0	20.0	0.0
43	32	0	1	0.075	30.0	30.0	0.0
44	18	0	1	0.04	16.0	16.0	0.0
45	19	0	1	0.0425	17.0	17.0	0.0
46	13	0	1	0.0275	11.0	11.0	0.0
47	38	0	1	0.09	36.0	36.0	0.0
48	22	0	1	0.05	20.0	20.0	0.0
49	19	0	1	0.0425	17.0	17.0	0.3333333333333333
50	32	0	1	0.075	30.0	30.0	0.0
51	14	0	1	0.03	12.0	12.0	0.0
52	7	0	1	0.0125	5.0	5.0	0.0
53	22	0	1	0.05	20.0	20.0	0.0
54	37	0	1	0.0875	35.0	35.0	0.0
55	5	0	1	0.0075	3.0	3.0	0.0
56	23	0	1	0.0525	21.0	21.0	0.0
57	5	0	1	0.0075	3.0	3.0	0.0
58	13	0	1	0.0275	11.0	11.0	0.0
59	26	0	1	0.06	24.0	24.0	0.0
60	24	0	1	0.055	22.0	22.0	0.3333333333333333
61	25	0	1	0.0575	23.0	23.0	0.0
62	37	0	1	0.0875	35.0	35.0	0.0
63	23	0	1	0.0525	21.0	21.0	0.0
64	17	0	1	0.0375	15.0	15.0	0.0
65	15	0	1	0.0325	13.0	13.0	0.0
66	5	0	1	0.0075	3.0	3.0	0.0
67	24	0	1	0.055	22.0	22.0	0.0
68	22	0	1	0.05	20.0	20.0	0.0
69	13	0	1	0.0275	11.0	11.0	0.0
70	9	0	1	0.0175	7.0	7.0	0.0
71	20	0	1	0.045	18.0	18.0	0.0
72	12	0	1	0.025	10.0	10.0	0.0
73	12	0	1	0.025	10.0	10.0	0.0
74	5	0	1	0.0075	3.0	3.0	0.0
75	19	0	1	0.0425	17.0	17.0	0.0
76	13	0	1	0.0275	11.0	11.0	0.0
77	32	0	1	0.075	30.0	30.0	0.3333333333333333
78	20	0	1	0.045	18.0	18.0	0.3333333333333333
79	27	0	1	0.0625	25.0	25.0	0.0
80	33	0	1	0.0775	31.0	31.0	0.0
81	51	0	1	0.085	49.0	49.0	0.3333333333333333
82	17	0	1	0.0375	15.0	15.0	0.0
83	20	0	1	0.045	18.0	18.0	0.0
84	12	0	1	0.025	10.0	10.0	0.0
85	14	0	1	0.03	12.0	12.0	0.0
86	15	0	1	0.0325	13.0	13.0	0.0
87	31	0	1	0.0725	29.0	29.0	0.0
88	27	0	1	0.0625	25.0	25.0	0.0
89	19	0	1	0.0425	17.0	17.0	0.0
90	29	0	1	0.06	27.0	27.0	0.6666666666666666
91	13	0	1	0.0275	11.0	11.0	0.0
92	33	0	1	0.0775	31.0	31.0	0.0
93	36	0	1	0.085	34.0	34.0	0.3333333333333333
94	18	0	1	0.04	16.0	16.0	0.0
95	16	0	1	0.035	14.0	14.0	0.0
96	10	0	1	0.02	8.0	8.0	0.0
97	18	0	1	0.04	16.0	16.0	0.0
98	13	0	1	0.0275	11.0	11.0	0.0
99	32	0	1	0.075	30.0	30.0	0.0
100	5	0	1	0.0075	3.0	3.0	0.0
101	9	0	1	0.0175	7.0	7.0	0.0
102	22	0	1	0.05	20.0	20.0	0.0
103	14	0	1	0.03	12.0	12.0	0.0
104	17	0	1	0.0375	15.0	15.0	0.0
105	17	0	1	0.0375	15.0	15.0	0.0
106	16	0	1	0.035	14.0	14.0	0.0
107	28	0	1	0.065	26.0	26.0	0.0
108	6	0	1	0.01	4.0	4.0	0.0
109	4	0	1	0.005	2.0	2.0	0.0
110	14	0	1	0.03	12.0	12.0	0.0
111	9	0	1	0.0175	7.0	7.0	0.0
112	3	0	1	0.0025	1.0	1.0	0.0
113	30	0	1	0.07	28.0	28.0	0.0
114	12	0	1	0.025	10.0	10.0	0.0
115	32	0	1	0.075	30.0	30.0	0.3333333333333333
116	19	0	1	0.0425	17.0	17.0	0.0
117	19	0	1	0.0425	17.0	17.0	0.0
118	21	0	1	0.0475	19.0	19.0	0.0
119	13	0	1	0.0275	11.0	11.0	0.0
120	28	1	0	0.07	28.0	28.0	1.0
121	7	0	1	0.0125	5.0	5.0	0.0
122	33	0	1	0.0775	31.0	31.0	0.0
123	27	0	1	0.0625	25.0	25.0	0.0
124	27	0	1	0.0625	25.0	25.0	0.3333333333333333
125	19	0	1	0.0425	17.0	17.0	0.0
126	21	0	1	0.0475	19.0	19.0	0.0
127	32	0	1	0.075	30.0	30.0	0.0
128	22	0	1	0.05	20.0	20.0	0.3333333333333333
129	21	0	1	0.0475	19.0	19.0	0.0
130	30	0	1	0.07	28.0	28.0	0.3333333333333333
131	20	0	1	0.045	18.0	18.0	0.0
132	10	0	1	0.02	8.0	8.0	0.0
133	34	0	1	0.08	32.0	32.0	0.0
134	2	0	1	0.0	0.0	0.0	0.0
135	24	0	1	0.055	22.0	22.0	0.0
136	22	0	1	0.05	20.0	20.0	0.0
137	21	0	1	0.0475	19.0	19.0	0.0
138	36	0	1	0.085	34.0	34.0	0.0
139	3	0	1	0.0025	1.0	1.0	0.0
140	26	0	1	0.06	24.0	24.0	0.0
141	19	0	1	0.0425	17.0	17.0	0.0
142	16	0	1	0.035	14.0	14.0	0.3333333333333333
143	17	0	1	0.0375	15.0	15.0	0.0
144	25	0	1	0.0575	23.0	23.0	0.0
145	24	0	1	0.055	22.0	22.0	0.0
146	15	0	1	0.0325	13.0	13.0	0.0
147	11	0	1	0.0225	9.0	9.0	0.0
148	32	0	1	0.075	30.0	30.0	0.0
149	25	0	1	0.0575	23.0	23.0	0.0
150	19	0	1	0.0275	17.0	17.0	0.3333333333333333
151	18	0	1	0.04	16.0	16.0	0.0
152	24	0	1	0.055	22.0	22.0	0.3333333333333333
153	38	0	1	0.09	36.0	36.0	0.0
154	33	0	1	0.0775	31.0	31.0	0.0
155	6	0	1	0.01	4.0	4.0	0.0
156	21	0	1	0.0475	19.0	19.0	0.0
157	10	0	1	0.02	8.0	8.0	0.0
158	10	0	1	0.02	8.0	8.0	0.0
159	22	0	1	0.05	20.0	20.0	0.0
160	31	0	1	0.0725	29.0	29.0	0.3333333333333333
161	26	0	1	0.06	24.0	24.0	0.0
162	27	0	1	0.0625	25.0	25.0	0.0
163	16	0	1	0.035	14.0	14.0	0.0
164	17	0	1	0.0375	15.0	15.0	0.0
165	17	0	1	0.0375	15.0	15.0	0.0
166	20	0	1	0.045	18.0	18.0	0.0
167	27	0	1	0.0625	25.0	25.0	0.0
168	23	0	1	0.0525	21.0	21.0	0.0
169	23	0	1	0.0525	21.0	21.0	0.0
170	35	0	1	0.0825	33.0	33.0	0.0
171	17	0	1	0.0375	15.0	15.0	0.0
172	21	0	1	0.0475	19.0	19.0	0.0
173	17	0	1	0.0375	15.0	15.0	0.0
