i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	26	0	1	0.06	24.0	24.0	0.0
2	16	0	1	0.035	14.0	14.0	0.0
3	10	0	1	0.02	8.0	8.0	0.0
4	36	0	1	0.085	34.0	34.0	0.3333333333333333
5	15	0	1	0.0325	13.0	13.0	0.0
6	47	0	1	0.1125	45.0	45.0	0.0
7	19	0	1	0.0425	17.0	17.0	0.0
8	16	0	1	0.035	14.0	14.0	0.0
9	38	0	1	0.0675	36.0	36.0	0.3333333333333333
10	21	0	1	0.0475	19.0	19.0	0.3333333333333333
11	50	0	1	0.0925	48.0	48.0	0.6666666666666666
12	49	0	1	0.1175	47.0	47.0	0.0
13	4	0	1	0.005	2.0	2.0	0.0
14	18	0	1	0.04	16.0	16.0	0.0
15	24	0	1	0.055	22.0	22.0	0.0
16	37	0	1	0.0575	35.0	35.0	0.0
17	37	0	1	0.0875	35.0	35.0	0.6666666666666666
18	19	0	1	0.0425	17.0	17.0	0.0
19	16	0	1	0.035	14.0	14.0	0.0
20	35	0	1	0.0825	33.0	33.0	0.0
21	2	0	1	0.0	0.0	0.0	0.0
22	22	0	1	0.05	20.0	20.0	0.3333333333333333
23	32	0	1	0.075	30.0	30.0	0.0
24	22	0	1	0.05	20.0	20.0	0.0
25	31	0	1	0.0725	29.0	29.0	0.3333333333333333
26	14	0	1	0.03	12.0	12.0	0.0
27	13	0	1	0.0275	11.0	11.0	0.0
28	24	0	1	0.055	22.0	22.0	0.0
29	16	0	1	0.035	14.0	14.0	0.0
30	16	0	1	0.035	14.0	14.0	0.0
31	61	0	1	0.145	59.0	59.0	0.3333333333333333
32	18	0	1	0.04	16.0	16.0	0.0
33	18	0	1	0.04	16.0	16.0	0.0
34	31	0	1	0.0725	29.0	29.0	0.0
35	29	0	1	0.0675	27.0	27.0	0.0
36	19	0	1	0.0425	17.0	17.0	0.0
37	24	0	1	0.055	22.0	22.0	0.0
38	10	0	1	0.02	8.0	8.0	0.0
39	20	0	1	0.045	18.0	18.0	0.0
40	18	0	1	0.04	16.0	16.0	0.0
41	28	0	1	0.065	26.0	26.0	0.0
42	36	0	1	0.085	34.0	34.0	0.0
43	31	0	1	0.0725	29.0	29.0	0.0
44	21	0	1	0.0475	19.0	19.0	0.0
45	75	0	1	0.165	73.0	73.0	0.6666666666666666
46	20	0	1	0.045	18.0	18.0	0.0
47	20	0	1	0.045	18.0	18.0	0.0
48	30	0	1	0.07	28.0	28.0	0.0
49	29	0	1	0.0675	27.0	27.0	0.6666666666666666
50	25	0	1	0.0575	23.0	23.0	0.0
51	28	0	1	0.065	26.0	26.0	0.3333333333333333
52	36	0	1	0.085	34.0	34.0	0.0
53	3	0	1	0.0025	1.0	1.0	0.0
54	16	0	1	0.035	14.0	14.0	0.0
55	28	0	1	0.065	26.0	26.0	0.0
56	3	0	1	0.0025	1.0	1.0	0.0
57	28	0	1	0.065	26.0	26.0	0.0
58	60	0	1	0.145	58.0	58.0	0.3333333333333333
59	22	0	1	0.05	20.0	20.0	0.0
60	7	0	1	0.0125	5.0	5.0	0.0
61	27	0	1	0.0625	25.0	25.0	0.0
62	34	0	1	0.08	32.0	32.0	0.3333333333333333
63	37	0	1	0.0875	35.0	35.0	0.6666666666666666
64	19	0	1	0.0425	17.0	17.0	0.0
65	22	0	1	0.05	20.0	20.0	0.0
66	16	0	1	0.035	14.0	14.0	0.0
67	18	0	1	0.04	16.0	16.0	0.0
