i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	149	0	5	0.195	91.2	456.0	0.0
2	344	0	5	0.575	154.2	771.0	0.0
3	410	0	5	0.2475	112.8	564.0	0.0
4	830	0	5	0.8475	449.0	2245.0	0.0
5	684	0	5	0.48	176.6	883.0	0.5
6	1336	0	5	0.8825	601.6	3008.0	0.0
7	912	0	5	0.695	407.4	2037.0	0.5
8	33	0	5	0.0575	12.8	64.0	0.0
9	433	0	5	0.4975	191.4	957.0	0.0
10	407	0	5	0.6075	293.2	1466.0	0.0
11	389	0	5	0.4325	221.8	1109.0	0.0
12	443	1	2	0.8225	385.0	1925.0	1.0
13	315	0	5	0.5275	202.8	1014.0	0.5
14	840	0	5	0.6875	381.8	1909.0	0.0
15	999	0	5	0.8575	449.8	2249.0	0.5
16	142	0	5	0.1325	44.6	223.0	0.0
17	791	0	5	0.8025	438.6	2193.0	0.0
18	466	0	5	0.7375	231.6	1158.0	0.0
19	646	1	3	0.765	377.4	1887.0	1.0
20	949	0	5	0.8275	533.0	2665.0	0.0
21	509	0	5	0.5	215.2	1076.0	0.0
22	1205	0	5	0.83	518.0	2590.0	0.0
23	265	0	5	0.465	187.4	937.0	0.0
24	248	0	5	0.3275	170.2	851.0	0.5
25	1619	0	5	0.86	613.4	3067.0	0.5
26	1114	0	5	0.8275	352.6	1763.0	0.0
27	1083	0	5	0.7725	396.4	1982.0	0.0
28	832	0	5	0.7075	409.8	2049.0	0.5
29	1022	0	5	0.725	594.4	2972.0	0.0
30	568	0	5	0.6425	221.8	1109.0	0.5
31	116	0	5	0.2575	91.8	459.0	0.0
32	2521	0	5	0.9525	644.0	3220.0	0.5
33	533	0	5	0.735	362.8	1814.0	0.5
34	589	0	5	0.565	323.2	1616.0	0.0
35	616	0	5	0.5375	358.8	1794.0	0.0
36	1287	0	5	0.8625	393.8	1969.0	0.0
37	835	0	5	0.75	429.2	2146.0	0.0
38	1956	0	5	0.8875	615.6	3078.0	0.5
39	729	0	5	0.4425	171.6	858.0	0.0
40	858	0	5	0.795	353.4	1767.0	0.0
41	1099	0	5	0.7425	489.4	2447.0	0.0
42	861	0	5	0.71	310.8	1554.0	0.5
43	280	0	5	0.355	154.0	770.0	0.0
44	1021	0	5	0.935	483.6	2418.0	0.5
45	664	0	5	0.7	384.6	1923.0	0.5
46	731	0	5	0.54	479.2	2396.0	0.0
47	587	0	5	0.6675	246.0	1230.0	0.5
48	670	0	5	0.62	177.2	886.0	0.5
49	1154	0	5	0.51	334.0	1670.0	0.0
50	329	0	5	0.375	142.0	710.0	0.5
51	674	0	5	0.725	335.4	1677.0	0.5
52	604	0	5	0.64	281.8	1409.0	0.0
53	199	0	5	0.1825	68.4	342.0	0.0
54	1044	0	5	0.5925	308.6	1543.0	0.0
55	607	0	5	0.575	177.0	885.0	0.0
56	827	0	5	0.8325	516.8	2584.0	0.5
57	725	0	5	0.505	247.0	1235.0	0.0
58	1389	0	5	0.7875	432.4	2162.0	0.5
59	696	0	5	0.455	284.4	1422.0	0.0
60	522	0	5	0.575	362.8	1814.0	0.5
61	248	0	5	0.3525	160.8	804.0	0.5
62	2844	0	5	0.98	1162.0	5810.0	0.5
63	844	0	5	0.865	445.6	2228.0	0.0
64	2120	0	5	0.9725	926.2	4631.0	0.5
65	95	0	5	0.165	54.4	272.0	0.5
66	1662	0	5	0.785	942.0	4710.0	0.5
67	134	0	5	0.1125	53.4	267.0	0.5
68	412	0	5	0.3625	100.2	501.0	0.5
69	658	0	5	0.4975	157.8	789.0	0.0
70	437	0	5	0.605	246.8	1234.0	0.0
71	664	0	5	0.3425	253.8	1269.0	0.0
72	548	0	5	0.6075	189.8	949.0	0.0
73	727	0	5	0.75	402.4	2012.0	0.5
74	377	0	5	0.4	207.0	1035.0	0.0
75	329	0	5	0.4375	176.0	880.0	0.5
76	1066	0	5	0.8375	742.6	3713.0	0.0
77	1387	0	5	0.83	308.6	1543.0	0.5
78	591	0	5	0.3975	263.6	1318.0	0.0
79	103	0	5	0.14	42.8	214.0	0.0
80	518	0	5	0.7675	307.6	1538.0	0.5
81	949	0	5	0.8375	477.8	2389.0	0.5
82	768	0	5	0.8375	421.8	2109.0	0.0
83	1994	0	5	0.83	693.4	3467.0	0.5
84	211	0	5	0.5025	150.6	753.0	0.5
85	147	0	5	0.1875	65.2	326.0	0.0
86	753	0	5	0.8	336.4	1682.0	0.0
87	689	0	5	0.7075	344.0	1720.0	0.5
88	766	0	5	0.6775	457.6	2288.0	0.5
89	250	0	5	0.5725	196.0	980.0	0.0
90	856	0	5	0.59	203.2	1016.0	0.0
91	1045	0	5	0.7975	343.2	1716.0	0.5
92	344	0	5	0.43	117.2	586.0	0.0
93	323	0	5	0.26	87.6	438.0	0.0
94	1101	0	5	0.785	326.8	1634.0	0.5
95	1377	0	5	0.7975	628.8	3144.0	0.5
96	218	0	5	0.2975	83.4	417.0	0.0
97	763	0	5	0.81	545.0	2725.0	0.0
98	1243	0	5	0.8875	630.0	3150.0	0.0
99	564	0	5	0.435	209.2	1046.0	0.0
100	894	0	5	0.84	673.6	3368.0	0.5
101	1007	0	5	0.5125	272.6	1363.0	0.5
102	938	0	5	0.82	520.2	2601.0	0.5
103	908	0	5	0.92	411.0	2055.0	0.0
104	721	0	5	0.8225	470.4	2352.0	0.0
105	1769	0	5	0.93	899.6	4498.0	0.0
106	759	0	5	0.755	458.8	2294.0	0.5
107	1891	0	5	0.895	900.0	4500.0	0.0
108	1194	0	5	0.8175	534.6	2673.0	0.0
109	74	1	3	0.17	49.8	249.0	1.0
110	532	1	3	0.735	320.6	1603.0	1.0
111	1357	0	5	0.8025	608.4	3042.0	0.0
112	609	0	5	0.5575	339.6	1698.0	0.5
113	1129	0	5	0.87	622.8	3114.0	0.0
114	1172	0	5	0.9025	524.2	2621.0	0.5
115	590	0	5	0.6975	292.8	1464.0	0.5
116	1336	0	5	0.7825	529.6	2648.0	0.5
117	142	0	5	0.17	73.8	369.0	0.5
118	1193	0	5	0.7325	481.6	2408.0	0.5
119	749	0	5	0.785	312.8	1564.0	0.0
120	512	0	5	0.4825	172.2	861.0	0.0
121	1188	0	5	0.915	499.0	2495.0	0.5
122	179	1	2	0.41	142.0	710.0	1.0
123	470	0	5	0.575	244.0	1220.0	0.0
124	919	0	5	0.5725	257.2	1286.0	0.0
125	792	0	5	0.8525	475.4	2377.0	0.5
126	231	1	3	0.4525	143.6	718.0	1.0
127	1230	0	5	0.9675	704.4	3522.0	0.5
128	126	0	5	0.1925	88.6	443.0	0.5
129	92	0	5	0.2	45.4	227.0	0.5
130	258	0	5	0.415	168.0	840.0	0.0
131	1128	0	5	0.8375	483.2	2416.0	0.5
132	734	0	5	0.77	476.0	2380.0	0.0
133	430	0	5	0.475	189.8	949.0	0.0
134	7	0	5	0.02	4.4	22.0	0.0
135	397	0	5	0.6475	264.2	1321.0	0.0
136	2070	0	5	0.9425	722.2	3611.0	0.5
137	1408	0	5	0.855	600.8	3004.0	0.0
138	797	0	5	0.7175	298.0	1490.0	0.0
139	843	0	5	0.5675	288.0	1440.0	0.5
140	143	0	5	0.1975	70.8	354.0	0.0
141	510	0	5	0.375	119.8	599.0	0.0
142	391	0	5	0.475	238.6	1193.0	0.0
143	224	0	5	0.28	99.0	495.0	0.5
144	281	0	5	0.465	137.0	685.0	0.0
145	1473	0	5	0.9075	637.6	3188.0	0.0
146	858	0	5	0.865	423.8	2119.0	0.5
147	350	0	5	0.3	157.8	789.0	0.5
148	410	0	5	0.5125	171.4	857.0	0.5
149	1195	0	5	0.7825	482.4	2412.0	0.5
150	2119	0	5	0.965	1151.2	5756.0	0.5
151	76	1	1	0.2725	62.8	314.0	1.0
152	2282	0	5	0.9475	1079.8	5399.0	0.5
153	774	0	5	0.655	327.0	1635.0	0.5
154	323	0	5	0.5475	184.4	922.0	0.5
155	743	0	5	0.78	514.6	2573.0	0.0
156	649	0	5	0.7125	368.0	1840.0	0.5
157	898	0	5	0.465	257.0	1285.0	0.0
158	799	0	5	0.4425	269.4	1347.0	0.5
159	573	0	5	0.5225	195.8	979.0	0.5
160	371	0	5	0.3175	97.0	485.0	0.5
