i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	30	0	3	0.125	25.666666666666668	77	0.6
2	44	0	3	0.1075	21.333333333333332	64	0.4
3	27	0	3	0.0675	17.333333333333332	52	0.2
4	48	0	3	0.1275	27.333333333333332	82	0.4
5	35	0	3	0.085	26.0	78	0.4
6	62	0	3	0.22	40.0	120	0.4
7	23	0	3	0.115	16.333333333333332	49	0.2
8	38	0	3	0.145	24.0	72	0.4
9	29	0	3	0.1275	21.333333333333332	64	0.8
10	38	0	3	0.115	23.666666666666668	71	0.8
11	49	0	3	0.1475	24.333333333333332	73	0.6
12	39	0	3	0.155	28.333333333333332	85	0.2
13	39	0	3	0.1625	28.333333333333332	85	0.6
14	31	0	3	0.14	21.0	63	0.6
15	36	0	3	0.125	22.0	66	0.2
16	31	1	0	0.115	25.666666666666668	77	1.0
17	51	0	3	0.1475	24.0	72	0.2
18	29	0	3	0.095	22.0	66	0.0
19	36	0	3	0.155	30.0	90	0.6
20	53	0	3	0.195	37.666666666666664	113	0.4
21	4	0	3	0.005	2.0	6	0.0
22	64	0	3	0.1625	29.666666666666668	89	0.6
23	37	0	3	0.105	22.0	66	0.8
24	43	0	3	0.175	29.0	87	0.8
25	47	0	3	0.1925	34.0	102	0.6
26	41	0	3	0.16	26.333333333333332	79	0.6
27	38	0	3	0.145	22.666666666666668	68	0.4
28	50	0	3	0.22	35.666666666666664	107	0.8
29	2	0	3	0.0	0.0	0	0.0
30	38	0	3	0.175	28.666666666666668	86	0.4
31	50	0	3	0.14	23.333333333333332	70	0.8
32	46	0	3	0.1425	27.0	81	0.4
33	49	0	3	0.2025	34.333333333333336	103	0.8
34	35	0	3	0.105	25.666666666666668	77	0.6
35	36	0	3	0.1475	29.0	87	0.0
36	25	0	3	0.0975	14.333333333333334	43	0.2
37	56	0	3	0.145	31.333333333333332	94	0.8
38	69	0	3	0.25	42.0	126	0.6
39	41	0	3	0.175	30.333333333333332	91	0.6
40	33	0	3	0.09	25.666666666666668	77	0.0
41	29	0	3	0.14	24.666666666666668	74	0.4
42	27	0	3	0.1025	19.0	57	0.4
43	45	0	3	0.14	32.0	96	0.6
44	44	0	3	0.1075	21.666666666666668	65	0.2
45	56	0	3	0.1775	30.0	90	0.8
46	36	0	3	0.155	26.333333333333332	79	0.4
47	38	0	3	0.14	28.666666666666668	86	0.4
48	62	0	3	0.23	35.333333333333336	106	0.8
49	40	0	3	0.1475	23.666666666666668	71	0.2
50	37	0	3	0.11	20.0	60	0.4
51	56	0	3	0.16	28.0	84	0.4
52	30	0	3	0.1375	25.333333333333332	76	0.4
53	37	0	3	0.145	26.0	78	0.8
54	41	0	3	0.17	28.666666666666668	86	0.8
55	35	0	3	0.1475	29.0	87	0.2
56	42	0	3	0.1425	28.0	84	0.2
57	34	0	3	0.105	22.0	66	0.2
58	33	0	3	0.135	19.666666666666668	59	0.4
59	4	0	3	0.005	2.0	6	0.0
60	41	0	3	0.0975	21.0	63	0.6
61	88	0	3	0.2525	40.666666666666664	122	0.6
62	41	0	3	0.1375	23.666666666666668	71	0.6
63	39	0	3	0.155	27.333333333333332	82	0.4
64	37	0	3	0.145	23.0	69	0.4
65	25	0	3	0.085	14.333333333333334	43	0.2
66	34	0	3	0.165	25.0	75	0.8
67	22	0	3	0.0775	16.666666666666668	50	0.4
68	18	0	3	0.045	13.0	39	0.0
69	36	0	3	0.1775	29.666666666666668	89	0.6
70	33	0	3	0.0825	16.333333333333332	49	0.0
71	35	0	3	0.08	13.333333333333334	40	0.4
72	20	0	3	0.0625	15.333333333333334	46	0.0
73	21	0	3	0.075	16.666666666666668	50	0.2
74	58	0	3	0.175	37.666666666666664	113	0.4
75	56	0	3	0.1975	33.666666666666664	101	0.6
76	48	0	3	0.17	29.333333333333332	88	0.4
77	45	1	2	0.1775	28.333333333333332	85	1.0
78	65	0	3	0.2375	39.0	117	0.8
79	52	0	3	0.1425	32.666666666666664	98	0.6
80	24	0	3	0.09	15.666666666666666	47	0.2
81	57	0	3	0.1375	29.666666666666668	89	0.4
82	52	0	3	0.1625	28.666666666666668	86	0.4
83	23	0	3	0.1	15.0	45	0.0
84	55	0	3	0.19	34.333333333333336	103	0.4
85	44	0	3	0.21	29.333333333333332	88	0.4
86	47	0	3	0.1525	30.0	90	0.2
87	31	0	3	0.105	26.0	78	0.6
88	48	0	3	0.165	30.333333333333332	91	0.4
89	44	0	3	0.1225	30.333333333333332	91	0.6
90	38	0	3	0.155	29.0	87	0.4
91	23	0	3	0.0775	13.666666666666666	41	0.4
92	41	0	3	0.1425	25.666666666666668	77	0.4
93	83	0	3	0.21	37.333333333333336	112	0.6
94	100	1	2	0.1725	45.0	135	1.0
95	21	0	3	0.105	15.0	45	0.2
96	95	1	2	0.245	41.666666666666664	125	1.0
97	33	0	3	0.16	26.0	78	0.6
98	24	0	3	0.11	18.333333333333332	55	0.2
99	33	0	3	0.105	21.333333333333332	64	0.2
100	33	0	3	0.0975	20.0	60	0.2
101	62	0	3	0.195	35.333333333333336	106	0.8
102	62	0	3	0.16	30.666666666666668	92	0.6
103	58	0	3	0.2075	36.0	108	0.8
104	49	0	3	0.1925	29.666666666666668	89	0.6
105	30	0	3	0.09	15.0	45	0.2
106	65	0	3	0.2075	33.333333333333336	100	0.6
107	43	0	3	0.1675	24.666666666666668	74	0.4
108	48	0	3	0.19	32.0	96	0.4
109	33	0	3	0.1475	22.333333333333332	67	0.0
110	37	0	3	0.155	22.0	66	0.0
111	30	0	3	0.075	16.666666666666668	50	0.2
112	33	0	3	0.125	20.333333333333332	61	0.4
113	61	0	3	0.1475	24.333333333333332	73	0.6
114	11	0	3	0.0225	4.333333333333333	13	0.2
115	47	0	3	0.1175	28.333333333333332	85	0.8
116	38	0	3	0.0925	21.0	63	0.4
117	43	0	3	0.2075	30.333333333333332	91	0.8
118	20	0	3	0.0525	17.333333333333332	52	0.4
119	28	0	3	0.1025	17.333333333333332	52	0.4
120	49	0	3	0.1175	20.0	60	0.4
121	24	0	3	0.0825	14.0	42	0.2
122	18	0	3	0.095	15.666666666666666	47	0.2
123	38	0	3	0.16	28.333333333333332	85	0.4
124	32	0	3	0.11	17.0	51	0.4
125	55	0	3	0.17	32.0	96	0.8
126	37	0	3	0.135	23.333333333333332	70	0.6
127	44	0	3	0.1375	25.333333333333332	76	0.4
128	30	0	3	0.1125	22.0	66	0.2
129	32	0	3	0.145	21.333333333333332	64	0.0
130	35	0	3	0.14	22.333333333333332	67	0.2
131	52	0	3	0.145	28.333333333333332	85	0.6
132	26	0	3	0.125	22.0	66	0.2
133	51	0	3	0.175	34.333333333333336	103	0.4
134	29	0	3	0.1575	24.0	72	0.2
135	32	1	0	0.2	30.333333333333332	91	1.0
136	11	0	3	0.0375	9.0	27	0.0
137	64	0	3	0.1975	39.333333333333336	118	0.8
138	24	0	3	0.0675	19.333333333333332	58	0.0
139	33	0	3	0.085	15.0	45	0.4
140	37	0	3	0.11	19.0	57	0.4
141	35	0	3	0.1325	20.666666666666668	62	0.2
142	37	0	3	0.1125	24.0	72	0.2
143	27	0	3	0.095	16.333333333333332	49	0.0
144	70	0	3	0.16	31.0	93	0.8
145	27	0	3	0.1075	21.666666666666668	65	0.6
146	24	0	3	0.1025	19.0	57	0.2
147	23	0	3	0.0925	17.666666666666668	53	0.0
148	35	0	3	0.1525	27.333333333333332	82	0.6
149	69	0	3	0.1575	28.333333333333332	85	0.8
150	55	0	3	0.19	39.666666666666664	119	0.6
151	35	0	3	0.095	22.333333333333332	67	0.6
152	41	0	3	0.14	28.0	84	0.6
153	37	0	3	0.0925	14.333333333333334	43	0.2
154	32	0	3	0.1275	22.333333333333332	67	0.4
155	22	0	3	0.065	12.666666666666666	38	0.2
156	22	0	3	0.1	18.666666666666668	56	0.2
157	45	0	3	0.1825	30.333333333333332	91	0.6
158	32	0	3	0.1475	28.333333333333332	85	0.2
159	57	0	3	0.185	31.333333333333332	94	0.6
160	24	0	3	0.0725	20.333333333333332	61	0.0
161	30	0	3	0.1275	24.333333333333332	73	0.2
162	84	0	3	0.2425	49.666666666666664	149	0.8
163	29	0	3	0.0975	21.333333333333332	64	0.6
164	50	0	3	0.1725	33.666666666666664	101	0.6
165	50	0	3	0.21	37.0	111	0.8
166	26	0	3	0.1325	22.666666666666668	68	0.4
167	43	0	3	0.1575	29.0	87	0.4
168	53	0	3	0.2025	33.666666666666664	101	0.6
169	30	0	3	0.1225	23.0	69	0.0
170	27	0	3	0.0875	14.666666666666666	44	0.4
171	42	0	3	0.125	25.333333333333332	76	0.2
