i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	53	0	7	0.22	19.857142857142858	139	0.75
2	155	0	7	0.295	34.42857142857143	241	0.75
3	110	1	6	0.31	29.428571428571427	206	1.0
4	26	1	2	0.1475	14.142857142857142	99	1.0
5	46	0	7	0.2	19.285714285714285	135	0.5
6	70	0	7	0.2875	26.857142857142858	188	0.5
7	40	1	5	0.2175	20.0	140	1.0
8	21	1	2	0.1225	11.571428571428571	81	1.0
9	97	0	7	0.195	23.0	161	0.75
10	72	1	6	0.2775	25.285714285714285	177	1.0
11	40	0	7	0.195	16.285714285714285	114	0.5
12	96	0	7	0.215	23.285714285714285	163	0.75
13	133	0	7	0.2925	30.714285714285715	215	0.75
14	65	0	7	0.2425	20.0	140	0.5
15	52	0	7	0.2925	23.571428571428573	165	0.75
16	51	0	7	0.2325	22.0	154	0.75
17	50	0	7	0.17	16.428571428571427	115	0.75
18	55	0	7	0.235	23.142857142857142	162	0.75
19	45	0	7	0.175	16.571428571428573	116	0.5
20	51	0	7	0.2375	19.857142857142858	139	0.75
21	70	0	7	0.2175	23.142857142857142	162	0.75
22	24	1	1	0.1075	13.0	91	1.0
23	79	0	7	0.31	30.428571428571427	213	0.5
24	44	0	7	0.16	17.142857142857142	120	0.75
25	40	0	7	0.2125	21.714285714285715	152	0.25
26	22	0	7	0.05	5.428571428571429	38	0.0
27	55	0	7	0.255	20.142857142857142	141	0.75
28	91	0	7	0.2175	22.0	154	0.75
29	34	1	3	0.19	14.428571428571429	101	1.0
30	64	0	7	0.1875	24.857142857142858	174	0.5
31	30	1	5	0.1275	12.428571428571429	87	1.0
32	22	0	7	0.04	4.142857142857143	29	0.5
33	51	0	7	0.2475	22.857142857142858	160	0.5
34	53	0	7	0.2125	21.142857142857142	148	0.75
35	50	1	3	0.2375	20.571428571428573	144	1.0
36	67	0	7	0.31	24.714285714285715	173	0.75
37	32	1	1	0.17	17.285714285714285	121	1.0
38	30	1	3	0.2275	15.857142857142858	111	1.0
39	68	0	7	0.2775	28.0	196	0.5
40	64	0	7	0.245	21.428571428571427	150	0.75
41	58	1	6	0.26	25.285714285714285	177	1.0
42	66	0	7	0.1775	19.571428571428573	137	0.75
43	58	0	7	0.245	24.0	168	0.5
44	54	1	6	0.2425	21.285714285714285	149	1.0
45	27	1	3	0.13	12.428571428571429	87	1.0
46	53	0	7	0.255	21.428571428571427	150	0.5
47	53	0	7	0.2325	21.428571428571427	150	0.5
48	70	1	4	0.2175	19.857142857142858	139	1.0
49	73	1	6	0.295	27.714285714285715	194	1.0
50	54	0	7	0.2725	23.142857142857142	162	0.5
51	29	1	0	0.1475	13.0	91	1.0
52	40	1	5	0.205	21.0	147	1.0
53	58	0	7	0.2425	25.714285714285715	180	0.5
54	53	0	7	0.2625	24.571428571428573	172	0.5
55	45	0	7	0.18	16.285714285714285	114	0.5
56	56	0	7	0.2675	22.857142857142858	160	0.5
57	56	0	7	0.13	9.428571428571429	66	0.75
58	52	0	7	0.2225	23.0	161	0.75
59	51	0	7	0.155	22.571428571428573	158	0.5
60	88	0	7	0.39	32.42857142857143	227	0.75
61	61	0	7	0.22	27.0	189	0.75
62	40	0	7	0.1525	14.714285714285714	103	0.5
63	104	0	7	0.16	23.714285714285715	166	0.75
64	35	1	1	0.2075	17.142857142857142	120	1.0
65	52	0	7	0.185	22.142857142857142	155	0.5
66	50	0	7	0.24	19.142857142857142	134	0.5
67	70	1	5	0.27	30.285714285714285	212	1.0
68	48	0	7	0.2425	22.142857142857142	155	0.5
69	34	1	5	0.2	18.142857142857142	127	1.0
70	79	1	6	0.2925	25.571428571428573	179	1.0
71	74	0	7	0.265	24.285714285714285	170	0.75
72	98	1	6	0.275	31.428571428571427	220	1.0
73	50	1	4	0.25	24.571428571428573	172	1.0
74	55	0	7	0.22	19.714285714285715	138	0.5
75	64	1	6	0.2625	25.857142857142858	181	1.0
76	101	0	7	0.2125	25.571428571428573	179	0.75
77	66	0	7	0.2725	24.714285714285715	173	0.75
78	35	1	3	0.225	20.285714285714285	142	1.0
79	54	0	7	0.255	22.857142857142858	160	0.75
80	45	0	7	0.185	21.714285714285715	152	0.5
81	84	0	7	0.185	20.714285714285715	145	0.75
82	66	0	7	0.2075	27.285714285714285	191	0.5
83	100	0	7	0.1475	23.857142857142858	167	0.75
84	77	0	7	0.235	22.142857142857142	155	0.75
85	62	1	5	0.26	23.285714285714285	163	1.0
86	68	0	7	0.3125	25.142857142857142	176	0.75
87	44	0	7	0.1825	16.142857142857142	113	0.5
88	63	0	7	0.2475	21.714285714285715	152	0.75
89	60	1	6	0.2475	21.714285714285715	152	1.0
90	53	0	7	0.25	21.428571428571427	150	0.75
91	53	0	7	0.2	17.0	119	0.75
92	66	0	7	0.285	27.0	189	0.5
93	74	0	7	0.2275	31.428571428571427	220	0.5
94	70	0	7	0.2875	28.285714285714285	198	0.75
95	42	1	3	0.2325	21.0	147	1.0
96	73	0	7	0.2175	25.0	175	0.5
97	45	0	7	0.235	23.285714285714285	163	0.75
98	118	0	7	0.18	25.285714285714285	177	0.75
99	19	0	7	0.0425	2.4285714285714284	17	0.5
100	48	1	4	0.2525	22.142857142857142	155	1.0
101	51	0	7	0.2425	23.428571428571427	164	0.5
102	33	0	7	0.1725	14.142857142857142	99	0.5
103	51	0	7	0.2675	20.857142857142858	146	0.75
104	37	0	7	0.1775	18.285714285714285	128	0.25
105	72	0	7	0.265	26.142857142857142	183	0.75
106	90	0	7	0.1925	22.714285714285715	159	0.75
107	53	1	4	0.2675	25.142857142857142	176	1.0
108	47	0	7	0.1625	20.428571428571427	143	0.75
109	50	0	7	0.2625	25.285714285714285	177	0.75
110	81	0	7	0.235	23.0	161	0.75
111	121	0	7	0.355	30.428571428571427	213	0.75
112	71	0	7	0.285	24.857142857142858	174	0.75
113	84	0	7	0.32	27.285714285714285	191	0.75
114	87	1	5	0.27	26.0	182	1.0
115	91	0	7	0.3175	27.714285714285715	194	0.75
116	59	1	6	0.215	27.571428571428573	193	1.0
117	48	0	7	0.2125	20.0	140	0.5
118	75	0	7	0.315	29.428571428571427	206	0.75
119	25	1	6	0.16	14.285714285714286	100	1.0
120	64	0	7	0.25	22.285714285714285	156	0.75
121	68	1	4	0.3075	22.142857142857142	155	1.0
122	35	1	1	0.1875	17.142857142857142	120	1.0
123	37	0	7	0.235	19.714285714285715	138	0.25
124	82	1	5	0.18	25.0	175	1.0
125	37	1	4	0.2375	20.285714285714285	142	1.0
126	61	1	6	0.315	27.142857142857142	190	1.0
127	51	1	4	0.1875	18.285714285714285	128	1.0
128	55	0	7	0.1925	21.857142857142858	153	0.75
129	48	0	7	0.1825	20.285714285714285	142	0.5
130	107	0	7	0.1825	27.142857142857142	190	0.75
131	34	1	4	0.17	16.857142857142858	118	1.0
132	33	0	7	0.13	11.0	77	0.5
133	51	1	5	0.2425	22.857142857142858	160	1.0
134	52	0	7	0.215	17.571428571428573	123	0.75
135	53	0	7	0.205	25.142857142857142	176	0.75
136	42	0	7	0.2575	22.714285714285715	159	0.75
137	81	0	7	0.27	24.0	168	0.75
138	87	0	7	0.3625	30.285714285714285	212	0.5
139	56	0	7	0.165	16.714285714285715	117	0.75
140	54	0	7	0.145	24.142857142857142	169	0.75
141	35	1	5	0.145	17.142857142857142	120	1.0
142	32	0	7	0.12	11.571428571428571	81	0.25
143	48	0	7	0.2425	21.142857142857142	148	0.5
144	22	1	1	0.15	12.142857142857142	85	1.0
145	53	0	7	0.215	22.857142857142858	160	0.75
146	53	0	7	0.1175	16.0	112	0.5
147	50	0	7	0.2225	20.285714285714285	142	0.25
148	47	0	7	0.2725	24.428571428571427	171	0.5
149	76	0	7	0.2975	24.714285714285715	173	0.75
150	50	1	4	0.305	23.285714285714285	163	1.0
151	49	1	5	0.165	21.428571428571427	150	1.0
152	40	0	7	0.1175	15.0	105	0.5
153	45	0	7	0.2275	23.428571428571427	164	0.5
154	43	1	5	0.1675	22.285714285714285	156	1.0
155	44	1	1	0.18	17.0	119	1.0
156	141	0	7	0.255	29.571428571428573	207	0.75
157	46	0	7	0.2275	23.571428571428573	165	0.5
158	44	0	7	0.2	17.142857142857142	120	0.5
159	85	1	6	0.36	31.0	217	1.0
160	32	0	7	0.1925	16.0	112	0.5
161	42	0	7	0.1775	15.571428571428571	109	0.75
162	60	0	7	0.2825	26.285714285714285	184	0.75
163	43	0	7	0.125	15.142857142857142	106	0.75
164	46	0	7	0.175	20.857142857142858	146	0.75
165	41	1	4	0.255	20.428571428571427	143	1.0
166	69	0	7	0.18	24.571428571428573	172	0.75
167	48	0	7	0.1975	20.0	140	0.5
168	58	0	7	0.2475	20.714285714285715	145	0.75
169	47	0	7	0.2125	18.571428571428573	130	0.75
170	54	0	7	0.2575	29.285714285714285	205	0.5
171	34	0	7	0.1025	11.0	77	0.25
172	41	0	7	0.135	13.857142857142858	97	0.75
173	57	1	5	0.275	23.857142857142858	167	1.0
174	48	1	4	0.23	20.285714285714285	142	1.0
175	54	0	7	0.2325	25.428571428571427	178	0.5
176	29	0	7	0.16	13.714285714285714	96	0.5
177	45	0	7	0.265	21.0	147	0.75
178	81	1	6	0.2625	28.0	196	1.0
179	74	0	7	0.31	26.285714285714285	184	0.75
180	62	0	7	0.2475	21.428571428571427	150	0.75
181	43	1	4	0.18	12.857142857142858	90	1.0
182	67	0	7	0.255	22.142857142857142	155	0.75
183	104	0	7	0.32	30.142857142857142	211	0.75
184	53	0	7	0.185	23.0	161	0.75
185	35	0	7	0.1225	18.0	126	0.25
186	61	0	7	0.24	23.857142857142858	167	0.75
187	71	0	7	0.26	23.857142857142858	167	0.5
188	29	0	7	0.0925	10.142857142857142	71	0.75
189	92	0	7	0.2325	23.428571428571427	164	0.75
190	79	0	7	0.2525	24.428571428571427	171	0.75
191	38	1	3	0.1675	23.0	161	1.0
192	51	1	6	0.23	25.857142857142858	181	1.0
193	37	0	7	0.1225	13.0	91	0.5
194	54	1	4	0.2075	17.714285714285715	124	1.0
195	32	1	1	0.1875	14.428571428571429	101	1.0
196	82	1	6	0.225	22.571428571428573	158	1.0
197	85	0	7	0.285	25.0	175	0.75
198	24	1	3	0.12	10.0	70	1.0
199	104	1	5	0.2725	24.142857142857142	169	1.0
200	37	1	6	0.1475	15.0	105	1.0
201	83	1	6	0.305	28.857142857142858	202	1.0
202	71	0	7	0.24	25.285714285714285	177	0.75
203	43	0	7	0.295	23.428571428571427	164	0.25
204	77	0	7	0.3125	28.714285714285715	201	0.75
205	41	0	7	0.1525	17.285714285714285	121	0.5
206	62	0	7	0.18	24.571428571428573	172	0.75
207	42	0	7	0.175	17.285714285714285	121	0.5
208	46	1	3	0.22	22.857142857142858	160	1.0
209	64	0	7	0.19	23.0	161	0.75
210	28	0	7	0.145	15.0	105	0.25
211	55	0	7	0.17	19.285714285714285	135	0.5
212	51	0	7	0.2	15.285714285714286	107	0.5
213	52	0	7	0.1875	19.857142857142858	139	0.25
214	92	0	7	0.165	18.571428571428573	130	0.75
215	34	1	5	0.185	16.571428571428573	116	1.0
216	27	1	3	0.1375	14.428571428571429	101	1.0
217	50	1	3	0.2475	23.857142857142858	167	1.0
218	28	1	2	0.125	11.857142857142858	83	1.0
219	58	0	7	0.2225	23.285714285714285	163	0.75
220	43	0	7	0.1875	19.285714285714285	135	0.75
221	93	0	7	0.36	30.428571428571427	213	0.75
222	47	1	4	0.24	19.428571428571427	136	1.0
223	60	0	7	0.255	22.571428571428573	158	0.75
224	53	0	7	0.2475	26.142857142857142	183	0.75
225	34	1	6	0.16	14.714285714285714	103	1.0
226	41	1	4	0.1625	14.857142857142858	104	1.0
227	91	1	6	0.17	23.714285714285715	166	1.0
228	58	0	7	0.1875	18.285714285714285	128	0.75
229	47	0	7	0.24	22.714285714285715	159	0.75
230	49	0	7	0.235	19.571428571428573	137	0.75
231	41	0	7	0.2	19.714285714285715	138	0.5
232	41	0	7	0.22	19.571428571428573	137	0.5
233	47	0	7	0.14	15.857142857142858	111	0.25
234	70	1	5	0.3125	31.714285714285715	222	1.0
235	66	0	7	0.15	13.285714285714286	93	0.5
236	77	0	7	0.2025	24.857142857142858	174	0.75
237	94	0	7	0.3125	28.857142857142858	202	0.75
238	46	0	7	0.24	21.285714285714285	149	0.5
239	43	0	7	0.1175	12.571428571428571	88	0.5
240	45	0	7	0.23	19.857142857142858	139	0.5
241	84	0	7	0.2025	23.857142857142858	167	0.75
242	35	1	4	0.175	16.142857142857142	113	1.0
243	82	0	7	0.2525	30.857142857142858	216	0.75
244	77	0	7	0.1575	20.142857142857142	141	0.75
245	60	0	7	0.2325	23.142857142857142	162	0.75
246	98	0	7	0.295	28.285714285714285	198	0.75
247	59	0	7	0.225	21.0	147	0.75
248	70	0	7	0.2975	23.857142857142858	167	0.75
249	45	0	7	0.14	20.142857142857142	141	0.25
250	96	0	7	0.2475	24.857142857142858	174	0.75
251	54	0	7	0.2225	21.571428571428573	151	0.5
252	42	1	1	0.1775	14.285714285714286	100	1.0
253	69	0	7	0.2075	24.285714285714285	170	0.5
254	80	0	7	0.16	25.428571428571427	178	0.75
255	52	0	7	0.2575	22.857142857142858	160	0.5
256	80	0	7	0.235	24.285714285714285	170	0.75
257	64	0	7	0.24	23.428571428571427	164	0.75
258	23	1	4	0.1325	10.857142857142858	76	1.0
259	48	0	7	0.1675	14.857142857142858	104	0.75
260	32	0	7	0.1225	16.0	112	0.5
261	117	1	6	0.275	26.142857142857142	183	1.0
262	65	1	5	0.21	20.571428571428573	144	1.0
263	56	1	6	0.2825	22.142857142857142	155	1.0
264	30	1	2	0.1525	17.0	119	1.0
265	39	0	7	0.1825	18.0	126	0.75
266	51	1	5	0.2475	27.142857142857142	190	1.0
267	32	1	3	0.1625	14.714285714285714	103	1.0
268	50	0	7	0.2175	21.714285714285715	152	0.75
