i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	36	0	7	0.14	14.0	98	0.0
2	65	0	7	0.205	19.0	133	0.0
3	52	1	6	0.165	18.714285714285715	131	1.0
4	102	0	7	0.2875	24.857142857142858	174	0.0
5	49	0	7	0.1675	22.0	154	0.0
6	65	0	7	0.2825	25.857142857142858	181	0.0
7	21	0	7	0.055	7.142857142857143	50	0.0
8	86	1	6	0.3075	24.428571428571427	171	1.0
9	32	1	6	0.1625	15.285714285714286	107	1.0
10	75	0	7	0.215	26.428571428571427	185	0.0
11	66	0	7	0.2325	21.857142857142858	153	0.0
12	15	1	4	0.045	7.571428571428571	53	1.0
13	66	1	6	0.2925	23.857142857142858	167	1.0
14	51	1	6	0.31	24.285714285714285	170	1.0
15	66	0	7	0.2375	25.285714285714285	177	0.0
16	31	1	4	0.15	16.714285714285715	117	1.0
17	42	0	7	0.2125	18.285714285714285	128	0.0
18	88	0	7	0.3425	29.285714285714285	205	0.0
19	16	1	0	0.0575	11.428571428571429	80	1.0
20	50	0	7	0.265	22.714285714285715	159	0.0
21	59	0	7	0.2175	21.428571428571427	150	0.0
22	38	0	7	0.14	18.428571428571427	129	0.0
23	23	1	3	0.1425	13.857142857142858	97	1.0
24	22	1	1	0.175	13.285714285714286	93	1.0
25	23	1	3	0.165	13.714285714285714	96	1.0
26	85	0	7	0.2325	25.0	175	0.0
27	43	0	7	0.2225	19.0	133	0.0
28	92	0	7	0.285	26.142857142857142	183	0.0
29	6	1	2	0.0325	4.0	28	1.0
30	118	0	7	0.2825	27.142857142857142	190	0.0
31	31	0	7	0.1125	16.0	112	0.0
32	16	1	1	0.115	10.0	70	1.0
33	33	0	7	0.1975	16.571428571428573	116	0.0
34	26	0	7	0.1175	8.714285714285714	61	0.0
35	26	1	1	0.15	13.428571428571429	94	1.0
36	45	0	7	0.185	13.714285714285714	96	0.0
37	49	1	3	0.2175	20.285714285714285	142	1.0
38	67	0	7	0.205	19.714285714285715	138	0.0
39	99	0	7	0.2725	22.285714285714285	156	0.0
40	70	1	4	0.2525	23.285714285714285	163	1.0
41	21	1	3	0.095	13.571428571428571	95	1.0
42	24	1	0	0.1275	14.857142857142858	104	1.0
43	29	1	1	0.165	15.285714285714286	107	1.0
44	54	0	7	0.255	24.571428571428573	172	0.0
45	40	0	7	0.1375	19.857142857142858	139	0.0
46	63	0	7	0.1075	16.428571428571427	115	0.0
47	16	1	1	0.095	11.142857142857142	78	1.0
48	68	1	5	0.235	21.857142857142858	153	1.0
49	32	1	3	0.16	18.142857142857142	127	1.0
50	58	0	7	0.1875	18.714285714285715	131	0.0
51	55	0	7	0.2175	18.714285714285715	131	0.0
52	14	1	3	0.065	6.571428571428571	46	1.0
53	90	1	5	0.21	23.571428571428573	165	1.0
54	37	0	7	0.1625	18.857142857142858	132	0.0
55	14	1	1	0.0525	9.142857142857142	64	1.0
56	50	0	7	0.2825	22.571428571428573	158	0.0
57	39	0	7	0.1925	16.571428571428573	116	0.0
58	72	0	7	0.325	28.571428571428573	200	0.0
59	51	0	7	0.2025	19.714285714285715	138	0.0
60	5	1	0	0.0175	3.142857142857143	22	1.0
61	32	1	4	0.18	19.285714285714285	135	1.0
62	15	1	1	0.085	9.857142857142858	69	1.0
63	60	0	7	0.215	22.142857142857142	155	0.0
64	22	1	2	0.085	15.285714285714286	107	1.0
65	53	0	7	0.1875	21.285714285714285	149	0.0
66	18	1	1	0.0775	11.285714285714286	79	1.0
67	71	0	7	0.1625	20.571428571428573	144	0.0
68	17	1	0	0.125	10.285714285714286	72	1.0
69	8	1	3	0.025	5.285714285714286	37	1.0
70	59	0	7	0.2025	16.714285714285715	117	0.0
71	60	0	7	0.255	23.285714285714285	163	0.0
72	100	0	7	0.1725	22.0	154	0.0
73	70	0	7	0.1525	17.571428571428573	123	0.0
74	86	0	7	0.2975	30.714285714285715	215	0.0
75	10	1	2	0.0725	6.714285714285714	47	1.0
76	57	0	7	0.115	14.0	98	0.0
77	83	0	7	0.1725	24.857142857142858	174	0.0
78	91	0	7	0.33	25.285714285714285	177	0.0
79	32	1	3	0.1275	16.428571428571427	115	1.0
80	27	1	1	0.1375	17.428571428571427	122	1.0
81	14	1	1	0.095	9.857142857142858	69	1.0
82	34	0	7	0.1775	17.142857142857142	120	0.0
83	84	0	7	0.2825	28.0	196	0.0
84	38	0	7	0.13	13.571428571428571	95	0.0
85	25	1	5	0.1125	13.571428571428571	95	1.0
86	44	0	7	0.2875	21.571428571428573	151	0.0
87	37	1	3	0.1775	14.714285714285714	103	1.0
88	98	0	7	0.28	27.571428571428573	193	0.0
89	62	0	7	0.23	20.428571428571427	143	0.0
90	55	0	7	0.1975	21.285714285714285	149	0.0
91	76	1	6	0.25	20.857142857142858	146	1.0
92	53	0	7	0.2525	21.0	147	0.0
93	15	1	0	0.08	10.428571428571429	73	1.0
94	43	0	7	0.085	8.428571428571429	59	0.0
95	46	0	7	0.1825	18.285714285714285	128	0.0
96	15	1	0	0.1	10.285714285714286	72	1.0
97	20	1	2	0.0825	13.0	91	1.0
