i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	6	0	1	0.01	4.0	4.0	0.0
2	10	0	1	0.02	8.0	8.0	0.0
3	9	0	1	0.0175	7.0	7.0	0.0
4	8	0	1	0.015	6.0	6.0	0.0
5	32	0	1	0.075	30.0	30.0	0.0
6	24	0	1	0.055	22.0	22.0	0.0
7	11	0	1	0.0225	9.0	9.0	0.0
8	37	0	1	0.0875	35.0	35.0	0.0
9	25	0	1	0.0575	23.0	23.0	0.0
10	24	0	1	0.055	22.0	22.0	0.0
11	9	0	1	0.0175	7.0	7.0	0.0
12	25	0	1	0.0575	23.0	23.0	0.0
13	12	0	1	0.025	10.0	10.0	0.0
14	28	0	1	0.065	26.0	26.0	0.0
15	10	0	1	0.02	8.0	8.0	0.0
16	19	0	1	0.0425	17.0	17.0	0.0
17	28	0	1	0.065	26.0	26.0	0.0
18	12	0	1	0.025	10.0	10.0	0.0
19	20	0	1	0.045	18.0	18.0	0.0
20	23	1	0	0.0575	23.0	23.0	1.0
21	26	0	1	0.06	24.0	24.0	0.0
22	12	0	1	0.025	10.0	10.0	0.0
23	36	1	0	0.09	36.0	36.0	1.0
24	10	0	1	0.02	8.0	8.0	0.0
25	35	0	1	0.0825	33.0	33.0	0.0
26	32	1	0	0.08	32.0	32.0	1.0
27	9	0	1	0.0175	7.0	7.0	0.0
28	36	0	1	0.0825	34.0	34.0	0.0
29	19	0	1	0.0425	17.0	17.0	0.0
30	14	0	1	0.03	12.0	12.0	0.0
31	16	0	1	0.035	14.0	14.0	0.0
32	43	0	1	0.1025	41.0	41.0	0.0
33	6	0	1	0.01	4.0	4.0	0.0
34	4	0	1	0.005	2.0	2.0	0.0
35	12	0	1	0.025	10.0	10.0	0.0
36	9	0	1	0.0175	7.0	7.0	0.0
37	9	0	1	0.0175	7.0	7.0	0.0
38	52	0	1	0.1125	50.0	50.0	0.0
39	20	0	1	0.045	18.0	18.0	0.0
40	17	0	1	0.0375	15.0	15.0	0.0
41	31	0	1	0.0725	29.0	29.0	0.0
42	4	0	1	0.005	2.0	2.0	0.0
43	15	0	1	0.0325	13.0	13.0	0.0
44	13	0	1	0.0275	11.0	11.0	0.0
45	7	0	1	0.0125	5.0	5.0	0.0
46	35	0	1	0.075	33.0	33.0	0.0
47	22	0	1	0.05	20.0	20.0	0.0
48	12	0	1	0.025	10.0	10.0	0.0
49	17	0	1	0.0375	15.0	15.0	0.0
50	9	0	1	0.0175	7.0	7.0	0.0
51	44	0	1	0.105	42.0	42.0	0.0
52	19	0	1	0.0425	17.0	17.0	0.0
53	7	0	1	0.0125	5.0	5.0	0.0
54	14	0	1	0.03	12.0	12.0	0.0
55	28	0	1	0.065	26.0	26.0	0.0
56	11	0	1	0.0225	9.0	9.0	0.0
57	8	0	1	0.015	6.0	6.0	0.0
58	36	0	1	0.085	34.0	34.0	0.0
59	19	0	1	0.0425	17.0	17.0	0.0
60	4	0	1	0.005	2.0	2.0	0.0
61	15	0	1	0.03	13.0	13.0	0.0
62	12	0	1	0.025	10.0	10.0	0.0
63	8	0	1	0.015	6.0	6.0	0.0
64	8	0	1	0.015	6.0	6.0	0.0
65	5	0	1	0.0075	3.0	3.0	0.0
66	15	0	1	0.0325	13.0	13.0	0.0
67	20	0	1	0.045	18.0	18.0	0.0
68	12	0	1	0.025	10.0	10.0	0.0
69	22	0	1	0.05	20.0	20.0	0.0
70	15	0	1	0.0325	13.0	13.0	0.0
71	32	0	1	0.075	30.0	30.0	0.0
72	23	0	1	0.0525	21.0	21.0	0.0
73	9	0	1	0.0175	7.0	7.0	0.0
74	30	1	0	0.075	30.0	30.0	1.0
75	41	0	1	0.0975	39.0	39.0	0.0
76	22	0	1	0.05	20.0	20.0	0.0
77	9	0	1	0.0125	7.0	7.0	0.0
78	18	0	1	0.04	16.0	16.0	0.0
79	3	0	1	0.0025	1.0	1.0	0.0
80	14	0	1	0.03	12.0	12.0	0.0
81	13	0	1	0.0275	11.0	11.0	0.0
82	32	0	1	0.075	30.0	30.0	0.0
83	14	0	1	0.03	12.0	12.0	0.0
84	23	0	1	0.0525	21.0	21.0	0.0
85	26	0	1	0.06	24.0	24.0	0.0
86	19	0	1	0.0425	17.0	17.0	0.0
87	9	0	1	0.0175	7.0	7.0	0.0
88	40	0	1	0.0825	38.0	38.0	0.0
89	11	0	1	0.0225	9.0	9.0	0.0
90	6	0	1	0.01	4.0	4.0	0.0
91	11	0	1	0.0225	9.0	9.0	0.0
92	46	0	1	0.11	44.0	44.0	0.0
93	23	0	1	0.0525	21.0	21.0	0.0
94	14	0	1	0.03	12.0	12.0	0.0
95	12	0	1	0.025	10.0	10.0	0.0
96	44	0	1	0.105	42.0	42.0	0.0
97	32	0	1	0.075	30.0	30.0	0.0
98	22	0	1	0.05	20.0	20.0	0.0
99	19	0	1	0.0425	17.0	17.0	0.0
100	40	0	1	0.095	38.0	38.0	0.0
101	20	0	1	0.045	18.0	18.0	0.0
102	9	0	1	0.0175	7.0	7.0	0.0
103	39	0	1	0.0925	37.0	37.0	0.0
104	17	0	1	0.0375	15.0	15.0	0.0
105	24	0	1	0.055	22.0	22.0	0.0
106	17	0	1	0.0375	15.0	15.0	0.0
107	19	0	1	0.0425	17.0	17.0	0.0
108	30	0	1	0.07	28.0	28.0	0.0
109	24	0	1	0.055	22.0	22.0	0.0
110	22	0	1	0.05	20.0	20.0	0.0
111	16	0	1	0.035	14.0	14.0	0.0
112	39	0	1	0.0925	37.0	37.0	0.0
113	26	0	1	0.06	24.0	24.0	0.0
114	18	0	1	0.04	16.0	16.0	0.0
115	19	0	1	0.0425	17.0	17.0	0.0
116	13	1	0	0.0325	13.0	13.0	1.0
117	24	0	1	0.055	22.0	22.0	0.0
118	4	0	1	0.005	2.0	2.0	0.0
119	15	0	1	0.0325	13.0	13.0	0.0
120	19	0	1	0.0425	17.0	17.0	0.0
121	14	0	1	0.03	12.0	12.0	0.0
122	40	1	0	0.1	40.0	40.0	1.0
123	6	0	1	0.01	4.0	4.0	0.0
124	31	0	1	0.0725	29.0	29.0	0.0
125	17	0	1	0.0375	15.0	15.0	0.0
126	23	0	1	0.0525	21.0	21.0	0.0
127	17	0	1	0.0375	15.0	15.0	0.0
128	3	0	1	0.0025	1.0	1.0	0.0
129	12	0	1	0.025	10.0	10.0	0.0
130	31	0	1	0.07	29.0	29.0	0.0
131	31	0	1	0.0725	29.0	29.0	0.0
132	18	0	1	0.04	16.0	16.0	0.0
133	19	1	0	0.0475	19.0	19.0	1.0
134	15	0	1	0.0325	13.0	13.0	0.0
135	7	0	1	0.0125	5.0	5.0	0.0
136	23	0	1	0.0525	21.0	21.0	0.0
137	6	0	1	0.01	4.0	4.0	0.0
138	20	0	1	0.045	18.0	18.0	0.0
139	14	0	1	0.03	12.0	12.0	0.0
140	5	0	1	0.0075	3.0	3.0	0.0
141	19	0	1	0.0425	17.0	17.0	0.0
142	13	0	1	0.0275	11.0	11.0	0.0
143	13	0	1	0.0275	11.0	11.0	0.0
144	36	0	1	0.085	34.0	34.0	0.0
145	22	0	1	0.05	20.0	20.0	0.0
146	10	0	1	0.02	8.0	8.0	0.0
147	17	0	1	0.0375	15.0	15.0	0.0
148	4	0	1	0.005	2.0	2.0	0.0
149	9	0	1	0.0175	7.0	7.0	0.0
150	12	0	1	0.025	10.0	10.0	0.0
151	7	0	1	0.0125	5.0	5.0	0.0
152	19	0	1	0.0425	17.0	17.0	0.0
153	5	1	0	0.0125	5.0	5.0	1.0
154	25	0	1	0.0575	23.0	23.0	0.0
155	9	0	1	0.0175	7.0	7.0	0.0
156	33	0	1	0.0775	31.0	31.0	0.0
157	23	0	1	0.0525	21.0	21.0	0.0
158	32	0	1	0.075	30.0	30.0	0.0
159	22	0	1	0.05	20.0	20.0	0.0
160	21	0	1	0.0475	19.0	19.0	0.0
161	10	0	1	0.02	8.0	8.0	0.0
162	2	0	1	0.0	0.0	0.0	0.0
163	24	0	1	0.055	22.0	22.0	0.0
164	13	0	1	0.0275	11.0	11.0	0.0
165	4	0	1	0.005	2.0	2.0	0.0
166	12	0	1	0.025	10.0	10.0	0.0
167	40	0	1	0.095	38.0	38.0	0.0
168	24	0	1	0.055	22.0	22.0	0.0
169	19	0	1	0.0425	17.0	17.0	0.0
170	17	0	1	0.0375	15.0	15.0	0.0
