i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	16	0	5	0.035	14.0	70.0	0.0
2	39	0	5	0.0925	26.2	131.0	0.5
3	28	1	4	0.07	6.4	32.0	1.0
4	38	0	5	0.085	22.4	112.0	0.5
5	30	0	5	0.07	17.8	89.0	0.5
6	35	0	5	0.0825	22.8	114.0	0.0
7	25	1	4	0.0625	24.2	121.0	1.0
8	28	0	5	0.065	22.0	110.0	0.5
9	47	0	5	0.1125	22.0	110.0	0.5
10	30	0	5	0.07	25.6	128.0	0.0
11	44	0	5	0.105	25.6	128.0	0.5
12	20	1	3	0.05	12.8	64.0	1.0
13	25	0	5	0.0575	19.8	99.0	0.5
14	36	0	5	0.0625	22.0	110.0	0.5
15	18	0	5	0.04	5.6	28.0	0.5
16	11	0	5	0.0225	8.2	41.0	0.5
17	19	0	5	0.04	10.4	52.0	0.5
18	34	0	5	0.08	16.4	82.0	0.5
19	21	0	5	0.0475	19.0	95.0	0.0
20	8	0	5	0.015	6.0	30.0	0.0
21	46	0	5	0.11	25.4	127.0	0.5
22	37	0	5	0.0875	20.0	100.0	0.5
23	40	0	5	0.095	24.4	122.0	0.5
24	13	0	5	0.025	9.4	47.0	0.5
25	37	0	5	0.0875	22.4	112.0	0.5
26	36	0	5	0.085	34.0	170.0	0.5
27	30	0	5	0.0575	21.6	108.0	0.5
28	13	0	5	0.0275	11.0	55.0	0.0
29	30	0	5	0.07	20.8	104.0	0.5
30	21	0	5	0.0475	11.8	59.0	0.0
31	18	0	5	0.04	15.2	76.0	0.0
32	23	1	3	0.0575	22.4	112.0	1.0
33	28	0	5	0.065	24.8	124.0	0.5
34	19	0	5	0.0425	17.0	85.0	0.0
35	43	0	5	0.1025	37.0	185.0	0.0
36	33	0	5	0.0775	19.0	95.0	0.5
37	26	1	4	0.065	20.0	100.0	1.0
38	48	0	5	0.115	29.2	146.0	0.5
39	42	0	5	0.1	14.0	70.0	0.5
40	18	0	5	0.04	12.8	64.0	0.5
41	12	0	5	0.025	6.0	30.0	0.0
42	35	0	5	0.0825	18.8	94.0	0.5
43	35	1	4	0.0875	28.2	141.0	1.0
44	25	0	5	0.0575	17.4	87.0	0.5
45	43	0	5	0.1025	29.8	149.0	0.0
46	23	0	5	0.0475	14.6	73.0	0.5
47	16	0	5	0.035	10.0	50.0	0.0
48	9	0	5	0.0175	7.0	35.0	0.5
49	34	0	5	0.08	23.2	116.0	0.5
50	13	0	5	0.0275	11.0	55.0	0.0
51	21	0	5	0.0475	9.4	47.0	0.0
52	18	1	3	0.045	15.0	75.0	1.0
53	22	0	5	0.05	17.2	86.0	0.5
54	37	1	3	0.0925	30.8	154.0	1.0
55	24	0	5	0.055	19.0	95.0	0.0
56	46	1	4	0.115	32.4	162.0	1.0
57	36	0	5	0.085	24.6	123.0	0.5
58	42	0	5	0.095	34.0	170.0	0.5
59	41	1	3	0.1025	26.0	130.0	1.0
60	20	0	5	0.045	7.8	39.0	0.0
61	28	1	4	0.07	18.8	94.0	1.0
62	22	0	5	0.05	14.8	74.0	0.5
63	44	0	5	0.105	35.8	179.0	0.5
64	18	1	1	0.045	17.8	89.0	1.0
65	46	1	3	0.115	29.8	149.0	1.0
66	4	0	5	0.005	2.0	10.0	0.0
67	35	0	5	0.0825	27.0	135.0	0.5
68	8	0	5	0.015	6.0	30.0	0.0
69	43	0	5	0.0875	20.0	100.0	0.5
70	41	0	5	0.0975	12.6	63.0	0.5
71	25	1	4	0.0625	21.8	109.0	1.0
72	6	0	5	0.01	4.0	20.0	0.5
73	16	0	5	0.035	10.8	54.0	0.0
74	25	1	4	0.0625	11.4	57.0	1.0
75	20	0	5	0.045	11.6	58.0	0.5
76	41	0	5	0.0975	21.8	109.0	0.5
77	9	0	5	0.0175	7.0	35.0	0.0
78	21	0	5	0.0475	12.8	64.0	0.5
79	30	1	4	0.075	12.0	60.0	1.0
80	26	0	5	0.06	22.4	112.0	0.5
81	5	0	5	0.0075	3.0	15.0	0.0
82	31	0	5	0.0725	17.6	88.0	0.5
83	14	0	5	0.03	10.8	54.0	0.0
84	25	0	5	0.0575	13.8	69.0	0.0
85	27	0	5	0.0625	23.0	115.0	0.5
86	28	0	5	0.065	18.8	94.0	0.0
87	19	0	5	0.0425	10.6	53.0	0.0
88	28	0	5	0.065	22.0	110.0	0.5
89	35	0	5	0.0825	30.4	152.0	0.5
90	7	0	5	0.0125	5.0	25.0	0.0
91	20	0	5	0.045	15.0	75.0	0.0
92	9	0	5	0.0175	7.0	35.0	0.0
93	25	0	5	0.0575	15.2	76.0	0.5
94	40	1	4	0.1	16.8	84.0	1.0
95	52	1	4	0.13	26.0	130.0	1.0
96	31	0	5	0.0725	27.8	139.0	0.5
97	30	0	5	0.07	17.8	89.0	0.0
98	8	0	5	0.015	6.0	30.0	0.0
99	55	0	5	0.1325	37.8	189.0	0.5
100	32	1	4	0.08	11.2	56.0	1.0
101	26	1	3	0.06	12.2	61.0	1.0
102	13	0	5	0.0275	11.0	55.0	0.0
103	24	1	4	0.06	12.8	64.0	1.0
104	9	0	5	0.0175	7.0	35.0	0.0
105	29	1	4	0.0725	23.4	117.0	1.0
106	38	0	5	0.09	26.4	132.0	0.5
107	12	0	5	0.025	10.0	50.0	0.0
108	48	0	5	0.115	15.6	78.0	0.5
109	52	0	5	0.125	34.0	170.0	0.5
110	20	0	5	0.045	14.4	72.0	0.0
111	33	0	5	0.0775	14.2	71.0	0.5
112	40	0	5	0.095	26.4	132.0	0.5
113	21	0	5	0.0475	15.4	77.0	0.5
114	10	0	5	0.02	8.0	40.0	0.0
115	13	0	5	0.0275	11.0	55.0	0.0
116	21	0	5	0.0475	13.4	67.0	0.5
117	29	0	5	0.0675	12.6	63.0	0.5
118	36	1	3	0.09	31.8	159.0	1.0
119	31	1	4	0.0775	17.6	88.0	1.0
120	28	0	5	0.065	24.6	123.0	0.5
121	40	1	4	0.095	29.6	148.0	1.0
122	37	0	5	0.0875	18.2	91.0	0.5
123	11	0	5	0.0225	9.0	45.0	0.0
124	22	0	5	0.05	17.8	89.0	0.0
125	45	1	4	0.1025	23.2	116.0	1.0
126	11	0	5	0.0225	9.0	45.0	0.0
127	39	1	4	0.0975	31.0	155.0	1.0
128	25	1	4	0.0625	9.8	49.0	1.0
129	48	0	5	0.115	17.0	85.0	0.5
130	9	0	5	0.0175	7.0	35.0	0.0
131	23	0	5	0.0525	21.0	105.0	0.0
132	18	1	3	0.045	12.6	63.0	1.0
133	46	1	3	0.115	41.8	209.0	1.0
134	21	0	5	0.0475	19.0	95.0	0.0
135	21	1	3	0.0525	20.4	102.0	1.0
136	35	0	5	0.0825	27.4	137.0	0.5
137	18	0	5	0.04	11.2	56.0	0.0
138	40	0	5	0.0925	17.0	85.0	0.5
139	18	0	5	0.0275	14.0	70.0	0.0
140	18	0	5	0.04	14.6	73.0	0.0
141	18	0	5	0.04	16.0	80.0	0.0
142	31	0	5	0.0725	29.0	145.0	0.0
143	19	0	5	0.0425	17.0	85.0	0.0
144	52	0	5	0.125	31.6	158.0	0.5
145	31	1	3	0.0775	28.6	143.0	1.0
146	32	0	5	0.075	27.6	138.0	0.5
147	8	0	5	0.015	6.0	30.0	0.0
148	21	0	5	0.0475	10.2	51.0	0.0
149	18	1	2	0.045	12.8	64.0	1.0
150	30	0	5	0.07	17.8	89.0	0.5
151	16	1	4	0.04	13.2	66.0	1.0
152	16	1	4	0.04	15.2	76.0	1.0
153	18	1	4	0.045	14.8	74.0	1.0
154	5	0	5	0.0075	3.0	15.0	0.0
155	9	0	5	0.0175	7.0	35.0	0.0
156	28	0	5	0.065	21.2	106.0	0.0
157	20	0	5	0.045	18.0	90.0	0.5
158	15	0	5	0.0325	13.0	65.0	0.0
159	18	0	5	0.04	12.8	64.0	0.0
160	18	0	5	0.04	16.0	80.0	0.0
161	14	0	5	0.03	10.8	54.0	0.0
162	40	1	4	0.1	25.2	126.0	1.0
163	5	0	5	0.0075	3.0	15.0	0.0
164	11	0	5	0.0225	9.0	45.0	0.0
165	21	0	5	0.0475	8.6	43.0	0.0
166	43	0	5	0.1025	21.8	109.0	0.5
167	23	0	5	0.0525	19.8	99.0	0.0
168	12	0	5	0.025	10.0	50.0	0.0
169	26	0	5	0.0575	23.2	116.0	0.5
170	51	0	5	0.1225	22.4	112.0	0.5
171	27	0	5	0.0625	25.0	125.0	0.5
172	15	0	5	0.0325	13.0	65.0	0.0
173	20	0	5	0.045	16.8	84.0	0.0
174	41	0	5	0.0975	30.6	153.0	0.5
175	15	0	5	0.0325	13.0	65.0	0.0
176	33	0	5	0.0775	21.4	107.0	0.5
177	31	0	5	0.0725	17.8	89.0	0.5
178	32	0	5	0.075	19.6	98.0	0.5
179	19	0	5	0.0425	17.0	85.0	0.0
180	30	0	5	0.07	18.8	94.0	0.5
181	20	0	5	0.045	15.2	76.0	0.5
182	21	1	2	0.05	16.2	81.0	1.0
183	9	0	5	0.0175	7.0	35.0	0.0
184	28	0	5	0.065	23.6	118.0	0.5
185	11	0	5	0.0225	9.0	45.0	0.0
186	33	0	5	0.075	10.2	51.0	0.5
187	43	1	4	0.1075	31.4	157.0	1.0
188	44	1	4	0.11	16.8	84.0	1.0
189	5	0	5	0.0075	3.0	15.0	0.0
190	27	0	5	0.0625	13.0	65.0	0.5
191	37	0	5	0.0875	23.4	117.0	0.5
192	33	0	5	0.0775	24.6	123.0	0.5
193	14	0	5	0.03	12.0	60.0	0.0
194	36	0	5	0.085	21.6	108.0	0.5
195	20	0	5	0.045	15.0	75.0	0.5
196	9	0	5	0.0175	7.0	35.0	0.0
197	11	1	2	0.0275	7.4	37.0	1.0
198	24	1	3	0.06	16.8	84.0	1.0
199	14	0	5	0.03	12.0	60.0	0.0
200	50	0	5	0.1175	20.0	100.0	0.5
201	29	1	4	0.0725	17.0	85.0	1.0
202	24	0	5	0.0525	10.4	52.0	0.5
203	39	0	5	0.0925	26.4	132.0	0.5
204	16	0	5	0.035	12.8	64.0	0.5
205	31	0	5	0.0725	23.2	116.0	0.0
206	29	0	5	0.0675	16.6	83.0	0.5
207	29	0	5	0.0675	27.0	135.0	0.0
208	28	0	5	0.065	19.6	98.0	0.0
209	31	1	4	0.0775	27.6	138.0	1.0
210	14	0	5	0.03	12.0	60.0	0.0
211	16	0	5	0.035	12.4	62.0	0.5
212	23	0	5	0.0525	5.8	29.0	0.5
213	4	0	5	0.005	2.0	10.0	0.0
214	30	0	5	0.07	25.6	128.0	0.0
215	37	0	5	0.085	28.2	141.0	0.5
216	13	0	5	0.0275	11.0	55.0	0.0
217	16	1	4	0.0325	15.2	76.0	1.0
218	15	0	5	0.0325	13.0	65.0	0.0
219	15	1	2	0.035	13.8	69.0	1.0
220	18	0	5	0.04	10.6	53.0	0.5
221	52	1	4	0.13	18.4	92.0	1.0
222	32	0	5	0.075	22.0	110.0	0.5
223	17	0	5	0.0375	15.0	75.0	0.0
224	26	0	5	0.06	24.0	120.0	0.5
225	45	0	5	0.1075	13.8	69.0	0.5
226	38	0	5	0.09	30.2	151.0	0.0
227	11	0	5	0.0225	9.0	45.0	0.0
228	30	0	5	0.07	12.6	63.0	0.5
229	7	0	5	0.0125	5.0	25.0	0.0
230	35	0	5	0.0825	27.4	137.0	0.5
231	33	0	5	0.0775	27.6	138.0	0.0
232	14	0	5	0.03	12.0	60.0	0.0
233	39	0	5	0.0925	19.4	97.0	0.5
234	15	0	5	0.0325	13.0	65.0	0.0
235	18	0	5	0.04	16.0	80.0	0.0
236	28	0	5	0.065	18.2	91.0	0.0
237	27	0	5	0.0625	20.2	101.0	0.5
238	11	0	5	0.0225	9.0	45.0	0.0
239	26	1	3	0.065	16.6	83.0	1.0
240	37	0	5	0.0875	29.8	149.0	0.5
