i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	8	0	5	0.015	6.0	30.0	0.0
2	3	0	5	0.0025	1.0	5.0	0.0
3	32	0	5	0.075	19.6	98.0	0.3333333333333333
4	31	0	5	0.065	19.6	98.0	0.3333333333333333
5	24	0	5	0.0525	6.4	32.0	0.6666666666666666
6	50	0	5	0.12	30.4	152.0	0.6666666666666666
7	21	0	5	0.0475	19.0	95.0	0.0
8	25	0	5	0.0575	22.0	110.0	0.0
9	18	0	5	0.0275	10.4	52.0	0.3333333333333333
10	7	0	5	0.0125	5.0	25.0	0.0
11	10	0	5	0.02	8.0	40.0	0.3333333333333333
12	41	0	5	0.0925	24.6	123.0	0.6666666666666666
13	38	0	5	0.09	29.6	148.0	0.6666666666666666
14	7	0	5	0.0125	5.0	25.0	0.0
15	42	0	5	0.1	16.4	82.0	0.3333333333333333
16	16	0	5	0.035	9.6	48.0	0.3333333333333333
17	19	0	5	0.0425	10.6	53.0	0.3333333333333333
18	43	1	4	0.1075	19.8	99.0	1.0
19	36	0	5	0.085	25.0	125.0	0.3333333333333333
20	20	0	5	0.045	18.0	90.0	0.0
21	7	0	5	0.0125	5.0	25.0	0.0
22	15	0	5	0.0325	10.0	50.0	0.3333333333333333
23	27	0	5	0.0625	14.6	73.0	0.6666666666666666
24	36	0	5	0.07	21.0	105.0	0.3333333333333333
25	47	0	5	0.1125	27.6	138.0	0.3333333333333333
26	34	0	5	0.08	24.2	121.0	0.6666666666666666
27	25	0	5	0.0575	22.0	110.0	0.0
28	15	0	5	0.0325	11.2	56.0	0.3333333333333333
29	40	0	5	0.095	31.6	158.0	0.3333333333333333
30	30	1	3	0.075	28.2	141.0	1.0
31	19	0	5	0.0425	16.2	81.0	0.3333333333333333
32	23	0	5	0.0525	21.0	105.0	0.0
33	26	0	5	0.06	8.0	40.0	0.3333333333333333
34	21	0	5	0.0475	17.4	87.0	0.3333333333333333
35	21	0	5	0.0475	12.6	63.0	0.3333333333333333
36	22	0	5	0.05	17.6	88.0	0.6666666666666666
37	47	0	5	0.11	35.4	177.0	0.6666666666666666
