i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	30	0	1	0.07	28.0	28.0	0.0
2	40	0	1	0.095	38.0	38.0	0.6666666666666666
3	37	0	1	0.0875	35.0	35.0	0.6666666666666666
4	24	0	1	0.055	22.0	22.0	0.0
5	20	0	1	0.045	18.0	18.0	0.6666666666666666
6	59	0	1	0.1425	57.0	57.0	0.3333333333333333
7	30	0	1	0.07	28.0	28.0	0.0
8	11	0	1	0.0225	9.0	9.0	0.0
9	8	0	1	0.015	6.0	6.0	0.0
10	29	0	1	0.0675	27.0	27.0	0.0
11	35	0	1	0.0825	33.0	33.0	0.3333333333333333
12	34	1	0	0.085	34.0	34.0	1.0
13	33	0	1	0.0775	31.0	31.0	0.0
14	28	0	1	0.065	26.0	26.0	0.0
15	29	0	1	0.0675	27.0	27.0	0.0
16	9	0	1	0.0175	7.0	7.0	0.0
17	9	0	1	0.0175	7.0	7.0	0.0
18	20	0	1	0.045	18.0	18.0	0.0
19	15	0	1	0.0325	13.0	13.0	0.0
20	21	0	1	0.0475	19.0	19.0	0.0
21	19	0	1	0.0425	17.0	17.0	0.0
22	34	0	1	0.08	32.0	32.0	0.3333333333333333
23	35	0	1	0.0825	33.0	33.0	0.3333333333333333
24	5	0	1	0.0075	3.0	3.0	0.0
25	32	0	1	0.075	30.0	30.0	0.0
26	20	0	1	0.045	18.0	18.0	0.0
27	23	0	1	0.0525	21.0	21.0	0.0
28	22	0	1	0.05	20.0	20.0	0.0
29	18	0	1	0.04	16.0	16.0	0.0
30	38	0	1	0.09	36.0	36.0	0.0
31	33	0	1	0.0775	31.0	31.0	0.0
32	51	0	1	0.1225	49.0	49.0	0.3333333333333333
33	32	0	1	0.075	30.0	30.0	0.0
34	17	0	1	0.0375	15.0	15.0	0.0
35	23	0	1	0.0525	21.0	21.0	0.3333333333333333
36	28	0	1	0.065	26.0	26.0	0.0
37	72	0	1	0.1725	70.0	70.0	0.6666666666666666
38	24	0	1	0.055	22.0	22.0	0.0
39	21	0	1	0.0475	19.0	19.0	0.0
40	12	0	1	0.025	10.0	10.0	0.0
41	37	0	1	0.0875	35.0	35.0	0.3333333333333333
42	14	0	1	0.03	12.0	12.0	0.0
43	25	0	1	0.0575	23.0	23.0	0.3333333333333333
44	7	0	1	0.0125	5.0	5.0	0.0
45	71	1	0	0.175	71.0	71.0	1.0
46	26	0	1	0.06	24.0	24.0	0.0
47	9	0	1	0.0175	7.0	7.0	0.0
48	45	0	1	0.1075	43.0	43.0	0.3333333333333333
49	18	0	1	0.04	16.0	16.0	0.0
50	7	0	1	0.0125	5.0	5.0	0.0
51	29	0	1	0.0675	27.0	27.0	0.3333333333333333
52	11	0	1	0.0225	9.0	9.0	0.0
53	18	0	1	0.04	16.0	16.0	0.0
54	38	0	1	0.09	36.0	36.0	0.3333333333333333
55	23	0	1	0.0525	21.0	21.0	0.3333333333333333
56	35	0	1	0.0825	33.0	33.0	0.3333333333333333
57	11	0	1	0.0225	9.0	9.0	0.0
58	57	0	1	0.135	55.0	55.0	0.6666666666666666
59	28	0	1	0.065	26.0	26.0	0.3333333333333333
60	4	0	1	0.005	2.0	2.0	0.0
61	46	0	1	0.11	44.0	44.0	0.3333333333333333
62	12	0	1	0.025	10.0	10.0	0.0
63	22	0	1	0.05	20.0	20.0	0.0
64	29	0	1	0.065	27.0	27.0	0.3333333333333333
65	7	0	1	0.0125	5.0	5.0	0.0
66	22	0	1	0.05	20.0	20.0	0.0
67	33	0	1	0.045	31.0	31.0	0.3333333333333333
68	21	0	1	0.0475	19.0	19.0	0.0
69	28	0	1	0.065	26.0	26.0	0.0
70	33	0	1	0.0775	31.0	31.0	0.3333333333333333
71	16	0	1	0.035	14.0	14.0	0.0
72	13	0	1	0.0275	11.0	11.0	0.0
73	24	0	1	0.055	22.0	22.0	0.3333333333333333
74	34	0	1	0.08	32.0	32.0	0.0
75	27	0	1	0.0625	25.0	25.0	0.0
76	15	0	1	0.0325	13.0	13.0	0.0
77	24	0	1	0.055	22.0	22.0	0.0
78	29	0	1	0.0675	27.0	27.0	0.0
79	13	0	1	0.0275	11.0	11.0	0.0
80	23	0	1	0.0525	21.0	21.0	0.0
81	40	0	1	0.095	38.0	38.0	0.3333333333333333
82	32	0	1	0.075	30.0	30.0	0.0
83	17	0	1	0.0375	15.0	15.0	0.0
84	32	0	1	0.075	30.0	30.0	0.3333333333333333
85	11	0	1	0.0225	9.0	9.0	0.0
86	23	0	1	0.0525	21.0	21.0	0.0
87	31	0	1	0.0725	29.0	29.0	0.0
88	30	0	1	0.07	28.0	28.0	0.3333333333333333
89	23	0	1	0.0525	21.0	21.0	0.0
90	14	0	1	0.03	12.0	12.0	0.0
91	30	0	1	0.07	28.0	28.0	0.3333333333333333
92	25	0	1	0.0575	23.0	23.0	0.0
93	30	0	1	0.07	28.0	28.0	0.0
94	22	0	1	0.05	20.0	20.0	0.0
95	8	0	1	0.015	6.0	6.0	0.0
96	22	0	1	0.05	20.0	20.0	0.0
97	29	0	1	0.0675	27.0	27.0	0.0
98	21	0	1	0.0475	19.0	19.0	0.0
99	18	0	1	0.04	16.0	16.0	0.0
100	10	0	1	0.02	8.0	8.0	0.3333333333333333
101	30	0	1	0.07	28.0	28.0	0.6666666666666666
102	29	0	1	0.0675	27.0	27.0	0.3333333333333333
103	44	0	1	0.105	42.0	42.0	0.3333333333333333
104	21	0	1	0.0475	19.0	19.0	0.0
105	34	0	1	0.08	32.0	32.0	0.3333333333333333
106	42	0	1	0.1	40.0	40.0	0.3333333333333333
107	17	0	1	0.0375	15.0	15.0	0.0
108	24	0	1	0.055	22.0	22.0	0.0
109	39	0	1	0.0925	37.0	37.0	0.3333333333333333
110	30	0	1	0.07	28.0	28.0	0.0
111	35	0	1	0.0825	33.0	33.0	0.0
112	19	0	1	0.0425	17.0	17.0	0.0
113	9	0	1	0.0175	7.0	7.0	0.0
114	36	0	1	0.085	34.0	34.0	0.3333333333333333
115	36	0	1	0.085	34.0	34.0	0.3333333333333333
116	17	0	1	0.0375	15.0	15.0	0.0
117	30	0	1	0.07	28.0	28.0	0.0
118	17	0	1	0.0375	15.0	15.0	0.0
119	7	0	1	0.0125	5.0	5.0	0.0
120	9	0	1	0.0175	7.0	7.0	0.0
121	50	0	1	0.12	48.0	48.0	0.3333333333333333
122	21	0	1	0.0475	19.0	19.0	0.0
123	9	0	1	0.0175	7.0	7.0	0.0
124	32	0	1	0.075	30.0	30.0	0.0
125	23	0	1	0.0525	21.0	21.0	0.0
126	35	0	1	0.0825	33.0	33.0	0.0
127	18	0	1	0.04	16.0	16.0	0.0
128	15	0	1	0.0325	13.0	13.0	0.0
129	13	0	1	0.0275	11.0	11.0	0.3333333333333333
130	22	0	1	0.05	20.0	20.0	0.0
131	58	1	0	0.145	58.0	58.0	1.0
132	23	0	1	0.0525	21.0	21.0	0.0
133	38	0	1	0.09	36.0	36.0	0.3333333333333333
