i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	19	0	1	0.0425	17.0	17.0	0.0
2	24	0	1	0.055	22.0	22.0	0.0
3	29	0	1	0.0675	27.0	27.0	0.25
4	21	0	1	0.0475	19.0	19.0	0.0
5	13	0	1	0.0275	11.0	11.0	0.25
6	15	0	1	0.0325	13.0	13.0	0.0
7	8	0	1	0.015	6.0	6.0	0.0
8	24	0	1	0.055	22.0	22.0	0.0
9	31	0	1	0.0725	29.0	29.0	0.25
10	8	0	1	0.015	6.0	6.0	0.0
11	32	0	1	0.075	30.0	30.0	0.25
12	4	0	1	0.005	2.0	2.0	0.0
13	58	0	1	0.14	56.0	56.0	0.25
14	46	0	1	0.1075	44.0	44.0	0.5
15	35	0	1	0.0825	33.0	33.0	0.25
16	25	0	1	0.0575	23.0	23.0	0.0
17	12	0	1	0.025	10.0	10.0	0.0
18	30	0	1	0.07	28.0	28.0	0.25
19	14	0	1	0.03	12.0	12.0	0.0
20	36	0	1	0.085	34.0	34.0	0.5
21	24	0	1	0.055	22.0	22.0	0.25
22	30	0	1	0.07	28.0	28.0	0.25
23	22	0	1	0.05	20.0	20.0	0.0
24	23	0	1	0.0525	21.0	21.0	0.25
25	18	0	1	0.04	16.0	16.0	0.25
26	26	0	1	0.06	24.0	24.0	0.5
27	31	0	1	0.0725	29.0	29.0	0.0
28	57	0	1	0.1375	55.0	55.0	0.0
29	26	0	1	0.06	24.0	24.0	0.25
30	30	0	1	0.07	28.0	28.0	0.0
31	27	0	1	0.0625	25.0	25.0	0.25
32	70	0	1	0.1675	68.0	68.0	0.5
33	7	0	1	0.0125	5.0	5.0	0.0
34	23	0	1	0.0525	21.0	21.0	0.0
35	83	0	1	0.17	81.0	81.0	0.75
36	50	0	1	0.12	48.0	48.0	0.5
37	33	0	1	0.0775	31.0	31.0	0.25
38	29	0	1	0.0675	27.0	27.0	0.25
39	29	0	1	0.0675	27.0	27.0	0.25
40	6	0	1	0.01	4.0	4.0	0.0
41	18	0	1	0.04	16.0	16.0	0.0
42	17	0	1	0.0375	15.0	15.0	0.0
43	15	0	1	0.0325	13.0	13.0	0.0
44	41	0	1	0.0975	39.0	39.0	0.25
45	8	0	1	0.015	6.0	6.0	0.0
46	28	0	1	0.065	26.0	26.0	0.0
47	23	0	1	0.0525	21.0	21.0	0.0
48	25	0	1	0.0575	23.0	23.0	0.25
49	20	0	1	0.045	18.0	18.0	0.0
50	44	0	1	0.105	42.0	42.0	0.5
51	15	0	1	0.0325	13.0	13.0	0.0
52	22	0	1	0.05	20.0	20.0	0.0
53	42	0	1	0.1	40.0	40.0	0.0
54	37	0	1	0.0875	35.0	35.0	0.0
55	6	0	1	0.01	4.0	4.0	0.0
56	33	0	1	0.0775	31.0	31.0	0.25
57	36	0	1	0.085	34.0	34.0	0.25
58	20	0	1	0.045	18.0	18.0	0.0
59	16	0	1	0.035	14.0	14.0	0.25
60	8	0	1	0.015	6.0	6.0	0.0
61	19	0	1	0.0425	17.0	17.0	0.0
62	31	0	1	0.0725	29.0	29.0	0.25
63	25	0	1	0.0575	23.0	23.0	0.0
64	44	0	1	0.105	42.0	42.0	0.5
65	17	0	1	0.0375	15.0	15.0	0.0
66	6	0	1	0.01	4.0	4.0	0.0
67	29	0	1	0.0675	27.0	27.0	0.25
68	24	0	1	0.055	22.0	22.0	0.25
69	85	0	1	0.205	83.0	83.0	0.5
70	48	0	1	0.115	46.0	46.0	0.25
71	73	0	1	0.1775	71.0	71.0	0.5
72	26	0	1	0.06	24.0	24.0	0.0
73	37	0	1	0.0875	35.0	35.0	0.0
74	47	0	1	0.1125	45.0	45.0	0.25
75	20	0	1	0.045	18.0	18.0	0.0
76	78	0	1	0.155	76.0	76.0	0.5
77	45	0	1	0.1075	43.0	43.0	0.25
78	17	0	1	0.0375	15.0	15.0	0.0
79	26	0	1	0.06	24.0	24.0	0.5
80	16	0	1	0.035	14.0	14.0	0.25
81	20	0	1	0.045	18.0	18.0	0.0
82	22	0	1	0.05	20.0	20.0	0.5
83	21	0	1	0.0475	19.0	19.0	0.25
84	21	0	1	0.0475	19.0	19.0	0.0
85	3	0	1	0.0025	1.0	1.0	0.0
86	29	0	1	0.0675	27.0	27.0	0.0
87	17	0	1	0.0375	15.0	15.0	0.0
88	31	0	1	0.0725	29.0	29.0	0.25
89	34	0	1	0.0775	32.0	32.0	0.75
90	32	0	1	0.075	30.0	30.0	0.5
91	17	0	1	0.0375	15.0	15.0	0.5
92	40	0	1	0.095	38.0	38.0	0.25
93	36	0	1	0.085	34.0	34.0	0.0
94	11	0	1	0.0225	9.0	9.0	0.0
95	57	0	1	0.1375	55.0	55.0	0.75
96	38	0	1	0.09	36.0	36.0	0.25
97	31	0	1	0.0725	29.0	29.0	0.25
98	6	0	1	0.01	4.0	4.0	0.0
99	8	0	1	0.015	6.0	6.0	0.0
100	11	0	1	0.0225	9.0	9.0	0.0
101	28	0	1	0.065	26.0	26.0	0.0
102	27	0	1	0.0625	25.0	25.0	0.0
103	11	0	1	0.0225	9.0	9.0	0.25
104	22	0	1	0.05	20.0	20.0	0.25
105	26	0	1	0.06	24.0	24.0	0.25
106	28	0	1	0.065	26.0	26.0	0.0
107	8	0	1	0.015	6.0	6.0	0.0
108	29	0	1	0.0675	27.0	27.0	0.25
109	19	0	1	0.0425	17.0	17.0	0.0
110	22	0	1	0.05	20.0	20.0	0.0
111	20	0	1	0.045	18.0	18.0	0.0
112	37	0	1	0.0875	35.0	35.0	0.25
113	17	0	1	0.0375	15.0	15.0	0.0
114	33	0	1	0.0775	31.0	31.0	0.0
115	15	0	1	0.0325	13.0	13.0	0.0
116	40	0	1	0.095	38.0	38.0	0.25
117	36	0	1	0.085	34.0	34.0	0.25
118	31	0	1	0.0725	29.0	29.0	0.25
119	13	0	1	0.0275	11.0	11.0	0.0
120	28	0	1	0.065	26.0	26.0	0.0
121	85	0	1	0.205	83.0	83.0	0.75
122	32	0	1	0.075	30.0	30.0	0.0
