	Unnamed: 0	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
0	0	1	45	0	0	0.11	44.0	44.0	0.6666666666666666
1	1	2	52	0	0	0.1125	51.0	51.0	0.6666666666666666
2	2	3	56	0	0	0.1375	55.0	55.0	0.6666666666666666
3	3	4	26	0	1	0.0575	24.0	24.0	0.6666666666666666
4	4	5	23	0	1	0.05	21.0	21.0	0.0
5	5	6	15	1	0	0.0375	15.0	15.0	1.0
6	6	7	37	1	0	0.06	37.0	37.0	1.0
7	7	8	31	0	1	0.0725	29.0	29.0	0.3333333333333333
8	8	9	45	0	1	0.1075	43.0	43.0	0.6666666666666666
9	9	10	19	0	1	0.0425	17.0	17.0	0.3333333333333333
10	10	11	21	0	1	0.0475	19.0	19.0	0.0
11	11	12	55	0	0	0.135	54.0	54.0	0.6666666666666666
12	12	13	44	0	0	0.1075	43.0	43.0	0.6666666666666666
13	13	14	13	0	1	0.0275	11.0	11.0	0.0
14	14	15	51	0	0	0.125	50.0	50.0	0.6666666666666666
15	15	16	7	0	1	0.0125	5.0	5.0	0.0
16	16	17	23	0	1	0.0525	21.0	21.0	0.3333333333333333
17	17	18	33	0	1	0.0775	31.0	31.0	0.3333333333333333
18	18	19	19	0	1	0.0425	17.0	17.0	0.3333333333333333
19	19	20	27	1	0	0.0675	27.0	27.0	1.0
20	20	21	54	0	0	0.1325	53.0	53.0	0.6666666666666666
21	21	22	36	0	0	0.0775	35.0	35.0	0.6666666666666666
22	22	23	2	0	1	0.0	0.0	0.0	0.0
23	23	24	23	0	1	0.0525	21.0	21.0	0.0
24	24	25	12	0	1	0.025	10.0	10.0	0.0
25	25	26	11	0	1	0.0225	9.0	9.0	0.0
26	26	27	55	0	0	0.135	54.0	54.0	0.6666666666666666
27	27	28	29	0	1	0.0675	27.0	27.0	0.3333333333333333
28	28	29	8	0	1	0.015	6.0	6.0	0.0
29	29	30	35	0	1	0.0775	33.0	33.0	0.6666666666666666
30	30	31	21	0	1	0.0475	19.0	19.0	0.0
31	31	32	6	0	1	0.01	4.0	4.0	0.0
32	32	33	4	0	1	0.005	2.0	2.0	0.0
33	33	34	6	0	1	0.01	4.0	4.0	0.0
34	34	35	33	0	1	0.0775	31.0	31.0	0.3333333333333333
35	35	36	60	0	1	0.145	58.0	58.0	0.3333333333333333
36	36	37	28	0	1	0.065	26.0	26.0	0.0
37	37	38	31	0	1	0.065	29.0	29.0	0.6666666666666666
38	38	39	38	0	1	0.0875	36.0	36.0	0.6666666666666666
39	39	40	48	0	1	0.115	46.0	46.0	0.6666666666666666
40	40	41	14	0	1	0.03	12.0	12.0	0.0
41	41	42	25	0	1	0.0575	23.0	23.0	0.0
42	42	43	33	1	0	0.0775	33.0	33.0	1.0
43	43	44	18	0	1	0.04	16.0	16.0	0.0
44	44	45	22	0	1	0.0475	20.0	20.0	0.3333333333333333
45	45	46	13	0	1	0.0275	11.0	11.0	0.0
46	46	47	22	0	1	0.05	20.0	20.0	0.3333333333333333
47	47	48	12	0	1	0.025	10.0	10.0	0.0
48	48	49	36	1	0	0.09	36.0	36.0	1.0
49	49	50	15	0	1	0.0325	13.0	13.0	0.0
50	50	51	50	0	1	0.12	48.0	48.0	0.3333333333333333
51	51	52	52	0	0	0.1275	51.0	51.0	0.6666666666666666
52	52	53	26	0	1	0.06	24.0	24.0	0.6666666666666666
53	53	54	27	0	1	0.0625	25.0	25.0	0.3333333333333333
54	54	55	48	1	0	0.12	48.0	48.0	1.0
55	55	56	38	1	0	0.095	38.0	38.0	1.0
56	56	57	8	0	1	0.015	6.0	6.0	0.0
57	57	58	26	0	1	0.06	24.0	24.0	0.3333333333333333
58	58	59	40	0	0	0.095	39.0	39.0	0.6666666666666666
59	59	60	17	0	1	0.0375	15.0	15.0	0.0
60	60	61	45	0	1	0.0875	43.0	43.0	0.6666666666666666
61	61	62	26	0	1	0.055	24.0	24.0	0.0
62	62	63	11	0	1	0.0225	9.0	9.0	0.0
63	63	64	43	0	1	0.0975	41.0	41.0	0.6666666666666666
64	64	65	25	0	1	0.0575	23.0	23.0	0.3333333333333333
65	65	66	26	0	1	0.06	24.0	24.0	0.3333333333333333
66	66	67	32	0	1	0.075	30.0	30.0	0.0
67	67	68	48	0	0	0.105	47.0	47.0	0.6666666666666666
68	68	69	36	0	1	0.0825	34.0	34.0	0.3333333333333333
69	69	70	55	0	0	0.1325	54.0	54.0	0.6666666666666666
70	70	71	46	0	0	0.1125	45.0	45.0	0.6666666666666666
71	71	72	7	0	1	0.0125	5.0	5.0	0.0
72	72	73	13	0	1	0.0275	11.0	11.0	0.0
73	73	74	53	0	0	0.1275	52.0	52.0	0.6666666666666666
74	74	75	27	1	0	0.0675	27.0	27.0	1.0
75	75	76	37	0	0	0.0875	36.0	36.0	0.6666666666666666
76	76	77	21	0	1	0.0475	19.0	19.0	0.0
77	77	78	52	0	0	0.1275	51.0	51.0	0.6666666666666666
78	78	79	33	1	0	0.0825	33.0	33.0	1.0
79	79	80	39	0	1	0.0925	37.0	37.0	0.3333333333333333
80	80	81	35	0	1	0.0825	33.0	33.0	0.0
81	81	82	25	1	0	0.0625	25.0	25.0	1.0
82	82	83	38	0	1	0.09	36.0	36.0	0.6666666666666666
83	83	84	15	0	1	0.0325	13.0	13.0	0.0
84	84	85	31	0	1	0.0725	29.0	29.0	0.3333333333333333
85	85	86	56	0	0	0.1375	55.0	55.0	0.6666666666666666
86	86	87	69	0	0	0.17	68.0	68.0	0.6666666666666666
87	87	88	44	0	0	0.105	43.0	43.0	0.6666666666666666
88	88	89	26	0	1	0.06	24.0	24.0	0.6666666666666666
89	89	90	49	0	0	0.1175	48.0	48.0	0.6666666666666666
90	90	91	46	0	0	0.1125	45.0	45.0	0.6666666666666666
91	91	92	28	0	1	0.065	26.0	26.0	0.0
92	92	93	19	0	1	0.0425	17.0	17.0	0.3333333333333333
93	93	94	43	0	1	0.1025	41.0	41.0	0.6666666666666666
94	94	95	19	0	1	0.0425	17.0	17.0	0.0
95	95	96	27	0	1	0.0625	25.0	25.0	0.3333333333333333
96	96	97	48	0	0	0.09	47.0	47.0	0.6666666666666666
97	97	98	59	0	0	0.145	58.0	58.0	0.6666666666666666
98	98	99	54	0	0	0.1325	53.0	53.0	0.6666666666666666
99	99	100	12	0	1	0.025	10.0	10.0	0.3333333333333333
100	100	101	43	0	0	0.0925	42.0	42.0	0.6666666666666666
101	101	102	16	0	1	0.035	14.0	14.0	0.0
102	102	103	21	0	1	0.0475	19.0	19.0	0.0
103	103	104	34	0	0	0.0825	33.0	33.0	0.6666666666666666
104	104	105	6	0	1	0.01	4.0	4.0	0.0
105	105	106	25	0	1	0.055	23.0	23.0	0.6666666666666666
106	106	107	34	0	1	0.0775	32.0	32.0	0.3333333333333333
107	107	108	20	0	1	0.045	18.0	18.0	0.6666666666666666
108	108	109	30	0	0	0.07	29.0	29.0	0.6666666666666666
109	109	110	46	0	0	0.11	45.0	45.0	0.6666666666666666
110	110	111	45	0	0	0.11	44.0	44.0	0.6666666666666666
111	111	112	31	0	1	0.0725	29.0	29.0	0.0
112	112	113	11	0	1	0.0225	9.0	9.0	0.0
113	113	114	29	0	1	0.0675	27.0	27.0	0.3333333333333333
114	114	115	16	0	1	0.035	14.0	14.0	0.0
115	115	116	11	0	1	0.0225	9.0	9.0	0.0
116	116	117	44	0	1	0.1025	42.0	42.0	0.3333333333333333
117	117	118	18	0	1	0.04	16.0	16.0	0.3333333333333333
118	118	119	47	1	0	0.1175	47.0	47.0	1.0
119	119	120	18	0	1	0.04	16.0	16.0	0.0
120	120	121	22	0	1	0.05	20.0	20.0	0.3333333333333333
121	121	122	59	0	0	0.145	58.0	58.0	0.6666666666666666
122	122	123	37	1	0	0.0925	37.0	37.0	1.0
123	123	124	24	0	1	0.055	22.0	22.0	0.3333333333333333
124	124	125	17	0	1	0.0375	15.0	15.0	0.0
125	125	126	23	0	1	0.0525	21.0	21.0	0.6666666666666666
126	126	127	4	0	1	0.005	2.0	2.0	0.0
127	127	128	50	0	0	0.1225	49.0	49.0	0.6666666666666666
128	128	129	18	0	1	0.04	16.0	16.0	0.3333333333333333
129	129	130	24	0	1	0.055	22.0	22.0	0.3333333333333333
130	130	131	21	0	1	0.0475	19.0	19.0	0.0
