	Unnamed: 0	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
0	0	1	50	True	3	0.195	43.8	219.0	1.0
1	1	2	39	True	3	0.125	28.8	144.0	1.0
2	2	3	30	True	2	0.1925	24.2	121.0	1.0
3	3	4	42	False	5	0.19	23.8	119.0	0.5
4	4	5	27	True	2	0.11	21.8	109.0	1.0
5	5	6	31	True	1	0.1925	30.2	151.0	1.0
6	6	7	45	False	5	0.16	27.4	137.0	0.5
7	7	8	30	True	2	0.1975	26.2	131.0	1.0
8	8	9	24	True	1	0.1375	21.6	108.0	1.0
9	9	10	24	False	5	0.135	20.4	102.0	0.0
10	10	11	27	True	2	0.185	26.0	130.0	1.0
11	11	12	28	True	2	0.18	21.2	106.0	1.0
12	12	13	42	True	1	0.3025	39.4	197.0	1.0
13	13	14	23	True	1	0.1275	22.6	113.0	1.0
14	14	15	32	True	2	0.1625	31.6	158.0	1.0
15	15	16	25	True	2	0.1375	23.8	119.0	1.0
16	16	17	33	True	3	0.1875	32.4	162.0	1.0
17	17	18	41	False	5	0.1725	22.8	114.0	0.5
18	18	19	29	True	2	0.1375	26.6	133.0	1.0
19	19	20	26	True	3	0.065	14.6	73.0	1.0
20	20	21	13	True	3	0.06	12.0	60.0	1.0
21	21	22	18	True	0	0.1475	18.0	90.0	1.0
22	22	23	29	False	5	0.0825	11.2	56.0	0.5
23	23	24	15	True	2	0.06	14.6	73.0	1.0
24	24	25	30	False	5	0.1225	21.6	108.0	0.0
25	25	26	24	True	2	0.175	23.6	118.0	1.0
26	26	27	41	True	3	0.2075	34.0	170.0	1.0
27	27	28	56	True	4	0.305	43.0	215.0	1.0
28	28	29	26	True	0	0.1075	26.0	130.0	1.0
29	29	30	28	True	2	0.15	27.6	138.0	1.0
30	30	31	24	True	2	0.11	23.0	115.0	1.0
31	31	32	36	True	2	0.1775	29.8	149.0	1.0
32	32	33	55	False	5	0.165	33.4	167.0	0.5
33	33	34	32	True	2	0.135	25.0	125.0	1.0
34	34	35	29	True	3	0.1375	24.8	124.0	1.0
35	35	36	49	False	5	0.22	24.6	123.0	0.0
36	36	37	32	True	1	0.175	28.0	140.0	1.0
37	37	38	15	True	1	0.085	13.6	68.0	1.0
38	38	39	50	False	5	0.13	18.4	92.0	0.5
39	39	40	39	True	3	0.21	32.2	161.0	1.0
40	40	41	46	False	5	0.165	25.6	128.0	0.5
41	41	42	13	True	0	0.0825	13.0	65.0	1.0
42	42	43	22	True	1	0.0975	21.6	108.0	1.0
43	43	44	28	True	2	0.18	25.6	128.0	1.0
44	44	45	28	True	1	0.15	25.0	125.0	1.0
45	45	46	36	True	3	0.2075	27.2	136.0	1.0
46	46	47	34	True	2	0.185	29.6	148.0	1.0
47	47	48	20	True	0	0.1225	20.0	100.0	1.0
48	48	49	18	False	5	0.055	12.4	62.0	0.5
49	49	50	56	True	3	0.2125	36.2	181.0	1.0
50	50	51	69	False	5	0.23	31.0	155.0	0.5
51	51	52	39	False	5	0.1575	19.8	99.0	0.0
52	52	53	22	True	1	0.1825	21.4	107.0	1.0
53	53	54	26	True	3	0.165	24.4	122.0	1.0
54	54	55	71	False	5	0.265	43.2	216.0	0.5
55	55	56	37	True	3	0.17	27.0	135.0	1.0
56	56	57	20	True	1	0.105	16.2	81.0	1.0
57	57	58	31	True	3	0.1575	23.8	119.0	1.0
58	58	59	52	False	5	0.175	29.8	149.0	0.5
59	59	60	27	True	1	0.2375	26.8	134.0	1.0
60	60	61	39	True	3	0.24	28.2	141.0	1.0
61	61	62	31	True	3	0.2025	20.4	102.0	1.0
62	62	63	36	True	1	0.205	34.4	172.0	1.0
63	63	64	32	True	2	0.1275	26.0	130.0	1.0
64	64	65	22	True	1	0.12	21.2	106.0	1.0
65	65	66	43	True	3	0.16	25.4	127.0	1.0
66	66	67	24	True	2	0.1475	23.6	118.0	1.0
67	67	68	33	False	5	0.14	21.6	108.0	0.0
68	68	69	51	False	5	0.1475	31.0	155.0	0.5
69	69	70	24	True	0	0.185	24.0	120.0	1.0
70	70	71	17	True	4	0.065	14.8	74.0	1.0
71	71	72	31	True	3	0.155	24.0	120.0	1.0
72	72	73	53	True	3	0.235	35.6	178.0	1.0
73	73	74	6	False	5	0.01	4.0	20.0	0.0
