	Unnamed: 0	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
0	0	1	29	0	1	0.0675	27.0	27.0	0.0
1	1	2	57	0	1	0.1375	55.0	55.0	0.6
2	2	3	59	0	1	0.1425	57.0	57.0	0.4
3	3	4	6	0	1	0.01	4.0	4.0	0.0
4	4	5	69	0	1	0.165	67.0	67.0	0.4
5	5	6	44	0	1	0.105	42.0	42.0	0.4
6	6	7	28	0	1	0.065	26.0	26.0	0.2
7	7	8	18	0	1	0.04	16.0	16.0	0.4
8	8	9	61	0	1	0.1425	59.0	59.0	0.6
9	9	10	22	0	1	0.05	20.0	20.0	0.2
10	10	11	25	0	1	0.0575	23.0	23.0	0.0
11	11	12	68	1	0	0.1625	68.0	68.0	1.0
12	12	13	90	1	0	0.1975	90.0	90.0	1.0
13	13	14	39	0	1	0.0925	37.0	37.0	0.2
14	14	15	72	0	1	0.1725	70.0	70.0	0.4
15	15	16	21	0	1	0.0475	19.0	19.0	0.0
16	16	17	31	0	1	0.0725	29.0	29.0	0.4
17	17	18	3	0	1	0.0025	1.0	1.0	0.0
18	18	19	26	0	1	0.06	24.0	24.0	0.0
19	19	20	55	0	1	0.13	53.0	53.0	0.6
20	20	21	45	0	1	0.105	43.0	43.0	0.4
21	21	22	25	0	1	0.0575	23.0	23.0	0.0
22	22	23	88	1	0	0.2175	88.0	88.0	1.0
23	23	24	54	1	0	0.11	54.0	54.0	1.0
24	24	25	26	0	1	0.06	24.0	24.0	0.0
25	25	26	20	0	1	0.045	18.0	18.0	0.2
26	26	27	91	0	1	0.22	89.0	89.0	0.8
27	27	28	80	1	0	0.195	80.0	80.0	1.0
28	28	29	68	0	1	0.1625	66.0	66.0	0.6
29	29	30	57	0	1	0.135	55.0	55.0	0.6
30	30	31	65	0	1	0.14	63.0	63.0	0.6
31	31	32	51	1	0	0.1275	51.0	51.0	1.0
32	32	33	26	0	1	0.06	24.0	24.0	0.2
33	33	34	37	0	1	0.0875	35.0	35.0	0.2
34	34	35	28	0	1	0.065	26.0	26.0	0.2
35	35	36	20	0	1	0.03	18.0	18.0	0.2
36	36	37	33	0	1	0.0775	31.0	31.0	0.2
37	37	38	26	0	1	0.06	24.0	24.0	0.0
38	38	39	28	0	1	0.065	26.0	26.0	0.2
39	39	40	73	0	1	0.1775	71.0	71.0	0.4
40	40	41	63	0	1	0.1525	61.0	61.0	0.4
41	41	42	38	0	1	0.09	36.0	36.0	0.2
42	42	43	94	0	1	0.225	92.0	92.0	0.6
43	43	44	49	1	0	0.1225	49.0	49.0	1.0
44	44	45	64	1	0	0.1575	64.0	64.0	1.0
45	45	46	79	1	0	0.1775	79.0	79.0	1.0
46	46	47	49	1	0	0.12	49.0	49.0	1.0
47	47	48	18	0	1	0.04	16.0	16.0	0.0
48	48	49	35	0	1	0.0825	33.0	33.0	0.0
49	49	50	29	0	1	0.0675	27.0	27.0	0.2
50	50	51	47	0	1	0.1075	45.0	45.0	0.8
51	51	52	35	0	1	0.0825	33.0	33.0	0.2
52	52	53	48	1	0	0.12	48.0	48.0	1.0
53	53	54	25	0	1	0.0575	23.0	23.0	0.0
54	54	55	36	0	1	0.085	34.0	34.0	0.0
55	55	56	23	0	1	0.0525	21.0	21.0	0.2
56	56	57	50	0	1	0.095	48.0	48.0	0.6
57	57	58	95	0	1	0.2275	93.0	93.0	0.8
58	58	59	39	0	1	0.0925	37.0	37.0	0.2
59	59	60	37	0	1	0.0875	35.0	35.0	0.4
60	60	61	37	0	1	0.0875	35.0	35.0	0.4
61	61	62	8	0	1	0.015	6.0	6.0	0.0
62	62	63	51	0	1	0.1225	49.0	49.0	0.6
63	63	64	21	0	1	0.0475	19.0	19.0	0.0
64	64	65	20	0	1	0.045	18.0	18.0	0.2
65	65	66	24	0	1	0.055	22.0	22.0	0.0
66	66	67	42	1	0	0.1025	42.0	42.0	1.0
67	67	68	41	0	1	0.0975	39.0	39.0	0.6
68	68	69	94	0	1	0.23	92.0	92.0	0.8
69	69	70	17	0	1	0.035	15.0	15.0	0.4
70	70	71	59	0	1	0.1425	57.0	57.0	0.4
71	71	72	41	0	1	0.0975	39.0	39.0	0.6
72	72	73	47	0	1	0.1125	45.0	45.0	0.2
73	73	74	30	0	1	0.07	28.0	28.0	0.2
74	74	75	47	0	1	0.1125	45.0	45.0	0.4
75	75	76	42	0	1	0.0975	40.0	40.0	0.6
76	76	77	75	0	1	0.18	73.0	73.0	0.4
77	77	78	16	0	1	0.035	14.0	14.0	0.2
78	78	79	30	0	1	0.07	28.0	28.0	0.2
79	79	80	19	0	1	0.0425	17.0	17.0	0.0
80	80	81	25	0	1	0.0575	23.0	23.0	0.0
81	81	82	22	0	1	0.05	20.0	20.0	0.2
82	82	83	12	0	1	0.025	10.0	10.0	0.4
83	83	84	26	0	1	0.06	24.0	24.0	0.0
84	84	85	22	0	1	0.05	20.0	20.0	0.0
85	85	86	8	0	1	0.015	6.0	6.0	0.0
86	86	87	23	0	1	0.0525	21.0	21.0	0.0
87	87	88	17	0	1	0.0375	15.0	15.0	0.0
88	88	89	32	0	1	0.075	30.0	30.0	0.2
89	89	90	21	0	1	0.0475	19.0	19.0	0.0
90	90	91	74	0	1	0.1475	72.0	72.0	0.6
91	91	92	51	1	0	0.125	51.0	51.0	1.0
92	92	93	23	0	1	0.0525	21.0	21.0	0.0
