	Unnamed: 0	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
0	0	1	85	True	0	0.945	85.0	425.0	1.0
1	1	2	122	True	2	0.83	85.2	426.0	1.0
2	2	3	148	True	1	0.96	113.6	568.0	1.0
3	3	4	46	True	1	0.4025	39.2	196.0	1.0
4	4	5	170	True	3	0.885	124.4	622.0	1.0
5	5	6	85	True	0	0.945	85.0	425.0	1.0
6	6	7	235	False	3	0.9825	111.8	559.0	0.5
7	7	8	251	False	2	0.9025	141.8	709.0	0.5
8	8	9	41	True	0	0.4275	41.0	205.0	1.0
9	9	10	88	True	0	0.9675	88.0	440.0	1.0
10	10	11	64	True	2	0.6725	62.0	310.0	1.0
11	11	12	62	True	0	0.6725	62.0	310.0	1.0
12	12	13	327	False	1	0.995	184.4	922.0	0.5
13	13	14	43	True	0	0.45	43.0	215.0	1.0
14	14	15	163	True	2	0.95	129.0	645.0	1.0
15	15	16	52	True	0	0.5525	52.0	260.0	1.0
16	16	17	200	True	2	0.895	113.8	569.0	1.0
17	17	18	164	False	4	0.9	102.6	513.0	0.5
18	18	19	59	True	1	0.5625	52.8	264.0	1.0
19	19	20	58	True	1	0.5975	56.0	280.0	1.0
20	20	21	122	False	5	0.66	67.4	337.0	0.0
21	21	22	109	True	2	0.735	79.0	395.0	1.0
22	22	23	200	True	2	0.8775	154.0	770.0	1.0
23	23	24	16	True	2	0.09	10.8	54.0	1.0
24	24	25	184	False	3	0.86	117.6	588.0	0.5
25	25	26	71	True	0	0.785	71.0	355.0	1.0
26	26	27	86	True	1	0.7725	69.6	348.0	1.0
27	27	28	175	False	3	0.97	119.6	598.0	0.5
28	28	29	140	True	2	0.815	90.2	451.0	1.0
29	29	30	34	True	0	0.3425	34.0	170.0	1.0
30	30	31	18	True	0	0.1425	18.0	90.0	1.0
31	31	32	363	False	5	0.9	209.0	1045.0	0.5
32	32	33	64	True	0	0.6975	64.0	320.0	1.0
33	33	34	155	True	1	0.9675	120.2	601.0	1.0
34	34	35	85	True	1	0.8675	77.8	389.0	1.0
35	35	36	269	False	5	0.9075	138.8	694.0	0.5
36	36	37	70	True	0	0.7725	70.0	350.0	1.0
37	37	38	152	True	1	0.9475	128.8	644.0	1.0
38	38	39	276	False	4	0.89	147.4	737.0	0.5
39	39	40	46	True	1	0.4	39.0	195.0	1.0
40	40	41	58	True	2	0.53	49.8	249.0	1.0
41	41	42	175	False	3	0.89	103.4	517.0	0.5
42	42	43	68	True	1	0.67	61.4	307.0	1.0
43	43	44	170	True	1	0.9925	143.0	715.0	1.0
44	44	45	83	True	1	0.86	77.6	388.0	1.0
45	45	46	35	True	1	0.3025	30.8	154.0	1.0
46	46	47	126	False	5	0.6925	74.8	374.0	0.0
47	47	48	60	True	1	0.5625	53.2	266.0	1.0
48	48	49	48	True	2	0.3025	28.8	144.0	1.0
49	49	50	209	False	4	0.76	99.8	499.0	0.5
50	50	51	75	True	0	0.835	75.0	375.0	1.0
51	51	52	37	True	0	0.38	37.0	185.0	1.0
52	52	53	59	True	0	0.635	59.0	295.0	1.0
53	53	54	25	True	0	0.23	25.0	125.0	1.0
54	54	55	327	False	2	0.865	129.0	645.0	0.5
55	55	56	251	False	2	0.99	142.8	714.0	0.5
56	56	57	166	False	4	0.815	99.8	499.0	0.5
57	57	58	175	False	4	0.83	83.2	416.0	0.5
58	58	59	108	True	3	0.705	71.2	356.0	1.0
59	59	60	187	True	2	0.8625	105.8	529.0	1.0
60	60	61	60	True	1	0.5075	48.4	242.0	1.0
61	61	62	397	False	5	0.985	169.4	847.0	0.5
62	62	63	181	False	3	0.8525	115.8	579.0	0.5
63	63	64	87	True	0	0.96	87.0	435.0	1.0
64	64	65	74	True	0	0.8225	74.0	370.0	1.0
65	65	66	68	True	2	0.655	60.2	301.0	1.0
66	66	67	12	True	0	0.075	12.0	60.0	1.0
67	67	68	75	True	2	0.695	63.8	319.0	1.0
68	68	69	215	False	3	0.8825	130.2	651.0	0.5
69	69	70	251	False	4	0.8125	97.0	485.0	0.5
70	70	71	159	True	4	0.69	68.2	341.0	1.0
71	71	72	327	False	1	0.8825	175.0	875.0	0.5
72	72	73	251	False	2	0.91	138.2	691.0	0.5
73	73	74	327	False	3	0.88	152.8	764.0	0.5
74	74	75	86	True	1	0.9025	82.0	410.0	1.0
75	75	76	319	False	4	0.9425	129.8	649.0	0.5
76	76	77	251	False	2	0.9225	140.2	701.0	0.5
77	77	78	40	True	1	0.36	35.4	177.0	1.0
78	78	79	64	True	0	0.6975	64.0	320.0	1.0
79	79	80	81	True	0	0.9075	81.0	405.0	1.0
80	80	81	62	True	0	0.6725	62.0	310.0	1.0
81	81	82	143	True	1	0.9575	118.4	592.0	1.0
82	82	83	165	True	3	0.7975	90.4	452.0	1.0
83	83	84	62	True	0	0.6725	62.0	310.0	1.0
84	84	85	95	True	0	0.995	95.0	475.0	1.0
85	85	86	251	False	2	0.8625	129.8	649.0	0.5
86	86	87	327	False	1	0.8275	170.6	853.0	0.0
87	87	88	90	True	1	0.9125	84.8	424.0	1.0
88	88	89	86	True	0	0.9525	86.0	430.0	1.0
89	89	90	39	True	0	0.405	39.0	195.0	1.0
90	90	91	300	True	4	0.9375	144.6	723.0	1.0
91	91	92	135	True	2	0.86	105.0	525.0	1.0
92	92	93	87	True	0	0.96	87.0	435.0	1.0
93	93	94	58	True	1	0.5175	48.2	241.0	1.0
94	94	95	138	True	2	0.945	107.2	536.0	1.0
95	95	96	291	False	4	0.9275	147.8	739.0	0.5
96	96	97	184	False	4	0.705	87.0	435.0	0.0
97	97	98	97	True	3	0.62	56.2	281.0	1.0
98	98	99	81	True	1	0.745	67.6	338.0	1.0
99	99	100	79	True	0	0.885	79.0	395.0	1.0
100	100	101	325	False	5	0.805	167.2	836.0	0.5
101	101	102	175	False	3	0.825	100.2	501.0	0.5
102	102	103	82	True	1	0.86	77.4	387.0	1.0
103	103	104	47	True	1	0.415	40.2	201.0	1.0
104	104	105	72	True	2	0.65	59.8	299.0	1.0
105	105	106	319	False	5	0.7975	166.2	831.0	0.5
106	106	107	234	True	3	0.975	131.2	656.0	1.0
107	107	108	53	True	0	0.5625	53.0	265.0	1.0
108	108	109	74	True	0	0.8225	74.0	370.0	1.0
109	109	110	102	True	2	0.6625	65.8	329.0	1.0
110	110	111	251	False	2	0.8925	134.6	673.0	0.5
111	111	112	26	True	0	0.2425	26.0	130.0	1.0
112	112	113	56	True	1	0.5675	53.2	266.0	1.0
113	113	114	95	True	0	0.995	95.0	475.0	1.0
114	114	115	36	True	1	0.3475	34.4	172.0	1.0
115	115	116	220	True	3	0.9275	133.8	669.0	1.0
116	116	117	37	True	0	0.38	37.0	185.0	1.0
117	117	118	65	True	1	0.5875	53.4	267.0	1.0
118	118	119	134	True	1	0.9025	118.6	593.0	1.0
119	119	120	251	False	4	0.9975	114.0	570.0	0.5
120	120	121	49	True	1	0.4925	46.6	233.0	1.0
121	121	122	78	True	1	0.8675	77.6	388.0	1.0
122	122	123	36	True	0	0.3675	36.0	180.0	1.0
123	123	124	99	False	4	0.775	69.8	349.0	0.0
124	124	125	74	True	0	0.8225	74.0	370.0	1.0
125	125	126	87	True	1	0.9275	83.8	419.0	1.0
126	126	127	101	True	1	0.8375	84.8	424.0	1.0
127	127	128	57	True	0	0.61	57.0	285.0	1.0
128	128	129	135	True	2	0.8725	101.4	507.0	1.0
129	129	130	303	True	3	0.9575	157.2	786.0	1.0
130	130	131	187	False	4	0.8025	98.0	490.0	0.5
131	131	132	106	True	2	0.83	84.0	420.0	1.0
132	132	133	84	True	2	0.75	68.4	342.0	1.0
133	133	134	71	True	1	0.6475	59.0	295.0	1.0
134	134	135	294	True	4	0.9225	180.0	900.0	1.0
135	135	136	251	False	2	0.96	146.2	731.0	0.5
136	136	137	345	False	5	0.895	197.4	987.0	0.5
137	137	138	259	False	3	0.9875	151.0	755.0	0.5
138	138	139	156	True	2	0.98	119.0	595.0	1.0
139	139	140	69	True	0	0.76	69.0	345.0	1.0
140	140	141	53	True	0	0.5625	53.0	265.0	1.0
141	141	142	163	True	1	0.9975	134.2	671.0	1.0
142	142	143	327	False	1	0.965	182.0	910.0	0.5
143	143	144	52	True	0	0.5525	52.0	260.0	1.0
144	144	145	40	True	2	0.3275	31.2	156.0	1.0
145	145	146	79	True	0	0.885	79.0	395.0	1.0
146	146	147	104	True	3	0.6775	68.4	342.0	1.0
147	147	148	231	True	2	0.955	171.6	858.0	1.0
148	148	149	64	True	0	0.6975	64.0	320.0	1.0
149	149	150	251	False	2	0.72	113.4	567.0	0.5
150	150	151	157	True	2	0.9525	117.8	589.0	1.0
151	151	152	56	True	0	0.5975	56.0	280.0	1.0
152	152	153	69	True	0	0.76	69.0	345.0	1.0
153	153	154	320	True	3	1.0	183.6	918.0	1.0
154	154	155	60	True	0	0.6475	60.0	300.0	1.0
155	155	156	176	False	4	0.715	84.6	423.0	0.5
156	156	157	327	False	1	0.9175	178.2	891.0	0.0
