i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	699	0	2	0.535	506.0	1012	0.0
2	17	1	0	0.0325	16.5	33	1.0
3	289	0	2	0.31	162.0	324	0.0
4	480	0	2	0.3125	253.5	507	0.0
5	70	1	0	0.1075	70.0	140	1.0
6	856	0	2	0.6525	553.5	1107	0.0
7	9	0	2	0.0125	6.0	12	0.0
8	375	0	2	0.5075	328.0	656	0.0
9	189	0	2	0.21	140.5	281	0.0
10	335	0	2	0.3975	263.5	527	0.0
11	1621	0	2	0.62	921.0	1842	0.0
12	821	0	2	0.515	426.0	852	0.0
13	1439	1	1	0.835	1028.0	2056	1.0
14	9	1	0	0.02	8.5	17	1.0
15	739	0	2	0.59	417.0	834	0.0
16	788	0	2	0.6475	482.5	965	0.0
17	1227	0	2	0.71	651.0	1302	0.0
18	947	0	2	0.6575	729.0	1458	0.0
19	167	1	0	0.245	167.0	334	1.0
20	997	0	2	0.5875	501.0	1002	0.0
21	425	1	0	0.325	424.5	849	1.0
22	666	0	2	0.67	493.0	986	0.0
23	233	1	0	0.3375	233.0	466	1.0
24	666	0	2	0.5775	546.0	1092	0.0
25	135	1	0	0.235	134.5	269	1.0
26	856	0	2	0.61	465.5	931	0.0
27	1142	0	2	0.72	828.5	1657	0.0
28	351	0	2	0.28	240.5	481	0.0
29	2515	0	2	0.87	1343.0	2686	0.0
30	1443	0	2	0.6975	958.0	1916	0.0
31	491	1	0	0.5025	491.0	982	1.0
32	37	1	0	0.085	37.0	74	1.0
33	1059	0	2	0.8475	816.5	1633	0.0
34	241	0	2	0.19	162.0	324	0.0
35	1056	1	1	0.6925	614.5	1229	1.0
36	1285	0	2	0.8275	880.5	1761	0.0
37	856	1	1	0.615	665.0	1330	1.0
38	1539	0	2	0.6525	875.0	1750	0.0
39	423	0	2	0.395	256.0	512	0.0
40	929	0	2	0.59	654.0	1308	0.0
41	318	0	2	0.2325	268.5	537	0.0
42	719	1	1	0.6725	409.0	818	1.0
43	12	1	0	0.03	11.5	23	1.0
44	814	1	1	0.4475	414.0	828	1.0
45	152	0	2	0.125	82.0	164	0.0
46	847	1	0	0.89	846.5	1693	1.0
47	205	0	2	0.2425	142.0	284	0.0
48	83	1	0	0.18	82.5	165	1.0
49	1225	1	1	0.7125	800.5	1601	1.0
50	292	0	2	0.315	181.5	363	0.0
51	124	0	2	0.14	93.0	186	0.0
52	10	0	2	0.0175	7.0	14	0.0
53	637	1	1	0.545	318.5	637	1.0
54	351	0	2	0.3375	179.0	358	0.0
55	235	0	2	0.23	213.0	426	0.0
56	1135	0	2	0.705	1021.0	2042	0.0
57	174	1	0	0.27	174.0	348	1.0
58	2813	0	2	0.91	1418.5	2837	0.0
59	166	0	2	0.1075	101.0	202	0.0
60	127	1	1	0.115	96.5	193	1.0
61	738	0	2	0.785	564.0	1128	0.0
62	2031	0	2	0.8475	1328.0	2656	0.0
63	1786	0	2	0.895	1220.0	2440	0.0
64	626	0	2	0.51	501.5	1003	0.0
65	267	0	2	0.3675	192.0	384	0.0
66	1106	0	2	0.6075	867.0	1734	0.0
67	870	0	2	0.615	442.0	884	0.0
68	428	0	2	0.57	338.0	676	0.0
69	612	0	2	0.345	421.0	842	0.0
70	226	1	0	0.435	226.0	452	1.0
71	520	0	2	0.3175	366.0	732	0.0
72	506	1	1	0.5975	347.5	695	1.0
73	1668	0	2	0.5125	868.0	1736	0.0
74	1451	0	2	0.7775	770.0	1540	0.0
75	412	1	0	0.33	412.0	824	1.0
76	538	0	2	0.41	372.5	745	0.0
77	83	1	0	0.2125	83.0	166	1.0
78	476	0	2	0.535	371.0	742	0.0
79	274	1	1	0.295	158.5	317	1.0
80	579	0	2	0.415	426.5	853	0.0
81	902	0	2	0.6425	570.0	1140	0.0
82	467	1	0	0.585	467.0	934	1.0
83	498	0	2	0.395	252.5	505	0.0
84	233	0	2	0.2775	159.0	318	0.0
85	225	0	2	0.245	143.5	287	0.0
86	947	0	2	0.675	767.5	1535	0.0
87	352	1	1	0.24	234.5	469	1.0
88	475	1	0	0.5575	475.0	950	1.0
89	104	1	1	0.145	59.5	119	1.0
90	551	0	2	0.4275	480.0	960	0.0
91	272	0	2	0.305	210.0	420	0.0
92	511	0	2	0.515	346.0	692	0.0
93	678	0	2	0.2875	390.0	780	0.0
94	294	0	2	0.2375	203.5	407	0.0
95	1097	0	2	0.585	598.0	1196	0.0
96	1009	0	2	0.7875	795.0	1590	0.0
97	993	1	1	0.6825	579.0	1158	1.0
98	259	0	2	0.1475	149.0	298	0.0
99	136	1	0	0.2175	135.5	271	1.0
100	209	0	2	0.2575	196.0	392	0.0
101	246	0	2	0.28	148.0	296	0.0
102	712	1	1	0.5075	365.0	730	1.0
103	5	1	0	0.0175	5.0	10	1.0
104	657	0	2	0.69	651.0	1302	0.0
