	Unnamed: 0	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
0	0	1	489	False	5	0.6075	278.6	1393.0	0.5
1	1	2	595	False	5	0.86	373.8	1869.0	0.5
2	2	3	539	True	3	0.7425	447.4	2237.0	1.0
3	3	4	754	False	5	0.56	197.4	987.0	0.5
4	4	5	768	True	2	0.8775	600.0	3000.0	1.0
5	5	6	701	False	5	0.725	493.0	2465.0	0.0
6	6	7	1455	False	5	0.7525	585.2	2926.0	0.0
7	7	8	671	False	5	0.64	275.4	1377.0	0.5
8	8	9	367	True	2	0.665	297.0	1485.0	1.0
9	9	10	1273	False	5	0.765	538.0	2690.0	0.5
10	10	11	399	False	5	0.585	234.8	1174.0	0.5
11	11	12	994	True	4	0.865	633.6	3168.0	1.0
12	12	13	934	True	4	0.9425	566.8	2834.0	1.0
13	13	14	1222	True	2	0.985	980.4	4902.0	1.0
14	14	15	251	False	5	0.385	111.2	556.0	0.5
15	15	16	138	True	0	0.4175	137.8	689.0	1.0
16	16	17	954	True	4	0.79	432.2	2161.0	1.0
17	17	18	447	True	3	0.735	290.6	1453.0	1.0
18	18	19	191	True	1	0.4125	167.4	837.0	1.0
19	19	20	644	True	2	0.785	539.0	2695.0	1.0
20	20	21	1257	False	5	0.725	491.0	2455.0	0.5
21	21	22	857	True	1	0.9175	814.2	4071.0	1.0
22	22	23	556	True	2	0.905	551.6	2758.0	1.0
23	23	24	346	True	1	0.665	277.4	1387.0	1.0
24	24	25	2018	False	5	0.9525	886.0	4430.0	0.5
25	25	26	1663	False	5	0.8975	808.0	4040.0	0.5
26	26	27	818	False	5	0.92	452.4	2262.0	0.0
27	27	28	661	False	5	0.48	256.8	1284.0	0.0
28	28	29	877	False	5	0.775	442.2	2211.0	0.5
29	29	30	256	True	1	0.6825	210.0	1050.0	1.0
30	30	31	621	False	5	0.8475	384.4	1922.0	0.0
31	31	32	978	False	5	0.935	501.4	2507.0	0.5
32	32	33	1230	True	4	0.7375	457.6	2288.0	1.0
33	33	34	239	False	5	0.335	124.8	624.0	0.0
34	34	35	588	True	1	0.9175	536.6	2683.0	1.0
35	35	36	189	True	1	0.45	175.6	878.0	1.0
36	36	37	675	True	2	0.9475	496.8	2484.0	1.0
37	37	38	1484	True	3	0.8725	742.8	3714.0	1.0
