	Unnamed: 0	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
0	0	1	1060	False	5	0.7625	364.4	1822.0	0.75
1	1	2	1258	False	5	0.875	808.0	4040.0	0.75
2	2	3	929	False	5	0.63	221.8	1109.0	0.5
3	3	4	1875	False	5	0.7675	750.0	3750.0	0.5
4	4	5	2154	True	4	0.95	738.8	3694.0	1.0
5	5	6	663	False	5	0.7075	257.6	1288.0	0.5
6	6	7	595	False	5	0.5225	256.0	1280.0	0.5
7	7	8	659	False	5	0.7	272.6	1363.0	0.25
8	8	9	1344	False	5	0.6875	535.4	2677.0	0.75
9	9	10	724	False	5	0.49	150.6	753.0	0.75
10	10	11	916	False	5	0.785	570.8	2854.0	0.5
11	11	12	1667	False	5	0.905	410.4	2052.0	0.75
12	12	13	1111	False	5	0.76	532.4	2662.0	0.5
13	13	14	330	False	5	0.42	129.8	649.0	0.5
14	14	15	723	True	1	0.9275	622.8	3114.0	1.0
15	15	16	970	False	5	0.675	248.2	1241.0	0.5
16	16	17	1200	False	5	0.97	538.4	2692.0	0.75
17	17	18	555	False	5	0.54	178.4	892.0	0.75
18	18	19	709	True	4	0.8775	510.2	2551.0	1.0
19	19	20	905	False	5	0.7375	401.8	2009.0	0.75
20	20	21	643	False	5	0.81	323.8	1619.0	0.75
21	21	22	230	False	5	0.2425	59.2	296.0	0.25
22	22	23	263	False	5	0.375	144.6	723.0	0.5
23	23	24	1455	False	5	0.7975	492.4	2462.0	0.5
24	24	25	534	False	5	0.59	250.6	1253.0	0.5
25	25	26	1627	False	5	0.9725	934.0	4670.0	0.75
26	26	27	397	False	5	0.275	204.0	1020.0	0.0
27	27	28	1770	False	5	0.8825	512.2	2561.0	0.25
28	28	29	1417	False	5	0.6775	480.8	2404.0	0.5
29	29	30	2858	True	4	0.9575	600.0	3000.0	1.0
30	30	31	1548	False	5	0.825	534.6	2673.0	0.75
31	31	32	1155	True	3	0.975	908.2	4541.0	1.0
32	32	33	888	True	3	0.87	451.6	2258.0	1.0
33	33	34	655	False	5	0.7325	395.6	1978.0	0.75
34	34	35	756	False	5	0.77	347.2	1736.0	0.5
35	35	36	1393	False	5	0.9125	713.2	3566.0	0.75
36	36	37	965	False	5	0.5125	398.2	1991.0	0.75
37	37	38	915	False	5	0.89	449.8	2249.0	0.75
38	38	39	171	True	2	0.5075	152.6	763.0	1.0
39	39	40	51	False	5	0.095	32.0	160.0	0.25
40	40	41	1047	False	5	0.6075	437.0	2185.0	0.75
41	41	42	886	True	3	0.8325	590.6	2953.0	1.0
42	42	43	1634	False	5	0.8075	508.8	2544.0	0.5
43	43	44	878	False	5	0.72	367.8	1839.0	0.5
44	44	45	1102	False	5	0.635	335.0	1675.0	0.5
45	45	46	183	False	5	0.2275	80.8	404.0	0.25
46	46	47	841	False	5	0.725	425.0	2125.0	0.75
47	47	48	402	False	5	0.535	253.8	1269.0	0.75
48	48	49	1085	True	4	0.845	445.0	2225.0	1.0
49	49	50	1004	False	5	0.58	293.0	1465.0	0.5
50	50	51	820	False	5	0.705	392.4	1962.0	0.5
51	51	52	877	False	5	0.8225	353.4	1767.0	0.75
52	52	53	740	False	5	0.845	334.2	1671.0	0.75
53	53	54	177	False	5	0.2125	90.0	450.0	0.5
54	54	55	450	False	5	0.4275	158.4	792.0	0.5
55	55	56	776	False	5	0.8075	414.2	2071.0	0.25
56	56	57	541	True	1	0.885	497.6	2488.0	1.0
57	57	58	1361	True	4	0.89	505.2	2526.0	1.0
58	58	59	1515	False	5	0.9225	498.8	2494.0	0.75
59	59	60	226	True	4	0.325	141.4	707.0	1.0
60	60	61	1736	False	5	0.785	494.0	2470.0	0.5
61	61	62	476	False	5	0.5625	329.8	1649.0	0.5
62	62	63	732	False	5	0.48	219.4	1097.0	0.75
