	Unnamed: 0	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
0	0	1	1055	False	5	0.795	351.0	1755.0	0.6
1	1	2	857	False	5	0.8125	530.4	2652.0	0.6
2	2	3	2070	False	5	0.945	1132.4	5662.0	0.8
3	3	4	263	True	2	0.715	210.4	1052.0	1.0
4	4	5	1045	False	5	0.8775	677.2	3386.0	0.8
5	5	6	1522	False	5	0.685	514.8	2574.0	0.8
6	6	7	634	True	2	0.815	496.6	2483.0	1.0
7	7	8	519	False	5	0.6575	267.8	1339.0	0.6
8	8	9	1298	False	5	0.52	293.4	1467.0	0.4
9	9	10	234	False	5	0.32	153.2	766.0	0.6
10	10	11	943	True	4	0.9425	599.6	2998.0	1.0
11	11	12	966	False	5	0.745	344.6	1723.0	0.8
12	12	13	655	False	5	0.7375	306.6	1533.0	0.6
13	13	14	360	False	5	0.35	123.8	619.0	0.8
14	14	15	687	False	5	0.7925	426.6	2133.0	0.8
15	15	16	1298	False	5	0.94	665.8	3329.0	0.8
16	16	17	779	False	5	0.5925	215.6	1078.0	0.8
17	17	18	1357	False	5	0.8975	596.8	2984.0	0.6
18	18	19	384	False	5	0.7	260.2	1301.0	0.6
19	19	20	733	False	5	0.5725	403.6	2018.0	0.8
20	20	21	233	False	5	0.37	101.6	508.0	0.4
21	21	22	1776	False	5	0.9475	914.6	4573.0	0.8
22	22	23	300	True	1	0.7625	265.8	1329.0	1.0
23	23	24	503	False	5	0.5775	324.8	1624.0	0.4
24	24	25	941	False	5	0.78	597.8	2989.0	0.6
25	25	26	926	False	5	0.7275	381.8	1909.0	0.6
26	26	27	658	False	5	0.75	352.4	1762.0	0.6
27	27	28	564	True	3	0.8	315.8	1579.0	1.0
28	28	29	743	False	5	0.755	402.4	2012.0	0.8
29	29	30	1169	False	5	0.8075	428.6	2143.0	0.6
30	30	31	599	False	5	0.545	206.2	1031.0	0.4
31	31	32	1286	False	5	0.8375	652.0	3260.0	0.6
32	32	33	222	False	5	0.2125	100.4	502.0	0.4
33	33	34	953	False	5	0.7875	542.8	2714.0	0.8
34	34	35	515	False	5	0.815	366.6	1833.0	0.6
35	35	36	563	False	5	0.7675	408.4	2042.0	0.8
36	36	37	431	False	5	0.62	350.4	1752.0	0.8
37	37	38	494	True	2	0.705	349.8	1749.0	1.0
38	38	39	938	False	5	0.7925	326.2	1631.0	0.8
39	39	40	398	True	1	0.88	370.0	1850.0	1.0
40	40	41	3477	False	5	0.995	1528.8	7644.0	0.8
41	41	42	1333	False	5	0.9175	524.0	2620.0	0.8
