i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	15	0	1	0.0325	13.0	13.0	0.0
2	105	1	0	0.1825	105.0	105.0	1.0
3	28	0	1	0.065	26.0	26.0	0.5
4	45	0	1	0.105	43.0	43.0	0.5
5	12	0	1	0.025	10.0	10.0	0.5
6	41	0	1	0.095	39.0	39.0	0.0
7	33	0	1	0.075	31.0	31.0	0.0
8	50	0	1	0.105	48.0	48.0	0.0
9	36	0	1	0.0775	34.0	34.0	0.5
10	41	0	1	0.0875	39.0	39.0	0.5
11	46	0	1	0.1075	44.0	44.0	0.5
12	8	0	1	0.015	6.0	6.0	0.0
13	75	0	1	0.1575	73.0	73.0	0.5
14	40	0	1	0.095	38.0	38.0	0.5
15	21	0	1	0.0475	19.0	19.0	0.0
16	24	0	1	0.0525	22.0	22.0	0.0
17	71	1	0	0.165	71.0	71.0	1.0
18	25	0	1	0.0575	23.0	23.0	0.0
19	10	0	1	0.02	8.0	8.0	0.0
20	29	0	1	0.0675	27.0	27.0	0.0
21	22	0	1	0.05	20.0	20.0	0.5
22	6	0	1	0.01	4.0	4.0	0.5
23	20	0	1	0.045	18.0	18.0	0.0
24	7	0	1	0.0125	5.0	5.0	0.0
25	58	1	0	0.135	58.0	58.0	1.0
26	42	0	1	0.0975	40.0	40.0	0.0
27	49	0	1	0.095	47.0	47.0	0.5
28	12	0	1	0.025	10.0	10.0	0.0
29	35	0	1	0.0775	33.0	33.0	0.5
30	28	0	1	0.065	26.0	26.0	0.5
31	17	0	1	0.0375	15.0	15.0	0.5
32	57	0	1	0.135	55.0	55.0	0.5
33	14	0	1	0.03	12.0	12.0	0.0
34	26	0	1	0.06	24.0	24.0	0.0
35	15	0	1	0.0325	13.0	13.0	0.0
36	70	0	1	0.155	68.0	68.0	0.5
37	78	1	0	0.175	78.0	78.0	1.0
38	29	0	1	0.0675	27.0	27.0	0.0
39	31	0	1	0.07	29.0	29.0	0.0
40	66	0	1	0.1475	64.0	64.0	0.5
41	54	0	1	0.105	52.0	52.0	0.5
42	31	0	1	0.07	29.0	29.0	0.0
43	119	0	1	0.23	117.0	117.0	0.5
44	25	0	1	0.0575	23.0	23.0	0.0
45	14	0	1	0.03	12.0	12.0	0.0
46	4	0	1	0.005	2.0	2.0	0.0
47	12	0	1	0.025	10.0	10.0	0.0
48	32	0	1	0.0725	30.0	30.0	0.0
49	34	0	1	0.0775	32.0	32.0	0.0
50	33	0	1	0.0775	31.0	31.0	0.0
51	81	1	0	0.185	81.0	81.0	1.0
52	30	0	1	0.0675	28.0	28.0	0.5
53	26	1	0	0.0625	26.0	26.0	1.0
54	73	0	1	0.1275	71.0	71.0	0.5
55	24	0	1	0.055	22.0	22.0	0.5
56	26	0	1	0.06	24.0	24.0	0.0
57	95	0	1	0.18	93.0	93.0	0.5
58	19	0	1	0.0425	17.0	17.0	0.0
59	34	0	1	0.0775	32.0	32.0	0.0
60	29	0	1	0.0675	27.0	27.0	0.0
61	27	0	1	0.055	25.0	25.0	0.5
62	35	0	1	0.0725	33.0	33.0	0.0
63	28	0	1	0.065	26.0	26.0	0.5
64	26	0	1	0.06	24.0	24.0	0.0
65	74	0	1	0.1375	72.0	72.0	0.5
66	22	0	1	0.05	20.0	20.0	0.0
67	62	0	1	0.145	60.0	60.0	0.0
68	5	0	1	0.0075	3.0	3.0	0.0
69	28	0	1	0.065	26.0	26.0	0.5
70	15	0	1	0.0325	13.0	13.0	0.0
71	9	0	1	0.0175	7.0	7.0	0.0
72	29	0	1	0.0675	27.0	27.0	0.0
73	44	0	1	0.07	42.0	42.0	0.0
74	29	1	0	0.07	29.0	29.0	1.0
75	6	0	1	0.01	4.0	4.0	0.0
76	24	0	1	0.0525	22.0	22.0	0.0
77	59	0	1	0.13	57.0	57.0	0.5
78	35	0	1	0.08	33.0	33.0	0.0
79	59	0	1	0.13	57.0	57.0	0.0
80	13	0	1	0.0275	11.0	11.0	0.0
81	86	0	1	0.18	84.0	84.0	0.5
82	31	0	1	0.0725	29.0	29.0	0.0
83	72	1	0	0.155	72.0	72.0	1.0
84	13	0	1	0.0275	11.0	11.0	0.0
85	12	0	1	0.025	10.0	10.0	0.0
86	5	0	1	0.0075	3.0	3.0	0.0
87	46	0	1	0.1075	44.0	44.0	0.5
88	40	0	1	0.09	38.0	38.0	0.5
89	18	0	1	0.0375	16.0	16.0	0.0
90	27	0	1	0.06	25.0	25.0	0.0
91	50	0	1	0.1175	48.0	48.0	0.5
92	73	1	0	0.175	73.0	73.0	1.0
93	19	0	1	0.04	17.0	17.0	0.5
94	74	1	0	0.1375	74.0	74.0	1.0
95	40	0	1	0.0875	38.0	38.0	0.5
96	7	0	1	0.0125	5.0	5.0	0.0
97	92	0	1	0.185	90.0	90.0	0.5
98	3	0	1	0.0025	1.0	1.0	0.0
99	65	1	0	0.1575	65.0	65.0	1.0
100	43	0	1	0.1	41.0	41.0	0.5
101	42	1	0	0.0975	42.0	42.0	1.0
102	63	1	0	0.105	63.0	63.0	1.0
103	19	0	1	0.0425	17.0	17.0	0.5
104	24	0	1	0.055	22.0	22.0	0.0
105	21	0	1	0.0475	19.0	19.0	0.5
106	37	0	1	0.0875	35.0	35.0	0.0
107	28	0	1	0.065	26.0	26.0	0.0
108	23	0	1	0.0475	21.0	21.0	0.0
109	43	0	1	0.0975	41.0	41.0	0.5
110	61	0	1	0.1075	59.0	59.0	0.0
111	40	0	1	0.0925	38.0	38.0	0.5
112	14	0	1	0.03	12.0	12.0	0.0
113	46	0	1	0.1075	44.0	44.0	0.5
114	55	0	1	0.13	53.0	53.0	0.5
115	22	0	1	0.05	20.0	20.0	0.0
116	88	0	1	0.2025	86.0	86.0	0.5
117	15	0	1	0.0325	13.0	13.0	0.0
118	30	0	1	0.0675	28.0	28.0	0.5
119	73	0	1	0.155	71.0	71.0	0.5
120	28	0	1	0.065	26.0	26.0	0.5
121	32	0	1	0.075	30.0	30.0	0.0
122	23	0	1	0.05	21.0	21.0	0.5
123	4	0	1	0.005	2.0	2.0	0.0
124	50	0	1	0.1175	48.0	48.0	0.0
125	11	0	1	0.0225	9.0	9.0	0.0
126	29	0	1	0.0675	27.0	27.0	0.0
127	19	0	1	0.0425	17.0	17.0	0.5
128	49	0	1	0.1125	47.0	47.0	0.0
129	60	1	0	0.125	60.0	60.0	1.0
130	45	0	1	0.1025	43.0	43.0	0.0
131	27	0	1	0.0625	25.0	25.0	0.0
132	17	0	1	0.0375	15.0	15.0	0.5
133	28	0	1	0.065	26.0	26.0	0.0
134	37	0	1	0.0875	35.0	35.0	0.0
135	27	0	1	0.055	25.0	25.0	0.5
136	36	0	1	0.0825	34.0	34.0	0.0
137	25	0	1	0.0575	23.0	23.0	0.5
138	14	0	1	0.03	12.0	12.0	0.0
139	23	0	1	0.0525	21.0	21.0	0.5
140	54	0	1	0.1175	52.0	52.0	0.5
141	13	0	1	0.0275	11.0	11.0	0.0
142	23	0	1	0.0525	21.0	21.0	0.0
143	22	0	1	0.05	20.0	20.0	0.0
144	14	0	1	0.03	12.0	12.0	0.5
145	7	0	1	0.0125	5.0	5.0	0.0
146	28	0	1	0.065	26.0	26.0	0.5
147	25	0	1	0.0575	23.0	23.0	0.0
148	17	1	0	0.04	17.0	17.0	1.0
149	34	0	1	0.075	32.0	32.0	0.5
150	14	0	1	0.03	12.0	12.0	0.0
151	7	0	1	0.0125	5.0	5.0	0.0
152	23	0	1	0.0525	21.0	21.0	0.0
153	45	0	1	0.075	43.0	43.0	0.0
154	24	0	1	0.055	22.0	22.0	0.5
155	105	0	1	0.225	103.0	103.0	0.5
156	74	0	1	0.145	72.0	72.0	0.5
157	24	0	1	0.055	22.0	22.0	0.5
158	22	0	1	0.0475	20.0	20.0	0.5
159	29	0	1	0.065	27.0	27.0	0.5
160	73	1	0	0.165	73.0	73.0	1.0
161	47	1	0	0.075	47.0	47.0	1.0
162	41	1	0	0.0925	41.0	41.0	1.0
163	23	1	0	0.055	23.0	23.0	1.0
164	55	0	1	0.1275	53.0	53.0	0.5
165	72	1	0	0.15	72.0	72.0	1.0
166	56	1	0	0.105	56.0	56.0	1.0
167	14	0	1	0.03	12.0	12.0	0.0
168	29	0	1	0.065	27.0	27.0	0.5
169	31	0	1	0.07	29.0	29.0	0.0
170	20	0	1	0.045	18.0	18.0	0.0
171	22	0	1	0.05	20.0	20.0	0.0
172	27	0	1	0.06	25.0	25.0	0.0
173	7	0	1	0.0125	5.0	5.0	0.5
174	43	0	1	0.0975	41.0	41.0	0.5
175	34	1	0	0.0725	34.0	34.0	1.0
176	31	0	1	0.0575	29.0	29.0	0.5
177	31	1	0	0.075	31.0	31.0	1.0
178	28	0	1	0.065	26.0	26.0	0.0
179	32	0	1	0.0725	30.0	30.0	0.0
180	6	0	1	0.01	4.0	4.0	0.0
181	14	0	1	0.03	12.0	12.0	0.0
182	69	0	1	0.1425	67.0	67.0	0.5
183	23	0	1	0.0525	21.0	21.0	0.0
184	38	0	1	0.09	36.0	36.0	0.0
