i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	39	1	3	0.21	27.0	135.0	1.0
2	19	1	2	0.085	10.6	53.0	1.0
3	31	0	5	0.1575	20.8	104.0	0.0
4	24	1	1	0.1225	16.4	82.0	1.0
5	15	1	0	0.0825	13.2	66.0	1.0
6	43	0	5	0.225	26.8	134.0	0.5
7	30	1	2	0.145	26.8	134.0	1.0
8	35	1	1	0.18	19.8	99.0	1.0
9	7	1	0	0.04	7.0	35.0	1.0
10	35	0	5	0.19	26.4	132.0	0.5
11	19	1	0	0.085	15.4	77.0	1.0
12	60	0	5	0.165	33.6	168.0	0.5
13	81	0	5	0.21	26.0	130.0	0.5
14	24	1	0	0.0975	18.2	91.0	1.0
15	30	1	3	0.1825	23.4	117.0	1.0
16	33	1	3	0.2375	24.8	124.0	1.0
17	35	0	5	0.165	19.0	95.0	0.0
18	43	0	5	0.195	21.6	108.0	0.5
19	40	1	1	0.21	30.4	152.0	1.0
20	18	1	0	0.115	16.8	84.0	1.0
21	14	1	0	0.09	14.0	70.0	1.0
22	34	1	0	0.13	19.2	96.0	1.0
23	57	1	4	0.205	28.0	140.0	1.0
24	21	1	0	0.1475	18.2	91.0	1.0
25	31	1	3	0.1975	23.8	119.0	1.0
26	20	1	2	0.1075	13.2	66.0	1.0
27	19	1	1	0.1525	16.6	83.0	1.0
28	23	1	2	0.18	20.2	101.0	1.0
29	32	1	1	0.17	23.8	119.0	1.0
30	18	1	0	0.085	14.4	72.0	1.0
31	29	1	1	0.195	23.6	118.0	1.0
32	26	1	4	0.0575	6.0	30.0	1.0
33	39	1	3	0.2325	26.6	133.0	1.0
34	32	0	5	0.22	22.8	114.0	0.5
35	33	1	1	0.225	25.0	125.0	1.0
36	19	1	1	0.155	15.8	79.0	1.0
37	40	0	5	0.15	18.6	93.0	0.5
38	11	1	1	0.0425	10.4	52.0	1.0
39	22	1	0	0.12	18.0	90.0	1.0
40	21	1	0	0.1	19.6	98.0	1.0
41	56	0	5	0.2175	26.8	134.0	0.5
42	21	1	0	0.135	20.4	102.0	1.0
43	34	1	0	0.19	22.0	110.0	1.0
44	25	1	2	0.1025	21.2	106.0	1.0
45	45	0	5	0.1725	23.8	119.0	0.5
46	14	1	0	0.0875	11.0	55.0	1.0
47	22	1	1	0.1275	14.2	71.0	1.0
48	38	1	2	0.1975	22.6	113.0	1.0
49	32	1	1	0.1525	18.6	93.0	1.0
50	32	1	1	0.215	22.6	113.0	1.0
51	15	1	1	0.095	12.0	60.0	1.0
52	33	1	1	0.1275	18.8	94.0	1.0
53	28	1	1	0.1175	26.0	130.0	1.0
54	21	1	1	0.1425	19.4	97.0	1.0
55	20	1	2	0.11	14.8	74.0	1.0
56	30	1	1	0.1975	20.8	104.0	1.0
57	20	1	1	0.14	16.4	82.0	1.0
58	17	1	0	0.105	14.6	73.0	1.0
59	55	1	3	0.1925	28.4	142.0	1.0
60	32	1	2	0.2075	25.6	128.0	1.0
61	13	1	1	0.0525	11.4	57.0	1.0
62	23	1	3	0.15	18.6	93.0	1.0
63	40	1	3	0.2175	27.4	137.0	1.0
64	42	1	2	0.2025	25.6	128.0	1.0
65	27	1	0	0.19	22.8	114.0	1.0
66	61	0	5	0.2025	25.2	126.0	0.0
67	39	0	5	0.205	25.0	125.0	0.5
68	27	1	3	0.13	18.4	92.0	1.0
69	16	1	3	0.06	11.2	56.0	1.0
70	24	1	1	0.1575	17.8	89.0	1.0
71	27	1	1	0.1375	21.8	109.0	1.0
72	35	1	0	0.1675	21.4	107.0	1.0
73	22	1	0	0.15	17.6	88.0	1.0
74	81	0	5	0.3125	35.2	176.0	0.5
75	25	1	2	0.1925	22.4	112.0	1.0
76	40	1	3	0.2175	24.6	123.0	1.0
77	40	1	2	0.225	27.6	138.0	1.0
78	29	1	2	0.1125	14.4	72.0	1.0
79	20	1	2	0.12	14.6	73.0	1.0
80	36	1	2	0.2125	23.4	117.0	1.0
