i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	62	0	1	0.1475	60.0	60.0	0.0
2	35	1	0	0.085	35.0	35.0	1.0
3	64	1	0	0.125	64.0	64.0	1.0
4	29	0	1	0.0675	27.0	27.0	0.0
5	30	0	1	0.0675	28.0	28.0	0.3333333333333333
6	36	1	0	0.0875	36.0	36.0	1.0
7	45	0	1	0.105	43.0	43.0	0.0
8	37	0	1	0.085	35.0	35.0	0.0
9	15	0	1	0.0325	13.0	13.0	0.0
10	57	0	1	0.135	55.0	55.0	0.3333333333333333
11	35	0	1	0.0775	33.0	33.0	0.6666666666666666
12	20	0	1	0.045	18.0	18.0	0.0
13	34	0	1	0.07	32.0	32.0	0.6666666666666666
14	33	0	1	0.0775	31.0	31.0	0.3333333333333333
15	21	0	1	0.0475	19.0	19.0	0.3333333333333333
16	48	0	1	0.1125	46.0	46.0	0.0
17	54	1	0	0.1125	54.0	54.0	1.0
18	25	0	1	0.0575	23.0	23.0	0.0
19	21	0	1	0.045	19.0	19.0	0.0
20	26	0	1	0.0575	24.0	24.0	0.3333333333333333
21	33	0	1	0.075	31.0	31.0	0.3333333333333333
22	20	0	1	0.045	18.0	18.0	0.0
23	68	0	1	0.16	66.0	66.0	0.3333333333333333
24	38	0	1	0.0875	36.0	36.0	0.3333333333333333
25	57	1	0	0.135	57.0	57.0	1.0
26	39	0	1	0.0925	37.0	37.0	0.3333333333333333
27	92	0	1	0.145	90.0	90.0	0.6666666666666666
28	55	0	1	0.1125	53.0	53.0	0.6666666666666666
29	26	0	1	0.055	24.0	24.0	0.6666666666666666
30	79	0	1	0.1325	77.0	77.0	0.6666666666666666
31	64	0	1	0.1275	62.0	62.0	0.6666666666666666
32	83	0	1	0.19	81.0	81.0	0.3333333333333333
33	82	1	0	0.1525	82.0	82.0	1.0
34	11	0	1	0.0225	9.0	9.0	0.0
35	14	0	1	0.03	12.0	12.0	0.0
36	36	0	1	0.0825	34.0	34.0	0.6666666666666666
37	12	0	1	0.025	10.0	10.0	0.0
38	15	0	1	0.0325	13.0	13.0	0.0
39	8	0	1	0.015	6.0	6.0	0.0
40	47	0	1	0.1075	45.0	45.0	0.3333333333333333
41	40	0	1	0.0925	38.0	38.0	0.3333333333333333
42	12	0	1	0.025	10.0	10.0	0.0
43	61	1	0	0.1325	61.0	61.0	1.0
44	32	0	1	0.0725	30.0	30.0	0.0
45	22	0	1	0.0475	20.0	20.0	0.3333333333333333
46	22	0	1	0.0475	20.0	20.0	0.3333333333333333
47	33	0	1	0.065	31.0	31.0	0.0
48	65	0	1	0.1475	63.0	63.0	0.3333333333333333
49	21	0	1	0.045	19.0	19.0	0.0
50	34	0	1	0.0775	32.0	32.0	0.3333333333333333
51	41	0	1	0.09	39.0	39.0	0.6666666666666666
52	18	0	1	0.04	16.0	16.0	0.0
53	60	1	0	0.115	60.0	60.0	1.0
54	30	0	1	0.0675	28.0	28.0	0.3333333333333333
55	23	0	1	0.0525	21.0	21.0	0.0
56	60	0	1	0.1275	58.0	58.0	0.6666666666666666
57	13	0	1	0.0275	11.0	11.0	0.3333333333333333
58	15	0	1	0.0325	13.0	13.0	0.0
59	9	0	1	0.0175	7.0	7.0	0.3333333333333333
60	43	0	1	0.08	41.0	41.0	0.6666666666666666
61	28	0	1	0.065	26.0	26.0	0.3333333333333333
62	94	1	0	0.2025	94.0	94.0	1.0
63	10	0	1	0.02	8.0	8.0	0.0
64	22	0	1	0.05	20.0	20.0	0.0
65	65	0	1	0.1525	63.0	63.0	0.6666666666666666
66	10	0	1	0.02	8.0	8.0	0.0
67	29	0	1	0.0675	27.0	27.0	0.3333333333333333
68	24	0	1	0.055	22.0	22.0	0.0
69	12	0	1	0.025	10.0	10.0	0.0
70	26	0	1	0.0575	24.0	24.0	0.3333333333333333
71	26	0	1	0.0525	24.0	24.0	0.6666666666666666
72	13	0	1	0.0275	11.0	11.0	0.0
73	15	0	1	0.0325	13.0	13.0	0.0
74	72	0	1	0.1325	70.0	70.0	0.6666666666666666
75	32	0	1	0.0725	30.0	30.0	0.3333333333333333
76	96	0	1	0.21	94.0	94.0	0.6666666666666666
77	35	0	1	0.08	33.0	33.0	0.0
78	21	0	1	0.0475	19.0	19.0	0.0
79	75	1	0	0.16	75.0	75.0	1.0
80	9	0	1	0.0175	7.0	7.0	0.3333333333333333
81	46	0	1	0.1075	44.0	44.0	0.0
82	34	0	1	0.0775	32.0	32.0	0.0
83	12	0	1	0.025	10.0	10.0	0.0
84	48	0	1	0.11	46.0	46.0	0.3333333333333333
85	28	0	1	0.065	26.0	26.0	0.0
86	57	0	1	0.115	55.0	55.0	0.6666666666666666
87	39	0	1	0.09	37.0	37.0	0.3333333333333333
88	60	1	0	0.1375	60.0	60.0	1.0
89	62	0	1	0.1175	60.0	60.0	0.6666666666666666
90	74	0	1	0.165	72.0	72.0	0.6666666666666666
91	43	0	1	0.08	41.0	41.0	0.0
92	39	0	1	0.0925	37.0	37.0	0.3333333333333333
93	48	0	1	0.1125	46.0	46.0	0.3333333333333333
94	12	0	1	0.025	10.0	10.0	0.0
95	18	0	1	0.04	16.0	16.0	0.0
96	84	0	1	0.16	82.0	82.0	0.6666666666666666
97	44	0	1	0.1	42.0	42.0	0.6666666666666666
98	39	0	1	0.09	37.0	37.0	0.3333333333333333
99	39	1	0	0.0925	39.0	39.0	1.0
100	30	0	1	0.07	28.0	28.0	0.0
101	3	0	1	0.0025	1.0	1.0	0.0
102	40	0	1	0.0775	38.0	38.0	0.3333333333333333
103	13	0	1	0.0275	11.0	11.0	0.3333333333333333
104	48	1	0	0.09	48.0	48.0	1.0
105	47	0	1	0.11	45.0	45.0	0.3333333333333333
106	81	1	0	0.1825	81.0	81.0	1.0
107	37	0	1	0.085	35.0	35.0	0.3333333333333333
108	49	0	1	0.1125	47.0	47.0	0.6666666666666666
109	19	0	1	0.025	17.0	17.0	0.0
110	26	0	1	0.0575	24.0	24.0	0.3333333333333333
111	59	1	0	0.145	59.0	59.0	1.0
112	11	0	1	0.0225	9.0	9.0	0.0
113	15	0	1	0.0325	13.0	13.0	0.3333333333333333
114	19	0	1	0.0425	17.0	17.0	0.0
115	37	0	1	0.085	35.0	35.0	0.3333333333333333
116	39	0	1	0.09	37.0	37.0	0.3333333333333333
117	24	0	1	0.055	22.0	22.0	0.0
118	15	0	1	0.0325	13.0	13.0	0.0
119	19	0	1	0.0425	17.0	17.0	0.0
120	28	0	1	0.06	26.0	26.0	0.6666666666666666
121	14	0	1	0.03	12.0	12.0	0.0
122	6	0	1	0.01	4.0	4.0	0.0
123	35	0	1	0.08	33.0	33.0	0.3333333333333333
124	20	0	1	0.0425	18.0	18.0	0.3333333333333333
125	23	0	1	0.0525	21.0	21.0	0.0
126	25	0	1	0.0575	23.0	23.0	0.0
127	47	0	1	0.0925	45.0	45.0	0.3333333333333333
128	33	0	1	0.07	31.0	31.0	0.0
129	21	0	1	0.0475	19.0	19.0	0.3333333333333333
130	29	0	1	0.0675	27.0	27.0	0.0
131	6	0	1	0.01	4.0	4.0	0.0
132	48	0	1	0.1	46.0	46.0	0.3333333333333333
133	29	0	1	0.0675	27.0	27.0	0.0
134	24	0	1	0.055	22.0	22.0	0.3333333333333333
135	35	0	1	0.08	33.0	33.0	0.3333333333333333
136	19	0	1	0.0425	17.0	17.0	0.3333333333333333
137	12	0	1	0.025	10.0	10.0	0.0
138	9	0	1	0.0175	7.0	7.0	0.0
139	37	0	1	0.085	35.0	35.0	0.3333333333333333
140	31	1	0	0.0725	31.0	31.0	1.0
141	28	0	1	0.065	26.0	26.0	0.0
142	45	0	1	0.1	43.0	43.0	0.3333333333333333
143	26	0	1	0.06	24.0	24.0	0.0
144	25	0	1	0.0575	23.0	23.0	0.0
145	48	0	1	0.1025	46.0	46.0	0.6666666666666666
146	11	0	1	0.0225	9.0	9.0	0.3333333333333333
147	23	0	1	0.0525	21.0	21.0	0.0
148	39	0	1	0.09	37.0	37.0	0.3333333333333333
149	35	0	1	0.06	33.0	33.0	0.0
150	29	0	1	0.0675	27.0	27.0	0.0
151	85	0	1	0.195	83.0	83.0	0.6666666666666666
152	64	0	1	0.1125	62.0	62.0	0.3333333333333333
153	46	1	0	0.1125	46.0	46.0	1.0
154	54	0	1	0.1275	52.0	52.0	0.3333333333333333
155	27	0	1	0.06	25.0	25.0	0.3333333333333333
156	61	1	0	0.145	61.0	61.0	1.0
157	45	0	1	0.07	43.0	43.0	0.3333333333333333
158	15	0	1	0.0325	13.0	13.0	0.3333333333333333
159	22	0	1	0.05	20.0	20.0	0.0
160	39	0	1	0.07	37.0	37.0	0.6666666666666666
161	7	0	1	0.0125	5.0	5.0	0.3333333333333333
162	32	0	1	0.075	30.0	30.0	0.0
163	44	1	0	0.0925	44.0	44.0	1.0
164	55	0	1	0.13	53.0	53.0	0.3333333333333333
165	29	0	1	0.0675	27.0	27.0	0.0
166	5	0	1	0.0075	3.0	3.0	0.0
167	29	0	1	0.0675	27.0	27.0	0.0
168	28	0	1	0.065	26.0	26.0	0.0
169	13	0	1	0.0275	11.0	11.0	0.3333333333333333
170	66	1	0	0.135	66.0	66.0	1.0
171	17	0	1	0.0375	15.0	15.0	0.0
172	29	0	1	0.0675	27.0	27.0	0.0
173	21	0	1	0.0475	19.0	19.0	0.3333333333333333
174	26	0	1	0.06	24.0	24.0	0.3333333333333333
175	33	0	1	0.05	31.0	31.0	0.3333333333333333
176	19	0	1	0.0425	17.0	17.0	0.0
177	34	0	1	0.0775	32.0	32.0	0.0
178	35	1	0	0.06	35.0	35.0	1.0
179	47	0	1	0.11	45.0	45.0	0.3333333333333333
180	37	1	0	0.085	37.0	37.0	1.0
181	39	0	1	0.09	37.0	37.0	0.3333333333333333
182	47	0	1	0.1075	45.0	45.0	0.6666666666666666
183	31	0	1	0.0725	29.0	29.0	0.0
184	35	0	1	0.0825	33.0	33.0	0.3333333333333333
185	24	0	1	0.055	22.0	22.0	0.0
186	24	0	1	0.055	22.0	22.0	0.3333333333333333
187	46	0	1	0.09	44.0	44.0	0.6666666666666666
188	6	0	1	0.01	4.0	4.0	0.3333333333333333
189	56	0	1	0.085	54.0	54.0	0.3333333333333333
190	11	0	1	0.0225	9.0	9.0	0.0
191	27	0	1	0.06	25.0	25.0	0.3333333333333333
192	14	0	1	0.03	12.0	12.0	0.0
193	49	0	1	0.1125	47.0	47.0	0.6666666666666666
194	23	0	1	0.0525	21.0	21.0	0.3333333333333333
195	84	1	0	0.1525	84.0	84.0	1.0
196	50	0	1	0.105	48.0	48.0	0.6666666666666666
197	46	1	0	0.095	46.0	46.0	1.0
198	75	0	1	0.1525	73.0	73.0	0.3333333333333333
199	36	0	1	0.0775	34.0	34.0	0.6666666666666666
200	41	0	1	0.095	39.0	39.0	0.6666666666666666
201	26	1	0	0.0625	26.0	26.0	1.0
202	60	1	0	0.135	60.0	60.0	1.0
203	16	0	1	0.035	14.0	14.0	0.0
204	50	0	1	0.1075	48.0	48.0	0.6666666666666666
205	38	0	1	0.085	36.0	36.0	0.3333333333333333
206	25	0	1	0.0575	23.0	23.0	0.0
207	31	0	1	0.0725	29.0	29.0	0.0
208	22	0	1	0.0475	20.0	20.0	0.0
209	16	0	1	0.035	14.0	14.0	0.0
210	42	0	1	0.0975	40.0	40.0	0.0
211	20	0	1	0.045	18.0	18.0	0.3333333333333333
212	19	0	1	0.0425	17.0	17.0	0.0
213	27	0	1	0.0625	25.0	25.0	0.0
214	6	0	1	0.01	4.0	4.0	0.0
215	27	0	1	0.0625	25.0	25.0	0.0
216	84	0	1	0.1925	82.0	82.0	0.6666666666666666
217	27	0	1	0.0625	25.0	25.0	0.3333333333333333
218	20	0	1	0.045	18.0	18.0	0.3333333333333333
219	34	0	1	0.08	32.0	32.0	0.3333333333333333
220	10	0	1	0.0175	8.0	8.0	0.6666666666666666
221	5	0	1	0.0075	3.0	3.0	0.0
222	71	0	1	0.17	69.0	69.0	0.3333333333333333
223	6	0	1	0.01	4.0	4.0	0.0
224	64	0	1	0.1525	62.0	62.0	0.0
225	57	0	1	0.1225	55.0	55.0	0.3333333333333333
226	50	0	1	0.1075	48.0	48.0	0.6666666666666666
227	37	0	1	0.0825	35.0	35.0	0.3333333333333333
228	2	0	1	0.0	0.0	0.0	0.0
229	10	0	1	0.02	8.0	8.0	0.0
230	17	0	1	0.0375	15.0	15.0	0.3333333333333333
231	22	0	1	0.05	20.0	20.0	0.0
232	38	0	1	0.09	36.0	36.0	0.0
233	38	0	1	0.085	36.0	36.0	0.6666666666666666
234	37	1	0	0.0775	37.0	37.0	1.0
235	29	0	1	0.0675	27.0	27.0	0.0
236	10	0	1	0.02	8.0	8.0	0.0
237	32	0	1	0.06	30.0	30.0	0.0
238	29	0	1	0.0675	27.0	27.0	0.0
239	14	0	1	0.03	12.0	12.0	0.0
240	15	0	1	0.0325	13.0	13.0	0.0
241	29	0	1	0.0675	27.0	27.0	0.3333333333333333
242	82	0	1	0.1375	80.0	80.0	0.3333333333333333
243	41	0	1	0.095	39.0	39.0	0.3333333333333333
244	21	0	1	0.0475	19.0	19.0	0.3333333333333333
245	48	0	1	0.11	46.0	46.0	0.3333333333333333
246	39	0	1	0.09	37.0	37.0	0.3333333333333333
247	21	0	1	0.0475	19.0	19.0	0.0
248	17	0	1	0.0375	15.0	15.0	0.0
249	29	0	1	0.0675	27.0	27.0	0.0
250	41	0	1	0.09	39.0	39.0	0.3333333333333333
251	30	0	1	0.0675	28.0	28.0	0.0
252	52	0	1	0.1175	50.0	50.0	0.3333333333333333
253	80	0	1	0.165	78.0	78.0	0.6666666666666666
254	45	0	1	0.105	43.0	43.0	0.0
255	30	0	1	0.07	28.0	28.0	0.3333333333333333
256	33	0	1	0.0775	31.0	31.0	0.0
257	50	0	1	0.11	48.0	48.0	0.0
258	32	0	1	0.075	30.0	30.0	0.3333333333333333
259	20	0	1	0.045	18.0	18.0	0.0
260	30	0	1	0.07	28.0	28.0	0.3333333333333333
