i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	14	0	1	0.03	12.0	12.0	0.0
2	54	1	0	0.13	54.0	54.0	1.0
3	44	0	1	0.105	42.0	42.0	0.2
4	21	0	1	0.0475	19.0	19.0	0.0
5	24	0	1	0.055	22.0	22.0	0.0
6	68	1	0	0.16	68.0	68.0	1.0
7	65	0	1	0.1525	63.0	63.0	0.8
8	19	0	1	0.0425	17.0	17.0	0.2
9	3	0	1	0.0025	1.0	1.0	0.0
10	32	0	1	0.075	30.0	30.0	0.0
11	30	0	1	0.07	28.0	28.0	0.2
12	26	0	1	0.06	24.0	24.0	0.0
13	64	0	1	0.1525	62.0	62.0	0.6
14	5	0	1	0.0075	3.0	3.0	0.0
15	30	0	1	0.07	28.0	28.0	0.0
16	65	0	1	0.155	63.0	63.0	0.4
17	84	0	1	0.2025	82.0	82.0	0.8
18	46	0	1	0.11	44.0	44.0	0.2
19	50	0	1	0.12	48.0	48.0	0.2
20	27	0	1	0.0625	25.0	25.0	0.2
21	33	0	1	0.07	31.0	31.0	0.2
22	59	0	1	0.1425	57.0	57.0	0.8
23	68	0	1	0.1625	66.0	66.0	0.4
24	49	0	1	0.115	47.0	47.0	0.8
25	60	0	1	0.1425	58.0	58.0	0.6
26	76	1	0	0.1875	76.0	76.0	1.0
27	47	0	1	0.1125	45.0	45.0	0.4
28	85	0	1	0.205	83.0	83.0	0.8
29	34	0	1	0.08	32.0	32.0	0.0
30	63	1	0	0.1575	63.0	63.0	1.0
31	65	1	0	0.1625	65.0	65.0	1.0
32	70	0	1	0.17	68.0	68.0	0.6
33	123	1	0	0.28	123.0	123.0	1.0
34	21	0	1	0.0475	19.0	19.0	0.0
35	10	0	1	0.02	8.0	8.0	0.0
36	20	0	1	0.045	18.0	18.0	0.0
37	57	0	1	0.135	55.0	55.0	0.6
38	34	0	1	0.08	32.0	32.0	0.4
39	104	0	1	0.25	102.0	102.0	0.8
40	21	0	1	0.0475	19.0	19.0	0.2
41	23	0	1	0.0525	21.0	21.0	0.0
42	72	1	0	0.175	72.0	72.0	1.0
43	48	0	1	0.115	46.0	46.0	0.4
44	32	0	1	0.075	30.0	30.0	0.2
45	16	0	1	0.035	14.0	14.0	0.0
46	64	1	0	0.1575	64.0	64.0	1.0
47	30	0	1	0.07	28.0	28.0	0.2
48	44	0	1	0.105	42.0	42.0	0.2
49	46	1	0	0.1125	46.0	46.0	1.0
50	95	0	1	0.2075	93.0	93.0	0.8
51	57	0	1	0.135	55.0	55.0	0.6
52	16	0	1	0.035	14.0	14.0	0.0
53	67	1	0	0.165	67.0	67.0	1.0
54	5	0	1	0.0075	3.0	3.0	0.0
55	49	0	1	0.115	47.0	47.0	0.6
56	45	0	1	0.1075	43.0	43.0	0.4
57	75	0	1	0.155	73.0	73.0	0.8
58	22	0	1	0.05	20.0	20.0	0.0
59	51	1	0	0.1275	51.0	51.0	1.0
60	44	0	1	0.105	42.0	42.0	0.2
61	15	0	1	0.0325	13.0	13.0	0.0
62	29	0	1	0.0675	27.0	27.0	0.0
63	58	0	1	0.125	56.0	56.0	0.6
64	65	0	1	0.1575	63.0	63.0	0.6
65	16	0	1	0.035	14.0	14.0	0.2
66	31	0	1	0.0725	29.0	29.0	0.4
67	58	0	1	0.1375	56.0	56.0	0.8
68	5	0	1	0.0075	3.0	3.0	0.0
69	47	0	1	0.1125	45.0	45.0	0.6
70	107	1	0	0.2625	107.0	107.0	1.0
71	19	0	1	0.0425	17.0	17.0	0.0
72	35	0	1	0.0825	33.0	33.0	0.6
73	52	0	1	0.0925	50.0	50.0	0.4
74	78	1	0	0.1925	78.0	78.0	1.0
75	35	0	1	0.0825	33.0	33.0	0.4
76	45	0	1	0.1075	43.0	43.0	0.4
77	28	0	1	0.0525	26.0	26.0	0.4
78	64	0	1	0.155	62.0	62.0	0.8
79	23	0	1	0.0525	21.0	21.0	0.2
80	57	0	1	0.1375	55.0	55.0	0.6
81	100	0	1	0.2275	98.0	98.0	0.8
82	23	0	1	0.0525	21.0	21.0	0.0
83	22	0	1	0.0375	20.0	20.0	0.4
84	6	0	1	0.01	4.0	4.0	0.0
85	15	0	1	0.0325	13.0	13.0	0.0
86	66	0	1	0.1375	64.0	64.0	0.8
87	13	0	1	0.0275	11.0	11.0	0.4
88	73	1	0	0.18	73.0	73.0	1.0
89	30	0	1	0.0525	28.0	28.0	0.4
90	21	0	1	0.0475	19.0	19.0	0.0
91	20	0	1	0.045	18.0	18.0	0.0
92	41	0	1	0.095	39.0	39.0	0.6
93	34	0	1	0.08	32.0	32.0	0.0
94	51	0	1	0.11	49.0	49.0	0.4
95	38	0	1	0.09	36.0	36.0	0.4
96	31	0	1	0.0725	29.0	29.0	0.2
97	77	0	1	0.1775	75.0	75.0	0.8
98	24	0	1	0.055	22.0	22.0	0.0
99	63	1	0	0.1375	63.0	63.0	1.0
100	25	0	1	0.0575	23.0	23.0	0.2
101	77	1	0	0.19	77.0	77.0	1.0
102	10	0	1	0.02	8.0	8.0	0.4
103	87	0	1	0.2125	85.0	85.0	0.8
104	8	0	1	0.015	6.0	6.0	0.0
105	32	0	1	0.075	30.0	30.0	0.0
106	105	0	1	0.2475	103.0	103.0	0.8
107	10	0	1	0.02	8.0	8.0	0.0
108	33	0	1	0.0775	31.0	31.0	0.0
109	105	1	0	0.2475	105.0	105.0	1.0
110	31	0	1	0.0725	29.0	29.0	0.2
111	19	0	1	0.0425	17.0	17.0	0.0
112	39	0	1	0.0925	37.0	37.0	0.4
113	28	0	1	0.065	26.0	26.0	0.0
114	38	0	1	0.09	36.0	36.0	0.2
115	29	0	1	0.0675	27.0	27.0	0.0
116	26	0	1	0.06	24.0	24.0	0.6
117	68	0	1	0.165	66.0	66.0	0.4
118	27	0	1	0.0625	25.0	25.0	0.2
119	26	0	1	0.06	24.0	24.0	0.0
120	20	0	1	0.0275	18.0	18.0	0.2
121	32	0	1	0.075	30.0	30.0	0.0
122	28	0	1	0.065	26.0	26.0	0.2
123	36	0	1	0.0825	34.0	34.0	0.4
124	55	0	1	0.1325	53.0	53.0	0.4
125	34	0	1	0.08	32.0	32.0	0.2
126	28	0	1	0.065	26.0	26.0	0.0
127	28	0	1	0.065	26.0	26.0	0.4
128	77	1	0	0.1925	77.0	77.0	1.0
129	81	1	0	0.195	81.0	81.0	1.0
130	58	0	1	0.14	56.0	56.0	0.8
131	23	0	1	0.0525	21.0	21.0	0.0
132	66	1	0	0.165	66.0	66.0	1.0
133	109	1	0	0.27	109.0	109.0	1.0
134	29	0	1	0.0675	27.0	27.0	0.0
135	34	1	0	0.085	34.0	34.0	1.0
136	53	1	0	0.13	53.0	53.0	1.0
137	89	1	0	0.2175	89.0	89.0	1.0
138	23	0	1	0.0525	21.0	21.0	0.0
139	23	0	1	0.0525	21.0	21.0	0.2
140	5	0	1	0.0075	3.0	3.0	0.0
141	50	1	0	0.1025	50.0	50.0	1.0
142	64	1	0	0.13	64.0	64.0	1.0
143	2	0	1	0.0	0.0	0.0	0.0
144	16	0	1	0.035	14.0	14.0	0.0
145	78	0	1	0.18	76.0	76.0	0.8
146	12	0	1	0.025	10.0	10.0	0.0
147	103	1	0	0.2475	103.0	103.0	1.0
148	82	1	0	0.2	82.0	82.0	1.0
149	35	0	1	0.0825	33.0	33.0	0.2
150	32	0	1	0.075	30.0	30.0	0.2
151	77	0	1	0.185	75.0	75.0	0.6
152	113	0	1	0.2375	111.0	111.0	0.8
153	69	0	1	0.1675	67.0	67.0	0.4
154	58	0	1	0.1375	56.0	56.0	0.6
155	28	0	1	0.065	26.0	26.0	0.0
156	13	0	1	0.0275	11.0	11.0	0.0
157	32	0	1	0.075	30.0	30.0	0.2
158	23	0	1	0.0525	21.0	21.0	0.0
159	18	0	1	0.04	16.0	16.0	0.2
160	34	0	1	0.08	32.0	32.0	0.2
161	70	1	0	0.155	70.0	70.0	1.0
162	29	0	1	0.0675	27.0	27.0	0.0
163	32	0	1	0.075	30.0	30.0	0.2
164	80	1	0	0.1925	80.0	80.0	1.0
165	13	0	1	0.0275	11.0	11.0	0.0
166	22	0	1	0.05	20.0	20.0	0.6
167	46	0	1	0.11	44.0	44.0	0.2
168	87	0	1	0.2025	85.0	85.0	0.8
169	10	0	1	0.02	8.0	8.0	0.0
170	63	0	1	0.1525	61.0	61.0	0.2
171	18	0	1	0.03	16.0	16.0	0.4
172	13	0	1	0.0275	11.0	11.0	0.0
173	54	0	1	0.13	52.0	52.0	0.6
174	11	0	1	0.0225	9.0	9.0	0.0
175	39	0	1	0.0925	37.0	37.0	0.0
176	39	1	0	0.0975	39.0	39.0	1.0
177	54	0	1	0.13	52.0	52.0	0.4
178	32	0	1	0.075	30.0	30.0	0.2
179	93	1	0	0.1825	93.0	93.0	1.0
180	21	0	1	0.0475	19.0	19.0	0.2
181	26	0	1	0.06	24.0	24.0	0.4
182	24	0	1	0.055	22.0	22.0	0.2
183	37	0	1	0.0875	35.0	35.0	0.0
184	22	0	1	0.05	20.0	20.0	0.0
