i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	27	0	1	0.0625	25.0	25.0	0.4
2	13	0	1	0.0275	11.0	11.0	0.2
3	6	0	1	0.01	4.0	4.0	0.0
4	13	0	1	0.0275	11.0	11.0	0.0
5	20	0	1	0.045	18.0	18.0	0.0
6	35	0	1	0.0825	33.0	33.0	0.4
7	45	1	0	0.0975	45.0	45.0	1.0
8	25	0	1	0.0575	23.0	23.0	0.4
9	71	0	1	0.1725	69.0	69.0	0.4
10	50	0	1	0.1175	48.0	48.0	0.4
11	74	0	1	0.18	72.0	72.0	0.6
12	80	0	1	0.1925	78.0	78.0	0.6
13	109	1	0	0.2675	109.0	109.0	1.0
14	29	0	1	0.0675	27.0	27.0	0.0
15	32	0	1	0.075	30.0	30.0	0.2
16	28	0	1	0.065	26.0	26.0	0.2
17	35	0	1	0.0825	33.0	33.0	0.0
18	18	0	1	0.04	16.0	16.0	0.2
19	32	0	1	0.075	30.0	30.0	0.2
20	9	0	1	0.0175	7.0	7.0	0.0
21	27	0	1	0.0625	25.0	25.0	0.0
22	49	0	1	0.1175	47.0	47.0	0.6
23	22	0	1	0.05	20.0	20.0	0.2
24	48	1	0	0.12	48.0	48.0	1.0
25	34	0	1	0.08	32.0	32.0	0.2
26	67	0	1	0.16	65.0	65.0	0.6
27	54	0	1	0.13	52.0	52.0	0.4
28	63	0	1	0.1525	61.0	61.0	0.4
29	25	0	1	0.0575	23.0	23.0	0.0
30	64	1	0	0.16	64.0	64.0	1.0
31	46	0	1	0.11	44.0	44.0	0.4
32	14	0	1	0.03	12.0	12.0	0.0
33	30	0	1	0.07	28.0	28.0	0.2
34	49	0	1	0.115	47.0	47.0	0.8
35	63	0	1	0.1525	61.0	61.0	0.6
36	88	0	1	0.2125	86.0	86.0	0.6
37	11	0	1	0.0225	9.0	9.0	0.0
38	44	0	1	0.105	42.0	42.0	0.2
39	68	1	0	0.1675	68.0	68.0	1.0
40	64	0	1	0.1525	62.0	62.0	0.8
41	19	0	1	0.0425	17.0	17.0	0.0
42	59	1	0	0.145	59.0	59.0	1.0
43	8	0	1	0.015	6.0	6.0	0.0
44	29	0	1	0.0675	27.0	27.0	0.0
45	49	0	1	0.1175	47.0	47.0	0.6
46	68	1	0	0.1575	68.0	68.0	1.0
47	58	0	1	0.1375	56.0	56.0	0.6
48	52	0	1	0.125	50.0	50.0	0.6
49	26	0	1	0.06	24.0	24.0	0.0
50	84	0	1	0.2	82.0	82.0	0.8
51	20	0	1	0.045	18.0	18.0	0.0
52	22	0	1	0.05	20.0	20.0	0.0
53	54	0	1	0.13	52.0	52.0	0.4
54	65	0	1	0.1575	63.0	63.0	0.6
55	13	0	1	0.0275	11.0	11.0	0.0
56	98	1	0	0.2375	98.0	98.0	1.0
57	96	0	1	0.2325	94.0	94.0	0.8
58	71	0	1	0.1675	69.0	69.0	0.8
59	57	0	1	0.1375	55.0	55.0	0.4
60	65	0	1	0.1575	63.0	63.0	0.4
61	17	0	1	0.0375	15.0	15.0	0.0
62	39	0	1	0.0925	37.0	37.0	0.6
63	45	0	1	0.1075	43.0	43.0	0.2
64	32	0	1	0.075	30.0	30.0	0.2
65	33	0	1	0.0775	31.0	31.0	0.2
66	37	0	1	0.0875	35.0	35.0	0.0
67	17	0	1	0.0375	15.0	15.0	0.2
68	79	0	1	0.19	77.0	77.0	0.8
69	19	0	1	0.0425	17.0	17.0	0.2
70	43	0	1	0.1	41.0	41.0	0.6
71	42	0	1	0.1	40.0	40.0	0.4
72	36	0	1	0.085	34.0	34.0	0.0
73	24	0	1	0.055	22.0	22.0	0.2
74	30	0	1	0.07	28.0	28.0	0.4
75	82	1	0	0.2025	82.0	82.0	1.0
76	14	0	1	0.03	12.0	12.0	0.2
77	10	0	1	0.02	8.0	8.0	0.0
78	44	0	1	0.105	42.0	42.0	0.2
79	83	1	0	0.2025	83.0	83.0	1.0
80	29	0	1	0.0675	27.0	27.0	0.0
81	89	1	0	0.2175	89.0	89.0	1.0
82	48	1	0	0.115	48.0	48.0	1.0
83	20	0	1	0.045	18.0	18.0	0.2
84	51	0	1	0.12	49.0	49.0	0.4
85	45	0	1	0.1075	43.0	43.0	0.4
86	31	0	1	0.04	29.0	29.0	0.4
87	67	0	1	0.1625	65.0	65.0	0.8
88	24	0	1	0.055	22.0	22.0	0.0
89	77	1	0	0.185	77.0	77.0	1.0
90	13	0	1	0.0275	11.0	11.0	0.0
91	49	0	1	0.115	47.0	47.0	0.4
92	35	0	1	0.0825	33.0	33.0	0.2
93	29	0	1	0.06	27.0	27.0	0.4
94	91	0	1	0.215	89.0	89.0	0.6
95	10	0	1	0.02	8.0	8.0	0.0
96	34	0	1	0.08	32.0	32.0	0.2
97	29	0	1	0.0675	27.0	27.0	0.0
98	11	0	1	0.0225	9.0	9.0	0.0
99	31	0	1	0.0725	29.0	29.0	0.0
100	7	0	1	0.0125	5.0	5.0	0.0
101	18	0	1	0.04	16.0	16.0	0.0
102	44	0	1	0.105	42.0	42.0	0.4
103	89	0	1	0.1925	87.0	87.0	0.8
104	33	0	1	0.0775	31.0	31.0	0.4
105	65	1	0	0.16	65.0	65.0	1.0
106	68	1	0	0.165	68.0	68.0	1.0
107	27	0	1	0.0625	25.0	25.0	0.0
108	15	0	1	0.0325	13.0	13.0	0.0
109	30	0	1	0.07	28.0	28.0	0.2
110	91	1	0	0.2175	91.0	91.0	1.0
111	72	1	0	0.15	72.0	72.0	1.0
112	11	0	1	0.0225	9.0	9.0	0.0
113	35	0	1	0.0825	33.0	33.0	0.2
114	22	0	1	0.05	20.0	20.0	0.0
115	37	0	1	0.085	35.0	35.0	0.8
116	52	1	0	0.1175	52.0	52.0	1.0
117	32	0	1	0.075	30.0	30.0	0.2
118	34	0	1	0.0775	32.0	32.0	0.4
119	30	0	1	0.07	28.0	28.0	0.0
120	22	0	1	0.05	20.0	20.0	0.2
121	70	1	0	0.1725	70.0	70.0	1.0
122	26	0	1	0.06	24.0	24.0	0.0
123	40	0	1	0.095	38.0	38.0	0.4
124	5	0	1	0.0075	3.0	3.0	0.0
125	15	0	1	0.0325	13.0	13.0	0.0
126	15	0	1	0.0275	13.0	13.0	0.4
127	22	0	1	0.05	20.0	20.0	0.4
128	76	1	0	0.18	76.0	76.0	1.0
129	27	0	1	0.0625	25.0	25.0	0.0
130	53	0	1	0.1275	51.0	51.0	0.6
131	50	0	1	0.12	48.0	48.0	0.6
132	54	0	1	0.13	52.0	52.0	0.4
133	48	0	1	0.115	46.0	46.0	0.2
134	29	0	1	0.0675	27.0	27.0	0.2
135	84	0	1	0.1875	82.0	82.0	0.8
136	36	0	1	0.0825	34.0	34.0	0.6
137	52	0	1	0.125	50.0	50.0	0.4
138	87	1	0	0.1925	87.0	87.0	1.0
139	31	0	1	0.0725	29.0	29.0	0.0
140	24	0	1	0.045	22.0	22.0	0.4
141	22	0	1	0.05	20.0	20.0	0.2
142	16	0	1	0.035	14.0	14.0	0.0
143	25	0	1	0.0575	23.0	23.0	0.0
144	42	0	1	0.0975	40.0	40.0	0.8
145	14	0	1	0.03	12.0	12.0	0.0
146	74	0	1	0.1775	72.0	72.0	0.8
147	45	0	1	0.1075	43.0	43.0	0.2
148	82	1	0	0.2025	82.0	82.0	1.0
149	24	0	1	0.055	22.0	22.0	0.0
150	23	0	1	0.0525	21.0	21.0	0.2
151	55	0	1	0.1325	53.0	53.0	0.6
152	58	0	1	0.14	56.0	56.0	0.4
153	25	0	1	0.0575	23.0	23.0	0.0
154	68	1	0	0.17	68.0	68.0	1.0
155	15	0	1	0.0325	13.0	13.0	0.0
156	21	0	1	0.0475	19.0	19.0	0.0
157	26	0	1	0.06	24.0	24.0	0.0
158	24	0	1	0.055	22.0	22.0	0.4
159	87	1	0	0.215	87.0	87.0	1.0
160	26	0	1	0.06	24.0	24.0	0.0
161	26	0	1	0.06	24.0	24.0	0.2
162	64	1	0	0.1525	64.0	64.0	1.0
163	43	0	1	0.1025	41.0	41.0	0.4
164	25	0	1	0.0575	23.0	23.0	0.0
165	4	0	1	0.005	2.0	2.0	0.0
166	13	0	1	0.0275	11.0	11.0	0.0
167	41	0	1	0.0875	39.0	39.0	0.4
168	30	0	1	0.07	28.0	28.0	0.4
169	41	0	1	0.0975	39.0	39.0	0.4
170	57	0	1	0.1375	55.0	55.0	0.6
171	67	1	0	0.1625	67.0	67.0	1.0
172	86	1	0	0.205	86.0	86.0	1.0
173	29	0	1	0.0675	27.0	27.0	0.2
174	49	0	1	0.1175	47.0	47.0	0.4
175	20	0	1	0.045	18.0	18.0	0.0
176	61	0	1	0.1475	59.0	59.0	0.4
177	79	0	1	0.1575	77.0	77.0	0.6
178	66	1	0	0.145	66.0	66.0	1.0
179	50	0	1	0.1175	48.0	48.0	0.6
180	37	0	1	0.0875	35.0	35.0	0.2
181	19	0	1	0.0425	17.0	17.0	0.0
182	98	1	0	0.225	98.0	98.0	1.0
183	16	0	1	0.035	14.0	14.0	0.2
184	44	0	1	0.105	42.0	42.0	0.8
185	71	1	0	0.1775	71.0	71.0	1.0
186	57	0	1	0.1375	55.0	55.0	0.2
187	88	1	0	0.2025	88.0	88.0	1.0
188	51	1	0	0.125	51.0	51.0	1.0
189	52	0	1	0.125	50.0	50.0	0.8
190	11	0	1	0.0225	9.0	9.0	0.0
191	39	0	1	0.0925	37.0	37.0	0.6
192	35	0	1	0.0825	33.0	33.0	0.2
193	4	0	1	0.005	2.0	2.0	0.0
194	48	0	1	0.1125	46.0	46.0	0.4
195	72	1	0	0.1425	72.0	72.0	1.0
196	33	1	0	0.0825	33.0	33.0	1.0
197	50	0	1	0.12	48.0	48.0	0.4
198	72	0	1	0.1725	70.0	70.0	0.4
199	55	0	1	0.0925	53.0	53.0	0.4
200	16	0	1	0.035	14.0	14.0	0.0
201	4	0	1	0.005	2.0	2.0	0.0
202	5	0	1	0.0075	3.0	3.0	0.0
203	23	0	1	0.0525	21.0	21.0	0.0
204	78	0	1	0.1875	76.0	76.0	0.8
205	10	0	1	0.02	8.0	8.0	0.0
206	74	0	1	0.1775	72.0	72.0	0.6
207	76	1	0	0.19	76.0	76.0	1.0
208	49	0	1	0.1175	47.0	47.0	0.6
209	78	1	0	0.155	78.0	78.0	1.0
210	58	1	0	0.145	58.0	58.0	1.0
211	35	0	1	0.08	33.0	33.0	0.8
212	107	1	0	0.2675	107.0	107.0	1.0
213	62	0	1	0.145	60.0	60.0	0.8
214	64	0	1	0.155	62.0	62.0	0.8
215	35	0	1	0.0825	33.0	33.0	0.2
216	62	0	1	0.15	60.0	60.0	0.6
217	62	1	0	0.1425	62.0	62.0	1.0
218	27	0	1	0.0625	25.0	25.0	0.0
219	23	0	1	0.0525	21.0	21.0	0.2
220	17	0	1	0.0375	15.0	15.0	0.2
221	68	0	1	0.1625	66.0	66.0	0.8
222	37	0	1	0.085	35.0	35.0	0.4
223	29	0	1	0.0675	27.0	27.0	0.2
224	43	0	1	0.1025	41.0	41.0	0.4
225	74	1	0	0.1825	74.0	74.0	1.0
226	56	0	1	0.135	54.0	54.0	0.4
227	26	0	1	0.06	24.0	24.0	0.2
228	10	0	1	0.02	8.0	8.0	0.0
229	62	0	1	0.1425	60.0	60.0	0.6
230	74	0	1	0.18	72.0	72.0	0.8
231	50	0	1	0.12	48.0	48.0	0.6
232	89	0	1	0.185	87.0	87.0	0.8
233	13	0	1	0.0275	11.0	11.0	0.0
234	56	0	1	0.135	54.0	54.0	0.4
235	42	0	1	0.1	40.0	40.0	0.2
236	31	0	1	0.0725	29.0	29.0	0.0
237	98	1	0	0.235	98.0	98.0	1.0
238	33	0	1	0.0775	31.0	31.0	0.2
239	63	0	1	0.15	61.0	61.0	0.8
240	78	1	0	0.19	78.0	78.0	1.0
241	10	0	1	0.02	8.0	8.0	0.0
242	9	0	1	0.0175	7.0	7.0	0.0
243	70	1	0	0.165	70.0	70.0	1.0
244	15	0	1	0.0325	13.0	13.0	0.0
245	34	0	1	0.08	32.0	32.0	0.2
246	11	0	1	0.0225	9.0	9.0	0.0
247	54	1	0	0.135	54.0	54.0	1.0
248	40	0	1	0.095	38.0	38.0	0.2
249	86	1	0	0.215	86.0	86.0	1.0
250	51	0	1	0.12	49.0	49.0	0.8
251	56	0	1	0.1175	54.0	54.0	0.4
252	57	0	1	0.1375	55.0	55.0	0.6
253	56	0	1	0.135	54.0	54.0	0.2
254	43	0	1	0.1025	41.0	41.0	0.2
255	17	0	1	0.0375	15.0	15.0	0.0
256	18	0	1	0.04	16.0	16.0	0.0
257	63	0	1	0.135	61.0	61.0	0.6
258	78	1	0	0.1675	78.0	78.0	1.0
259	17	0	1	0.0375	15.0	15.0	0.0
260	27	0	1	0.0625	25.0	25.0	0.2
261	55	1	0	0.135	55.0	55.0	1.0
262	21	0	1	0.0475	19.0	19.0	0.2
263	43	0	1	0.1025	41.0	41.0	0.4
264	51	0	1	0.1125	49.0	49.0	0.8
265	33	1	0	0.0825	33.0	33.0	1.0
266	11	0	1	0.0225	9.0	9.0	0.0
267	67	1	0	0.165	67.0	67.0	1.0
268	30	0	1	0.07	28.0	28.0	0.0
269	62	1	0	0.1475	62.0	62.0	1.0
270	14	0	1	0.03	12.0	12.0	0.0
271	14	0	1	0.03	12.0	12.0	0.2
272	76	1	0	0.19	76.0	76.0	1.0
273	35	0	1	0.0825	33.0	33.0	0.0
274	24	0	1	0.0375	22.0	22.0	0.2
275	73	0	1	0.1475	71.0	71.0	0.6
276	17	0	1	0.0375	15.0	15.0	0.2
277	107	1	0	0.2675	107.0	107.0	1.0
278	76	1	0	0.1875	76.0	76.0	1.0
279	37	0	1	0.0875	35.0	35.0	0.2
280	67	0	1	0.145	65.0	65.0	0.8
281	87	0	1	0.2075	85.0	85.0	0.8
282	25	0	1	0.0575	23.0	23.0	0.0
283	37	0	1	0.0875	35.0	35.0	0.0
284	18	0	1	0.04	16.0	16.0	0.0
285	39	0	1	0.0925	37.0	37.0	0.4
286	27	0	1	0.0625	25.0	25.0	0.0
287	69	0	1	0.1675	67.0	67.0	0.8
288	2	0	1	0.0	0.0	0.0	0.0
289	37	0	1	0.085	35.0	35.0	0.4
290	9	0	1	0.0175	7.0	7.0	0.0
291	27	0	1	0.0625	25.0	25.0	0.2
292	25	0	1	0.0575	23.0	23.0	0.0
293	54	0	1	0.13	52.0	52.0	0.4
294	47	0	1	0.1125	45.0	45.0	0.6
295	15	0	1	0.025	13.0	13.0	0.2
296	49	0	1	0.115	47.0	47.0	0.4
297	24	0	1	0.055	22.0	22.0	0.2
298	21	0	1	0.045	19.0	19.0	0.2
299	26	0	1	0.06	24.0	24.0	0.2
300	23	0	1	0.0525	21.0	21.0	0.0
301	63	0	1	0.1475	61.0	61.0	0.8
302	22	0	1	0.05	20.0	20.0	0.0
303	44	0	1	0.105	42.0	42.0	0.4
304	11	0	1	0.0225	9.0	9.0	0.0
305	18	0	1	0.04	16.0	16.0	0.0
306	5	0	1	0.0075	3.0	3.0	0.0
307	8	0	1	0.015	6.0	6.0	0.0
308	22	0	1	0.05	20.0	20.0	0.2
309	24	0	1	0.055	22.0	22.0	0.2
310	104	1	0	0.2525	104.0	104.0	1.0
311	73	0	1	0.175	71.0	71.0	0.6
312	18	0	1	0.04	16.0	16.0	0.0
313	29	0	1	0.0675	27.0	27.0	0.2
314	69	0	1	0.165	67.0	67.0	0.6
315	65	1	0	0.1525	65.0	65.0	1.0
316	58	1	0	0.1225	58.0	58.0	1.0
317	13	0	1	0.0275	11.0	11.0	0.0
318	30	0	1	0.07	28.0	28.0	0.2
319	22	0	1	0.05	20.0	20.0	0.4
320	69	0	1	0.1675	67.0	67.0	0.8
321	67	0	1	0.1625	65.0	65.0	0.8
322	33	0	1	0.075	31.0	31.0	0.4
323	22	0	1	0.05	20.0	20.0	0.0
324	59	0	1	0.1425	57.0	57.0	0.8
325	49	0	1	0.1175	47.0	47.0	0.2
326	37	0	1	0.0875	35.0	35.0	0.0
327	97	1	0	0.23	97.0	97.0	1.0
328	113	0	1	0.27	111.0	111.0	0.8
329	11	0	1	0.0225	9.0	9.0	0.0
330	28	0	1	0.065	26.0	26.0	0.2
331	9	0	1	0.0175	7.0	7.0	0.0
332	27	0	1	0.0625	25.0	25.0	0.2
333	19	0	1	0.0425	17.0	17.0	0.0
334	18	0	1	0.04	16.0	16.0	0.0
335	19	0	1	0.0425	17.0	17.0	0.0
336	17	0	1	0.0375	15.0	15.0	0.0
337	52	1	0	0.125	52.0	52.0	1.0
338	72	1	0	0.1775	72.0	72.0	1.0
339	72	0	1	0.1725	70.0	70.0	0.6
340	51	0	1	0.12	49.0	49.0	0.4
341	24	0	1	0.055	22.0	22.0	0.2
342	26	0	1	0.06	24.0	24.0	0.2
343	67	1	0	0.1625	67.0	67.0	1.0
344	22	0	1	0.05	20.0	20.0	0.0
345	70	1	0	0.175	70.0	70.0	1.0
346	81	0	1	0.1975	79.0	79.0	0.8
347	63	0	1	0.1325	61.0	61.0	0.6
348	37	0	1	0.0725	35.0	35.0	0.4
349	48	0	1	0.1125	46.0	46.0	0.4
350	104	1	0	0.2075	104.0	104.0	1.0
351	23	0	1	0.0525	21.0	21.0	0.2
352	26	0	1	0.06	24.0	24.0	0.0
353	19	0	1	0.0425	17.0	17.0	0.0
354	31	0	1	0.0725	29.0	29.0	0.0
355	8	0	1	0.015	6.0	6.0	0.0
356	79	1	0	0.1925	79.0	79.0	1.0
357	11	0	1	0.0225	9.0	9.0	0.0
358	21	0	1	0.0475	19.0	19.0	0.0
359	74	0	1	0.18	72.0	72.0	0.4
360	36	1	0	0.09	36.0	36.0	1.0
361	34	0	1	0.08	32.0	32.0	0.2
362	8	0	1	0.015	6.0	6.0	0.0
363	27	0	1	0.0625	25.0	25.0	0.2
364	18	0	1	0.04	16.0	16.0	0.0
365	79	0	1	0.1925	77.0	77.0	0.6
366	7	0	1	0.0125	5.0	5.0	0.0
367	51	0	1	0.11	49.0	49.0	0.6
368	60	1	0	0.145	60.0	60.0	1.0
369	71	1	0	0.175	71.0	71.0	1.0
370	34	0	1	0.08	32.0	32.0	0.2
371	17	0	1	0.0375	15.0	15.0	0.0
372	87	0	1	0.2125	85.0	85.0	0.8
373	77	1	0	0.19	77.0	77.0	1.0
374	85	1	0	0.1925	85.0	85.0	1.0
375	13	0	1	0.0275	11.0	11.0	0.4
376	56	1	0	0.1325	56.0	56.0	1.0
377	37	0	1	0.0875	35.0	35.0	0.2
378	9	0	1	0.0175	7.0	7.0	0.0
379	68	0	1	0.115	66.0	66.0	0.8
380	63	1	0	0.155	63.0	63.0	1.0
381	32	0	1	0.075	30.0	30.0	0.2
382	22	0	1	0.05	20.0	20.0	0.2
383	68	0	1	0.12	66.0	66.0	0.6
384	67	1	0	0.165	67.0	67.0	1.0
385	39	0	1	0.0925	37.0	37.0	0.6
386	21	0	1	0.0475	19.0	19.0	0.0
387	54	1	0	0.135	54.0	54.0	1.0
388	27	0	1	0.0625	25.0	25.0	0.0
389	43	0	1	0.1025	41.0	41.0	0.4
390	36	0	1	0.085	34.0	34.0	0.0
391	63	0	1	0.145	61.0	61.0	0.6
392	34	0	1	0.08	32.0	32.0	0.0
393	49	0	1	0.1175	47.0	47.0	0.6
394	10	0	1	0.02	8.0	8.0	0.0
395	23	0	1	0.0525	21.0	21.0	0.0
396	82	0	1	0.1975	80.0	80.0	0.6
397	44	0	1	0.1025	42.0	42.0	0.6
398	29	0	1	0.0675	27.0	27.0	0.2
399	16	0	1	0.035	14.0	14.0	0.0
400	84	1	0	0.185	84.0	84.0	1.0
401	73	0	1	0.1775	71.0	71.0	0.6
402	50	0	1	0.12	48.0	48.0	0.2
403	75	0	1	0.165	73.0	73.0	0.8
404	66	0	1	0.16	64.0	64.0	0.4
405	39	0	1	0.0925	37.0	37.0	0.4
406	50	0	1	0.1175	48.0	48.0	0.4
407	58	0	1	0.14	56.0	56.0	0.8
408	24	0	1	0.055	22.0	22.0	0.0
409	34	0	1	0.08	32.0	32.0	0.2
410	68	1	0	0.1675	68.0	68.0	1.0
411	55	0	1	0.13	53.0	53.0	0.8
412	58	1	0	0.145	58.0	58.0	1.0
413	6	0	1	0.01	4.0	4.0	0.0
414	55	0	1	0.1325	53.0	53.0	0.6
415	75	0	1	0.1825	73.0	73.0	0.6
416	21	0	1	0.0475	19.0	19.0	0.0
417	37	0	1	0.0875	35.0	35.0	0.2
418	62	0	1	0.15	60.0	60.0	0.6
419	59	0	1	0.14	57.0	57.0	0.8
420	12	0	1	0.025	10.0	10.0	0.2
421	38	0	1	0.0875	36.0	36.0	0.4
422	14	0	1	0.03	12.0	12.0	0.2
423	61	0	1	0.145	59.0	59.0	0.6
424	49	0	1	0.11	47.0	47.0	0.4
425	48	1	0	0.12	48.0	48.0	1.0
426	49	0	1	0.115	47.0	47.0	0.8
427	23	0	1	0.0525	21.0	21.0	0.4
428	29	0	1	0.0675	27.0	27.0	0.0
429	93	1	0	0.2225	93.0	93.0	1.0
430	8	0	1	0.015	6.0	6.0	0.0
431	71	1	0	0.175	71.0	71.0	1.0
432	68	0	1	0.1625	66.0	66.0	0.4
433	31	0	1	0.0725	29.0	29.0	0.2
434	58	0	1	0.14	56.0	56.0	0.6
435	10	0	1	0.02	8.0	8.0	0.0
436	45	0	1	0.1075	43.0	43.0	0.2
437	31	0	1	0.0725	29.0	29.0	0.4
438	64	0	1	0.14	62.0	62.0	0.8
439	30	0	1	0.07	28.0	28.0	0.4
440	11	0	1	0.0225	9.0	9.0	0.0
441	77	0	1	0.185	75.0	75.0	0.6
442	44	0	1	0.105	42.0	42.0	0.2
443	53	0	1	0.1275	51.0	51.0	0.4
444	38	0	1	0.09	36.0	36.0	0.2
445	39	0	1	0.0925	37.0	37.0	0.2
446	48	0	1	0.115	46.0	46.0	0.2
447	17	0	1	0.025	15.0	15.0	0.4
448	58	1	0	0.1425	58.0	58.0	1.0
449	22	0	1	0.05	20.0	20.0	0.2
450	46	0	1	0.11	44.0	44.0	0.6
451	64	0	1	0.1525	62.0	62.0	0.4
452	16	0	1	0.035	14.0	14.0	0.0
