i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	32	0	1	0.075	30.0	30.0	0.0
2	15	0	1	0.0325	13.0	13.0	0.0
3	14	1	0	0.035	14.0	14.0	1.0
4	19	1	0	0.04	19.0	19.0	1.0
5	30	1	0	0.075	30.0	30.0	1.0
6	14	0	1	0.03	12.0	12.0	0.0
7	10	1	0	0.025	10.0	10.0	1.0
8	13	0	1	0.0275	11.0	11.0	0.0
9	20	1	0	0.05	20.0	20.0	1.0
10	3	1	0	0.0075	3.0	3.0	1.0
11	12	0	1	0.025	10.0	10.0	0.0
12	50	0	0	0.115	49.0	49.0	0.0
13	16	1	0	0.04	16.0	16.0	1.0
14	9	0	1	0.0175	7.0	7.0	0.0
15	12	1	0	0.03	12.0	12.0	1.0
16	11	1	0	0.0275	11.0	11.0	1.0
17	7	0	1	0.0125	5.0	5.0	0.0
18	27	1	0	0.0675	27.0	27.0	1.0
19	38	0	0	0.085	37.0	37.0	0.0
20	16	0	1	0.035	14.0	14.0	0.0
21	42	0	0	0.1025	41.0	41.0	0.0
22	18	0	1	0.04	16.0	16.0	0.0
23	30	0	1	0.07	28.0	28.0	0.0
24	16	0	1	0.035	14.0	14.0	0.0
25	15	0	1	0.0325	13.0	13.0	0.0
26	2	0	1	0.0	0.0	0.0	0.0
27	20	1	0	0.05	20.0	20.0	1.0
28	22	0	1	0.05	20.0	20.0	0.0
29	18	0	1	0.04	16.0	16.0	0.0
30	21	0	1	0.0475	19.0	19.0	0.0
31	29	1	0	0.0725	29.0	29.0	1.0
32	27	0	1	0.0625	25.0	25.0	0.0
33	9	0	1	0.0175	7.0	7.0	0.0
34	14	0	1	0.03	12.0	12.0	0.0
35	18	1	0	0.045	18.0	18.0	1.0
36	29	1	0	0.0725	29.0	29.0	1.0
37	5	0	1	0.0075	3.0	3.0	0.0
38	50	1	0	0.125	50.0	50.0	1.0
39	12	1	0	0.03	12.0	12.0	1.0
40	7	1	0	0.0175	7.0	7.0	1.0
41	13	0	1	0.0275	11.0	11.0	0.0
42	31	0	1	0.0725	29.0	29.0	0.0
43	12	1	0	0.03	12.0	12.0	1.0
44	35	0	1	0.0825	33.0	33.0	0.0
45	13	0	1	0.0275	11.0	11.0	0.0
46	13	0	1	0.0275	11.0	11.0	0.0
47	9	0	1	0.0175	7.0	7.0	0.0
48	37	0	1	0.0875	35.0	35.0	0.0
49	11	1	0	0.0275	11.0	11.0	1.0
50	37	1	0	0.0925	37.0	37.0	1.0
51	10	0	1	0.02	8.0	8.0	0.0
52	58	0	0	0.1425	57.0	57.0	0.0
53	22	0	1	0.05	20.0	20.0	0.0
54	18	0	1	0.04	16.0	16.0	0.0
55	9	0	1	0.0175	7.0	7.0	0.0
56	3	0	1	0.0025	1.0	1.0	0.0
57	17	0	1	0.0375	15.0	15.0	0.0
58	19	0	1	0.0425	17.0	17.0	0.0
59	13	0	1	0.0275	11.0	11.0	0.0
60	5	0	1	0.0075	3.0	3.0	0.0
61	13	0	1	0.0275	11.0	11.0	0.0
62	31	1	0	0.0775	31.0	31.0	1.0
63	16	0	1	0.035	14.0	14.0	0.0
64	19	0	1	0.0425	17.0	17.0	0.0
65	4	1	0	0.01	4.0	4.0	1.0
66	46	0	0	0.1075	45.0	45.0	0.0
67	22	1	0	0.055	22.0	22.0	1.0
68	11	0	1	0.0225	9.0	9.0	0.0
69	15	0	1	0.0325	13.0	13.0	0.0
70	30	0	1	0.07	28.0	28.0	0.0
71	8	0	1	0.015	6.0	6.0	0.0
72	34	0	1	0.08	32.0	32.0	0.0
73	11	1	0	0.0275	11.0	11.0	1.0
74	12	0	1	0.025	10.0	10.0	0.0
75	25	0	1	0.0575	23.0	23.0	0.0
76	32	0	1	0.075	30.0	30.0	0.0
77	15	0	1	0.0325	13.0	13.0	0.0
78	35	1	0	0.0875	35.0	35.0	1.0
79	15	1	0	0.0375	15.0	15.0	1.0
80	18	0	1	0.04	16.0	16.0	0.0
81	21	1	0	0.0525	21.0	21.0	1.0
82	15	0	1	0.0325	13.0	13.0	0.0
83	19	0	1	0.0425	17.0	17.0	0.0
84	14	0	1	0.03	12.0	12.0	0.0
85	6	0	1	0.01	4.0	4.0	0.0
86	12	0	1	0.025	10.0	10.0	0.0
87	30	1	0	0.075	30.0	30.0	1.0
88	16	0	1	0.035	14.0	14.0	0.0
89	11	0	1	0.0225	9.0	9.0	0.0
90	23	0	1	0.0525	21.0	21.0	0.0
91	5	0	1	0.0075	3.0	3.0	0.0
92	8	0	1	0.015	6.0	6.0	0.0
93	33	1	0	0.08	33.0	33.0	1.0
94	9	1	0	0.0225	9.0	9.0	1.0
95	8	1	0	0.02	8.0	8.0	1.0
96	10	0	1	0.02	8.0	8.0	0.0
97	11	1	0	0.0275	11.0	11.0	1.0
98	11	0	1	0.0225	9.0	9.0	0.0
99	22	0	1	0.05	20.0	20.0	0.0
100	34	0	1	0.08	32.0	32.0	0.0
101	33	0	1	0.0775	31.0	31.0	0.0
102	16	1	0	0.04	16.0	16.0	1.0
103	14	1	0	0.035	14.0	14.0	1.0
104	15	0	1	0.0325	13.0	13.0	0.0
105	14	0	1	0.03	12.0	12.0	0.0
