i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	15	1	1	0.0375	14.8	74.0	1.0
2	20	1	4	0.05	13.8	69.0	1.0
3	37	1	2	0.0925	33.2	166.0	1.0
4	21	1	3	0.0525	18.8	94.0	1.0
5	42	0	5	0.1	24.4	122.0	0.0
6	54	0	4	0.13	30.0	150.0	0.0
7	20	1	4	0.05	13.2	66.0	1.0
8	8	1	1	0.02	7.8	39.0	1.0
9	22	1	2	0.055	18.8	94.0	1.0
10	17	1	4	0.0425	12.0	60.0	1.0
11	30	0	5	0.065	18.4	92.0	0.0
12	44	0	5	0.095	30.4	152.0	0.0
13	8	1	2	0.02	7.6	38.0	1.0
14	29	0	5	0.0675	20.2	101.0	0.0
15	28	0	5	0.065	24.0	120.0	0.0
16	43	1	3	0.105	22.8	114.0	1.0
17	35	0	5	0.0825	17.2	86.0	0.0
18	32	0	5	0.075	14.2	71.0	0.0
19	36	1	3	0.09	27.4	137.0	1.0
20	17	1	3	0.0425	13.4	67.0	1.0
21	4	1	1	0.01	3.8	19.0	1.0
22	52	0	3	0.1275	28.0	140.0	0.0
23	12	1	3	0.03	11.4	57.0	1.0
24	9	1	1	0.0225	8.8	44.0	1.0
25	33	1	4	0.0825	16.4	82.0	1.0
26	13	1	2	0.0325	12.6	63.0	1.0
27	36	1	4	0.09	26.2	131.0	1.0
28	44	0	4	0.1025	14.2	71.0	0.0
29	27	0	5	0.0625	15.8	79.0	0.0
30	49	0	4	0.12	33.4	167.0	0.0
31	23	0	4	0.055	12.8	64.0	0.0
32	26	0	5	0.06	20.0	100.0	0.0
33	20	1	2	0.05	18.2	91.0	1.0
34	25	0	5	0.0575	15.2	76.0	0.0
35	18	1	2	0.045	14.4	72.0	1.0
36	38	0	5	0.09	27.0	135.0	0.0
37	28	1	3	0.07	20.6	103.0	1.0
38	12	0	5	0.015	6.0	30.0	0.0
39	29	1	4	0.0725	15.6	78.0	1.0
40	7	1	0	0.0175	7.0	35.0	1.0
