i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	49	0	4	0.12	36.2	181.0	0.75
2	44	0	4	0.1075	24.4	122.0	0.75
3	42	0	4	0.1025	32.4	162.0	0.75
4	24	0	5	0.055	16.6	83.0	0.5
5	44	0	4	0.1075	22.2	111.0	0.75
6	47	0	3	0.115	29.6	148.0	0.75
7	27	1	3	0.0675	24.0	120.0	1.0
8	14	0	5	0.03	7.2	36.0	0.25
9	55	0	4	0.135	23.6	118.0	0.75
10	40	1	4	0.1	20.8	104.0	1.0
11	25	0	3	0.06	19.4	97.0	0.75
12	50	0	4	0.1225	30.2	151.0	0.75
13	23	0	5	0.0525	16.8	84.0	0.25
14	26	1	3	0.065	22.4	112.0	1.0
15	40	0	5	0.0925	21.2	106.0	0.75
16	46	0	4	0.1125	25.8	129.0	0.75
17	54	0	3	0.13	26.6	133.0	0.75
18	18	0	5	0.04	12.0	60.0	0.25
19	48	0	3	0.0975	24.8	124.0	0.75
20	52	0	4	0.1275	36.4	182.0	0.75
21	50	0	4	0.115	13.6	68.0	0.75
22	13	0	5	0.0275	6.6	33.0	0.5
23	39	0	4	0.085	21.6	108.0	0.75
24	58	0	4	0.1425	34.4	172.0	0.75
25	27	0	5	0.0625	17.8	89.0	0.5
26	54	0	4	0.13	35.0	175.0	0.75
27	34	0	5	0.08	21.2	106.0	0.5
28	28	0	5	0.065	19.6	98.0	0.5
29	57	0	3	0.14	35.0	175.0	0.75
30	41	0	4	0.1	17.6	88.0	0.75
31	43	1	4	0.105	29.4	147.0	1.0
32	29	0	5	0.0675	14.6	73.0	0.75
33	46	0	4	0.1025	22.8	114.0	0.75
34	57	0	4	0.125	30.4	152.0	0.75
35	38	0	5	0.09	29.0	145.0	0.5
36	47	0	5	0.1125	22.6	113.0	0.5
37	27	0	5	0.0625	9.4	47.0	0.5
38	50	0	3	0.1225	30.2	151.0	0.75
39	40	0	5	0.095	24.0	120.0	0.5
40	22	0	4	0.0525	13.6	68.0	0.75
41	35	0	5	0.0825	14.2	71.0	0.75
42	21	0	5	0.0475	12.0	60.0	0.5
43	34	0	5	0.08	13.6	68.0	0.5
44	41	0	5	0.0975	17.8	89.0	0.5
45	26	0	5	0.06	18.4	92.0	0.5
46	34	0	3	0.0775	26.6	133.0	0.75
47	26	1	3	0.065	16.2	81.0	1.0
48	39	0	5	0.0925	17.8	89.0	0.5
49	34	0	3	0.0825	17.0	85.0	0.75
50	35	0	5	0.0825	14.2	71.0	0.75
