i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	39	1	3	0.095	26.0	130.0	1.0
2	32	0	5	0.075	19.0	95.0	0.3333333333333333
3	59	0	0	0.145	58.0	290.0	0.6666666666666666
4	35	0	4	0.085	22.8	114.0	0.6666666666666666
5	4	0	5	0.005	2.0	10.0	0.0
6	31	0	5	0.0725	21.8	109.0	0.0
7	50	0	3	0.12	30.6	153.0	0.6666666666666666
8	19	1	3	0.0475	17.2	86.0	1.0
9	15	1	3	0.035	13.2	66.0	1.0
10	27	1	3	0.0675	20.4	102.0	1.0
11	41	0	5	0.095	19.0	95.0	0.6666666666666666
12	16	0	5	0.035	10.8	54.0	0.3333333333333333
13	11	0	5	0.0225	4.2	21.0	0.0
14	36	0	5	0.085	29.6	148.0	0.6666666666666666
15	43	0	2	0.105	28.8	144.0	0.6666666666666666
16	28	0	4	0.0675	8.0	40.0	0.6666666666666666
17	31	0	5	0.0725	20.6	103.0	0.3333333333333333
18	54	0	3	0.1325	34.0	170.0	0.6666666666666666
19	45	0	4	0.11	21.4	107.0	0.6666666666666666
20	44	0	5	0.105	23.4	117.0	0.3333333333333333
21	54	0	4	0.13	29.6	148.0	0.6666666666666666
22	23	0	5	0.0525	12.6	63.0	0.6666666666666666
23	46	0	3	0.1125	30.0	150.0	0.6666666666666666
24	27	0	4	0.065	11.6	58.0	0.6666666666666666
25	49	0	4	0.1175	22.4	112.0	0.6666666666666666
26	34	1	4	0.085	22.4	112.0	1.0
27	34	0	5	0.08	19.2	96.0	0.3333333333333333
28	44	1	4	0.11	20.6	103.0	1.0
29	46	0	3	0.1075	29.2	146.0	0.6666666666666666
30	47	0	3	0.115	35.4	177.0	0.6666666666666666
31	40	0	4	0.0975	25.4	127.0	0.6666666666666666
32	58	0	3	0.1425	39.6	198.0	0.6666666666666666
33	23	1	4	0.0575	16.6	83.0	1.0
34	38	0	5	0.09	25.4	127.0	0.3333333333333333
35	23	0	4	0.0525	10.4	52.0	0.6666666666666666
36	11	0	5	0.0225	7.4	37.0	0.3333333333333333
37	31	0	5	0.0725	23.8	119.0	0.6666666666666666
38	38	0	3	0.0925	24.2	121.0	0.6666666666666666
39	38	1	4	0.095	23.8	119.0	1.0
40	27	1	2	0.0625	23.4	117.0	1.0
41	32	0	5	0.075	17.0	85.0	0.3333333333333333
42	57	0	4	0.14	29.6	148.0	0.6666666666666666
43	35	0	5	0.0825	12.8	64.0	0.3333333333333333
44	27	1	3	0.0675	18.8	94.0	1.0
45	20	0	5	0.045	14.0	70.0	0.3333333333333333
46	60	0	4	0.1475	32.0	160.0	0.6666666666666666
47	36	0	4	0.0875	17.8	89.0	0.6666666666666666
48	42	0	5	0.1	35.6	178.0	0.6666666666666666
49	46	1	4	0.115	22.4	112.0	1.0
50	21	0	5	0.0475	11.8	59.0	0.0
51	38	0	4	0.0925	16.6	83.0	0.6666666666666666
52	22	1	4	0.055	11.4	57.0	1.0
53	28	0	5	0.065	13.8	69.0	0.3333333333333333
54	18	0	5	0.04	13.8	69.0	0.0
55	45	0	5	0.1075	29.8	149.0	0.3333333333333333
56	35	1	4	0.0875	20.4	102.0	1.0
57	45	0	5	0.1075	19.8	99.0	0.6666666666666666
58	45	1	3	0.1125	42.8	214.0	1.0
59	37	1	2	0.09	30.0	150.0	1.0
60	42	1	4	0.105	29.8	149.0	1.0
61	41	0	4	0.1	26.2	131.0	0.6666666666666666
