i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	27	0	1	0.0625	25.0	25.0	0.5
2	29	0	1	0.0675	27.0	27.0	0.0
3	24	1	0	0.06	24.0	24.0	1.0
4	35	0	1	0.0825	33.0	33.0	0.0
5	26	0	1	0.06	24.0	24.0	0.5
6	28	0	1	0.065	26.0	26.0	0.5
7	17	0	1	0.0375	15.0	15.0	0.0
8	12	0	1	0.025	10.0	10.0	0.0
9	32	0	1	0.075	30.0	30.0	0.0
10	21	0	1	0.0475	19.0	19.0	0.0
11	41	1	0	0.1025	41.0	41.0	1.0
12	21	0	1	0.0475	19.0	19.0	0.5
13	27	0	1	0.0625	25.0	25.0	0.0
14	10	0	1	0.02	8.0	8.0	0.0
15	37	0	1	0.0875	35.0	35.0	0.0
16	4	0	1	0.005	2.0	2.0	0.0
17	30	1	0	0.075	30.0	30.0	1.0
18	21	0	1	0.0475	19.0	19.0	0.0
19	31	0	1	0.0725	29.0	29.0	0.5
20	23	0	1	0.0525	21.0	21.0	0.5
21	29	0	1	0.0675	27.0	27.0	0.0
22	19	1	0	0.0475	19.0	19.0	1.0
23	10	0	1	0.02	8.0	8.0	0.0
24	38	1	0	0.095	38.0	38.0	1.0
25	35	1	0	0.0875	35.0	35.0	1.0
26	13	0	1	0.0275	11.0	11.0	0.0
27	30	1	0	0.075	30.0	30.0	1.0
28	36	0	1	0.085	34.0	34.0	0.5
29	36	1	0	0.09	36.0	36.0	1.0
30	57	0	1	0.1375	55.0	55.0	0.5
31	22	0	1	0.05	20.0	20.0	0.0
32	20	0	1	0.045	18.0	18.0	0.0
33	55	1	0	0.1375	55.0	55.0	1.0
34	16	0	1	0.035	14.0	14.0	0.0
35	21	0	1	0.0475	19.0	19.0	0.5
36	18	0	1	0.04	16.0	16.0	0.0
37	29	0	1	0.0675	27.0	27.0	0.5
38	52	0	1	0.125	50.0	50.0	0.5
39	36	1	0	0.09	36.0	36.0	1.0
40	23	1	0	0.0575	23.0	23.0	1.0
41	44	0	1	0.105	42.0	42.0	0.5
42	2	0	1	0.0	0.0	0.0	0.0
43	7	0	1	0.0125	5.0	5.0	0.0
44	20	0	1	0.045	18.0	18.0	0.0
45	25	1	0	0.06	25.0	25.0	1.0
46	21	0	1	0.0475	19.0	19.0	0.0
47	21	0	1	0.0475	19.0	19.0	0.0
48	19	0	1	0.0425	17.0	17.0	0.0
49	23	1	0	0.0575	23.0	23.0	1.0
50	34	0	1	0.08	32.0	32.0	0.5
51	20	0	1	0.045	18.0	18.0	0.5
52	24	0	1	0.055	22.0	22.0	0.0
53	23	0	1	0.0525	21.0	21.0	0.0
54	57	0	1	0.1375	55.0	55.0	0.5
55	13	0	1	0.0275	11.0	11.0	0.0
56	22	0	1	0.05	20.0	20.0	0.5
57	27	0	1	0.0625	25.0	25.0	0.5
58	11	0	1	0.0225	9.0	9.0	0.0
59	41	1	0	0.1025	41.0	41.0	1.0
60	36	0	1	0.085	34.0	34.0	0.5
61	35	1	0	0.0875	35.0	35.0	1.0
62	16	0	1	0.035	14.0	14.0	0.0
63	24	0	1	0.055	22.0	22.0	0.5
64	33	0	1	0.0775	31.0	31.0	0.5
65	36	0	1	0.085	34.0	34.0	0.5
66	44	1	0	0.11	44.0	44.0	1.0
67	30	1	0	0.075	30.0	30.0	1.0
68	32	0	1	0.075	30.0	30.0	0.0
69	24	0	1	0.055	22.0	22.0	0.0
70	15	0	1	0.0325	13.0	13.0	0.0
71	17	0	1	0.0375	15.0	15.0	0.0
72	49	0	1	0.1175	47.0	47.0	0.5
73	24	1	0	0.06	24.0	24.0	1.0
74	29	0	1	0.0675	27.0	27.0	0.5
75	2	0	1	0.0	0.0	0.0	0.0
76	22	0	1	0.05	20.0	20.0	0.5
77	18	0	1	0.04	16.0	16.0	0.0
78	13	0	1	0.0275	11.0	11.0	0.0
79	28	1	0	0.07	28.0	28.0	1.0
80	30	0	1	0.07	28.0	28.0	0.5
81	47	1	0	0.1175	47.0	47.0	1.0
82	10	0	1	0.02	8.0	8.0	0.0
83	42	0	1	0.1	40.0	40.0	0.5
84	29	0	1	0.0675	27.0	27.0	0.5
85	21	1	0	0.0525	21.0	21.0	1.0
86	35	1	0	0.0875	35.0	35.0	1.0
87	17	0	1	0.0375	15.0	15.0	0.0
88	23	0	1	0.0525	21.0	21.0	0.0
89	27	1	0	0.0675	27.0	27.0	1.0
90	51	0	1	0.1225	49.0	49.0	0.5
91	30	0	1	0.07	28.0	28.0	0.5
92	31	0	1	0.0725	29.0	29.0	0.0
93	37	1	0	0.0925	37.0	37.0	1.0
94	17	1	0	0.0425	17.0	17.0	1.0
95	37	1	0	0.0925	37.0	37.0	1.0
96	18	0	1	0.04	16.0	16.0	0.0
97	30	1	0	0.075	30.0	30.0	1.0
98	17	0	1	0.0375	15.0	15.0	0.0
99	37	1	0	0.0925	37.0	37.0	1.0
100	20	0	1	0.045	18.0	18.0	0.0
101	26	0	1	0.06	24.0	24.0	0.0
102	17	1	0	0.0425	17.0	17.0	1.0
103	21	0	1	0.0475	19.0	19.0	0.0
104	27	0	1	0.0625	25.0	25.0	0.0
105	29	0	1	0.0675	27.0	27.0	0.0
106	31	1	0	0.0775	31.0	31.0	1.0
107	26	1	0	0.065	26.0	26.0	1.0
108	20	0	1	0.045	18.0	18.0	0.0
109	26	0	1	0.06	24.0	24.0	0.0
110	18	0	1	0.04	16.0	16.0	0.0
111	16	0	1	0.035	14.0	14.0	0.5
112	16	0	1	0.035	14.0	14.0	0.5
113	21	0	1	0.0475	19.0	19.0	0.5
114	25	1	0	0.0625	25.0	25.0	1.0
115	37	1	0	0.0925	37.0	37.0	1.0
116	37	1	0	0.0925	37.0	37.0	1.0
117	45	1	0	0.1125	45.0	45.0	1.0
118	14	0	1	0.03	12.0	12.0	0.0
119	20	0	1	0.045	18.0	18.0	0.0
120	20	0	1	0.045	18.0	18.0	0.0
121	35	1	0	0.0875	35.0	35.0	1.0
122	7	0	1	0.0125	5.0	5.0	0.0
123	5	0	1	0.0075	3.0	3.0	0.0
124	5	0	1	0.0075	3.0	3.0	0.0
125	40	1	0	0.1	40.0	40.0	1.0
126	47	0	1	0.1125	45.0	45.0	0.5
127	18	0	1	0.04	16.0	16.0	0.0
128	27	0	1	0.0625	25.0	25.0	0.5
129	53	0	1	0.1275	51.0	51.0	0.5
130	25	1	0	0.0625	25.0	25.0	1.0
131	13	1	0	0.0325	13.0	13.0	1.0
132	38	0	1	0.09	36.0	36.0	0.5
133	16	0	1	0.035	14.0	14.0	0.0
134	49	0	1	0.08	47.0	47.0	0.5
135	22	0	1	0.05	20.0	20.0	0.0
136	36	0	1	0.085	34.0	34.0	0.5
137	23	1	0	0.0575	23.0	23.0	1.0
138	15	0	1	0.0325	13.0	13.0	0.0
139	27	1	0	0.0675	27.0	27.0	1.0
140	47	1	0	0.1175	47.0	47.0	1.0
141	19	1	0	0.0475	19.0	19.0	1.0
142	29	0	1	0.0675	27.0	27.0	0.5
143	22	0	1	0.05	20.0	20.0	0.0
144	19	0	1	0.0425	17.0	17.0	0.0
145	43	1	0	0.1075	43.0	43.0	1.0
146	44	0	1	0.105	42.0	42.0	0.5
147	14	0	1	0.03	12.0	12.0	0.0
148	33	1	0	0.0825	33.0	33.0	1.0
149	26	1	0	0.065	26.0	26.0	1.0
150	30	0	1	0.07	28.0	28.0	0.0
151	19	0	1	0.0425	17.0	17.0	0.0
152	29	0	1	0.0675	27.0	27.0	0.5
153	23	1	0	0.0575	23.0	23.0	1.0
154	16	0	1	0.035	14.0	14.0	0.0
155	25	0	1	0.0575	23.0	23.0	0.5
156	27	0	1	0.0625	25.0	25.0	0.5
157	31	1	0	0.0775	31.0	31.0	1.0
158	22	1	0	0.055	22.0	22.0	1.0
159	32	0	1	0.075	30.0	30.0	0.5
160	35	0	1	0.0825	33.0	33.0	0.5
161	35	0	1	0.0825	33.0	33.0	0.5
162	15	0	1	0.0325	13.0	13.0	0.0
163	13	0	1	0.0275	11.0	11.0	0.5
164	35	0	1	0.0825	33.0	33.0	0.0
165	34	1	0	0.085	34.0	34.0	1.0
166	12	0	1	0.025	10.0	10.0	0.5
167	44	0	1	0.105	42.0	42.0	0.5
168	12	0	1	0.025	10.0	10.0	0.0
169	35	0	1	0.0825	33.0	33.0	0.0
170	15	0	1	0.0325	13.0	13.0	0.0
171	27	0	1	0.0625	25.0	25.0	0.5
172	17	0	1	0.0375	15.0	15.0	0.0
173	40	1	0	0.1	40.0	40.0	1.0
174	23	0	1	0.0525	21.0	21.0	0.0
175	45	1	0	0.1125	45.0	45.0	1.0
176	18	1	0	0.045	18.0	18.0	1.0
177	21	0	1	0.0475	19.0	19.0	0.0
178	22	0	1	0.05	20.0	20.0	0.0
179	45	1	0	0.1125	45.0	45.0	1.0
180	17	0	1	0.0375	15.0	15.0	0.0
181	24	0	1	0.055	22.0	22.0	0.5
182	31	0	1	0.0725	29.0	29.0	0.0
183	44	1	0	0.11	44.0	44.0	1.0
184	46	1	0	0.0775	46.0	46.0	1.0
185	37	0	1	0.0875	35.0	35.0	0.0
186	15	1	0	0.03	15.0	15.0	1.0
187	13	0	1	0.0275	11.0	11.0	0.0
188	35	0	1	0.0825	33.0	33.0	0.0
189	28	0	1	0.065	26.0	26.0	0.0
190	22	0	1	0.05	20.0	20.0	0.0
191	15	0	1	0.0325	13.0	13.0	0.0
192	32	0	1	0.075	30.0	30.0	0.5
193	22	0	1	0.05	20.0	20.0	0.0
194	20	1	0	0.05	20.0	20.0	1.0
195	7	0	1	0.0125	5.0	5.0	0.0
196	15	1	0	0.0375	15.0	15.0	1.0
197	22	0	1	0.05	20.0	20.0	0.0
198	40	0	1	0.095	38.0	38.0	0.5
199	17	0	1	0.0375	15.0	15.0	0.0
200	25	0	1	0.0575	23.0	23.0	0.5
201	31	1	0	0.0775	31.0	31.0	1.0
202	3	0	1	0.0025	1.0	1.0	0.0
203	40	1	0	0.1	40.0	40.0	1.0
204	8	1	0	0.02	8.0	8.0	1.0
205	49	1	0	0.1225	49.0	49.0	1.0
206	18	0	1	0.04	16.0	16.0	0.0
207	23	0	1	0.0525	21.0	21.0	0.0
208	14	0	1	0.03	12.0	12.0	0.0
209	29	0	1	0.0675	27.0	27.0	0.0
210	2	0	1	0.0	0.0	0.0	0.0
211	12	0	1	0.025	10.0	10.0	0.0
212	5	0	1	0.0075	3.0	3.0	0.0
213	49	0	1	0.1175	47.0	47.0	0.5
214	43	1	0	0.1075	43.0	43.0	1.0
215	20	1	0	0.05	20.0	20.0	1.0
216	22	1	0	0.055	22.0	22.0	1.0
217	36	0	1	0.085	34.0	34.0	0.5
218	40	0	1	0.095	38.0	38.0	0.0
219	32	0	1	0.075	30.0	30.0	0.0
220	20	0	1	0.045	18.0	18.0	0.0
221	33	1	0	0.0825	33.0	33.0	1.0
222	55	1	0	0.1375	55.0	55.0	1.0
223	12	0	1	0.025	10.0	10.0	0.0
224	36	1	0	0.0475	36.0	36.0	1.0
225	21	0	1	0.0475	19.0	19.0	0.0
226	16	0	1	0.035	14.0	14.0	0.0
227	36	1	0	0.09	36.0	36.0	1.0
228	5	0	1	0.0075	3.0	3.0	0.0
229	16	0	1	0.035	14.0	14.0	0.0
230	18	1	0	0.045	18.0	18.0	1.0
231	5	0	1	0.0075	3.0	3.0	0.0
232	28	0	1	0.065	26.0	26.0	0.0
233	20	0	1	0.045	18.0	18.0	0.5
234	42	1	0	0.105	42.0	42.0	1.0
235	5	0	1	0.0075	3.0	3.0	0.0
236	36	1	0	0.09	36.0	36.0	1.0
237	18	0	1	0.04	16.0	16.0	0.0
238	21	0	1	0.0475	19.0	19.0	0.0
239	27	1	0	0.0675	27.0	27.0	1.0
240	40	1	0	0.1	40.0	40.0	1.0
241	27	0	1	0.0625	25.0	25.0	0.0
242	54	1	0	0.135	54.0	54.0	1.0
243	30	0	1	0.07	28.0	28.0	0.0
244	28	0	1	0.065	26.0	26.0	0.0
245	5	0	1	0.0075	3.0	3.0	0.0
246	50	0	1	0.12	48.0	48.0	0.5
247	17	0	1	0.0375	15.0	15.0	0.0
248	48	1	0	0.12	48.0	48.0	1.0
249	43	0	1	0.1025	41.0	41.0	0.5
250	40	0	1	0.095	38.0	38.0	0.5
251	32	0	1	0.075	30.0	30.0	0.0
252	18	0	1	0.04	16.0	16.0	0.0
253	45	1	0	0.1125	45.0	45.0	1.0
254	22	0	1	0.05	20.0	20.0	0.5
255	21	0	1	0.0475	19.0	19.0	0.0
256	46	1	0	0.115	46.0	46.0	1.0
257	20	0	1	0.045	18.0	18.0	0.0
258	15	0	1	0.0325	13.0	13.0	0.0
