i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	19	1	0	0.1225	19.0	95.0	1.0
2	53	1	3	0.275	41.6	208.0	1.0
3	69	1	4	0.225	29.6	148.0	1.0
4	42	0	5	0.1725	20.4	102.0	0.6666666666666666
5	79	1	4	0.2675	45.2	226.0	1.0
6	21	1	2	0.135	20.6	103.0	1.0
7	26	1	1	0.175	22.4	112.0	1.0
8	39	1	3	0.255	27.4	137.0	1.0
9	43	1	3	0.2475	35.6	178.0	1.0
10	49	0	5	0.155	17.4	87.0	0.6666666666666666
11	59	0	5	0.2	33.6	168.0	0.6666666666666666
12	35	1	2	0.1625	32.6	163.0	1.0
13	35	1	1	0.1975	34.0	170.0	1.0
14	83	0	5	0.28	35.4	177.0	0.6666666666666666
15	27	1	0	0.19	27.0	135.0	1.0
16	27	1	2	0.2075	24.8	124.0	1.0
17	79	1	4	0.2925	44.8	224.0	1.0
18	23	1	1	0.1625	20.6	103.0	1.0
19	20	1	0	0.115	20.0	100.0	1.0
20	38	1	2	0.2325	32.4	162.0	1.0
21	29	1	3	0.1875	25.2	126.0	1.0
22	20	1	0	0.1175	20.0	100.0	1.0
23	16	1	1	0.105	15.4	77.0	1.0
24	30	1	2	0.1725	23.4	117.0	1.0
25	39	0	5	0.16	18.2	91.0	0.6666666666666666
26	54	0	5	0.1675	22.8	114.0	0.3333333333333333
27	82	1	4	0.2425	37.8	189.0	1.0
28	71	1	4	0.2225	31.4	157.0	1.0
29	51	1	4	0.1925	33.8	169.0	1.0
30	17	0	5	0.065	9.4	47.0	0.6666666666666666
31	57	1	3	0.2725	43.2	216.0	1.0
32	28	1	1	0.195	26.0	130.0	1.0
33	52	0	5	0.1225	26.6	133.0	0.6666666666666666
34	40	0	5	0.1675	21.4	107.0	0.3333333333333333
35	31	1	2	0.1675	20.6	103.0	1.0
36	30	1	1	0.1925	26.2	131.0	1.0
37	63	1	4	0.2075	34.2	171.0	1.0
38	43	0	5	0.2225	23.8	119.0	0.0
39	49	0	5	0.1325	25.2	126.0	0.6666666666666666
40	44	1	2	0.265	34.2	171.0	1.0
41	66	0	5	0.1425	27.4	137.0	0.6666666666666666
42	44	0	5	0.2125	29.0	145.0	0.3333333333333333
43	46	0	5	0.16	27.2	136.0	0.3333333333333333
44	23	1	2	0.1525	22.6	113.0	1.0
45	35	1	2	0.2475	32.8	164.0	1.0
46	27	1	2	0.165	24.6	123.0	1.0
47	25	1	0	0.2375	25.0	125.0	1.0
48	65	1	4	0.21	29.0	145.0	1.0
49	28	1	1	0.22	26.6	133.0	1.0
50	67	0	5	0.2175	30.6	153.0	0.3333333333333333
51	47	0	5	0.2675	31.6	158.0	0.6666666666666666
52	19	1	1	0.1275	17.2	86.0	1.0
53	29	1	2	0.2125	27.4	137.0	1.0
54	66	0	5	0.275	36.4	182.0	0.6666666666666666
55	44	0	5	0.1525	21.2	106.0	0.6666666666666666
56	50	0	5	0.1925	27.2	136.0	0.6666666666666666
57	28	1	2	0.1825	26.4	132.0	1.0
58	110	1	4	0.3025	49.4	247.0	1.0
59	73	1	4	0.2075	26.0	130.0	1.0
60	65	1	4	0.2125	29.0	145.0	1.0
61	60	0	5	0.235	37.8	189.0	0.6666666666666666
62	59	0	5	0.21	32.2	161.0	0.6666666666666666
63	28	1	1	0.2075	25.6	128.0	1.0
64	32	1	3	0.1525	23.0	115.0	1.0
65	32	1	3	0.1925	22.2	111.0	1.0
66	24	1	3	0.1225	22.2	111.0	1.0
67	30	1	2	0.1925	25.0	125.0	1.0
68	53	0	5	0.2575	32.2	161.0	0.6666666666666666
69	67	1	4	0.3	35.8	179.0	1.0
70	31	1	3	0.1925	28.0	140.0	1.0
71	39	0	5	0.225	27.8	139.0	0.0
72	42	0	5	0.2225	31.8	159.0	0.6666666666666666
73	34	1	3	0.2	21.0	105.0	1.0
74	41	1	3	0.27	30.8	154.0	1.0
75	37	1	4	0.1625	24.2	121.0	1.0
76	30	1	3	0.1475	22.4	112.0	1.0
77	49	1	4	0.175	24.0	120.0	1.0
78	38	0	5	0.14	19.2	96.0	0.0
79	24	1	2	0.1675	21.6	108.0	1.0
80	23	0	5	0.1075	18.0	90.0	0.6666666666666666
