i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	303	1	8	0.755	158.7	1587.0	1.0
2	228	1	8	0.5675	96.3	963.0	1.0
3	191	1	7	0.475	115.8	1158.0	1.0
4	375	0	10	0.93	277.3	2773.0	0.75
5	321	1	9	0.8	159.3	1593.0	1.0
6	247	1	9	0.615	181.5	1815.0	1.0
7	240	0	10	0.5925	152.7	1527.0	0.75
8	401	0	9	0.9975	131.6	1316.0	0.75
9	393	0	10	0.975	126.8	1268.0	0.75
10	334	1	9	0.8325	192.0	1920.0	1.0
11	257	0	10	0.635	53.4	534.0	0.75
12	289	0	10	0.715	143.2	1432.0	0.75
13	306	1	6	0.7625	252.9	2529.0	1.0
14	268	1	8	0.6675	170.9	1709.0	1.0
15	395	1	7	0.985	208.2	2082.0	1.0
16	294	0	10	0.7275	63.3	633.0	0.5
17	330	1	7	0.8225	253.8	2538.0	1.0
18	387	1	9	0.965	133.7	1337.0	1.0
19	320	1	9	0.7975	210.1	2101.0	1.0
20	382	1	5	0.9525	280.3	2803.0	1.0
21	282	1	8	0.7025	177.3	1773.0	1.0
22	299	0	10	0.74	229.9	2299.0	0.5
23	312	1	9	0.7775	101.1	1011.0	1.0
24	296	1	9	0.7375	198.8	1988.0	1.0
25	339	0	10	0.84	185.5	1855.0	0.75
26	242	0	10	0.5975	126.6	1266.0	0.75
27	316	1	9	0.7875	135.0	1350.0	1.0
28	313	1	8	0.78	192.9	1929.0	1.0
29	347	1	9	0.865	169.6	1696.0	1.0
30	330	1	9	0.8225	240.3	2403.0	1.0
31	294	1	8	0.7325	160.8	1608.0	1.0
32	317	0	10	0.785	102.7	1027.0	0.75
33	320	0	10	0.7925	236.9	2369.0	0.25
34	358	1	7	0.8925	288.3	2883.0	1.0
35	308	0	10	0.7625	177.9	1779.0	0.75
36	385	1	7	0.96	195.7	1957.0	1.0
37	341	1	8	0.85	174.7	1747.0	1.0
38	168	0	10	0.4125	75.6	756.0	0.5
39	346	1	8	0.8625	210.1	2101.0	1.0
40	366	1	9	0.9125	154.2	1542.0	1.0
41	290	1	9	0.7225	167.5	1675.0	1.0
42	252	1	9	0.6275	101.6	1016.0	1.0
43	265	1	9	0.66	154.0	1540.0	1.0
44	267	0	10	0.66	153.7	1537.0	0.75
45	375	1	8	0.935	224.7	2247.0	1.0
