i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	128	1	7	0.3175	97.8	978.0	1.0
2	386	1	8	0.9625	230.7	2307.0	1.0
3	369	1	9	0.92	151.3	1513.0	1.0
4	300	1	7	0.7475	155.9	1559.0	1.0
5	390	1	8	0.9725	181.3	1813.0	1.0
6	264	0	10	0.6525	83.5	835.0	0.75
7	206	1	6	0.5125	102.2	1022.0	1.0
8	226	0	10	0.5575	174.9	1749.0	0.75
9	350	0	10	0.8675	141.9	1419.0	0.75
10	148	1	7	0.3675	74.7	747.0	1.0
11	357	1	9	0.89	172.9	1729.0	1.0
12	313	1	8	0.78	295.0	2950.0	1.0
13	292	1	9	0.7275	104.3	1043.0	1.0
14	351	1	8	0.875	153.1	1531.0	1.0
15	385	1	9	0.96	163.1	1631.0	1.0
16	158	0	10	0.3875	76.6	766.0	0.5
17	319	1	6	0.795	165.9	1659.0	1.0
18	231	1	9	0.575	84.2	842.0	1.0
19	365	0	10	0.905	126.4	1264.0	0.75
20	291	1	8	0.725	197.8	1978.0	1.0
21	381	1	8	0.95	264.5	2645.0	1.0
22	338	0	10	0.8375	166.2	1662.0	0.75
23	307	1	8	0.765	229.4	2294.0	1.0
24	125	1	9	0.31	57.5	575.0	1.0
25	311	1	9	0.775	93.9	939.0	1.0
26	289	1	8	0.72	196.6	1966.0	1.0
27	331	1	9	0.825	185.0	1850.0	1.0
28	317	0	10	0.785	216.8	2168.0	0.75
29	305	0	10	0.755	85.1	851.0	0.75
30	284	1	7	0.7075	199.6	1996.0	1.0
31	321	0	10	0.795	271.8	2718.0	0.25
32	108	1	9	0.2675	55.4	554.0	1.0
33	363	1	9	0.905	114.9	1149.0	1.0
34	395	1	9	0.985	225.1	2251.0	1.0
35	384	1	8	0.9575	237.3	2373.0	1.0
36	244	0	10	0.6025	142.2	1422.0	0.75
37	379	1	5	0.945	268.2	2682.0	1.0
38	292	1	9	0.7275	133.3	1333.0	1.0
39	377	1	8	0.94	202.0	2020.0	1.0
