i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	27	0	1	0.0625	25.0	25	0.0
2	58	0	1	0.1375	56.0	56	0.4
3	15	0	1	0.0325	13.0	13	0.0
4	23	0	1	0.0525	21.0	21	0.0
5	42	0	1	0.1	40.0	40	0.4
6	90	0	1	0.2075	88.0	88	0.8
7	43	0	1	0.1025	41.0	41	0.4
8	7	0	1	0.0125	5.0	5	0.0
9	35	0	1	0.0825	33.0	33	0.0
10	71	1	0	0.1575	71.0	71	1.0
11	18	0	1	0.04	16.0	16	0.0
12	42	0	1	0.0875	40.0	40	0.2
13	24	0	1	0.055	22.0	22	0.0
14	83	1	0	0.1675	83.0	83	1.0
15	54	0	1	0.1075	52.0	52	0.4
16	22	0	1	0.05	20.0	20	0.0
17	85	0	1	0.165	83.0	83	0.6
18	24	0	1	0.055	22.0	22	0.0
19	21	0	1	0.0475	19.0	19	0.0
20	34	0	1	0.08	32.0	32	0.0
21	21	0	1	0.0475	19.0	19	0.0
22	33	0	1	0.07	31.0	31	0.2
23	52	0	1	0.1175	50.0	50	0.4
24	63	0	1	0.1225	61.0	61	0.4
25	60	0	1	0.1375	58.0	58	0.6
26	43	0	1	0.0875	41.0	41	0.6
27	48	0	1	0.1	46.0	46	0.4
28	84	1	0	0.195	84.0	84	1.0
29	60	0	1	0.1075	58.0	58	0.4
30	34	0	1	0.08	32.0	32	0.0
31	5	0	1	0.0075	3.0	3	0.0
32	27	0	1	0.0625	25.0	25	0.0
33	19	0	1	0.0425	17.0	17	0.2
34	29	0	1	0.0675	27.0	27	0.2
35	22	0	1	0.05	20.0	20	0.0
36	20	0	1	0.0425	18.0	18	0.2
37	15	0	1	0.0325	13.0	13	0.0
38	33	0	1	0.0775	31.0	31	0.2
39	25	0	1	0.05	23.0	23	0.2
40	60	0	1	0.145	58.0	58	0.2
41	44	0	1	0.105	42.0	42	0.2
42	59	0	1	0.13	57.0	57	0.2
43	42	0	1	0.09	40.0	40	0.2
44	31	0	1	0.0725	29.0	29	0.0
45	25	0	1	0.0575	23.0	23	0.0
46	42	0	1	0.095	40.0	40	0.4
47	26	0	1	0.06	24.0	24	0.0
48	51	0	1	0.115	49.0	49	0.4
49	38	0	1	0.09	36.0	36	0.4
50	26	0	1	0.06	24.0	24	0.4
