i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	71	1	3	0.865	57.6	576.0	1.0
2	56	1	2	0.8475	49.7	497.0	1.0
3	327	0	2	0.8375	155.3	1553.0	0.3333333333333333
4	115	1	2	0.9775	92.3	923.0	1.0
5	41	1	0	0.795	41.0	410.0	1.0
6	109	1	2	0.9725	90.4	904.0	1.0
7	71	1	1	0.9675	65.9	659.0	1.0
8	45	1	1	0.84	43.6	436.0	1.0
9	131	1	3	0.99	112.4	1124.0	1.0
10	203	0	8	0.9475	89.0	890.0	0.6666666666666666
11	289	0	7	0.955	83.1	831.0	0.6666666666666666
12	72	1	2	0.93	62.4	624.0	1.0
13	175	0	6	0.825	77.5	775.0	0.0
14	261	1	8	0.935	141.2	1412.0	1.0
15	289	0	4	0.94	117.0	1170.0	0.3333333333333333
16	327	0	4	0.89	150.8	1508.0	0.3333333333333333
17	99	0	9	0.6	33.7	337.0	0.6666666666666666
18	89	1	3	0.9775	76.6	766.0	1.0
19	132	1	5	0.9925	80.9	809.0	1.0
20	29	1	0	0.4975	29.0	290.0	1.0
21	78	1	2	0.98	71.4	714.0	1.0
22	90	1	3	0.985	78.9	789.0	1.0
23	348	0	9	0.9875	125.3	1253.0	0.6666666666666666
24	41	1	0	0.795	41.0	410.0	1.0
25	213	1	7	0.8375	68.2	682.0	1.0
26	77	1	3	0.9525	65.8	658.0	1.0
27	289	0	7	0.8625	84.0	840.0	0.6666666666666666
28	117	1	3	0.9775	96.5	965.0	1.0
29	134	1	3	0.9975	100.1	1001.0	1.0
30	83	1	2	0.9775	74.9	749.0	1.0
31	238	1	5	0.995	95.7	957.0	1.0
32	213	0	7	0.9925	110.1	1101.0	0.6666666666666666
33	45	1	0	0.875	45.0	450.0	1.0
34	43	1	1	0.7675	40.2	402.0	1.0
35	53	1	0	0.975	53.0	530.0	1.0
36	251	0	5	0.9825	119.2	1192.0	0.6666666666666666
37	310	1	9	0.9625	114.7	1147.0	1.0
38	44	1	1	0.7925	41.3	413.0	1.0
39	66	1	1	0.96	61.4	614.0	1.0
40	68	1	1	0.945	63.2	632.0	1.0
41	365	0	4	0.9475	174.4	1744.0	0.6666666666666666
42	156	1	6	0.99	81.6	816.0	1.0
43	341	0	10	0.9825	159.1	1591.0	0.6666666666666666
44	88	1	3	0.9	68.4	684.0	1.0
45	39	1	0	0.7475	39.0	390.0	1.0
46	111	1	4	0.94	87.4	874.0	1.0
47	175	0	6	0.9775	99.3	993.0	0.6666666666666666
48	289	0	7	0.92	80.3	803.0	0.6666666666666666
49	92	1	3	0.9875	86.3	863.0	1.0
50	255	0	7	0.9125	105.8	1058.0	0.6666666666666666
51	204	0	9	0.895	42.3	423.0	0.6666666666666666
52	292	0	8	0.9875	144.9	1449.0	0.6666666666666666
53	75	1	3	0.885	59.2	592.0	1.0
54	146	1	8	0.85	80.4	804.0	1.0
55	43	1	1	0.825	42.5	425.0	1.0
56	305	0	8	0.9575	135.6	1356.0	0.6666666666666666
57	240	1	6	0.99	142.2	1422.0	1.0
58	85	1	2	0.9925	75.9	759.0	1.0
59	66	1	3	0.935	57.3	573.0	1.0
60	73	1	2	0.9625	65.4	654.0	1.0
61	84	1	4	0.93	67.4	674.0	1.0
62	99	1	4	0.92	73.8	738.0	1.0
63	35	1	0	0.6475	35.0	350.0	1.0
64	102	1	4	0.93	80.5	805.0	1.0
65	73	1	3	0.8725	53.0	530.0	1.0
66	210	0	7	0.8725	98.4	984.0	0.6666666666666666
67	28	1	2	0.4175	25.0	250.0	1.0
68	74	1	4	0.8825	59.4	594.0	1.0
69	69	1	3	0.8925	58.1	581.0	1.0
70	65	1	1	0.9325	60.5	605.0	1.0
71	87	1	5	0.8275	56.5	565.0	1.0
72	32	1	5	0.3475	19.6	196.0	1.0
73	82	1	3	0.94	70.0	700.0	1.0
74	50	1	0	0.9475	50.0	500.0	1.0
75	45	1	0	0.875	45.0	450.0	1.0
76	72	1	3	0.94	61.1	611.0	1.0
77	43	1	1	0.7925	41.2	412.0	1.0
78	107	1	2	0.9425	89.6	896.0	1.0
79	30	1	1	0.4825	27.3	273.0	1.0
80	36	1	0	0.6725	36.0	360.0	1.0
81	128	1	5	0.92	74.4	744.0	1.0
82	71	1	3	0.9175	61.6	616.0	1.0
83	251	0	4	0.985	113.9	1139.0	0.6666666666666666
84	46	1	0	0.8925	46.0	460.0	1.0
85	36	1	0	0.6725	36.0	360.0	1.0
86	252	0	8	0.9975	101.2	1012.0	0.6666666666666666
87	155	1	5	0.8775	79.0	790.0	1.0
88	64	1	2	0.8975	56.4	564.0	1.0
89	60	1	3	0.79	45.2	452.0	1.0
90	52	1	0	0.9675	52.0	520.0	1.0
91	135	1	5	0.9225	92.8	928.0	1.0
92	241	0	6	0.9975	114.6	1146.0	0.6666666666666666
93	271	0	8	0.9675	130.9	1309.0	0.6666666666666666
94	327	0	3	0.9425	147.8	1478.0	0.6666666666666666
95	39	1	0	0.7475	39.0	390.0	1.0
96	132	1	5	1.0	90.8	908.0	1.0
97	265	0	9	0.9725	114.4	1144.0	0.6666666666666666
98	272	0	7	0.9075	120.2	1202.0	0.6666666666666666
