i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	1055	0	10	0.7675	353.8	3538.0	0.0
2	1304	0	10	0.955	375.2	3752.0	0.5
3	389	1	6	0.745	265.3	2653.0	1.0
4	706	1	9	0.4125	86.0	860.0	1.0
5	305	1	4	0.7575	231.1	2311.0	1.0
6	993	0	10	0.81	388.2	3882.0	0.5
7	147	1	0	0.46	146.2	1462.0	1.0
8	398	1	7	0.7775	227.8	2278.0	1.0
9	931	0	10	0.9775	656.4	6564.0	0.5
10	488	0	10	0.5425	180.2	1802.0	0.5
11	148	1	0	0.45	147.4	1474.0	1.0
12	226	1	3	0.7125	182.6	1826.0	1.0
13	1889	0	10	0.8075	485.0	4850.0	0.5
14	792	1	7	0.8775	424.4	4244.0	1.0
15	695	0	10	0.85	253.1	2531.0	0.5
16	1616	0	10	0.8675	508.2	5082.0	0.5
17	83	1	0	0.26	82.3	823.0	1.0
18	838	0	10	0.76	198.0	1980.0	0.5
19	94	1	8	0.2875	36.5	365.0	1.0
20	423	0	10	0.6375	126.5	1265.0	0.5
21	623	1	7	0.9475	384.9	3849.0	1.0
22	227	1	3	0.5225	202.0	2020.0	1.0
23	236	1	4	0.5275	161.1	1611.0	1.0
24	167	1	2	0.48	150.1	1501.0	1.0
25	147	1	2	0.58	143.8	1438.0	1.0
26	17	1	2	0.075	14.6	146.0	1.0
27	1612	0	10	0.9325	534.9	5349.0	0.5
28	446	1	8	0.8275	264.6	2646.0	1.0
29	888	0	10	0.915	401.5	4015.0	0.5
30	389	1	5	0.61	314.3	3143.0	1.0
31	775	1	5	0.845	568.1	5681.0	1.0
32	168	1	6	0.425	98.7	987.0	1.0
33	527	1	6	0.87	362.9	3629.0	1.0
34	369	0	10	0.7425	193.5	1935.0	0.5
35	196	1	7	0.4575	103.1	1031.0	1.0
36	901	0	10	0.8625	311.9	3119.0	0.5
37	270	1	7	0.485	167.4	1674.0	1.0
38	655	0	10	0.9175	315.4	3154.0	0.5
39	399	1	8	0.71	180.5	1805.0	1.0
40	1128	0	10	0.6675	209.2	2092.0	0.5
41	487	1	5	0.8175	314.1	3141.0	1.0
42	64	1	2	0.21	56.5	565.0	1.0
43	82	1	1	0.4175	80.5	805.0	1.0
44	16	1	0	0.0825	15.5	155.0	1.0
45	162	1	3	0.5725	143.6	1436.0	1.0
46	515	1	3	0.91	463.6	4636.0	1.0
47	492	1	9	0.705	171.7	1717.0	1.0
48	326	1	2	0.785	287.8	2878.0	1.0
49	233	1	6	0.6625	116.9	1169.0	1.0
50	215	1	4	0.555	157.2	1572.0	1.0
51	328	1	5	0.7	272.5	2725.0	1.0
52	1018	0	10	0.915	449.4	4494.0	0.5
53	739	0	10	0.9425	430.1	4301.0	0.5
54	431	0	10	0.6725	165.9	1659.0	0.0
55	458	1	8	0.705	241.4	2414.0	1.0
56	268	1	8	0.6025	166.0	1660.0	1.0
57	1366	0	10	0.945	642.3	6423.0	0.5
58	229	0	10	0.315	68.3	683.0	0.5
59	332	1	4	0.92	303.5	3035.0	1.0
60	123	1	2	0.375	110.3	1103.0	1.0
61	124	1	3	0.3675	102.8	1028.0	1.0
62	459	0	10	0.7325	199.9	1999.0	0.5
63	143	1	1	0.425	142.8	1428.0	1.0
64	123	1	0	0.4175	122.8	1228.0	1.0
65	312	1	7	0.6675	134.6	1346.0	1.0
66	988	1	9	0.785	197.6	1976.0	1.0
67	626	0	10	0.63	222.6	2226.0	0.5
68	235	1	8	0.64	135.1	1351.0	1.0
69	115	1	3	0.455	106.3	1063.0	1.0
70	348	1	4	0.715	295.0	2950.0	1.0
71	246	1	0	0.6375	245.3	2453.0	1.0
72	543	1	7	0.8725	290.7	2907.0	1.0
73	687	0	10	0.525	223.8	2238.0	0.5
74	278	1	3	0.6825	231.5	2315.0	1.0
75	893	0	10	0.9275	302.6	3026.0	0.5
76	299	1	8	0.4175	156.4	1564.0	1.0
77	416	0	10	0.4	124.3	1243.0	0.5
78	1116	0	10	0.8925	397.4	3974.0	0.5
79	502	1	8	0.7025	147.9	1479.0	1.0
80	429	1	5	0.9175	301.5	3015.0	1.0
81	765	1	9	0.9375	305.8	3058.0	1.0
82	586	1	8	0.835	293.0	2930.0	1.0
83	171	1	5	0.5025	106.6	1066.0	1.0
84	548	0	10	0.6175	108.8	1088.0	0.5
85	577	0	10	0.8425	222.4	2224.0	0.5
86	377	1	8	0.7925	143.7	1437.0	1.0
87	632	1	4	0.84	519.9	5199.0	1.0
88	565	0	10	0.7525	150.3	1503.0	0.0
89	499	1	5	0.9425	423.8	4238.0	1.0
90	489	1	7	0.815	223.1	2231.0	1.0
91	406	1	2	0.94	352.0	3520.0	1.0
92	231	1	2	0.7	207.2	2072.0	1.0
93	1074	0	10	0.885	397.8	3978.0	0.5
94	717	1	8	0.865	316.1	3161.0	1.0
95	72	1	2	0.2775	64.3	643.0	1.0
96	973	0	10	0.92	378.1	3781.0	0.0
97	231	0	10	0.3575	91.2	912.0	0.5
98	358	0	10	0.65	118.2	1182.0	0.5
99	438	1	8	0.835	280.1	2801.0	1.0
100	280	1	6	0.625	194.5	1945.0	1.0
101	318	1	7	0.8	156.2	1562.0	1.0
102	1200	0	10	0.96	438.9	4389.0	0.5
103	388	0	10	0.745	228.4	2284.0	0.5
104	1157	0	10	0.9875	693.4	6934.0	0.5
105	339	1	4	0.775	275.6	2756.0	1.0
106	401	0	10	0.6525	174.0	1740.0	0.5
107	1954	1	9	0.9925	498.3	4983.0	1.0
108	250	1	7	0.5	116.2	1162.0	1.0
109	1321	0	10	0.975	833.1	8331.0	0.5
110	2423	0	10	0.9375	514.1	5141.0	0.5
111	1032	0	10	0.9025	490.5	4905.0	0.5
112	904	0	10	0.7275	357.8	3578.0	0.5
113	1191	1	9	0.9275	362.8	3628.0	1.0
114	941	1	8	0.9675	382.2	3822.0	1.0
115	522	0	10	0.8625	216.2	2162.0	0.5
116	241	1	6	0.775	174.6	1746.0	1.0
117	250	1	1	0.7325	240.8	2408.0	1.0
118	1187	0	10	0.9275	524.8	5248.0	0.0
119	1198	1	8	0.9375	535.9	5359.0	1.0
120	147	1	5	0.4125	84.6	846.0	1.0
121	748	0	10	0.7525	245.4	2454.0	0.0
122	293	1	1	0.84	284.4	2844.0	1.0
123	397	1	3	0.8225	342.7	3427.0	1.0
124	505	0	10	0.785	180.9	1809.0	0.5
125	199	1	6	0.565	131.4	1314.0	1.0
126	421	1	7	0.815	146.0	1460.0	1.0
127	1182	0	10	0.9225	383.9	3839.0	0.5
128	390	0	10	0.4675	105.2	1052.0	0.0
129	142	1	2	0.515	138.7	1387.0	1.0
130	306	0	10	0.6675	142.8	1428.0	0.5
131	782	0	10	0.895	334.2	3342.0	0.0
132	135	1	3	0.4225	120.4	1204.0	1.0
133	605	0	10	0.64	152.5	1525.0	0.5
134	227	1	1	0.525	223.8	2238.0	1.0
135	295	1	3	0.725	240.1	2401.0	1.0
136	1412	0	10	0.9275	324.6	3246.0	0.5
