i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	45	0	1	0.105	43.0	43.0	0.5
2	66	0	1	0.1225	64.0	64.0	0.0
3	34	0	1	0.0775	32.0	32.0	0.0
4	11	0	1	0.0225	9.0	9.0	0.0
5	34	0	1	0.08	32.0	32.0	0.0
6	10	0	1	0.02	8.0	8.0	0.0
7	25	0	1	0.0575	23.0	23.0	0.0
8	36	0	1	0.085	34.0	34.0	0.5
9	30	0	1	0.07	28.0	28.0	0.0
10	41	0	1	0.0725	39.0	39.0	0.0
11	30	0	1	0.07	28.0	28.0	0.0
12	7	0	1	0.0125	5.0	5.0	0.0
13	34	0	1	0.08	32.0	32.0	0.5
14	62	0	1	0.1075	60.0	60.0	0.5
15	23	0	1	0.05	21.0	21.0	0.0
16	16	0	1	0.035	14.0	14.0	0.5
17	8	0	1	0.015	6.0	6.0	0.0
18	27	0	1	0.06	25.0	25.0	0.0
19	22	0	1	0.05	20.0	20.0	0.0
20	26	0	1	0.06	24.0	24.0	0.5
21	33	0	1	0.075	31.0	31.0	0.0
22	34	0	1	0.08	32.0	32.0	0.0
23	57	0	1	0.135	55.0	55.0	0.5
24	12	0	1	0.025	10.0	10.0	0.0
25	24	0	1	0.055	22.0	22.0	0.0
26	23	0	1	0.0525	21.0	21.0	0.0
27	32	0	1	0.075	30.0	30.0	0.0
28	40	0	1	0.0925	38.0	38.0	0.5
29	47	0	1	0.11	45.0	45.0	0.5
30	14	0	1	0.03	12.0	12.0	0.0
31	35	1	0	0.08	35.0	35.0	1.0
32	32	0	1	0.075	30.0	30.0	0.0
33	35	0	1	0.08	33.0	33.0	0.5
34	10	0	1	0.02	8.0	8.0	0.0
35	54	0	1	0.1275	52.0	52.0	0.5
36	5	0	1	0.0075	3.0	3.0	0.0
37	12	0	1	0.025	10.0	10.0	0.0
38	38	0	1	0.09	36.0	36.0	0.0
39	11	0	1	0.0225	9.0	9.0	0.0
40	67	0	1	0.13	65.0	65.0	0.0
41	9	0	1	0.0175	7.0	7.0	0.0
42	43	0	1	0.0875	41.0	41.0	0.0
43	24	0	1	0.055	22.0	22.0	0.0
44	18	0	1	0.04	16.0	16.0	0.0
45	30	1	0	0.0725	30.0	30.0	1.0
46	13	0	1	0.0275	11.0	11.0	0.0
47	28	0	1	0.065	26.0	26.0	0.0
48	39	0	1	0.09	37.0	37.0	0.0
49	20	0	1	0.045	18.0	18.0	0.0
50	39	0	1	0.09	37.0	37.0	0.0
51	30	0	1	0.07	28.0	28.0	0.0
52	42	0	1	0.0975	40.0	40.0	0.5
53	57	0	1	0.1325	55.0	55.0	0.5
54	19	0	1	0.0425	17.0	17.0	0.0
55	10	0	1	0.02	8.0	8.0	0.0
56	34	0	1	0.0775	32.0	32.0	0.0
57	28	1	0	0.0675	28.0	28.0	1.0
58	24	0	1	0.055	22.0	22.0	0.0
59	26	0	1	0.06	24.0	24.0	0.5
60	22	0	1	0.05	20.0	20.0	0.0
61	13	0	1	0.0275	11.0	11.0	0.0
62	29	0	1	0.0675	27.0	27.0	0.5
63	19	0	1	0.04	17.0	17.0	0.5
64	18	0	1	0.04	16.0	16.0	0.0
65	19	0	1	0.0425	17.0	17.0	0.0
66	22	0	1	0.05	20.0	20.0	0.0
67	10	0	1	0.02	8.0	8.0	0.0
68	13	0	1	0.0275	11.0	11.0	0.0
69	14	0	1	0.03	12.0	12.0	0.0
70	13	0	1	0.0275	11.0	11.0	0.0
71	31	0	1	0.0725	29.0	29.0	0.0
72	26	1	0	0.0625	26.0	26.0	1.0
73	32	0	1	0.075	30.0	30.0	0.0
74	13	0	1	0.0275	11.0	11.0	0.0
75	28	0	1	0.065	26.0	26.0	0.0
76	35	0	1	0.0825	33.0	33.0	0.0
77	53	1	0	0.1275	53.0	53.0	1.0
78	33	0	1	0.075	31.0	31.0	0.5
79	94	0	1	0.1875	92.0	92.0	0.5
80	23	0	1	0.0525	21.0	21.0	0.5
81	50	0	1	0.0825	48.0	48.0	0.0
82	78	1	0	0.185	78.0	78.0	1.0
83	31	0	1	0.0725	29.0	29.0	0.0
84	31	0	1	0.07	29.0	29.0	0.5
85	33	0	1	0.0775	31.0	31.0	0.5
86	9	0	1	0.0175	7.0	7.0	0.5
87	32	0	1	0.0725	30.0	30.0	0.0
88	18	0	1	0.035	16.0	16.0	0.0
89	19	0	1	0.0425	17.0	17.0	0.0
90	26	0	1	0.06	24.0	24.0	0.0
91	21	0	1	0.0475	19.0	19.0	0.0
92	34	0	1	0.08	32.0	32.0	0.0
93	35	0	1	0.08	33.0	33.0	0.5
94	7	0	1	0.0125	5.0	5.0	0.0
95	22	0	1	0.05	20.0	20.0	0.0
96	26	0	1	0.0575	24.0	24.0	0.0
97	14	0	1	0.03	12.0	12.0	0.0
98	59	0	1	0.12	57.0	57.0	0.5
99	24	0	1	0.055	22.0	22.0	0.5
100	25	0	1	0.0575	23.0	23.0	0.5
101	49	0	1	0.115	47.0	47.0	0.0
102	43	0	1	0.1	41.0	41.0	0.0
103	10	0	1	0.02	8.0	8.0	0.0
104	28	0	1	0.065	26.0	26.0	0.0
105	31	0	1	0.0725	29.0	29.0	0.5
106	38	0	1	0.09	36.0	36.0	0.0
107	15	0	1	0.0325	13.0	13.0	0.0
108	26	0	1	0.06	24.0	24.0	0.5
109	29	0	1	0.065	27.0	27.0	0.5
110	21	0	1	0.0475	19.0	19.0	0.0
111	22	0	1	0.05	20.0	20.0	0.5
112	2	0	1	0.0	0.0	0.0	0.0
113	37	0	1	0.085	35.0	35.0	0.5
114	22	1	0	0.0525	22.0	22.0	1.0
115	36	0	1	0.0725	34.0	34.0	0.5
116	25	0	1	0.055	23.0	23.0	0.5
117	51	0	1	0.12	49.0	49.0	0.0
118	31	0	1	0.07	29.0	29.0	0.5
119	16	0	1	0.035	14.0	14.0	0.0
120	62	0	1	0.145	60.0	60.0	0.0
