i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	30	0	5	0.14	21.8	109.0	0.6666666666666666
2	49	1	4	0.2525	28.6	143.0	1.0
3	35	1	1	0.1425	17.8	89.0	1.0
4	37	0	5	0.18	23.6	118.0	0.3333333333333333
5	31	1	2	0.2	26.2	131.0	1.0
6	39	1	2	0.215	24.2	121.0	1.0
7	29	1	1	0.1325	22.0	110.0	1.0
8	28	1	0	0.16	18.6	93.0	1.0
9	37	0	5	0.1475	21.4	107.0	0.6666666666666666
10	63	0	5	0.22	23.8	119.0	0.6666666666666666
11	33	1	2	0.1775	22.8	114.0	1.0
12	32	0	5	0.175	20.6	103.0	0.6666666666666666
13	27	0	5	0.1275	16.8	84.0	0.6666666666666666
14	38	1	4	0.1725	23.6	118.0	1.0
15	50	1	3	0.195	22.6	113.0	1.0
16	27	1	0	0.115	16.4	82.0	1.0
17	50	1	2	0.2575	29.2	146.0	1.0
18	25	1	0	0.1725	23.2	116.0	1.0
19	33	1	2	0.165	23.0	115.0	1.0
20	61	1	4	0.24	28.6	143.0	1.0
21	16	1	0	0.1175	13.8	69.0	1.0
22	28	0	5	0.1175	17.2	86.0	0.3333333333333333
23	57	0	5	0.23	29.8	149.0	0.3333333333333333
24	31	1	0	0.195	20.8	104.0	1.0
25	59	1	3	0.1975	25.4	127.0	1.0
26	30	0	5	0.13	17.2	86.0	0.3333333333333333
27	35	0	5	0.1325	16.4	82.0	0.0
28	34	1	0	0.1775	22.2	111.0	1.0
29	16	1	3	0.085	13.6	68.0	1.0
30	28	0	5	0.065	6.8	34.0	0.3333333333333333
31	27	0	5	0.1275	16.2	81.0	0.6666666666666666
32	45	0	5	0.245	23.0	115.0	0.3333333333333333
33	25	1	0	0.1825	21.2	106.0	1.0
34	18	1	2	0.0925	11.6	58.0	1.0
35	36	0	5	0.115	15.4	77.0	0.3333333333333333
36	28	1	0	0.1225	23.2	116.0	1.0
37	48	0	5	0.185	23.0	115.0	0.6666666666666666
38	22	1	1	0.1175	15.4	77.0	1.0
39	23	1	0	0.1025	19.4	97.0	1.0
40	45	0	5	0.1275	18.6	93.0	0.6666666666666666
41	28	1	0	0.145	18.2	91.0	1.0
42	30	1	3	0.18	22.2	111.0	1.0
43	31	1	0	0.14	26.0	130.0	1.0
44	47	0	5	0.1975	25.6	128.0	0.6666666666666666
45	25	1	0	0.135	22.2	111.0	1.0
46	40	1	2	0.235	25.0	125.0	1.0
47	13	1	4	0.0525	9.8	49.0	1.0
48	25	1	3	0.1025	14.6	73.0	1.0
49	30	0	5	0.1425	22.2	111.0	0.3333333333333333
50	27	1	1	0.2025	25.2	126.0	1.0
51	31	1	1	0.1725	20.4	102.0	1.0
52	27	1	0	0.195	24.4	122.0	1.0
53	32	0	5	0.17	22.0	110.0	0.0
54	62	0	5	0.22	27.2	136.0	0.3333333333333333
55	29	0	5	0.16	15.8	79.0	0.3333333333333333
56	38	0	5	0.16	20.4	102.0	0.0
57	20	1	0	0.095	14.4	72.0	1.0
58	32	1	1	0.23	25.2	126.0	1.0
59	31	1	2	0.1825	24.0	120.0	1.0
60	19	1	1	0.09	11.8	59.0	1.0
61	32	0	5	0.155	21.2	106.0	0.3333333333333333
62	41	0	5	0.1325	16.4	82.0	0.6666666666666666
63	36	0	5	0.16	24.2	121.0	0.6666666666666666
64	24	1	0	0.1525	20.2	101.0	1.0
65	21	1	0	0.155	16.4	82.0	1.0
66	22	1	0	0.1375	14.8	74.0	1.0
67	42	0	5	0.205	26.0	130.0	0.6666666666666666
68	58	1	4	0.3125	33.4	167.0	1.0
69	38	0	5	0.1625	27.2	136.0	0.3333333333333333
70	54	1	3	0.1975	23.6	118.0	1.0
71	33	1	1	0.205	23.2	116.0	1.0
72	37	1	1	0.2375	28.2	141.0	1.0
73	57	1	4	0.2575	24.4	122.0	1.0
74	58	1	4	0.2675	31.0	155.0	1.0
75	19	1	2	0.1075	13.6	68.0	1.0
76	35	1	3	0.1225	17.4	87.0	1.0
77	54	0	5	0.165	25.8	129.0	0.6666666666666666
78	23	1	0	0.1925	20.2	101.0	1.0
79	38	0	5	0.18	25.4	127.0	0.6666666666666666
80	41	1	4	0.16	22.4	112.0	1.0
81	30	0	5	0.1625	18.2	91.0	0.6666666666666666
82	16	1	1	0.0625	9.2	46.0	1.0
83	35	0	5	0.175	21.4	107.0	0.3333333333333333
84	33	1	3	0.14	23.0	115.0	1.0
85	35	1	3	0.1725	26.4	132.0	1.0
86	52	0	5	0.2275	25.0	125.0	0.0
87	35	1	3	0.26	28.0	140.0	1.0
88	23	1	1	0.175	18.2	91.0	1.0
89	28	1	3	0.12	18.8	94.0	1.0
90	73	1	4	0.2475	28.6	143.0	1.0
91	30	0	5	0.15	18.2	91.0	0.0
92	32	1	2	0.165	21.0	105.0	1.0
93	39	1	1	0.2525	25.2	126.0	1.0
94	57	0	5	0.2675	29.8	149.0	0.3333333333333333
95	57	0	5	0.2275	28.2	141.0	0.3333333333333333
96	27	0	5	0.095	14.2	71.0	0.3333333333333333
97	50	0	5	0.195	24.4	122.0	0.6666666666666666
98	48	0	5	0.1475	18.4	92.0	0.6666666666666666
99	36	0	5	0.19	23.4	117.0	0.6666666666666666
100	39	1	4	0.235	24.0	120.0	1.0
101	27	0	5	0.1675	18.0	90.0	0.6666666666666666
102	48	0	5	0.1775	23.8	119.0	0.6666666666666666
103	40	1	3	0.21	24.8	124.0	1.0
104	37	0	5	0.1575	25.0	125.0	0.3333333333333333
105	32	0	5	0.16	19.6	98.0	0.6666666666666666
106	37	1	4	0.2125	27.0	135.0	1.0
107	51	0	5	0.1475	21.2	106.0	0.6666666666666666
108	39	0	5	0.1825	23.2	116.0	0.6666666666666666
109	32	1	0	0.18	23.2	116.0	1.0
110	57	1	4	0.2625	32.4	162.0	1.0
111	51	0	5	0.22	27.2	136.0	0.6666666666666666
112	36	1	1	0.14	23.4	117.0	1.0
113	21	1	0	0.0875	19.4	97.0	1.0
114	40	0	5	0.1825	20.2	101.0	0.6666666666666666
115	34	1	1	0.2	23.2	116.0	1.0
116	35	1	3	0.1775	21.0	105.0	1.0
117	66	1	4	0.2075	31.2	156.0	1.0
118	69	0	5	0.255	28.6	143.0	0.6666666666666666
119	29	0	5	0.1825	19.6	98.0	0.3333333333333333
120	61	1	4	0.225	30.6	153.0	1.0
121	46	1	4	0.195	25.8	129.0	1.0
122	28	1	4	0.1825	19.0	95.0	1.0
123	51	1	4	0.21	26.0	130.0	1.0
124	34	0	5	0.2025	25.6	128.0	0.3333333333333333
125	40	1	3	0.1825	19.6	98.0	1.0
126	26	0	5	0.085	12.6	63.0	0.3333333333333333
127	27	0	5	0.12	12.4	62.0	0.3333333333333333
128	28	0	5	0.1775	18.8	94.0	0.6666666666666666
129	31	1	1	0.185	25.2	126.0	1.0
130	38	0	5	0.1975	26.2	131.0	0.6666666666666666
131	51	1	1	0.2475	27.8	139.0	1.0
132	26	0	5	0.1725	18.8	94.0	0.6666666666666666
133	40	0	5	0.1625	29.6	148.0	0.6666666666666666
134	33	0	5	0.18	22.6	113.0	0.6666666666666666
135	24	1	4	0.0875	14.8	74.0	1.0
136	30	1	4	0.09	10.0	50.0	1.0
137	41	0	5	0.185	29.8	149.0	0.3333333333333333
138	30	1	0	0.195	21.2	106.0	1.0
139	24	1	2	0.1325	18.0	90.0	1.0
140	48	0	5	0.1725	23.6	118.0	0.6666666666666666
141	59	0	5	0.195	27.0	135.0	0.6666666666666666
142	43	1	4	0.2075	25.0	125.0	1.0
143	26	1	1	0.145	18.8	94.0	1.0
144	30	1	0	0.2	25.0	125.0	1.0
145	36	0	5	0.12	19.2	96.0	0.6666666666666666
146	17	1	3	0.075	12.4	62.0	1.0
147	27	1	2	0.19	24.2	121.0	1.0
148	36	0	5	0.1825	21.6	108.0	0.0
149	39	1	0	0.18	23.0	115.0	1.0
150	35	1	3	0.1875	28.0	140.0	1.0
151	29	1	3	0.175	22.4	112.0	1.0
152	37	0	5	0.1825	23.0	115.0	0.3333333333333333
153	31	1	3	0.145	23.4	117.0	1.0
