i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	35	1	2	0.1625	15.0	90	1.0
2	64	0	6	0.2325	24.833333333333332	149	0.3333333333333333
3	48	1	3	0.275	25.5	153	1.0
4	59	1	3	0.2475	22.5	135	1.0
5	37	1	4	0.2025	21.333333333333332	128	1.0
6	42	0	6	0.15	16.333333333333332	98	0.6666666666666666
7	18	1	2	0.1	11.666666666666666	70	1.0
8	47	1	3	0.2175	23.833333333333332	143	1.0
9	25	1	0	0.165	16.333333333333332	98	1.0
10	56	0	6	0.1775	20.666666666666668	124	0.6666666666666666
11	42	1	3	0.1575	16.333333333333332	98	1.0
12	61	0	6	0.2625	22.166666666666668	133	0.6666666666666666
13	28	1	3	0.13	17.0	102	1.0
14	21	1	2	0.1175	14.0	84	1.0
15	28	1	3	0.1375	20.666666666666668	124	1.0
16	22	1	2	0.1925	17.166666666666668	103	1.0
17	23	1	2	0.0875	9.666666666666666	58	1.0
18	30	1	2	0.2325	20.666666666666668	124	1.0
19	29	1	2	0.1775	19.0	114	1.0
20	78	0	6	0.225	31.333333333333332	188	0.6666666666666666
21	35	0	6	0.155	19.833333333333332	119	0.3333333333333333
22	27	1	3	0.1325	16.5	99	1.0
23	83	1	5	0.28	26.5	159	1.0
24	28	1	1	0.19	18.833333333333332	113	1.0
25	37	0	6	0.155	17.0	102	0.6666666666666666
26	23	1	2	0.12	14.5	87	1.0
27	48	1	4	0.19	30.0	180	1.0
28	56	1	4	0.2875	29.333333333333332	176	1.0
29	26	0	6	0.0625	5.0	30	0.3333333333333333
30	27	0	6	0.14	12.333333333333334	74	0.6666666666666666
31	34	1	4	0.2025	21.833333333333332	131	1.0
32	31	0	6	0.1175	11.666666666666666	70	0.6666666666666666
33	48	0	6	0.185	18.833333333333332	113	0.6666666666666666
34	31	1	4	0.155	19.333333333333332	116	1.0
35	33	1	1	0.19	17.833333333333332	107	1.0
36	44	1	5	0.1425	15.166666666666666	91	1.0
37	47	0	6	0.285	26.166666666666668	157	0.6666666666666666
38	14	1	4	0.075	10.166666666666666	61	1.0
39	28	1	2	0.155	19.833333333333332	119	1.0
40	35	1	0	0.2325	20.5	123	1.0
41	29	0	6	0.1425	16.333333333333332	98	0.3333333333333333
42	20	0	6	0.065	10.833333333333334	65	0.3333333333333333
43	23	1	1	0.1125	15.5	93	1.0
44	45	1	3	0.175	22.166666666666668	133	1.0
45	53	1	5	0.235	21.666666666666668	130	1.0
46	76	1	4	0.265	27.166666666666668	163	1.0
47	49	0	6	0.22	25.166666666666668	151	0.3333333333333333
48	25	1	2	0.1675	17.0	102	1.0
49	28	1	3	0.145	19.166666666666668	115	1.0
50	18	1	0	0.165	14.333333333333334	86	1.0
51	48	1	3	0.2025	20.5	123	1.0
52	31	1	2	0.15	16.0	96	1.0
53	30	1	1	0.225	21.0	126	1.0
54	30	1	1	0.1775	18.5	111	1.0
55	36	0	6	0.16	17.833333333333332	107	0.3333333333333333
56	59	1	5	0.215	23.5	141	1.0
57	56	0	6	0.2775	26.833333333333332	161	0.6666666666666666
58	66	0	6	0.2075	24.833333333333332	149	0.6666666666666666
59	30	0	6	0.07	4.833333333333333	29	0.3333333333333333
60	52	1	4	0.2525	26.333333333333332	158	1.0
61	45	1	4	0.17	22.0	132	1.0
62	28	1	1	0.1575	16.0	96	1.0
63	30	0	6	0.0925	9.666666666666666	58	0.3333333333333333
64	72	1	5	0.245	28.0	168	1.0
65	78	0	6	0.285	30.166666666666668	181	0.6666666666666666
66	31	1	1	0.1975	19.666666666666668	118	1.0
67	46	1	5	0.16	20.166666666666668	121	1.0
68	32	1	3	0.15	17.666666666666668	106	1.0
69	32	1	1	0.1525	18.333333333333332	110	1.0
70	40	1	3	0.2275	22.166666666666668	133	1.0
71	33	1	3	0.25	21.833333333333332	131	1.0
72	35	1	1	0.1825	21.166666666666668	127	1.0
73	29	1	0	0.1625	18.833333333333332	113	1.0
74	28	1	5	0.1425	18.333333333333332	110	1.0
75	34	1	1	0.2775	25.166666666666668	151	1.0
76	29	1	1	0.18	20.833333333333332	125	1.0
77	25	1	2	0.105	19.0	114	1.0
78	33	1	4	0.1775	22.333333333333332	134	1.0
79	35	1	0	0.155	16.166666666666668	97	1.0
80	31	1	4	0.22	20.166666666666668	121	1.0
81	25	1	3	0.1525	17.833333333333332	107	1.0
82	39	1	3	0.1475	15.666666666666666	94	1.0
83	49	1	5	0.1925	23.166666666666668	139	1.0
84	39	1	3	0.1675	20.5	123	1.0
85	58	0	6	0.2725	25.333333333333332	152	0.6666666666666666
86	36	1	1	0.2175	21.5	129	1.0
87	35	1	2	0.2225	22.166666666666668	133	1.0
88	42	1	2	0.2125	25.5	153	1.0
89	50	1	5	0.2175	30.0	180	1.0
90	39	1	2	0.21	17.666666666666668	106	1.0
91	36	1	2	0.15	18.833333333333332	113	1.0
92	32	0	6	0.1525	17.833333333333332	107	0.6666666666666666
93	28	1	0	0.1675	18.833333333333332	113	1.0
94	29	0	6	0.2	17.833333333333332	107	0.3333333333333333
95	35	1	2	0.175	18.666666666666668	112	1.0
96	37	0	6	0.1275	20.5	123	0.6666666666666666
97	40	1	4	0.2125	24.666666666666668	148	1.0
98	37	1	1	0.22	20.333333333333332	122	1.0
99	34	1	5	0.18	18.166666666666668	109	1.0
100	34	1	5	0.135	17.333333333333332	104	1.0
101	30	1	2	0.1975	19.5	117	1.0
102	43	0	6	0.1975	22.5	135	0.3333333333333333
103	31	1	3	0.1775	16.5	99	1.0
104	32	1	3	0.17	16.0	96	1.0
105	26	1	0	0.135	13.166666666666666	79	1.0
106	32	1	0	0.19	21.5	129	1.0
107	57	1	4	0.2675	25.5	153	1.0
108	54	0	6	0.3425	30.166666666666668	181	0.3333333333333333
109	40	1	5	0.215	20.833333333333332	125	1.0
110	65	1	4	0.2225	24.5	147	1.0
111	69	1	5	0.265	27.833333333333332	167	1.0
112	42	1	2	0.1725	19.666666666666668	118	1.0
113	35	0	6	0.1325	12.5	75	0.3333333333333333
114	59	1	3	0.1725	20.666666666666668	124	1.0
115	23	1	4	0.155	16.0	96	1.0
116	35	0	6	0.2075	23.666666666666668	142	0.6666666666666666
117	64	0	6	0.245	29.666666666666668	178	0.6666666666666666
118	23	1	0	0.1625	16.666666666666668	100	1.0
119	34	1	0	0.18	15.333333333333334	92	1.0
120	26	1	0	0.2075	18.833333333333332	113	1.0
121	27	1	0	0.2125	21.0	126	1.0
122	38	1	3	0.1475	18.666666666666668	112	1.0
123	27	0	6	0.1	11.833333333333334	71	0.6666666666666666
124	20	1	1	0.13	14.166666666666666	85	1.0
125	27	1	3	0.1275	16.666666666666668	100	1.0
126	33	1	2	0.195	22.333333333333332	134	1.0
127	34	1	3	0.235	22.5	135	1.0
128	62	1	4	0.315	28.0	168	1.0
129	44	1	2	0.2325	24.833333333333332	149	1.0
130	35	1	3	0.205	20.666666666666668	124	1.0
131	31	1	0	0.17	19.0	114	1.0
