i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	7	1	0	0.0175	7.0	7.0	1.0
2	7	0	1	0.0125	5.0	5.0	0.0
3	21	0	1	0.0475	19.0	19.0	0.0
4	9	1	0	0.0225	9.0	9.0	1.0
5	22	0	1	0.05	20.0	20.0	0.0
6	19	1	0	0.0475	19.0	19.0	1.0
7	22	0	1	0.05	20.0	20.0	0.0
8	24	0	1	0.055	22.0	22.0	0.0
9	19	0	1	0.0325	17.0	17.0	0.0
10	28	0	1	0.065	26.0	26.0	0.0
11	12	0	1	0.025	10.0	10.0	0.0
12	9	1	0	0.0225	9.0	9.0	1.0
13	23	0	1	0.0525	21.0	21.0	0.0
14	1	1	0	0.0025	1.0	1.0	1.0
15	22	1	0	0.055	22.0	22.0	1.0
16	19	0	1	0.0425	17.0	17.0	0.0
17	20	0	1	0.045	18.0	18.0	0.0
18	22	0	1	0.045	20.0	20.0	0.0
19	11	0	1	0.0225	9.0	9.0	0.0
20	7	0	1	0.0125	5.0	5.0	0.0
21	12	1	0	0.03	12.0	12.0	1.0
22	17	1	0	0.0425	17.0	17.0	1.0
23	9	0	1	0.0175	7.0	7.0	0.0
24	16	0	1	0.035	14.0	14.0	0.0
25	29	0	1	0.0675	27.0	27.0	0.0
26	16	0	1	0.035	14.0	14.0	0.0
27	12	0	1	0.025	10.0	10.0	0.0
28	16	0	1	0.035	14.0	14.0	0.0
29	16	0	1	0.035	14.0	14.0	0.0
30	21	1	0	0.0525	21.0	21.0	1.0
31	19	0	1	0.0425	17.0	17.0	0.0
32	8	0	1	0.015	6.0	6.0	0.0
33	13	0	1	0.0275	11.0	11.0	0.0
34	19	0	1	0.0425	17.0	17.0	0.0
35	23	0	1	0.0525	21.0	21.0	0.0
36	12	0	1	0.025	10.0	10.0	0.0
37	11	1	0	0.0275	11.0	11.0	1.0
38	31	0	1	0.0725	29.0	29.0	0.0
39	13	1	0	0.0325	13.0	13.0	1.0
40	14	0	1	0.03	12.0	12.0	0.0
