i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	4	0	1	0.005	2.0	2.0	0.0
2	52	0	1	0.1225	50.0	50.0	0.8
3	45	0	1	0.1075	43.0	43.0	0.6
4	13	0	1	0.0275	11.0	11.0	0.0
5	13	0	1	0.0275	11.0	11.0	0.2
6	47	0	1	0.1125	45.0	45.0	0.8
7	28	0	1	0.065	26.0	26.0	0.2
8	49	1	0	0.1225	49.0	49.0	1.0
9	6	0	1	0.01	4.0	4.0	0.0
10	18	0	1	0.04	16.0	16.0	0.0
11	15	0	1	0.0325	13.0	13.0	0.0
12	14	0	1	0.03	12.0	12.0	0.0
13	4	0	1	0.005	2.0	2.0	0.0
14	16	0	1	0.035	14.0	14.0	0.0
15	25	0	1	0.0575	23.0	23.0	0.4
16	33	0	1	0.0775	31.0	31.0	0.4
17	23	0	1	0.0525	21.0	21.0	0.2
18	11	0	1	0.0225	9.0	9.0	0.2
19	28	0	1	0.055	26.0	26.0	0.2
20	9	0	1	0.0175	7.0	7.0	0.0
21	5	0	1	0.0075	3.0	3.0	0.0
22	26	0	1	0.06	24.0	24.0	0.6
23	13	0	1	0.0275	11.0	11.0	0.0
24	38	1	0	0.095	38.0	38.0	1.0
25	13	0	1	0.0275	11.0	11.0	0.4
26	13	0	1	0.0275	11.0	11.0	0.0
27	10	0	1	0.02	8.0	8.0	0.0
28	44	1	0	0.11	44.0	44.0	1.0
29	32	0	1	0.075	30.0	30.0	0.6
30	26	0	1	0.06	24.0	24.0	0.2
31	30	0	1	0.07	28.0	28.0	0.4
32	23	0	1	0.0525	21.0	21.0	0.2
33	4	0	1	0.005	2.0	2.0	0.0
34	21	0	1	0.0475	19.0	19.0	0.2
35	21	0	1	0.0475	19.0	19.0	0.2
36	21	0	1	0.0475	19.0	19.0	0.4
37	22	0	1	0.05	20.0	20.0	0.0
38	40	0	1	0.0725	38.0	38.0	0.4
39	30	0	1	0.07	28.0	28.0	0.4
40	59	0	1	0.1425	57.0	57.0	0.8
41	54	0	1	0.13	52.0	52.0	0.8
42	11	0	1	0.0225	9.0	9.0	0.0
43	11	0	1	0.0225	9.0	9.0	0.0
44	7	0	1	0.0125	5.0	5.0	0.0
45	44	1	0	0.11	44.0	44.0	1.0
46	12	0	1	0.025	10.0	10.0	0.0
47	15	0	1	0.0325	13.0	13.0	0.0
48	32	0	1	0.075	30.0	30.0	0.2
49	35	0	1	0.0825	33.0	33.0	0.6
50	21	0	1	0.0475	19.0	19.0	0.2
51	16	0	1	0.035	14.0	14.0	0.0
52	17	0	1	0.0375	15.0	15.0	0.2
53	12	0	1	0.025	10.0	10.0	0.0
54	4	0	1	0.005	2.0	2.0	0.0
55	17	0	1	0.0375	15.0	15.0	0.2
56	16	0	1	0.035	14.0	14.0	0.0
57	28	0	1	0.065	26.0	26.0	0.4
58	21	0	1	0.0425	19.0	19.0	0.4
59	31	0	1	0.0725	29.0	29.0	0.4
60	26	1	0	0.065	26.0	26.0	1.0
61	24	0	1	0.055	22.0	22.0	0.2
62	26	0	1	0.06	24.0	24.0	0.4
63	42	0	1	0.1	40.0	40.0	0.6
64	35	0	1	0.0825	33.0	33.0	0.8
65	48	0	1	0.115	46.0	46.0	0.6
66	30	0	1	0.07	28.0	28.0	0.2
67	40	1	0	0.1	40.0	40.0	1.0
68	59	0	1	0.1425	57.0	57.0	0.8
69	12	0	1	0.025	10.0	10.0	0.0
70	37	0	1	0.07	35.0	35.0	0.2
71	15	0	1	0.0325	13.0	13.0	0.0
72	24	0	1	0.055	22.0	22.0	0.0
73	13	0	1	0.0275	11.0	11.0	0.0
74	13	0	1	0.0275	11.0	11.0	0.0
75	14	0	1	0.03	12.0	12.0	0.2
76	7	0	1	0.0125	5.0	5.0	0.0
77	15	0	1	0.0325	13.0	13.0	0.2
78	15	0	1	0.0325	13.0	13.0	0.0
79	19	0	1	0.0425	17.0	17.0	0.2
80	32	0	1	0.075	30.0	30.0	0.4
81	26	0	1	0.06	24.0	24.0	0.2
82	61	1	0	0.1475	61.0	61.0	1.0
83	49	0	1	0.1175	47.0	47.0	0.8
84	20	0	1	0.045	18.0	18.0	0.2
85	46	1	0	0.115	46.0	46.0	1.0
86	61	1	0	0.15	61.0	61.0	1.0
87	18	0	1	0.03	16.0	16.0	0.2
88	10	0	1	0.02	8.0	8.0	0.0
89	27	0	1	0.0625	25.0	25.0	0.2
90	17	0	1	0.0375	15.0	15.0	0.2
91	9	0	1	0.0175	7.0	7.0	0.0
92	22	0	1	0.045	20.0	20.0	0.4
93	43	1	0	0.1075	43.0	43.0	1.0
94	17	0	1	0.0375	15.0	15.0	0.0
95	20	0	1	0.045	18.0	18.0	0.2
96	29	0	1	0.0675	27.0	27.0	0.4
97	18	0	1	0.04	16.0	16.0	0.2
98	4	0	1	0.005	2.0	2.0	0.0
99	37	0	1	0.0875	35.0	35.0	0.4
100	19	0	1	0.0425	17.0	17.0	0.2
101	47	0	1	0.1125	45.0	45.0	0.6
102	15	0	1	0.0325	13.0	13.0	0.0
103	18	0	1	0.04	16.0	16.0	0.0
104	50	1	0	0.125	50.0	50.0	1.0
105	48	1	0	0.12	48.0	48.0	1.0
106	11	0	1	0.0225	9.0	9.0	0.0
107	30	0	1	0.07	28.0	28.0	0.6
108	49	0	1	0.1175	47.0	47.0	0.6
109	5	0	1	0.0075	3.0	3.0	0.0
110	35	0	1	0.0825	33.0	33.0	0.8
111	57	1	0	0.1425	57.0	57.0	1.0
112	16	0	1	0.035	14.0	14.0	0.2
113	18	0	1	0.04	16.0	16.0	0.0
114	7	0	1	0.0125	5.0	5.0	0.0
115	14	0	1	0.03	12.0	12.0	0.2
116	4	0	1	0.005	2.0	2.0	0.0
117	33	0	1	0.0775	31.0	31.0	0.6
118	12	0	1	0.025	10.0	10.0	0.4
119	46	0	1	0.1	44.0	44.0	0.8
120	47	0	1	0.1125	45.0	45.0	0.6
121	14	0	1	0.03	12.0	12.0	0.0
122	21	0	1	0.0475	19.0	19.0	0.2
123	15	0	1	0.0325	13.0	13.0	0.0
124	23	0	1	0.0525	21.0	21.0	0.4
125	16	0	1	0.035	14.0	14.0	0.2
126	9	0	1	0.0175	7.0	7.0	0.0
127	43	0	1	0.095	41.0	41.0	0.8
128	8	0	1	0.015	6.0	6.0	0.0
129	36	1	0	0.09	36.0	36.0	1.0
130	24	0	1	0.055	22.0	22.0	0.4
131	7	0	1	0.0125	5.0	5.0	0.0
132	11	0	1	0.0225	9.0	9.0	0.0
133	18	0	1	0.04	16.0	16.0	0.0
134	21	0	1	0.0475	19.0	19.0	0.2
135	5	0	1	0.0075	3.0	3.0	0.0
136	33	0	1	0.0775	31.0	31.0	0.6
137	20	0	1	0.045	18.0	18.0	0.4
138	17	0	1	0.0375	15.0	15.0	0.0
139	23	0	1	0.0525	21.0	21.0	0.2
140	14	0	1	0.03	12.0	12.0	0.2
141	14	0	1	0.03	12.0	12.0	0.0
142	43	0	1	0.0875	41.0	41.0	0.8
143	51	0	1	0.1225	49.0	49.0	0.6
144	14	0	1	0.03	12.0	12.0	0.0
145	19	0	1	0.0425	17.0	17.0	0.2
146	30	0	1	0.07	28.0	28.0	0.2
147	25	0	1	0.0575	23.0	23.0	0.2
148	44	1	0	0.11	44.0	44.0	1.0
149	48	0	1	0.115	46.0	46.0	0.8
150	10	0	1	0.02	8.0	8.0	0.0
151	25	0	1	0.0575	23.0	23.0	0.6
152	39	1	0	0.0975	39.0	39.0	1.0
153	21	0	1	0.0475	19.0	19.0	0.2
154	25	0	1	0.0575	23.0	23.0	0.0
155	34	0	1	0.08	32.0	32.0	0.6
156	31	0	1	0.0725	29.0	29.0	0.4
157	56	1	0	0.14	56.0	56.0	1.0
158	8	0	1	0.015	6.0	6.0	0.0
159	25	0	1	0.0575	23.0	23.0	0.0
160	25	0	1	0.0575	23.0	23.0	0.2
161	20	0	1	0.045	18.0	18.0	0.2
162	4	0	1	0.005	2.0	2.0	0.0
163	6	0	1	0.01	4.0	4.0	0.0
164	16	0	1	0.035	14.0	14.0	0.0
165	40	1	0	0.1	40.0	40.0	1.0
166	23	0	1	0.0525	21.0	21.0	0.2
167	14	0	1	0.03	12.0	12.0	0.0
168	41	1	0	0.1025	41.0	41.0	1.0
169	50	1	0	0.1225	50.0	50.0	1.0
170	43	0	1	0.1025	41.0	41.0	0.6
171	23	0	1	0.0525	21.0	21.0	0.2
172	33	0	1	0.0725	31.0	31.0	0.6
