i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	22	0	1	0.05	20.0	20.0	0.25
2	32	0	1	0.075	30.0	30.0	0.0
3	50	0	1	0.1175	48.0	48.0	0.25
4	15	0	1	0.0325	13.0	13.0	0.0
5	56	0	1	0.135	54.0	54.0	0.5
6	26	0	1	0.06	24.0	24.0	0.0
7	14	0	1	0.03	12.0	12.0	0.25
8	16	0	1	0.035	14.0	14.0	0.0
9	41	0	1	0.0975	39.0	39.0	0.25
10	89	0	1	0.2	87.0	87.0	0.75
11	42	0	1	0.1	40.0	40.0	0.25
12	18	0	1	0.04	16.0	16.0	0.0
13	82	0	1	0.1775	80.0	80.0	0.5
14	41	0	1	0.0975	39.0	39.0	0.5
15	20	0	1	0.045	18.0	18.0	0.0
16	25	0	1	0.0575	23.0	23.0	0.0
17	33	0	1	0.0775	31.0	31.0	0.25
18	61	0	1	0.1475	59.0	59.0	0.5
19	60	0	1	0.1425	58.0	58.0	0.5
20	35	0	1	0.0825	33.0	33.0	0.0
21	27	0	1	0.0625	25.0	25.0	0.0
22	20	0	1	0.045	18.0	18.0	0.0
23	34	0	1	0.08	32.0	32.0	0.0
24	12	0	1	0.025	10.0	10.0	0.25
25	16	0	1	0.035	14.0	14.0	0.0
26	24	0	1	0.055	22.0	22.0	0.0
27	11	0	1	0.0225	9.0	9.0	0.0
28	26	0	1	0.06	24.0	24.0	0.0
29	16	0	1	0.035	14.0	14.0	0.0
30	36	0	1	0.085	34.0	34.0	0.25
31	65	0	1	0.155	63.0	63.0	0.5
32	63	0	1	0.125	61.0	61.0	0.25
33	41	0	1	0.0975	39.0	39.0	0.5
34	38	0	1	0.09	36.0	36.0	0.5
35	31	0	1	0.0725	29.0	29.0	0.0
36	9	0	1	0.0175	7.0	7.0	0.0
37	10	0	1	0.02	8.0	8.0	0.0
38	77	1	0	0.1925	77.0	77.0	1.0
39	9	0	1	0.0175	7.0	7.0	0.0
40	8	0	1	0.015	6.0	6.0	0.0
41	26	0	1	0.06	24.0	24.0	0.0
42	55	0	1	0.13	53.0	53.0	0.75
43	29	0	1	0.0675	27.0	27.0	0.0
44	45	0	1	0.1075	43.0	43.0	0.25
45	98	1	0	0.2175	98.0	98.0	1.0
46	34	0	1	0.08	32.0	32.0	0.25
47	46	0	1	0.11	44.0	44.0	0.5
48	32	0	1	0.075	30.0	30.0	0.25
49	40	0	1	0.095	38.0	38.0	0.0
50	92	1	0	0.185	92.0	92.0	1.0
51	37	0	1	0.0875	35.0	35.0	0.0
52	46	0	1	0.11	44.0	44.0	0.75
53	35	0	1	0.08	33.0	33.0	0.75
54	18	0	1	0.04	16.0	16.0	0.0
55	30	0	1	0.07	28.0	28.0	0.0
56	48	0	1	0.115	46.0	46.0	0.25
57	34	0	1	0.08	32.0	32.0	0.25
58	11	0	1	0.0225	9.0	9.0	0.0
59	31	1	0	0.0775	31.0	31.0	1.0
60	51	0	1	0.1225	49.0	49.0	0.25
61	44	0	1	0.105	42.0	42.0	0.25
62	34	0	1	0.08	32.0	32.0	0.0
63	29	0	1	0.0675	27.0	27.0	0.5
64	30	0	1	0.07	28.0	28.0	0.0
65	28	0	1	0.065	26.0	26.0	0.0
66	47	0	1	0.11	45.0	45.0	0.75
67	39	0	1	0.0925	37.0	37.0	0.25
68	11	0	1	0.0225	9.0	9.0	0.0
69	22	0	1	0.05	20.0	20.0	0.0
70	23	0	1	0.0525	21.0	21.0	0.25
71	43	0	1	0.095	41.0	41.0	0.75
72	13	0	1	0.0275	11.0	11.0	0.0
73	40	0	1	0.095	38.0	38.0	0.25
74	65	0	1	0.1575	63.0	63.0	0.75
75	29	0	1	0.0675	27.0	27.0	0.5
76	53	0	1	0.1275	51.0	51.0	0.5
77	62	0	1	0.15	60.0	60.0	0.5
78	54	0	1	0.13	52.0	52.0	0.25
79	32	0	1	0.075	30.0	30.0	0.0
80	21	0	1	0.0475	19.0	19.0	0.0
81	56	0	1	0.135	54.0	54.0	0.5
82	21	0	1	0.0475	19.0	19.0	0.0
83	30	0	1	0.07	28.0	28.0	0.0
84	112	1	0	0.2575	112.0	112.0	1.0
85	29	0	1	0.0675	27.0	27.0	0.25
86	32	0	1	0.075	30.0	30.0	0.25
87	49	0	1	0.1175	47.0	47.0	0.0
88	37	0	1	0.0875	35.0	35.0	0.25
89	18	0	1	0.04	16.0	16.0	0.0
90	59	0	1	0.1425	57.0	57.0	0.25
91	51	0	1	0.12	49.0	49.0	0.75
92	67	0	1	0.16	65.0	65.0	0.5
93	69	0	1	0.1625	67.0	67.0	0.5
94	22	0	1	0.05	20.0	20.0	0.0
95	37	0	1	0.0875	35.0	35.0	0.0
96	20	0	1	0.045	18.0	18.0	0.0
97	24	0	1	0.055	22.0	22.0	0.0
98	57	1	0	0.14	57.0	57.0	1.0
99	56	0	1	0.135	54.0	54.0	0.5
100	23	0	1	0.0425	21.0	21.0	0.5
101	2	0	1	0.0	0.0	0.0	0.0
102	22	0	1	0.05	20.0	20.0	0.0
103	40	0	1	0.0925	38.0	38.0	0.25
104	24	0	1	0.055	22.0	22.0	0.0
105	42	0	1	0.0975	40.0	40.0	0.5
106	25	0	1	0.0575	23.0	23.0	0.0
107	37	0	1	0.08	35.0	35.0	0.25
108	22	0	1	0.05	20.0	20.0	0.25
109	31	0	1	0.0725	29.0	29.0	0.25
110	29	0	1	0.0675	27.0	27.0	0.0
111	18	0	1	0.04	16.0	16.0	0.0
112	19	0	1	0.0425	17.0	17.0	0.25
113	7	0	1	0.0125	5.0	5.0	0.0
114	39	0	1	0.0925	37.0	37.0	0.25
115	35	0	1	0.0825	33.0	33.0	0.0
116	34	0	1	0.0775	32.0	32.0	0.5
117	47	1	0	0.1125	47.0	47.0	1.0
118	19	0	1	0.0425	17.0	17.0	0.0
119	42	0	1	0.1	40.0	40.0	0.25
120	58	0	1	0.1375	56.0	56.0	0.5
121	32	0	1	0.075	30.0	30.0	0.25
122	31	0	1	0.0725	29.0	29.0	0.25
123	15	0	1	0.0325	13.0	13.0	0.0
124	36	0	1	0.085	34.0	34.0	0.25
125	50	0	1	0.12	48.0	48.0	0.5
126	66	0	1	0.1125	64.0	64.0	0.75
127	35	1	0	0.0875	35.0	35.0	1.0
128	69	0	1	0.135	67.0	67.0	0.75
129	61	1	0	0.1525	61.0	61.0	1.0
130	14	0	1	0.03	12.0	12.0	0.0
131	33	0	1	0.0775	31.0	31.0	0.25
132	18	0	1	0.04	16.0	16.0	0.25
133	32	0	1	0.075	30.0	30.0	0.0
134	37	0	1	0.0875	35.0	35.0	0.5
135	40	0	1	0.0925	38.0	38.0	0.5
136	22	0	1	0.05	20.0	20.0	0.0
137	21	0	1	0.0475	19.0	19.0	0.0
138	23	0	1	0.0525	21.0	21.0	0.25
139	56	1	0	0.135	56.0	56.0	1.0
140	23	0	1	0.0525	21.0	21.0	0.0
141	6	0	1	0.01	4.0	4.0	0.0
142	41	0	1	0.0975	39.0	39.0	0.25
