i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	48	0	5	0.2575	30.0	150.0	0.0
2	17	1	1	0.1125	15.2	76.0	1.0
3	82	0	5	0.3225	41.2	206.0	0.0
4	38	1	2	0.2275	31.8	159.0	1.0
5	24	1	1	0.2025	22.6	113.0	1.0
6	15	1	0	0.1025	15.0	75.0	1.0
7	13	1	1	0.05	12.8	64.0	1.0
8	27	1	1	0.13	25.4	127.0	1.0
9	24	1	1	0.16	22.4	112.0	1.0
10	44	1	2	0.1825	32.8	164.0	1.0
11	4	1	1	0.0175	3.8	19.0	1.0
12	14	1	0	0.09	14.0	70.0	1.0
13	16	1	1	0.0825	15.8	79.0	1.0
14	29	1	4	0.175	20.8	104.0	1.0
15	15	1	0	0.0675	15.0	75.0	1.0
16	31	1	3	0.19	24.8	124.0	1.0
17	17	1	1	0.145	16.2	81.0	1.0
18	27	1	4	0.1425	22.2	111.0	1.0
19	27	1	3	0.125	14.4	72.0	1.0
20	29	1	1	0.21	24.0	120.0	1.0
21	24	1	2	0.2	19.4	97.0	1.0
22	36	0	5	0.12	16.4	82.0	0.0
23	28	1	2	0.165	25.6	128.0	1.0
24	8	1	0	0.065	8.0	40.0	1.0
25	113	1	4	0.245	37.0	185.0	1.0
26	75	1	4	0.21	34.2	171.0	1.0
27	48	1	4	0.1925	30.8	154.0	1.0
28	20	1	1	0.16	19.8	99.0	1.0
29	26	1	2	0.1875	22.0	110.0	1.0
30	27	1	2	0.1675	22.6	113.0	1.0
31	18	1	0	0.1275	18.0	90.0	1.0
32	13	1	0	0.075	13.0	65.0	1.0
33	22	1	1	0.125	19.4	97.0	1.0
34	35	1	4	0.1025	18.2	91.0	1.0
35	32	1	4	0.1725	23.8	119.0	1.0
36	28	1	4	0.1675	23.0	115.0	1.0
37	25	1	1	0.145	22.0	110.0	1.0
38	20	1	3	0.1175	14.8	74.0	1.0
39	63	0	5	0.1925	30.0	150.0	0.0
40	30	1	2	0.195	27.4	137.0	1.0
41	49	1	4	0.265	34.4	172.0	1.0
42	31	1	1	0.2175	27.2	136.0	1.0
43	17	1	0	0.09	17.0	85.0	1.0
44	15	1	0	0.065	15.0	75.0	1.0
45	43	1	4	0.1775	25.2	126.0	1.0
46	43	1	4	0.165	24.8	124.0	1.0
47	16	1	1	0.0625	14.0	70.0	1.0
48	36	1	3	0.1825	31.6	158.0	1.0
49	23	1	2	0.125	20.6	103.0	1.0
50	30	1	4	0.105	17.2	86.0	1.0
51	21	1	1	0.1325	20.4	102.0	1.0
52	42	0	5	0.2	24.8	124.0	0.0
53	52	0	5	0.2	32.2	161.0	0.0
54	14	1	1	0.075	12.6	63.0	1.0
55	37	1	4	0.18	22.4	112.0	1.0
56	59	0	5	0.2425	32.2	161.0	0.0
57	22	1	0	0.165	22.0	110.0	1.0
58	19	1	3	0.07	9.8	49.0	1.0
59	39	1	3	0.11	25.0	125.0	1.0
60	16	1	0	0.12	16.0	80.0	1.0
61	32	1	2	0.25	30.8	154.0	1.0
62	42	1	3	0.21	22.4	112.0	1.0
63	17	1	1	0.0525	16.8	84.0	1.0
64	28	0	5	0.1575	22.6	113.0	0.0
65	20	1	2	0.1175	15.4	77.0	1.0
66	32	1	3	0.225	27.8	139.0	1.0
67	21	1	2	0.095	18.8	94.0	1.0
68	21	1	1	0.1425	19.4	97.0	1.0
69	18	1	0	0.1225	18.0	90.0	1.0
70	56	0	5	0.195	27.4	137.0	0.0
71	34	1	2	0.275	32.0	160.0	1.0
72	17	1	0	0.14	17.0	85.0	1.0
73	53	0	5	0.235	33.8	169.0	0.0
74	20	1	0	0.1525	20.0	100.0	1.0
75	17	1	1	0.0925	16.8	84.0	1.0
76	26	1	2	0.2075	25.0	125.0	1.0
77	16	1	1	0.1025	15.8	79.0	1.0
78	17	1	1	0.115	16.8	84.0	1.0
79	13	1	4	0.0325	3.4	17.0	1.0
80	18	1	0	0.1225	18.0	90.0	1.0
81	29	1	2	0.205	26.6	133.0	1.0
82	35	1	1	0.155	28.6	143.0	1.0
83	16	1	1	0.0775	14.0	70.0	1.0
84	64	1	4	0.2675	30.6	153.0	1.0
85	3	1	0	0.01	3.0	15.0	1.0
86	29	1	2	0.215	25.4	127.0	1.0
87	1	1	2	0.0025	0.6	3.0	1.0
88	14	1	0	0.0975	14.0	70.0	1.0
89	33	0	5	0.0875	10.0	50.0	0.0
90	14	1	0	0.0925	14.0	70.0	1.0
91	19	1	0	0.0775	19.0	95.0	1.0
92	32	1	4	0.2	21.8	109.0	1.0
93	17	1	0	0.13	17.0	85.0	1.0
94	26	1	3	0.21	21.6	108.0	1.0
95	20	1	1	0.125	19.2	96.0	1.0
96	73	0	5	0.25	40.4	202.0	0.0
97	35	0	5	0.0825	18.0	90.0	0.0
98	17	1	1	0.075	16.8	84.0	1.0
99	38	0	5	0.1775	26.4	132.0	0.0
100	24	1	1	0.165	19.6	98.0	1.0
101	52	0	5	0.2425	28.8	144.0	0.0
102	36	1	1	0.3075	35.8	179.0	1.0
103	11	1	0	0.0625	11.0	55.0	1.0
104	25	1	2	0.1925	21.8	109.0	1.0
105	15	1	1	0.0975	14.4	72.0	1.0
106	20	1	1	0.1525	18.2	91.0	1.0
107	25	1	3	0.19	20.6	103.0	1.0
108	36	1	3	0.2175	26.8	134.0	1.0
109	19	1	1	0.135	16.4	82.0	1.0
110	43	1	3	0.195	33.6	168.0	1.0
111	46	1	2	0.2425	36.8	184.0	1.0
112	13	1	2	0.07	9.4	47.0	1.0
113	18	1	0	0.14	18.0	90.0	1.0
114	34	1	2	0.2125	30.8	154.0	1.0
115	3	1	0	0.0125	3.0	15.0	1.0
116	67	0	5	0.2175	33.0	165.0	0.0
117	19	1	2	0.1125	16.4	82.0	1.0
118	9	1	0	0.05	9.0	45.0	1.0
119	6	1	0	0.03	6.0	30.0	1.0
120	12	1	0	0.07	12.0	60.0	1.0
121	53	1	4	0.165	19.4	97.0	1.0
122	62	0	5	0.2325	39.2	196.0	0.0
123	23	1	0	0.14	23.0	115.0	1.0
124	29	1	1	0.2	27.0	135.0	1.0
125	25	1	3	0.1475	18.6	93.0	1.0
126	23	1	3	0.1225	19.6	98.0	1.0
127	27	0	5	0.125	16.4	82.0	0.0
128	11	1	2	0.0475	10.6	53.0	1.0
129	13	1	0	0.0775	13.0	65.0	1.0
130	24	1	0	0.1575	24.0	120.0	1.0
131	10	1	0	0.075	10.0	50.0	1.0
132	23	1	1	0.1125	22.0	110.0	1.0
133	14	1	0	0.045	14.0	70.0	1.0
134	11	1	1	0.05	10.8	54.0	1.0
135	15	1	0	0.0925	15.0	75.0	1.0
136	20	1	0	0.1275	20.0	100.0	1.0
137	29	1	4	0.155	23.8	119.0	1.0
138	28	1	3	0.1525	20.0	100.0	1.0
139	73	0	5	0.1675	28.6	143.0	0.0
140	14	1	2	0.075	12.2	61.0	1.0
141	86	0	5	0.2125	43.6	218.0	0.0
142	15	1	0	0.13	15.0	75.0	1.0
143	27	1	3	0.1275	20.4	102.0	1.0
144	22	1	1	0.145	18.8	94.0	1.0
145	59	1	3	0.25	23.6	118.0	1.0
146	23	1	2	0.1275	21.0	105.0	1.0
147	17	1	0	0.105	17.0	85.0	1.0
148	48	1	4	0.1725	23.6	118.0	1.0
149	40	0	5	0.1325	18.4	92.0	0.0
150	31	1	4	0.085	15.0	75.0	1.0
151	42	1	3	0.1725	28.4	142.0	1.0
152	5	1	0	0.0275	5.0	25.0	1.0
153	27	1	2	0.21	24.0	120.0	1.0
154	25	1	1	0.18	24.8	124.0	1.0
155	10	1	0	0.0575	10.0	50.0	1.0
156	26	1	2	0.175	23.6	118.0	1.0
157	29	0	5	0.2	20.6	103.0	0.0
158	16	1	1	0.145	15.8	79.0	1.0
159	31	1	4	0.125	22.8	114.0	1.0
160	28	1	1	0.2075	25.4	127.0	1.0
161	8	1	0	0.045	8.0	40.0	1.0
162	17	1	2	0.08	13.8	69.0	1.0
163	18	1	3	0.08	7.2	36.0	1.0
164	9	1	0	0.04	9.0	45.0	1.0
165	54	1	4	0.21	34.2	171.0	1.0
166	30	1	2	0.1825	26.8	134.0	1.0
167	38	1	2	0.2625	30.2	151.0	1.0
168	8	1	3	0.03	7.4	37.0	1.0
169	50	1	3	0.215	38.6	193.0	1.0
170	71	1	4	0.2625	32.0	160.0	1.0
171	20	1	0	0.145	20.0	100.0	1.0
172	15	1	0	0.0825	15.0	75.0	1.0
173	32	1	1	0.21	29.0	145.0	1.0
174	39	0	5	0.2075	25.0	125.0	0.0
175	30	1	1	0.1525	28.0	140.0	1.0
176	22	1	1	0.1075	21.4	107.0	1.0
177	35	1	1	0.275	34.2	171.0	1.0
178	32	1	2	0.27	29.4	147.0	1.0
179	8	1	0	0.04	8.0	40.0	1.0
180	18	1	0	0.1325	18.0	90.0	1.0
181	23	1	3	0.1325	20.4	102.0	1.0
182	23	1	1	0.1375	22.6	113.0	1.0
183	70	0	5	0.2625	35.4	177.0	0.0
184	33	1	1	0.22	31.4	157.0	1.0
185	17	1	2	0.0875	13.8	69.0	1.0
186	25	1	2	0.18	22.0	110.0	1.0
187	10	1	0	0.075	10.0	50.0	1.0
188	19	1	0	0.1375	19.0	95.0	1.0
189	83	1	4	0.2675	31.4	157.0	1.0
190	23	1	4	0.0575	5.4	27.0	1.0
191	42	1	4	0.22	27.2	136.0	1.0
192	43	1	3	0.18	30.0	150.0	1.0
193	24	1	1	0.185	22.2	111.0	1.0
194	18	1	3	0.115	15.6	78.0	1.0
195	34	1	3	0.21	29.0	145.0	1.0
196	47	1	4	0.1125	18.0	90.0	1.0
197	43	1	4	0.265	27.8	139.0	1.0
198	21	1	2	0.1075	20.6	103.0	1.0
199	28	1	0	0.21	28.0	140.0	1.0
200	33	1	4	0.14	20.8	104.0	1.0
201	27	1	2	0.2025	22.8	114.0	1.0
202	29	1	2	0.1875	26.8	134.0	1.0
203	11	1	1	0.065	10.8	54.0	1.0
204	16	1	1	0.085	13.8	69.0	1.0
205	10	1	0	0.0475	10.0	50.0	1.0
206	18	1	2	0.1025	15.8	79.0	1.0
207	14	1	1	0.0725	12.6	63.0	1.0
208	24	1	1	0.175	23.0	115.0	1.0
209	17	1	3	0.075	9.8	49.0	1.0
210	26	1	3	0.1175	22.0	110.0	1.0
211	26	1	2	0.1475	21.4	107.0	1.0
212	17	1	1	0.115	16.8	84.0	1.0
213	16	1	1	0.1225	13.8	69.0	1.0
214	44	1	4	0.1525	21.0	105.0	1.0
215	9	1	2	0.045	8.6	43.0	1.0
216	55	1	4	0.255	29.4	147.0	1.0
217	40	0	5	0.2025	29.0	145.0	0.0
218	63	0	5	0.225	29.4	147.0	0.0
219	41	0	5	0.215	27.6	138.0	0.0
220	25	1	3	0.1825	23.4	117.0	1.0
221	15	1	1	0.0775	14.8	74.0	1.0
222	13	1	1	0.1	12.8	64.0	1.0
223	13	1	0	0.055	13.0	65.0	1.0
224	9	1	1	0.0425	7.6	38.0	1.0
225	20	1	2	0.14	18.6	93.0	1.0
226	42	0	5	0.2075	30.2	151.0	0.0
227	57	1	3	0.1975	37.6	188.0	1.0
228	21	1	1	0.155	20.8	104.0	1.0
229	32	0	5	0.175	19.0	95.0	0.0
230	45	1	3	0.2	30.2	151.0	1.0
231	41	1	2	0.245	36.2	181.0	1.0
232	32	1	2	0.1975	28.6	143.0	1.0
233	33	1	3	0.17	29.2	146.0	1.0
234	42	1	2	0.3	35.8	179.0	1.0
235	30	1	3	0.1675	21.0	105.0	1.0
236	33	1	2	0.21	25.6	128.0	1.0
237	61	1	4	0.1575	30.6	153.0	1.0
238	46	0	5	0.1925	24.0	120.0	0.0
239	21	1	2	0.1675	20.2	101.0	1.0
240	26	1	1	0.14	23.4	117.0	1.0
241	20	1	0	0.19	20.0	100.0	1.0
