i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	26	1	0	0.065	26.0	26.0	1.0
2	11	1	0	0.0275	11.0	11.0	1.0
3	17	0	1	0.0375	15.0	15.0	0.0
4	22	0	1	0.05	20.0	20.0	0.0
5	30	0	1	0.07	28.0	28.0	0.0
6	29	1	0	0.0725	29.0	29.0	1.0
7	45	1	0	0.1125	45.0	45.0	1.0
8	19	0	1	0.0425	17.0	17.0	0.0
9	77	0	1	0.1875	75.0	75.0	0.0
10	105	1	0	0.2525	105.0	105.0	1.0
11	39	0	1	0.0925	37.0	37.0	0.0
12	36	1	0	0.09	36.0	36.0	1.0
13	28	0	1	0.065	26.0	26.0	0.0
14	30	0	1	0.07	28.0	28.0	0.0
15	27	0	1	0.0625	25.0	25.0	0.0
16	25	0	1	0.0575	23.0	23.0	0.0
17	14	1	0	0.035	14.0	14.0	1.0
18	33	0	1	0.0775	31.0	31.0	0.0
19	22	1	0	0.055	22.0	22.0	1.0
20	5	0	1	0.0075	3.0	3.0	0.0
21	26	0	1	0.06	24.0	24.0	0.0
22	64	1	0	0.16	64.0	64.0	1.0
23	26	0	1	0.06	24.0	24.0	0.0
24	23	1	0	0.0575	23.0	23.0	1.0
25	29	1	0	0.0725	29.0	29.0	1.0
26	33	1	0	0.0825	33.0	33.0	1.0
27	33	0	1	0.0775	31.0	31.0	0.0
28	31	1	0	0.0775	31.0	31.0	1.0
29	24	0	1	0.055	22.0	22.0	0.0
30	37	0	1	0.0875	35.0	35.0	0.0
31	9	0	1	0.0175	7.0	7.0	0.0
32	9	0	1	0.0175	7.0	7.0	0.0
33	14	0	1	0.03	12.0	12.0	0.0
34	16	0	1	0.035	14.0	14.0	0.0
35	28	0	1	0.065	26.0	26.0	0.0
36	33	1	0	0.0825	33.0	33.0	1.0
37	33	0	1	0.0775	31.0	31.0	0.0
38	21	0	1	0.0475	19.0	19.0	0.0
39	32	0	1	0.075	30.0	30.0	0.0
40	70	0	1	0.15	68.0	68.0	0.0
41	35	0	1	0.0825	33.0	33.0	0.0
42	50	0	1	0.12	48.0	48.0	0.0
43	76	0	1	0.1825	74.0	74.0	0.0
44	51	1	0	0.1225	51.0	51.0	1.0
45	28	1	0	0.07	28.0	28.0	1.0
46	12	0	1	0.025	10.0	10.0	0.0
47	63	1	0	0.155	63.0	63.0	1.0
48	47	0	1	0.1125	45.0	45.0	0.0
49	22	0	1	0.05	20.0	20.0	0.0
50	43	0	1	0.1025	41.0	41.0	0.0
51	19	0	1	0.0425	17.0	17.0	0.0
52	14	0	1	0.03	12.0	12.0	0.0
53	25	0	1	0.0575	23.0	23.0	0.0
54	13	1	0	0.0325	13.0	13.0	1.0
55	18	0	1	0.04	16.0	16.0	0.0
56	27	0	1	0.0625	25.0	25.0	0.0
57	62	0	1	0.15	60.0	60.0	0.0
58	51	1	0	0.1275	51.0	51.0	1.0
59	10	0	1	0.02	8.0	8.0	0.0
60	27	0	1	0.04	25.0	25.0	0.0
61	35	1	0	0.0875	35.0	35.0	1.0
62	62	0	1	0.145	60.0	60.0	0.0
63	27	0	1	0.0625	25.0	25.0	0.0
64	22	0	1	0.05	20.0	20.0	0.0
65	22	0	1	0.05	20.0	20.0	0.0
66	19	0	1	0.0375	17.0	17.0	0.0
67	20	1	0	0.05	20.0	20.0	1.0
68	25	0	1	0.0575	23.0	23.0	0.0
69	25	0	1	0.0575	23.0	23.0	0.0
70	9	0	1	0.0175	7.0	7.0	0.0
71	19	0	1	0.0425	17.0	17.0	0.0
72	46	0	1	0.1075	44.0	44.0	0.0
73	20	1	0	0.05	20.0	20.0	1.0
74	40	0	1	0.095	38.0	38.0	0.0
75	35	0	1	0.0825	33.0	33.0	0.0
76	44	1	0	0.11	44.0	44.0	1.0
77	14	0	1	0.03	12.0	12.0	0.0
78	3	0	1	0.0025	1.0	1.0	0.0
79	14	0	1	0.03	12.0	12.0	0.0
80	60	0	1	0.1425	58.0	58.0	0.0
81	35	1	0	0.0875	35.0	35.0	1.0
82	29	0	1	0.0675	27.0	27.0	0.0
83	22	0	1	0.05	20.0	20.0	0.0
84	19	0	1	0.0425	17.0	17.0	0.0
85	35	1	0	0.0875	35.0	35.0	1.0
86	89	1	0	0.185	89.0	89.0	1.0
87	65	1	0	0.16	65.0	65.0	1.0
88	43	1	0	0.1075	43.0	43.0	1.0
89	18	1	0	0.045	18.0	18.0	1.0
90	76	1	0	0.19	76.0	76.0	1.0
91	36	1	0	0.09	36.0	36.0	1.0
92	26	1	0	0.065	26.0	26.0	1.0
93	15	1	0	0.0375	15.0	15.0	1.0
94	37	0	1	0.0875	35.0	35.0	0.0
95	33	1	0	0.0825	33.0	33.0	1.0
96	28	0	1	0.065	26.0	26.0	0.0
97	40	1	0	0.1	40.0	40.0	1.0
98	57	1	0	0.1425	57.0	57.0	1.0
99	20	0	1	0.045	18.0	18.0	0.0
100	62	1	0	0.1525	62.0	62.0	1.0
101	24	1	0	0.06	24.0	24.0	1.0
102	71	0	1	0.1725	69.0	69.0	0.0
103	41	0	1	0.0975	39.0	39.0	0.0
104	27	0	1	0.0625	25.0	25.0	0.0
105	20	1	0	0.05	20.0	20.0	1.0
106	39	0	1	0.0925	37.0	37.0	0.0
107	30	0	1	0.07	28.0	28.0	0.0
108	48	0	1	0.115	46.0	46.0	0.0
109	39	0	1	0.0925	37.0	37.0	0.0
110	11	0	1	0.0225	9.0	9.0	0.0
111	32	0	1	0.075	30.0	30.0	0.0
112	16	0	1	0.035	14.0	14.0	0.0
113	45	1	0	0.1125	45.0	45.0	1.0
114	40	1	0	0.1	40.0	40.0	1.0
115	23	0	1	0.0525	21.0	21.0	0.0
116	57	0	1	0.1375	55.0	55.0	0.0
117	47	0	1	0.1125	45.0	45.0	0.0
118	8	0	1	0.015	6.0	6.0	0.0
119	8	0	1	0.015	6.0	6.0	0.0
120	35	1	0	0.0875	35.0	35.0	1.0
121	12	0	1	0.025	10.0	10.0	0.0
122	35	0	1	0.0825	33.0	33.0	0.0
123	16	0	1	0.035	14.0	14.0	0.0
124	8	0	1	0.015	6.0	6.0	0.0
125	56	1	0	0.14	56.0	56.0	1.0
126	6	1	0	0.015	6.0	6.0	1.0
127	23	0	1	0.0525	21.0	21.0	0.0
128	56	0	1	0.135	54.0	54.0	0.0
129	19	0	1	0.0425	17.0	17.0	0.0
130	33	0	1	0.0775	31.0	31.0	0.0
131	21	0	1	0.0475	19.0	19.0	0.0
132	16	0	1	0.035	14.0	14.0	0.0
133	45	0	1	0.1075	43.0	43.0	0.0
134	5	0	1	0.0075	3.0	3.0	0.0
135	25	0	1	0.0575	23.0	23.0	0.0
136	10	0	1	0.02	8.0	8.0	0.0
137	41	1	0	0.095	41.0	41.0	1.0
138	18	1	0	0.045	18.0	18.0	1.0
139	58	0	1	0.1375	56.0	56.0	0.0
140	8	0	1	0.015	6.0	6.0	0.0
141	18	0	1	0.04	16.0	16.0	0.0
142	21	0	1	0.0475	19.0	19.0	0.0
143	44	0	1	0.105	42.0	42.0	0.0
144	27	1	0	0.0675	27.0	27.0	1.0
145	33	0	1	0.0775	31.0	31.0	0.0
146	12	0	1	0.025	10.0	10.0	0.0
147	30	0	1	0.07	28.0	28.0	0.0
148	27	0	1	0.0625	25.0	25.0	0.0
149	76	1	0	0.1675	76.0	76.0	1.0
150	4	0	1	0.005	2.0	2.0	0.0
151	30	1	0	0.075	30.0	30.0	1.0
152	20	0	1	0.045	18.0	18.0	0.0
153	33	0	1	0.0775	31.0	31.0	0.0
154	32	0	1	0.075	30.0	30.0	0.0
155	57	0	1	0.1375	55.0	55.0	0.0
156	8	0	1	0.015	6.0	6.0	0.0
157	88	1	0	0.2125	88.0	88.0	1.0
158	4	1	0	0.01	4.0	4.0	1.0
159	56	0	1	0.1325	54.0	54.0	0.0
160	12	0	1	0.025	10.0	10.0	0.0
161	20	0	1	0.045	18.0	18.0	0.0
162	30	1	0	0.075	30.0	30.0	1.0
163	22	0	1	0.05	20.0	20.0	0.0
164	52	1	0	0.13	52.0	52.0	1.0
165	17	0	1	0.0375	15.0	15.0	0.0
166	29	0	1	0.0475	27.0	27.0	0.0
167	25	1	0	0.0575	25.0	25.0	1.0
168	50	1	0	0.125	50.0	50.0	1.0
169	12	0	1	0.025	10.0	10.0	0.0
170	27	0	1	0.0575	25.0	25.0	0.0
171	38	0	1	0.09	36.0	36.0	0.0
172	65	1	0	0.16	65.0	65.0	1.0
173	11	0	1	0.0225	9.0	9.0	0.0
174	1	1	0	0.0025	1.0	1.0	1.0
175	26	0	1	0.06	24.0	24.0	0.0
176	31	0	1	0.0725	29.0	29.0	0.0
177	16	1	0	0.04	16.0	16.0	1.0
178	31	0	1	0.0725	29.0	29.0	0.0
179	13	0	1	0.0275	11.0	11.0	0.0
180	23	1	0	0.0575	23.0	23.0	1.0
181	15	0	1	0.0325	13.0	13.0	0.0
182	19	0	1	0.0425	17.0	17.0	0.0
183	48	1	0	0.12	48.0	48.0	1.0
184	85	1	0	0.175	85.0	85.0	1.0
185	13	0	1	0.0275	11.0	11.0	0.0
186	34	1	0	0.085	34.0	34.0	1.0
187	35	0	1	0.0825	33.0	33.0	0.0
188	32	0	1	0.075	30.0	30.0	0.0
189	16	1	0	0.04	16.0	16.0	1.0
190	17	1	0	0.0425	17.0	17.0	1.0
191	10	0	1	0.02	8.0	8.0	0.0
192	15	0	1	0.0325	13.0	13.0	0.0
193	13	0	1	0.0275	11.0	11.0	0.0
194	20	0	1	0.045	18.0	18.0	0.0
195	15	0	1	0.0325	13.0	13.0	0.0
196	44	0	1	0.1025	42.0	42.0	0.0
197	26	1	0	0.065	26.0	26.0	1.0
198	48	0	1	0.115	46.0	46.0	0.0
199	43	0	1	0.1025	41.0	41.0	0.0
200	44	1	0	0.11	44.0	44.0	1.0
201	61	0	1	0.145	59.0	59.0	0.0
202	30	1	0	0.075	30.0	30.0	1.0
203	35	0	1	0.0825	33.0	33.0	0.0
204	18	0	1	0.04	16.0	16.0	0.0
205	60	1	0	0.1475	60.0	60.0	1.0
206	21	0	1	0.0475	19.0	19.0	0.0
207	71	0	1	0.17	69.0	69.0	0.0
208	23	0	1	0.0525	21.0	21.0	0.0
209	19	0	1	0.0425	17.0	17.0	0.0
210	73	0	1	0.1775	71.0	71.0	0.0
211	52	0	1	0.125	50.0	50.0	0.0
212	13	1	0	0.0325	13.0	13.0	1.0
213	62	0	1	0.1475	60.0	60.0	0.0
214	8	1	0	0.02	8.0	8.0	1.0
215	36	0	1	0.085	34.0	34.0	0.0
216	44	0	1	0.09	42.0	42.0	0.0
217	29	1	0	0.0725	29.0	29.0	1.0
218	12	0	1	0.025	10.0	10.0	0.0
