i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	57	0	0	0.1375	56.0	56.0	0.5
2	13	0	1	0.0275	11.0	11.0	0.0
3	18	0	1	0.04	16.0	16.0	0.0
4	39	1	0	0.095	39.0	39.0	1.0
5	16	0	1	0.035	14.0	14.0	0.0
6	24	0	1	0.055	22.0	22.0	0.0
7	21	1	0	0.0525	21.0	21.0	1.0
8	21	0	1	0.0475	19.0	19.0	0.0
9	24	0	1	0.055	22.0	22.0	0.5
10	23	0	1	0.0525	21.0	21.0	0.0
11	26	0	1	0.06	24.0	24.0	0.5
12	32	0	1	0.075	30.0	30.0	0.5
13	18	0	1	0.04	16.0	16.0	0.0
14	4	0	1	0.005	2.0	2.0	0.0
15	12	0	1	0.025	10.0	10.0	0.0
16	25	0	1	0.0575	23.0	23.0	0.5
17	35	0	1	0.0825	33.0	33.0	0.0
18	33	0	1	0.0775	31.0	31.0	0.5
19	11	0	1	0.0225	9.0	9.0	0.0
20	4	0	1	0.005	2.0	2.0	0.0
21	35	0	1	0.0825	33.0	33.0	0.5
22	22	0	1	0.05	20.0	20.0	0.0
23	12	0	1	0.025	10.0	10.0	0.0
24	10	0	1	0.02	8.0	8.0	0.0
25	29	0	1	0.0675	27.0	27.0	0.0
26	38	0	0	0.0925	37.0	37.0	0.5
27	16	0	1	0.035	14.0	14.0	0.0
28	17	0	1	0.0375	15.0	15.0	0.0
29	20	0	1	0.045	18.0	18.0	0.0
30	25	0	1	0.0575	23.0	23.0	0.0
31	17	0	1	0.0375	15.0	15.0	0.0
32	13	0	1	0.0275	11.0	11.0	0.0
33	59	0	0	0.1375	58.0	58.0	0.5
34	13	0	1	0.0275	11.0	11.0	0.0
35	30	0	1	0.07	28.0	28.0	0.0
36	23	0	1	0.0525	21.0	21.0	0.0
37	11	0	1	0.0225	9.0	9.0	0.5
38	11	0	1	0.0225	9.0	9.0	0.0
39	5	0	1	0.0075	3.0	3.0	0.0
40	16	0	1	0.035	14.0	14.0	0.0
41	25	0	1	0.0575	23.0	23.0	0.0
