i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	30	0	5	0.0525	23.2	116.0	0.6666666666666666
2	15	0	5	0.0325	11.8	59.0	0.0
3	37	0	5	0.0875	12.2	61.0	0.3333333333333333
4	19	0	5	0.0425	14.2	71.0	0.3333333333333333
5	45	1	4	0.1125	22.8	114.0	1.0
6	7	0	5	0.0125	3.4	17.0	0.6666666666666666
7	25	0	5	0.0575	21.2	106.0	0.3333333333333333
8	21	0	5	0.0475	14.8	74.0	0.6666666666666666
9	22	0	5	0.05	13.4	67.0	0.3333333333333333
10	16	0	5	0.035	9.2	46.0	0.3333333333333333
11	15	0	5	0.0325	9.0	45.0	0.3333333333333333
12	49	1	3	0.1225	25.0	125.0	1.0
13	6	0	5	0.01	4.0	20.0	0.0
14	26	1	4	0.065	8.0	40.0	1.0
15	23	0	5	0.0525	18.2	91.0	0.3333333333333333
16	21	1	4	0.0475	17.8	89.0	1.0
17	27	0	5	0.0625	13.0	65.0	0.3333333333333333
18	6	0	5	0.01	4.0	20.0	0.0
19	46	0	4	0.1125	22.0	110.0	0.6666666666666666
20	47	0	5	0.0975	34.6	173.0	0.3333333333333333
21	11	0	5	0.0225	9.0	45.0	0.0
22	26	0	5	0.06	17.6	88.0	0.3333333333333333
23	11	0	5	0.0225	9.0	45.0	0.0
24	19	0	5	0.0425	13.8	69.0	0.0
25	30	1	4	0.075	22.2	111.0	1.0
26	22	0	5	0.05	11.2	56.0	0.0
27	23	0	5	0.0525	17.4	87.0	0.3333333333333333
28	22	0	5	0.05	16.4	82.0	0.6666666666666666
29	17	0	5	0.0375	7.8	39.0	0.3333333333333333
30	25	0	5	0.0575	20.2	101.0	0.3333333333333333
31	50	0	5	0.12	29.8	149.0	0.3333333333333333
32	59	0	5	0.1425	29.8	149.0	0.3333333333333333
33	38	1	4	0.095	29.8	149.0	1.0
34	41	1	3	0.1	34.4	172.0	1.0
35	27	0	5	0.0625	7.4	37.0	0.6666666666666666
36	40	0	5	0.0775	19.2	96.0	0.3333333333333333
37	40	0	5	0.095	11.4	57.0	0.6666666666666666
38	16	0	5	0.035	11.6	58.0	0.3333333333333333
39	51	0	5	0.1225	22.0	110.0	0.6666666666666666
40	43	0	4	0.105	13.6	68.0	0.6666666666666666
41	13	0	5	0.0275	11.0	55.0	0.0
42	33	0	5	0.0725	14.6	73.0	0.6666666666666666
43	52	0	4	0.1225	23.8	119.0	0.6666666666666666
44	26	0	5	0.06	24.0	120.0	0.0
45	26	0	5	0.06	18.8	94.0	0.6666666666666666
46	51	0	5	0.1225	21.4	107.0	0.6666666666666666
47	35	0	5	0.0825	13.4	67.0	0.6666666666666666
48	25	1	4	0.0625	16.8	84.0	1.0
49	31	0	4	0.075	21.4	107.0	0.6666666666666666
50	16	0	5	0.035	14.0	70.0	0.0
51	38	0	4	0.085	17.8	89.0	0.6666666666666666
52	8	0	5	0.015	5.2	26.0	0.0
53	24	0	5	0.055	14.8	74.0	0.3333333333333333
54	19	0	5	0.0425	9.8	49.0	0.0
55	22	0	5	0.05	12.0	60.0	0.3333333333333333
56	38	1	3	0.095	30.6	153.0	1.0
57	11	0	5	0.0225	9.0	45.0	0.0
58	42	0	4	0.1025	16.6	83.0	0.6666666666666666
59	32	0	5	0.075	21.6	108.0	0.3333333333333333
60	11	0	5	0.0225	9.0	45.0	0.0
61	19	0	5	0.0425	15.4	77.0	0.3333333333333333
62	9	0	5	0.0175	6.4	32.0	0.3333333333333333
63	49	0	5	0.1175	35.2	176.0	0.3333333333333333
64	26	1	4	0.065	17.2	86.0	1.0
65	9	0	5	0.0175	6.4	32.0	0.0
66	49	1	4	0.12	32.2	161.0	1.0
67	52	0	3	0.1275	33.4	167.0	0.6666666666666666
68	5	0	5	0.0075	3.0	15.0	0.0
69	19	0	5	0.0425	7.4	37.0	0.3333333333333333
70	42	0	5	0.0875	35.2	176.0	0.6666666666666666
71	15	0	5	0.0325	13.0	65.0	0.0
72	18	0	5	0.04	4.8	24.0	0.0
73	26	0	5	0.06	17.2	86.0	0.3333333333333333
74	20	0	5	0.045	15.6	78.0	0.3333333333333333
75	26	0	5	0.06	22.8	114.0	0.0
76	8	0	5	0.015	6.0	30.0	0.0
77	38	0	5	0.09	25.2	126.0	0.3333333333333333
78	24	0	5	0.055	14.4	72.0	0.3333333333333333
79	28	0	5	0.065	18.0	90.0	0.3333333333333333
80	28	1	2	0.07	23.8	119.0	1.0
81	33	0	5	0.0775	17.0	85.0	0.6666666666666666
82	29	1	4	0.0725	21.4	107.0	1.0
83	52	0	4	0.1275	27.2	136.0	0.6666666666666666
84	53	0	4	0.13	28.6	143.0	0.6666666666666666
85	19	0	5	0.0425	13.8	69.0	0.3333333333333333
86	9	0	5	0.0175	7.0	35.0	0.0
87	25	0	5	0.0575	17.6	88.0	0.3333333333333333
88	10	0	5	0.02	6.2	31.0	0.0
89	29	0	5	0.0625	17.4	87.0	0.3333333333333333
90	20	1	4	0.05	9.0	45.0	1.0
91	22	0	5	0.05	18.4	92.0	0.3333333333333333
92	22	0	5	0.05	16.4	82.0	0.3333333333333333
93	37	0	5	0.0875	32.6	163.0	0.0
94	34	0	4	0.0825	16.2	81.0	0.6666666666666666
