i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	18	0	1	0.04	16.0	16.0	0.5
2	27	0	1	0.0625	25.0	25.0	0.0
3	16	0	1	0.035	14.0	14.0	0.0
4	42	1	0	0.105	42.0	42.0	1.0
5	10	0	1	0.02	8.0	8.0	0.5
6	25	0	1	0.0575	23.0	23.0	0.0
7	23	0	1	0.0525	21.0	21.0	0.5
8	12	0	1	0.025	10.0	10.0	0.0
9	30	1	0	0.075	30.0	30.0	1.0
10	11	0	1	0.0225	9.0	9.0	0.0
11	6	0	1	0.01	4.0	4.0	0.0
12	26	0	1	0.06	24.0	24.0	0.0
13	9	0	1	0.0175	7.0	7.0	0.0
14	30	0	1	0.07	28.0	28.0	0.0
15	16	0	1	0.035	14.0	14.0	0.0
16	14	0	1	0.03	12.0	12.0	0.0
17	3	0	1	0.0025	1.0	1.0	0.0
18	35	0	1	0.0825	33.0	33.0	0.0
19	29	0	1	0.0675	27.0	27.0	0.0
20	24	0	1	0.055	22.0	22.0	0.0
21	13	0	1	0.0275	11.0	11.0	0.5
22	4	0	1	0.005	2.0	2.0	0.0
23	2	0	1	0.0	0.0	0.0	0.0
24	24	0	1	0.055	22.0	22.0	0.0
25	4	0	1	0.005	2.0	2.0	0.0
26	18	0	1	0.0225	16.0	16.0	0.0
27	20	0	1	0.045	18.0	18.0	0.0
28	34	0	1	0.08	32.0	32.0	0.0
29	5	0	1	0.0075	3.0	3.0	0.0
30	16	0	1	0.035	14.0	14.0	0.5
31	39	0	1	0.0925	37.0	37.0	0.0
32	32	0	1	0.06	30.0	30.0	0.5
33	25	0	1	0.0575	23.0	23.0	0.0
34	21	0	1	0.0475	19.0	19.0	0.0
35	4	0	1	0.005	2.0	2.0	0.0
36	14	0	1	0.03	12.0	12.0	0.0
37	19	0	1	0.0425	17.0	17.0	0.5
38	17	0	1	0.0375	15.0	15.0	0.0
39	33	0	1	0.0775	31.0	31.0	0.0
40	28	0	1	0.0625	26.0	26.0	0.5
