i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	11	0	1	0.0225	9.0	9.0	0.0
2	15	0	1	0.0325	13.0	13.0	0.0
3	2	0	1	0.0	0.0	0.0	0.0
4	14	0	1	0.03	12.0	12.0	0.5
5	8	0	1	0.015	6.0	6.0	0.0
6	11	0	1	0.0225	9.0	9.0	0.0
7	25	0	1	0.0575	23.0	23.0	0.25
8	19	0	1	0.0425	17.0	17.0	0.0
9	3	0	1	0.0025	1.0	1.0	0.0
10	27	0	1	0.0625	25.0	25.0	0.0
11	36	0	1	0.085	34.0	34.0	0.25
12	11	0	1	0.0225	9.0	9.0	0.0
13	7	0	1	0.0125	5.0	5.0	0.0
14	48	0	0	0.1175	47.0	47.0	0.75
15	15	0	1	0.0325	13.0	13.0	0.0
16	14	0	1	0.03	12.0	12.0	0.0
17	17	0	1	0.0375	15.0	15.0	0.0
18	16	0	1	0.035	14.0	14.0	0.5
19	13	0	1	0.0275	11.0	11.0	0.0
20	24	0	1	0.055	22.0	22.0	0.25
21	27	0	1	0.0525	25.0	25.0	0.25
22	46	0	1	0.11	44.0	44.0	0.25
23	15	0	1	0.0325	13.0	13.0	0.0
24	15	0	1	0.0325	13.0	13.0	0.25
25	10	0	1	0.02	8.0	8.0	0.0
26	13	0	1	0.0275	11.0	11.0	0.0
27	3	0	1	0.0025	1.0	1.0	0.0
28	40	0	1	0.085	38.0	38.0	0.5
29	19	0	1	0.0425	17.0	17.0	0.0
30	30	0	1	0.07	28.0	28.0	0.5
31	49	0	0	0.12	48.0	48.0	0.75
32	19	0	1	0.0425	17.0	17.0	0.0
33	40	1	0	0.1	40.0	40.0	1.0
34	54	0	1	0.13	52.0	52.0	0.5
35	29	0	1	0.0675	27.0	27.0	0.5
36	11	0	1	0.0225	9.0	9.0	0.25
37	21	0	1	0.0475	19.0	19.0	0.25
38	9	0	1	0.0175	7.0	7.0	0.0
39	33	0	1	0.0775	31.0	31.0	0.25
40	33	0	1	0.0775	31.0	31.0	0.25
41	27	0	1	0.0625	25.0	25.0	0.0
42	20	0	1	0.045	18.0	18.0	0.25
43	13	0	1	0.0275	11.0	11.0	0.0
44	23	0	1	0.0525	21.0	21.0	0.0
45	28	0	1	0.065	26.0	26.0	0.25
46	26	0	1	0.06	24.0	24.0	0.0
47	12	0	1	0.025	10.0	10.0	0.0
48	25	0	1	0.0575	23.0	23.0	0.0
49	23	0	1	0.0425	21.0	21.0	0.25
50	4	0	1	0.005	2.0	2.0	0.0
51	15	0	1	0.0325	13.0	13.0	0.0
52	16	0	1	0.035	14.0	14.0	0.25
53	24	0	1	0.055	22.0	22.0	0.0
54	18	0	1	0.04	16.0	16.0	0.0
55	17	0	1	0.0375	15.0	15.0	0.25
56	36	0	1	0.085	34.0	34.0	0.5
57	17	0	1	0.0375	15.0	15.0	0.0
58	15	0	1	0.0325	13.0	13.0	0.25
59	36	0	1	0.085	34.0	34.0	0.25
60	22	0	1	0.05	20.0	20.0	0.0
61	5	0	1	0.0075	3.0	3.0	0.0
62	12	0	1	0.025	10.0	10.0	0.0
63	25	0	1	0.0575	23.0	23.0	0.0
64	19	0	1	0.0425	17.0	17.0	0.0
65	23	0	1	0.0525	21.0	21.0	0.25
66	26	0	1	0.06	24.0	24.0	0.25
67	24	0	1	0.055	22.0	22.0	0.25
68	11	0	1	0.0225	9.0	9.0	0.0
69	24	0	1	0.055	22.0	22.0	0.5
70	4	0	1	0.005	2.0	2.0	0.0
71	14	0	1	0.03	12.0	12.0	0.0
72	10	0	1	0.02	8.0	8.0	0.25
73	29	0	1	0.0675	27.0	27.0	0.5
74	21	0	1	0.0475	19.0	19.0	0.25
75	39	0	1	0.0925	37.0	37.0	0.5
76	31	0	1	0.0725	29.0	29.0	0.0
77	13	0	1	0.0275	11.0	11.0	0.0
78	22	0	1	0.05	20.0	20.0	0.0
79	31	0	1	0.0725	29.0	29.0	0.25
80	29	0	1	0.0625	27.0	27.0	0.25
81	26	0	1	0.06	24.0	24.0	0.25
82	21	0	1	0.0475	19.0	19.0	0.0
83	21	0	1	0.0475	19.0	19.0	0.25
