i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	69	0	5	0.265	39.8	199.0	0.5
2	48	0	5	0.21	22.8	114.0	0.5
3	45	0	5	0.1525	26.2	131.0	0.5
4	26	1	2	0.19	22.4	112.0	1.0
5	11	0	5	0.0225	4.8	24.0	0.5
6	45	0	5	0.145	22.6	113.0	0.5
7	25	1	2	0.18	23.6	118.0	1.0
8	3	0	5	0.0025	1.0	5.0	0.0
9	26	1	3	0.1325	13.6	68.0	1.0
10	33	1	3	0.1675	29.6	148.0	1.0
11	17	0	5	0.0875	11.8	59.0	0.0
12	81	0	5	0.18	31.0	155.0	0.5
13	23	1	2	0.1	19.6	98.0	1.0
14	62	0	5	0.1875	28.2	141.0	0.5
15	29	1	3	0.15	17.4	87.0	1.0
16	46	1	4	0.2075	24.6	123.0	1.0
17	42	0	5	0.1	12.0	60.0	0.5
18	34	0	5	0.2	25.2	126.0	0.5
19	47	0	5	0.205	25.2	126.0	0.5
20	70	0	5	0.2925	35.6	178.0	0.5
21	22	1	1	0.135	20.6	103.0	1.0
22	40	0	5	0.235	29.8	149.0	0.5
23	55	1	3	0.1975	34.0	170.0	1.0
24	37	0	5	0.215	27.6	138.0	0.5
25	44	1	4	0.165	24.6	123.0	1.0
26	51	0	5	0.2	33.0	165.0	0.5
27	13	1	2	0.075	12.6	63.0	1.0
28	27	0	5	0.1475	24.2	121.0	0.0
29	66	0	5	0.255	33.6	168.0	0.5
30	30	1	2	0.1425	23.4	117.0	1.0
31	49	0	5	0.2325	30.2	151.0	0.5
32	30	0	5	0.1025	15.6	78.0	0.0
33	23	1	2	0.1	20.2	101.0	1.0
34	21	1	2	0.08	15.4	77.0	1.0
35	51	1	3	0.3025	36.2	181.0	1.0
36	55	0	5	0.1175	22.2	111.0	0.5
37	42	0	5	0.1475	23.2	116.0	0.0
38	31	0	5	0.0875	17.0	85.0	0.5
39	21	0	5	0.075	10.8	54.0	0.5
40	64	1	4	0.205	29.0	145.0	1.0
41	58	0	5	0.16	27.6	138.0	0.5
42	35	1	3	0.1075	23.4	117.0	1.0
43	30	1	2	0.185	28.2	141.0	1.0
44	58	0	5	0.2525	40.2	201.0	0.5
45	28	1	3	0.1475	18.6	93.0	1.0
46	52	0	5	0.21	26.0	130.0	0.5
47	54	0	5	0.1625	20.0	100.0	0.5
48	27	1	1	0.15	26.6	133.0	1.0
49	28	0	5	0.1325	18.2	91.0	0.0
50	44	1	3	0.23	29.8	149.0	1.0
51	52	1	4	0.2025	21.4	107.0	1.0
52	79	0	5	0.2775	41.2	206.0	0.5
53	63	0	5	0.215	29.6	148.0	0.0
54	59	1	4	0.18	25.4	127.0	1.0
55	33	1	3	0.1825	27.2	136.0	1.0
56	21	1	0	0.1525	21.0	105.0	1.0
57	60	0	5	0.205	25.4	127.0	0.5
58	45	1	4	0.175	26.0	130.0	1.0
59	55	0	5	0.2225	33.6	168.0	0.5
60	23	1	2	0.125	22.2	111.0	1.0
61	65	1	4	0.24	32.4	162.0	1.0
62	75	0	5	0.2325	29.8	149.0	0.5
63	28	0	5	0.0825	14.6	73.0	0.5
64	32	0	5	0.1375	20.8	104.0	0.5
65	45	1	4	0.21	27.8	139.0	1.0
66	57	0	5	0.175	23.8	119.0	0.5
67	49	1	4	0.16	22.0	110.0	1.0
68	26	1	2	0.1725	23.0	115.0	1.0
69	18	1	3	0.045	8.4	42.0	1.0
70	43	0	5	0.135	20.8	104.0	0.5
71	44	1	4	0.1625	22.4	112.0	1.0
72	19	1	0	0.0975	19.0	95.0	1.0
73	34	0	5	0.1275	16.8	84.0	0.0
74	17	0	5	0.0475	7.8	39.0	0.0
75	62	1	3	0.275	43.4	217.0	1.0
76	39	0	5	0.175	21.4	107.0	0.5
77	31	0	5	0.17	24.8	124.0	0.5
78	20	1	0	0.13	20.0	100.0	1.0
79	34	1	4	0.205	24.8	124.0	1.0
80	35	1	3	0.1925	29.0	145.0	1.0
81	21	0	5	0.085	14.2	71.0	0.0
82	30	0	5	0.0975	19.2	96.0	0.0
83	57	0	5	0.1575	22.8	114.0	0.0
84	25	0	5	0.0675	11.4	57.0	0.5
85	58	0	5	0.19	32.8	164.0	0.0
86	43	1	4	0.13	15.4	77.0	1.0
87	42	0	5	0.1525	19.6	98.0	0.5
88	31	1	2	0.1975	27.4	137.0	1.0
89	82	0	5	0.2125	19.8	99.0	0.0
90	40	0	5	0.18	20.4	102.0	0.0
91	34	0	5	0.14	21.8	109.0	0.0
92	36	0	5	0.185	26.8	134.0	0.5
93	21	1	0	0.125	21.0	105.0	1.0
94	28	1	1	0.17	23.8	119.0	1.0
95	64	0	5	0.2125	32.6	163.0	0.5
96	28	1	3	0.1175	19.0	95.0	1.0
97	59	1	4	0.1625	23.8	119.0	1.0
98	57	0	5	0.2125	30.4	152.0	0.5
99	24	0	5	0.0675	10.4	52.0	0.5
100	60	0	5	0.24	38.4	192.0	0.5
101	20	1	2	0.1225	18.6	93.0	1.0
102	32	0	5	0.135	15.8	79.0	0.0
103	41	0	5	0.18	19.0	95.0	0.0
104	32	1	3	0.185	23.8	119.0	1.0
105	27	0	5	0.1025	17.8	89.0	0.0
106	36	0	5	0.1325	17.6	88.0	0.5
107	76	0	5	0.2425	31.8	159.0	0.5
108	55	0	5	0.2175	24.4	122.0	0.5
109	45	1	3	0.215	25.6	128.0	1.0
110	31	1	2	0.185	26.6	133.0	1.0
111	20	1	1	0.1425	17.6	88.0	1.0
112	56	1	3	0.21	39.6	198.0	1.0
113	23	1	1	0.13	19.6	98.0	1.0
114	52	0	5	0.2275	28.8	144.0	0.5
115	61	1	4	0.185	23.2	116.0	1.0
116	89	0	5	0.3075	42.0	210.0	0.5
117	29	1	3	0.2075	24.4	122.0	1.0
118	37	0	5	0.21	30.2	151.0	0.5
119	80	0	5	0.2275	44.4	222.0	0.5
120	31	1	3	0.1875	25.4	127.0	1.0
121	53	0	5	0.215	24.2	121.0	0.5
122	74	0	5	0.2575	31.0	155.0	0.0
123	24	1	0	0.1675	24.0	120.0	1.0
124	44	1	3	0.1975	32.2	161.0	1.0
125	31	1	4	0.19	22.2	111.0	1.0
126	27	0	5	0.1225	14.4	72.0	0.0
127	17	1	2	0.085	14.2	71.0	1.0
128	56	1	4	0.255	32.4	162.0	1.0
129	91	0	5	0.2225	33.2	166.0	0.5
130	33	1	3	0.18	18.8	94.0	1.0
131	53	0	5	0.2125	29.0	145.0	0.5
132	45	1	4	0.17	24.8	124.0	1.0
133	52	0	5	0.2075	32.0	160.0	0.5
