i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	28	0	1	0.065	26.0	26.0	0.0
2	52	0	1	0.125	50.0	50.0	0.0
3	44	0	1	0.105	42.0	42.0	0.3333333333333333
4	34	0	1	0.08	32.0	32.0	0.3333333333333333
5	21	0	1	0.0475	19.0	19.0	0.0
6	25	0	1	0.0575	23.0	23.0	0.0
7	25	0	1	0.0575	23.0	23.0	0.0
8	8	0	1	0.015	6.0	6.0	0.3333333333333333
9	52	0	1	0.125	50.0	50.0	0.6666666666666666
10	35	0	1	0.0825	33.0	33.0	0.0
11	32	0	1	0.075	30.0	30.0	0.0
12	35	0	1	0.0825	33.0	33.0	0.3333333333333333
13	25	0	1	0.0575	23.0	23.0	0.0
14	36	0	1	0.085	34.0	34.0	0.3333333333333333
15	5	0	1	0.0075	3.0	3.0	0.0
16	41	0	1	0.0975	39.0	39.0	0.3333333333333333
17	39	0	1	0.0925	37.0	37.0	0.0
18	32	0	1	0.075	30.0	30.0	0.0
19	12	0	1	0.025	10.0	10.0	0.0
20	21	0	1	0.0475	19.0	19.0	0.0
21	38	0	1	0.09	36.0	36.0	0.3333333333333333
22	37	0	1	0.0875	35.0	35.0	0.0
23	19	0	1	0.0425	17.0	17.0	0.0
24	27	0	1	0.0625	25.0	25.0	0.0
25	4	0	1	0.005	2.0	2.0	0.0
26	26	0	1	0.06	24.0	24.0	0.0
27	68	0	1	0.1625	66.0	66.0	0.0
28	28	0	1	0.065	26.0	26.0	0.3333333333333333
29	7	0	1	0.0125	5.0	5.0	0.0
30	22	0	1	0.05	20.0	20.0	0.0
31	11	0	1	0.0225	9.0	9.0	0.0
32	28	0	1	0.065	26.0	26.0	0.0
33	29	0	1	0.0675	27.0	27.0	0.0
34	30	0	1	0.07	28.0	28.0	0.3333333333333333
35	20	0	1	0.045	18.0	18.0	0.0
36	24	0	1	0.055	22.0	22.0	0.0
37	8	0	1	0.015	6.0	6.0	0.0
38	50	0	1	0.12	48.0	48.0	0.3333333333333333
39	34	0	1	0.08	32.0	32.0	0.3333333333333333
40	40	0	1	0.095	38.0	38.0	0.0
41	17	0	1	0.0375	15.0	15.0	0.0
42	36	0	1	0.085	34.0	34.0	0.0
43	28	0	1	0.065	26.0	26.0	0.3333333333333333
44	20	0	1	0.045	18.0	18.0	0.0
45	18	0	1	0.04	16.0	16.0	0.0
46	35	0	1	0.0825	33.0	33.0	0.0
47	38	0	1	0.09	36.0	36.0	0.0
48	42	0	1	0.1	40.0	40.0	0.6666666666666666
49	38	0	1	0.0875	36.0	36.0	0.3333333333333333
50	25	0	1	0.0575	23.0	23.0	0.3333333333333333
51	49	1	0	0.1225	49.0	49.0	1.0
52	36	0	1	0.085	34.0	34.0	0.3333333333333333
53	31	0	1	0.0725	29.0	29.0	0.0
54	27	0	1	0.0625	25.0	25.0	0.0
55	28	0	1	0.065	26.0	26.0	0.0
56	20	0	1	0.045	18.0	18.0	0.3333333333333333
57	6	0	1	0.01	4.0	4.0	0.0
58	53	0	1	0.1275	51.0	51.0	0.3333333333333333
59	42	0	1	0.0625	40.0	40.0	0.3333333333333333
60	18	0	1	0.04	16.0	16.0	0.0
61	14	0	1	0.03	12.0	12.0	0.0
62	17	0	1	0.0375	15.0	15.0	0.0
63	33	0	1	0.0775	31.0	31.0	0.0
64	9	0	1	0.0175	7.0	7.0	0.0
65	26	0	1	0.06	24.0	24.0	0.0
66	25	0	1	0.0575	23.0	23.0	0.0
67	22	0	1	0.05	20.0	20.0	0.6666666666666666
68	14	0	1	0.03	12.0	12.0	0.0
69	43	0	1	0.1	41.0	41.0	0.3333333333333333
70	18	0	1	0.04	16.0	16.0	0.0
71	15	0	1	0.0325	13.0	13.0	0.0
72	30	0	1	0.07	28.0	28.0	0.3333333333333333
73	43	0	1	0.1025	41.0	41.0	0.3333333333333333
74	8	0	1	0.015	6.0	6.0	0.0
75	4	0	1	0.005	2.0	2.0	0.0
76	23	0	1	0.0525	21.0	21.0	0.0
77	47	0	1	0.1125	45.0	45.0	0.0
78	19	0	1	0.0425	17.0	17.0	0.0
79	22	0	1	0.05	20.0	20.0	0.3333333333333333
80	6	0	1	0.01	4.0	4.0	0.0
81	47	0	1	0.1125	45.0	45.0	0.0
82	10	0	1	0.02	8.0	8.0	0.0
83	15	0	1	0.0325	13.0	13.0	0.0
84	40	0	1	0.0925	38.0	38.0	0.3333333333333333
85	36	0	1	0.085	34.0	34.0	0.0
86	47	0	1	0.1125	45.0	45.0	0.3333333333333333
87	10	0	1	0.02	8.0	8.0	0.0
88	35	0	1	0.0825	33.0	33.0	0.0
89	24	0	1	0.055	22.0	22.0	0.3333333333333333
90	62	0	1	0.15	60.0	60.0	0.3333333333333333
91	45	0	1	0.1075	43.0	43.0	0.6666666666666666
92	2	0	1	0.0	0.0	0.0	0.0
