i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	11	0	1	0.0225	9.0	9.0	0.0
2	6	0	1	0.01	4.0	4.0	0.0
3	20	0	1	0.04	18.0	18.0	0.5
4	40	0	1	0.095	38.0	38.0	0.5
5	35	0	1	0.0825	33.0	33.0	0.5
6	26	0	1	0.06	24.0	24.0	0.0
7	29	0	1	0.0675	27.0	27.0	0.0
8	15	0	1	0.0325	13.0	13.0	0.5
9	13	0	1	0.0275	11.0	11.0	0.0
10	10	0	1	0.02	8.0	8.0	0.0
11	19	0	1	0.0425	17.0	17.0	0.0
12	12	0	1	0.0225	10.0	10.0	0.0
13	12	0	1	0.025	10.0	10.0	0.0
14	15	0	1	0.0325	13.0	13.0	0.0
15	32	0	1	0.075	30.0	30.0	0.5
16	15	0	1	0.0325	13.0	13.0	0.0
17	47	0	1	0.11	45.0	45.0	0.5
18	10	0	1	0.02	8.0	8.0	0.0
19	21	0	1	0.0475	19.0	19.0	0.0
20	8	0	1	0.015	6.0	6.0	0.0
21	3	0	1	0.0025	1.0	1.0	0.0
22	25	0	1	0.0575	23.0	23.0	0.5
23	18	0	1	0.04	16.0	16.0	0.0
24	21	0	1	0.0475	19.0	19.0	0.0
25	38	0	1	0.09	36.0	36.0	0.0
26	19	0	1	0.0425	17.0	17.0	0.0
27	20	0	1	0.045	18.0	18.0	0.0
28	25	1	0	0.0525	25.0	25.0	1.0
29	9	0	1	0.0175	7.0	7.0	0.0
30	12	0	1	0.025	10.0	10.0	0.0
31	22	0	1	0.05	20.0	20.0	0.5
32	7	0	1	0.0125	5.0	5.0	0.0
33	42	0	1	0.1	40.0	40.0	0.5
34	21	0	1	0.0425	19.0	19.0	0.5
35	27	1	0	0.0675	27.0	27.0	1.0
36	6	0	1	0.01	4.0	4.0	0.5
37	30	0	1	0.07	28.0	28.0	0.0
38	13	0	1	0.0275	11.0	11.0	0.0
39	11	0	1	0.0225	9.0	9.0	0.0
40	29	0	1	0.0675	27.0	27.0	0.0
41	20	0	1	0.045	18.0	18.0	0.5
42	20	0	1	0.045	18.0	18.0	0.0
43	22	0	1	0.05	20.0	20.0	0.0
44	8	0	1	0.015	6.0	6.0	0.0
45	15	0	1	0.0325	13.0	13.0	0.0
46	36	0	1	0.085	34.0	34.0	0.5
47	29	0	1	0.0675	27.0	27.0	0.5
48	6	0	1	0.01	4.0	4.0	0.0
49	15	0	1	0.0325	13.0	13.0	0.0
50	30	0	1	0.0675	28.0	28.0	0.5
51	20	0	1	0.045	18.0	18.0	0.0
52	23	0	1	0.0525	21.0	21.0	0.0
53	10	0	1	0.02	8.0	8.0	0.0
54	11	0	1	0.0225	9.0	9.0	0.0
55	30	0	1	0.07	28.0	28.0	0.5
56	27	0	1	0.0625	25.0	25.0	0.0
57	8	0	1	0.015	6.0	6.0	0.0
58	7	0	1	0.0125	5.0	5.0	0.5
59	26	0	1	0.06	24.0	24.0	0.0
60	16	0	1	0.035	14.0	14.0	0.0
61	19	0	1	0.0425	17.0	17.0	0.0
62	7	0	1	0.0125	5.0	5.0	0.0
63	26	0	1	0.06	24.0	24.0	0.5
64	21	1	0	0.0525	21.0	21.0	1.0
65	11	0	1	0.0225	9.0	9.0	0.0
66	15	1	0	0.0375	15.0	15.0	1.0
67	9	0	1	0.0175	7.0	7.0	0.0
68	17	0	1	0.0375	15.0	15.0	0.0
69	3	0	1	0.0025	1.0	1.0	0.0
70	25	0	1	0.0575	23.0	23.0	0.0
71	12	0	1	0.025	10.0	10.0	0.0
72	5	0	1	0.0075	3.0	3.0	0.0
73	28	0	1	0.065	26.0	26.0	0.0
74	7	0	1	0.0125	5.0	5.0	0.0
75	42	0	1	0.1	40.0	40.0	0.0
76	15	0	1	0.0325	13.0	13.0	0.0
77	37	0	1	0.0825	35.0	35.0	0.5
78	38	0	1	0.09	36.0	36.0	0.5
79	12	0	1	0.025	10.0	10.0	0.0
80	26	0	1	0.06	24.0	24.0	0.0
81	29	0	1	0.0675	27.0	27.0	0.5
82	16	0	1	0.035	14.0	14.0	0.0
83	9	0	1	0.0175	7.0	7.0	0.0
84	12	0	1	0.025	10.0	10.0	0.0
85	10	0	1	0.02	8.0	8.0	0.0
86	7	0	1	0.0125	5.0	5.0	0.0
87	11	0	1	0.0225	9.0	9.0	0.0
88	6	0	1	0.01	4.0	4.0	0.0
89	39	0	1	0.0925	37.0	37.0	0.5
90	13	0	1	0.0275	11.0	11.0	0.0
91	23	0	1	0.0525	21.0	21.0	0.0
92	9	0	1	0.0175	7.0	7.0	0.0
93	12	0	1	0.025	10.0	10.0	0.0
94	22	0	1	0.0425	20.0	20.0	0.5
95	55	0	1	0.1325	53.0	53.0	0.5
96	9	0	1	0.0175	7.0	7.0	0.0
97	18	0	1	0.04	16.0	16.0	0.0
98	16	0	1	0.035	14.0	14.0	0.0
99	38	0	1	0.09	36.0	36.0	0.5
100	9	0	1	0.0175	7.0	7.0	0.0
101	21	0	1	0.0475	19.0	19.0	0.0
102	3	0	1	0.0025	1.0	1.0	0.0
103	5	0	1	0.0075	3.0	3.0	0.0
104	37	0	1	0.08	35.0	35.0	0.0
105	44	0	1	0.0875	42.0	42.0	0.5
106	22	0	1	0.05	20.0	20.0	0.0
107	8	0	1	0.015	6.0	6.0	0.0
108	22	0	1	0.05	20.0	20.0	0.0
109	43	0	1	0.1025	41.0	41.0	0.5
110	36	0	1	0.085	34.0	34.0	0.5
111	8	0	1	0.015	6.0	6.0	0.0
112	37	0	1	0.08	35.0	35.0	0.0
113	33	1	0	0.0825	33.0	33.0	1.0
114	25	0	1	0.0575	23.0	23.0	0.0
115	8	0	1	0.015	6.0	6.0	0.0
116	10	0	1	0.02	8.0	8.0	0.0
117	29	0	1	0.0675	27.0	27.0	0.0
118	11	0	1	0.0225	9.0	9.0	0.0
119	15	0	1	0.0325	13.0	13.0	0.0
