i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	32	0	1	0.075	30.0	30.0	0.0
2	32	0	1	0.075	30.0	30.0	0.0
3	22	0	1	0.05	20.0	20.0	0.0
4	28	0	1	0.065	26.0	26.0	0.0
5	5	0	1	0.0075	3.0	3.0	0.0
6	24	0	1	0.055	22.0	22.0	0.5
7	19	0	1	0.0425	17.0	17.0	0.0
8	35	0	1	0.0825	33.0	33.0	0.5
9	15	0	1	0.0325	13.0	13.0	0.0
10	29	0	1	0.0675	27.0	27.0	0.5
11	11	0	1	0.0225	9.0	9.0	0.0
12	25	0	1	0.0575	23.0	23.0	0.5
13	13	0	1	0.0275	11.0	11.0	0.0
14	22	0	1	0.05	20.0	20.0	0.5
15	28	0	1	0.065	26.0	26.0	0.5
16	25	0	1	0.0575	23.0	23.0	0.5
17	25	0	1	0.0575	23.0	23.0	0.0
18	12	0	1	0.025	10.0	10.0	0.0
19	12	0	1	0.025	10.0	10.0	0.0
20	11	0	1	0.0225	9.0	9.0	0.0
21	27	0	1	0.0625	25.0	25.0	0.0
22	21	0	1	0.0475	19.0	19.0	0.0
23	16	0	1	0.035	14.0	14.0	0.0
24	14	0	1	0.03	12.0	12.0	0.0
25	20	0	1	0.045	18.0	18.0	0.5
26	31	0	1	0.0725	29.0	29.0	0.0
27	30	0	1	0.0675	28.0	28.0	0.5
28	13	0	1	0.0275	11.0	11.0	0.0
29	37	0	1	0.0875	35.0	35.0	0.5
30	21	0	1	0.0475	19.0	19.0	0.0
31	28	0	1	0.065	26.0	26.0	0.5
32	12	0	1	0.025	10.0	10.0	0.0
33	13	0	1	0.0275	11.0	11.0	0.0
34	11	0	1	0.0225	9.0	9.0	0.0
35	15	0	1	0.0325	13.0	13.0	0.0
36	8	0	1	0.015	6.0	6.0	0.0
37	10	0	1	0.02	8.0	8.0	0.0
38	4	0	1	0.005	2.0	2.0	0.0
39	9	0	1	0.0175	7.0	7.0	0.0
40	39	0	1	0.0925	37.0	37.0	0.5
41	30	1	0	0.075	30.0	30.0	1.0
42	5	0	1	0.0075	3.0	3.0	0.0
43	13	0	1	0.0275	11.0	11.0	0.0
44	3	0	1	0.0025	1.0	1.0	0.0
45	31	0	1	0.0725	29.0	29.0	0.5
46	17	0	1	0.0375	15.0	15.0	0.5
47	6	0	1	0.01	4.0	4.0	0.0
48	21	0	1	0.0475	19.0	19.0	0.5
49	23	0	1	0.0525	21.0	21.0	0.0
50	20	0	1	0.045	18.0	18.0	0.0
51	13	0	1	0.0275	11.0	11.0	0.0
52	42	0	1	0.1	40.0	40.0	0.5
53	25	0	1	0.0575	23.0	23.0	0.0
54	11	0	1	0.0225	9.0	9.0	0.0
55	7	0	1	0.0125	5.0	5.0	0.0
56	19	0	1	0.0425	17.0	17.0	0.0
57	3	0	1	0.0025	1.0	1.0	0.0
58	11	0	1	0.0225	9.0	9.0	0.0
59	15	0	1	0.0325	13.0	13.0	0.0
60	12	0	1	0.025	10.0	10.0	0.0
61	15	0	1	0.0325	13.0	13.0	0.0
62	12	0	1	0.025	10.0	10.0	0.5
63	46	0	1	0.1025	44.0	44.0	0.5
64	10	0	1	0.02	8.0	8.0	0.0
65	12	0	1	0.025	10.0	10.0	0.0
66	27	0	1	0.0625	25.0	25.0	0.5
67	21	0	1	0.0475	19.0	19.0	0.0
68	11	0	1	0.0225	9.0	9.0	0.0
69	32	0	1	0.075	30.0	30.0	0.0
70	29	0	1	0.0675	27.0	27.0	0.5
71	15	0	1	0.0325	13.0	13.0	0.5
72	7	0	1	0.0125	5.0	5.0	0.0
73	48	0	1	0.1125	46.0	46.0	0.5
74	17	0	1	0.0375	15.0	15.0	0.5
75	9	0	1	0.0175	7.0	7.0	0.0
76	25	0	1	0.0575	23.0	23.0	0.5
77	14	0	1	0.03	12.0	12.0	0.0
78	44	0	1	0.105	42.0	42.0	0.5
79	9	0	1	0.0175	7.0	7.0	0.0
80	15	0	1	0.0325	13.0	13.0	0.0
81	4	0	1	0.005	2.0	2.0	0.0
82	28	0	1	0.065	26.0	26.0	0.0
83	8	0	1	0.015	6.0	6.0	0.0
84	26	1	0	0.06	26.0	26.0	1.0
85	11	0	1	0.0225	9.0	9.0	0.0
86	15	0	1	0.0325	13.0	13.0	0.0
87	42	0	1	0.1	40.0	40.0	0.5
88	29	1	0	0.0725	29.0	29.0	1.0
89	10	0	1	0.02	8.0	8.0	0.0
90	24	1	0	0.06	24.0	24.0	1.0
91	9	0	1	0.0175	7.0	7.0	0.0
92	16	1	0	0.04	16.0	16.0	1.0
93	25	0	1	0.0575	23.0	23.0	0.5
94	14	0	1	0.03	12.0	12.0	0.5
95	24	0	1	0.055	22.0	22.0	0.5
96	16	0	1	0.035	14.0	14.0	0.0
97	6	0	1	0.01	4.0	4.0	0.0
