i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	4	0	1	0.005	2.0	2.0	0.0
2	8	0	1	0.015	6.0	6.0	0.0
3	14	0	1	0.03	12.0	12.0	0.0
4	16	0	1	0.035	14.0	14.0	0.0
5	10	0	1	0.02	8.0	8.0	0.0
6	20	0	1	0.045	18.0	18.0	0.5
7	15	0	1	0.0325	13.0	13.0	0.5
8	8	0	1	0.015	6.0	6.0	0.0
9	10	0	1	0.02	8.0	8.0	0.0
10	8	0	1	0.015	6.0	6.0	0.0
11	7	0	1	0.0125	5.0	5.0	0.0
12	18	0	1	0.04	16.0	16.0	0.0
13	23	0	1	0.0525	21.0	21.0	0.0
14	15	0	1	0.0325	13.0	13.0	0.0
15	20	0	1	0.045	18.0	18.0	0.0
16	7	0	1	0.0125	5.0	5.0	0.0
17	54	0	1	0.13	52.0	52.0	0.5
18	7	0	1	0.0125	5.0	5.0	0.0
19	27	0	1	0.0625	25.0	25.0	0.0
20	27	0	1	0.0625	25.0	25.0	0.5
21	17	0	1	0.0375	15.0	15.0	0.5
22	12	0	1	0.025	10.0	10.0	0.0
23	11	0	1	0.0225	9.0	9.0	0.0
24	18	0	1	0.04	16.0	16.0	0.0
25	41	0	1	0.0975	39.0	39.0	0.5
26	21	0	1	0.0475	19.0	19.0	0.0
27	16	0	1	0.035	14.0	14.0	0.0
28	6	0	1	0.01	4.0	4.0	0.0
29	8	0	1	0.015	6.0	6.0	0.0
30	28	0	1	0.065	26.0	26.0	0.0
31	35	0	1	0.0825	33.0	33.0	0.5
32	9	0	1	0.0175	7.0	7.0	0.0
33	3	0	1	0.0025	1.0	1.0	0.0
34	50	0	1	0.12	48.0	48.0	0.5
35	9	0	1	0.0175	7.0	7.0	0.0
36	13	0	1	0.0275	11.0	11.0	0.0
37	26	0	1	0.06	24.0	24.0	0.5
38	7	0	1	0.0125	5.0	5.0	0.0
39	16	0	1	0.035	14.0	14.0	0.0
40	30	0	1	0.07	28.0	28.0	0.5
41	25	0	1	0.0575	23.0	23.0	0.5
42	15	0	1	0.0325	13.0	13.0	0.0
43	18	0	1	0.04	16.0	16.0	0.5
44	24	0	1	0.0525	22.0	22.0	0.0
45	9	0	1	0.0175	7.0	7.0	0.0
46	30	0	1	0.07	28.0	28.0	0.5
47	38	0	1	0.09	36.0	36.0	0.0
48	22	0	1	0.05	20.0	20.0	0.0
49	21	0	1	0.0475	19.0	19.0	0.0
50	11	0	1	0.0225	9.0	9.0	0.0
51	31	0	1	0.0725	29.0	29.0	0.5
52	41	1	0	0.0825	41.0	41.0	1.0
53	8	0	1	0.015	6.0	6.0	0.0
54	13	0	1	0.0275	11.0	11.0	0.0
55	16	0	1	0.035	14.0	14.0	0.5
56	42	0	1	0.0975	40.0	40.0	0.5
57	8	0	1	0.015	6.0	6.0	0.0
58	11	0	1	0.0225	9.0	9.0	0.0
59	24	1	0	0.06	24.0	24.0	1.0
60	17	0	1	0.0375	15.0	15.0	0.0
61	6	0	1	0.01	4.0	4.0	0.0
62	8	0	1	0.015	6.0	6.0	0.0
63	10	0	1	0.02	8.0	8.0	0.0
64	18	0	1	0.04	16.0	16.0	0.0
65	38	0	1	0.0875	36.0	36.0	0.5
66	37	1	0	0.0925	37.0	37.0	1.0
67	55	0	1	0.13	53.0	53.0	0.5
68	46	0	1	0.11	44.0	44.0	0.5
69	15	0	1	0.0325	13.0	13.0	0.0
70	22	0	1	0.05	20.0	20.0	0.0
71	9	0	1	0.0175	7.0	7.0	0.0
72	9	0	1	0.0175	7.0	7.0	0.0
73	17	0	1	0.0375	15.0	15.0	0.0
74	8	0	1	0.015	6.0	6.0	0.0
75	16	0	1	0.035	14.0	14.0	0.0
76	21	0	1	0.0475	19.0	19.0	0.0
77	8	0	1	0.015	6.0	6.0	0.0
78	17	0	1	0.0375	15.0	15.0	0.0
79	16	0	1	0.035	14.0	14.0	0.0
80	14	0	1	0.025	12.0	12.0	0.5
81	25	0	1	0.0525	23.0	23.0	0.5
82	14	0	1	0.03	12.0	12.0	0.0
83	18	0	1	0.04	16.0	16.0	0.0
84	11	0	1	0.0225	9.0	9.0	0.0
85	19	0	1	0.0425	17.0	17.0	0.0
86	16	1	0	0.04	16.0	16.0	1.0
87	7	0	1	0.0125	5.0	5.0	0.0
88	11	0	1	0.0225	9.0	9.0	0.0
89	31	0	1	0.07	29.0	29.0	0.0
90	30	0	1	0.07	28.0	28.0	0.0
91	9	0	1	0.0175	7.0	7.0	0.0
92	16	0	1	0.035	14.0	14.0	0.0
93	41	0	1	0.0975	39.0	39.0	0.0
94	41	0	1	0.0825	39.0	39.0	0.0
95	18	0	1	0.04	16.0	16.0	0.0
96	31	0	1	0.0725	29.0	29.0	0.0
97	25	0	1	0.0575	23.0	23.0	0.0
98	13	0	1	0.0275	11.0	11.0	0.0
99	10	0	1	0.02	8.0	8.0	0.0
100	8	0	1	0.015	6.0	6.0	0.0
101	15	0	1	0.0325	13.0	13.0	0.0
102	24	0	1	0.055	22.0	22.0	0.5
103	29	0	1	0.0675	27.0	27.0	0.5
104	36	0	1	0.085	34.0	34.0	0.0
105	35	0	1	0.0825	33.0	33.0	0.5
106	9	0	1	0.0175	7.0	7.0	0.0
107	21	0	1	0.0475	19.0	19.0	0.5
108	12	0	1	0.025	10.0	10.0	0.0
109	14	0	1	0.03	12.0	12.0	0.0
110	10	0	1	0.02	8.0	8.0	0.0
111	13	0	1	0.0275	11.0	11.0	0.0
112	16	0	1	0.035	14.0	14.0	0.0
113	22	0	1	0.05	20.0	20.0	0.0
114	15	0	1	0.0325	13.0	13.0	0.0
115	14	0	1	0.03	12.0	12.0	0.0
116	5	0	1	0.0075	3.0	3.0	0.0
117	17	0	1	0.0375	15.0	15.0	0.5
118	12	0	1	0.025	10.0	10.0	0.0
119	30	0	1	0.07	28.0	28.0	0.5
120	40	1	0	0.095	40.0	40.0	1.0
121	8	0	1	0.015	6.0	6.0	0.0
122	8	0	1	0.015	6.0	6.0	0.0
123	22	0	1	0.05	20.0	20.0	0.0
124	23	0	1	0.0525	21.0	21.0	0.0
125	4	0	1	0.005	2.0	2.0	0.0
126	12	0	1	0.025	10.0	10.0	0.0
127	20	0	1	0.045	18.0	18.0	0.5
128	23	0	1	0.0525	21.0	21.0	0.0
129	20	0	1	0.045	18.0	18.0	0.0
130	22	0	1	0.05	20.0	20.0	0.5
131	6	0	1	0.01	4.0	4.0	0.0
132	16	0	1	0.035	14.0	14.0	0.0
133	24	0	1	0.055	22.0	22.0	0.5
134	6	0	1	0.01	4.0	4.0	0.0
135	18	0	1	0.04	16.0	16.0	0.0
136	27	0	1	0.06	25.0	25.0	0.5
137	42	0	1	0.1	40.0	40.0	0.5
138	16	0	1	0.035	14.0	14.0	0.0
139	12	0	1	0.025	10.0	10.0	0.0
140	9	0	1	0.0175	7.0	7.0	0.0
141	5	0	1	0.0075	3.0	3.0	0.0
142	44	0	1	0.105	42.0	42.0	0.0
143	18	0	1	0.04	16.0	16.0	0.5
144	30	0	1	0.07	28.0	28.0	0.5
145	16	0	1	0.035	14.0	14.0	0.0
146	10	0	1	0.02	8.0	8.0	0.5
147	43	0	1	0.1	41.0	41.0	0.5
148	7	0	1	0.0125	5.0	5.0	0.0
149	25	1	0	0.0625	25.0	25.0	1.0
150	34	0	1	0.08	32.0	32.0	0.5
151	29	0	1	0.0675	27.0	27.0	0.0
152	12	0	1	0.025	10.0	10.0	0.0
153	28	0	1	0.065	26.0	26.0	0.0
154	29	1	0	0.0725	29.0	29.0	1.0
155	10	0	1	0.02	8.0	8.0	0.0
156	21	0	1	0.0475	19.0	19.0	0.0
157	39	0	1	0.0925	37.0	37.0	0.5
158	16	0	1	0.035	14.0	14.0	0.0
159	11	0	1	0.0225	9.0	9.0	0.5
160	7	0	1	0.0125	5.0	5.0	0.0
161	8	0	1	0.015	6.0	6.0	0.0
162	38	0	1	0.09	36.0	36.0	0.5
163	27	0	1	0.0625	25.0	25.0	0.0
164	14	0	1	0.03	12.0	12.0	0.0
165	15	0	1	0.0325	13.0	13.0	0.0
166	6	0	1	0.01	4.0	4.0	0.0
167	11	0	1	0.0225	9.0	9.0	0.0
168	24	0	1	0.055	22.0	22.0	0.5
169	42	1	0	0.085	42.0	42.0	1.0
170	13	0	1	0.0275	11.0	11.0	0.0
171	39	0	1	0.0925	37.0	37.0	0.5
172	23	0	1	0.0525	21.0	21.0	0.5
173	16	0	1	0.035	14.0	14.0	0.0
174	7	0	1	0.0125	5.0	5.0	0.0
175	41	1	0	0.1025	41.0	41.0	1.0
176	23	0	1	0.0525	21.0	21.0	0.0
177	8	0	1	0.015	6.0	6.0	0.0
178	13	0	1	0.0275	11.0	11.0	0.0
179	32	0	1	0.075	30.0	30.0	0.5
180	16	0	1	0.035	14.0	14.0	0.5
181	34	1	0	0.0825	34.0	34.0	1.0
182	37	0	1	0.0875	35.0	35.0	0.5
183	15	0	1	0.0325	13.0	13.0	0.0
184	26	0	1	0.06	24.0	24.0	0.0
185	15	0	1	0.0325	13.0	13.0	0.0
186	42	0	1	0.1	40.0	40.0	0.5
187	30	0	1	0.07	28.0	28.0	0.0
188	11	0	1	0.0225	9.0	9.0	0.0
189	17	0	1	0.0375	15.0	15.0	0.0
190	11	0	1	0.0225	9.0	9.0	0.0
191	51	0	1	0.1225	49.0	49.0	0.5
192	8	0	1	0.015	6.0	6.0	0.0
193	23	0	1	0.0525	21.0	21.0	0.5
194	16	0	1	0.035	14.0	14.0	0.0
195	13	0	1	0.0275	11.0	11.0	0.0
196	13	0	1	0.0275	11.0	11.0	0.0
197	19	0	1	0.0425	17.0	17.0	0.0
198	18	0	1	0.04	16.0	16.0	0.0
199	10	0	1	0.02	8.0	8.0	0.0
200	14	0	1	0.03	12.0	12.0	0.0
201	6	0	1	0.01	4.0	4.0	0.0
202	14	0	1	0.03	12.0	12.0	0.0
