i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	23	0	1	0.0525	21.0	21.0	0.0
2	27	0	1	0.0625	25.0	25.0	0.5
3	35	0	1	0.0825	33.0	33.0	0.0
4	16	0	1	0.035	14.0	14.0	0.5
5	6	0	1	0.01	4.0	4.0	0.0
6	47	0	1	0.1125	45.0	45.0	0.5
7	33	0	1	0.0775	31.0	31.0	0.0
8	32	1	0	0.08	32.0	32.0	1.0
9	11	0	1	0.0225	9.0	9.0	0.0
10	14	0	1	0.03	12.0	12.0	0.0
11	33	0	1	0.0775	31.0	31.0	0.0
12	11	0	1	0.0225	9.0	9.0	0.0
13	12	0	1	0.025	10.0	10.0	0.0
14	14	0	1	0.03	12.0	12.0	0.0
15	12	1	0	0.03	12.0	12.0	1.0
16	34	0	1	0.08	32.0	32.0	0.0
17	32	0	1	0.075	30.0	30.0	0.5
18	31	0	1	0.0725	29.0	29.0	0.0
19	31	0	1	0.0725	29.0	29.0	0.5
20	32	0	1	0.075	30.0	30.0	0.0
21	13	0	1	0.0275	11.0	11.0	0.0
22	36	0	1	0.085	34.0	34.0	0.5
23	12	0	1	0.025	10.0	10.0	0.0
24	42	0	1	0.1	40.0	40.0	0.5
25	4	0	1	0.005	2.0	2.0	0.0
26	24	0	1	0.055	22.0	22.0	0.5
27	13	0	1	0.0275	11.0	11.0	0.0
28	40	0	1	0.095	38.0	38.0	0.5
29	33	0	1	0.0775	31.0	31.0	0.5
30	29	0	1	0.0675	27.0	27.0	0.0
31	21	0	1	0.0475	19.0	19.0	0.0
32	16	0	1	0.035	14.0	14.0	0.0
33	29	0	1	0.0675	27.0	27.0	0.0
34	25	0	1	0.0575	23.0	23.0	0.0
35	6	0	1	0.01	4.0	4.0	0.0
36	22	0	1	0.05	20.0	20.0	0.0
37	8	0	1	0.015	6.0	6.0	0.0
38	18	0	1	0.04	16.0	16.0	0.5
39	29	0	1	0.0675	27.0	27.0	0.5
40	29	0	1	0.0675	27.0	27.0	0.0
41	35	0	1	0.0825	33.0	33.0	0.5
42	46	1	0	0.115	46.0	46.0	1.0
43	19	0	1	0.0425	17.0	17.0	0.0
44	15	0	1	0.0325	13.0	13.0	0.0
45	28	0	1	0.055	26.0	26.0	0.5
46	19	0	1	0.0425	17.0	17.0	0.5
47	16	0	1	0.035	14.0	14.0	0.5
48	46	0	1	0.11	44.0	44.0	0.5
49	31	0	1	0.0725	29.0	29.0	0.5
50	31	0	1	0.0725	29.0	29.0	0.0
51	39	0	1	0.0925	37.0	37.0	0.0
52	35	0	1	0.0825	33.0	33.0	0.0
53	25	0	1	0.0575	23.0	23.0	0.0
54	26	0	1	0.06	24.0	24.0	0.0
55	16	0	1	0.035	14.0	14.0	0.0
56	32	0	1	0.075	30.0	30.0	0.0
57	20	0	1	0.045	18.0	18.0	0.0
58	2	0	1	0.0	0.0	0.0	0.0
59	31	0	1	0.0725	29.0	29.0	0.0
60	33	0	1	0.0775	31.0	31.0	0.0
61	22	0	1	0.05	20.0	20.0	0.0
62	17	0	1	0.0375	15.0	15.0	0.0
63	4	0	1	0.005	2.0	2.0	0.0
64	44	0	1	0.105	42.0	42.0	0.5
