i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	22	0	5	0.05	20.0	100.0	0.0
2	13	1	0	0.0525	13.0	65.0	1.0
3	18	1	2	0.0625	17.6	88.0	1.0
4	30	0	5	0.07	19.2	96.0	0.0
5	21	0	5	0.0475	19.0	95.0	0.0
6	27	0	5	0.09	23.6	118.0	0.0
7	15	0	5	0.08	12.4	62.0	0.0
8	11	1	3	0.0425	10.4	52.0	1.0
9	29	0	5	0.1075	25.0	125.0	0.0
10	98	0	5	0.2225	37.6	188.0	0.0
11	24	0	5	0.055	16.8	84.0	0.0
12	73	0	5	0.2025	27.0	135.0	0.0
13	52	0	5	0.0975	19.6	98.0	0.0
14	22	0	5	0.05	20.0	100.0	0.0
15	15	1	3	0.0375	14.4	72.0	1.0
16	10	1	2	0.04	9.6	48.0	1.0
17	23	0	5	0.0525	21.0	105.0	0.0
18	24	1	2	0.11	19.6	98.0	1.0
19	60	0	5	0.1975	29.6	148.0	0.0
20	14	0	5	0.035	12.0	60.0	0.0
21	18	1	4	0.045	17.2	86.0	1.0
22	13	0	5	0.0275	11.0	55.0	0.0
23	23	1	4	0.105	22.2	111.0	1.0
24	20	0	5	0.045	18.0	90.0	0.0
25	29	0	5	0.0875	21.4	107.0	0.0
26	32	0	5	0.075	21.8	109.0	0.0
27	32	0	5	0.075	30.0	150.0	0.0
28	9	0	5	0.0175	7.0	35.0	0.0
29	66	0	5	0.16	19.2	96.0	0.0
30	17	0	5	0.0375	9.0	45.0	0.0
31	26	0	5	0.08	18.6	93.0	0.0
32	37	1	4	0.0925	36.2	181.0	1.0
33	8	1	1	0.0375	7.8	39.0	1.0
34	37	0	5	0.0875	23.8	119.0	0.0
35	31	0	5	0.0725	27.2	136.0	0.0
36	19	1	4	0.0475	18.2	91.0	1.0
37	29	0	5	0.0675	27.0	135.0	0.0
38	29	0	5	0.0675	27.0	135.0	0.0
39	21	0	5	0.0475	19.0	95.0	0.0
40	36	0	5	0.12	30.0	150.0	0.0
41	69	0	5	0.205	37.2	186.0	0.0
42	34	0	5	0.105	19.0	95.0	0.0
43	31	0	5	0.0725	29.0	145.0	0.0
44	19	1	3	0.07	17.4	87.0	1.0
45	36	0	5	0.1125	21.8	109.0	0.0
46	24	0	5	0.0725	16.8	84.0	0.0
47	16	1	2	0.0525	15.6	78.0	1.0
48	26	1	2	0.105	25.6	128.0	1.0
49	48	1	3	0.12	37.8	189.0	1.0
50	34	1	3	0.1275	33.4	167.0	1.0
51	32	0	5	0.115	26.0	130.0	0.0
52	18	1	2	0.0525	17.6	88.0	1.0
53	36	0	5	0.1125	31.6	158.0	0.0
54	14	1	4	0.035	13.2	66.0	1.0
55	16	1	3	0.0625	15.4	77.0	1.0
56	5	1	3	0.0175	4.4	22.0	1.0
57	12	0	5	0.025	10.0	50.0	0.0
58	9	1	4	0.0225	8.2	41.0	1.0
59	18	0	5	0.0475	13.4	67.0	0.0
60	51	0	5	0.175	31.4	157.0	0.0
61	20	1	4	0.05	19.2	96.0	1.0
62	39	1	4	0.0975	38.2	191.0	1.0
63	30	1	3	0.0975	28.8	144.0	1.0
64	9	1	3	0.0425	8.4	42.0	1.0
65	15	0	5	0.0325	13.0	65.0	0.0
66	34	1	4	0.1275	30.6	153.0	1.0
67	25	0	5	0.0575	23.0	115.0	0.0
68	35	0	5	0.235	31.2	156.0	0.0
69	20	0	5	0.045	17.6	88.0	0.0
70	19	0	5	0.0425	12.8	64.0	0.0
71	8	0	5	0.015	3.0	15.0	0.0
72	50	0	5	0.125	19.6	98.0	0.0
73	72	0	5	0.2125	39.6	198.0	0.0
74	70	0	5	0.2025	38.8	194.0	0.0
75	35	0	5	0.1375	29.4	147.0	0.0
76	76	0	5	0.2425	25.8	129.0	0.0
77	18	1	2	0.065	17.6	88.0	1.0
78	15	1	4	0.0375	14.2	71.0	1.0
79	27	0	5	0.0625	9.8	49.0	0.0
80	29	0	5	0.1	16.6	83.0	0.0
81	32	0	5	0.135	20.4	102.0	0.0
82	29	1	3	0.125	21.0	105.0	1.0
83	20	1	2	0.0875	19.6	98.0	1.0
84	42	0	5	0.1	25.6	128.0	0.0
85	24	0	5	0.055	6.8	34.0	0.0
86	18	1	3	0.06	17.4	87.0	1.0
87	23	0	5	0.0525	21.0	105.0	0.0
88	38	0	5	0.16	35.0	175.0	0.0
89	7	0	5	0.0125	5.0	25.0	0.0
90	22	1	4	0.055	21.2	106.0	1.0
91	54	0	5	0.2025	35.4	177.0	0.0
92	20	0	5	0.075	14.8	74.0	0.0
93	20	0	5	0.045	15.6	78.0	0.0
94	20	1	3	0.085	19.4	97.0	1.0
95	18	0	5	0.06	13.6	68.0	0.0
96	27	0	5	0.135	17.8	89.0	0.0
97	34	0	5	0.11	30.4	152.0	0.0
98	29	0	5	0.1025	26.2	131.0	0.0
99	19	0	5	0.0725	12.8	64.0	0.0
100	17	1	2	0.0775	16.6	83.0	1.0
101	17	0	5	0.0625	14.2	71.0	0.0
102	23	1	3	0.0925	22.4	112.0	1.0
103	35	1	4	0.0925	12.6	63.0	1.0
104	6	1	3	0.0225	5.4	27.0	1.0
105	17	0	5	0.0375	12.6	63.0	0.0
106	18	1	4	0.045	17.2	86.0	1.0
107	30	1	4	0.075	28.0	140.0	1.0
108	25	0	5	0.0575	23.0	115.0	0.0
109	27	0	5	0.12	16.2	81.0	0.0
110	17	1	2	0.0725	16.6	83.0	1.0
111	13	1	3	0.0625	12.4	62.0	1.0
112	31	0	5	0.0725	26.2	131.0	0.0
113	8	0	5	0.015	3.6	18.0	0.0
114	35	0	5	0.12	33.0	165.0	0.0
115	16	0	5	0.035	14.0	70.0	0.0
116	28	0	5	0.065	23.4	117.0	0.0
117	9	1	3	0.0325	8.4	42.0	1.0
118	11	1	1	0.0325	10.8	54.0	1.0
119	6	1	4	0.015	5.2	26.0	1.0
120	19	0	5	0.0425	17.0	85.0	0.0
121	16	0	5	0.035	14.0	70.0	0.0
122	23	1	0	0.1	23.0	115.0	1.0
123	26	1	3	0.1125	19.2	96.0	1.0
124	14	1	4	0.0425	12.4	62.0	1.0
125	25	1	4	0.0625	18.2	91.0	1.0
126	8	1	3	0.02	7.4	37.0	1.0
127	42	1	4	0.105	22.0	110.0	1.0
128	19	0	5	0.0425	11.4	57.0	0.0
129	27	1	4	0.0875	24.2	121.0	1.0
130	21	1	3	0.0525	20.4	102.0	1.0
131	20	1	4	0.05	8.0	40.0	1.0
132	16	1	4	0.055	13.6	68.0	1.0
133	19	1	4	0.0475	18.2	91.0	1.0
134	31	1	4	0.0775	30.2	151.0	1.0
135	16	0	5	0.035	8.0	40.0	0.0
136	26	0	5	0.06	24.0	120.0	0.0
137	80	0	5	0.2025	33.2	166.0	0.0
138	48	0	5	0.135	26.0	130.0	0.0
139	64	0	5	0.1725	31.6	158.0	0.0
140	12	0	5	0.025	10.0	50.0	0.0
141	8	1	0	0.0325	8.0	40.0	1.0
142	12	1	3	0.05	11.4	57.0	1.0
143	8	1	3	0.02	7.4	37.0	1.0
144	12	1	4	0.03	11.2	56.0	1.0
145	33	0	5	0.1175	29.4	147.0	0.0
146	29	1	3	0.14	28.4	142.0	1.0
147	25	1	4	0.0625	24.2	121.0	1.0
148	24	0	5	0.1225	18.8	94.0	0.0
149	34	0	5	0.08	20.8	104.0	0.0
150	32	0	5	0.095	29.0	145.0	0.0
151	25	1	3	0.0625	24.4	122.0	1.0
152	28	0	5	0.095	23.8	119.0	0.0
153	27	1	4	0.0675	26.2	131.0	1.0
154	48	1	4	0.12	18.4	92.0	1.0
155	52	0	5	0.1675	34.2	171.0	0.0
156	64	0	5	0.235	34.4	172.0	0.0
157	36	1	4	0.195	26.4	132.0	1.0
158	73	0	5	0.225	29.0	145.0	0.0
159	29	0	5	0.095	20.8	104.0	0.0
160	40	0	5	0.095	28.4	142.0	0.0
161	23	1	3	0.1025	22.4	112.0	1.0
162	17	1	3	0.0725	16.4	82.0	1.0
163	26	0	5	0.06	24.0	120.0	0.0
164	16	1	4	0.04	15.2	76.0	1.0
165	23	1	3	0.11	21.2	106.0	1.0
166	2	0	5	0.0	0.0	0.0	0.0
167	57	1	4	0.14	26.4	132.0	1.0
168	99	0	5	0.25	43.0	215.0	0.0
169	30	1	4	0.075	29.2	146.0	1.0
170	17	1	0	0.075	17.0	85.0	1.0
171	22	1	4	0.055	21.2	106.0	1.0
172	84	0	5	0.2125	26.4	132.0	0.0
173	9	1	3	0.025	8.4	42.0	1.0
174	32	0	5	0.075	12.4	62.0	0.0
175	42	0	5	0.1	16.0	80.0	0.0
176	44	0	5	0.165	29.2	146.0	0.0
177	10	1	1	0.0325	9.8	49.0	1.0
178	31	1	4	0.13	22.8	114.0	1.0
179	46	1	4	0.1625	30.4	152.0	1.0
180	35	0	5	0.12	30.8	154.0	0.0
181	8	1	3	0.0325	7.4	37.0	1.0
182	12	1	2	0.05	11.6	58.0	1.0
183	55	0	5	0.135	26.2	131.0	0.0
184	35	0	5	0.0825	33.0	165.0	0.0
185	34	0	5	0.08	32.0	160.0	0.0
186	77	1	4	0.23	37.6	188.0	1.0
187	21	0	5	0.0475	16.2	81.0	0.0
188	41	0	5	0.13	28.2	141.0	0.0
189	24	1	4	0.0775	23.2	116.0	1.0
190	11	0	5	0.0225	9.0	45.0	0.0
191	30	0	5	0.07	28.0	140.0	0.0
192	73	0	5	0.21	29.4	147.0	0.0
193	23	0	5	0.0525	21.0	105.0	0.0
194	16	1	3	0.04	15.4	77.0	1.0
195	11	0	5	0.0225	9.0	45.0	0.0
196	9	1	3	0.0325	8.4	42.0	1.0
197	52	0	5	0.155	29.2	146.0	0.0
198	26	0	5	0.06	13.2	66.0	0.0
199	16	0	5	0.035	14.0	70.0	0.0
200	25	1	3	0.095	23.2	116.0	1.0
201	14	1	4	0.035	13.2	66.0	1.0
202	32	0	5	0.0975	15.6	78.0	0.0
203	28	1	3	0.12	23.0	115.0	1.0
204	13	0	5	0.0275	11.0	55.0	0.0
205	54	0	5	0.145	26.4	132.0	0.0
206	11	0	5	0.0225	9.0	45.0	0.0
207	47	0	5	0.185	29.0	145.0	0.0
208	41	1	4	0.1375	23.0	115.0	1.0
