discounted_distance
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
1,24,1,0,0.06,24.0,24.0,1.0,1
2,37,1,0,0.0925,37.0,37.0,1.0,1
3,42,0,1,0.0975,40.0,40.0,0.25,0
4,6,0,1,0.01,4.0,4.0,0.0,0
5,39,0,0,0.0925,38.0,38.0,0.75,0
6,13,0,1,0.0275,11.0,11.0,0.0,0
7,55,0,0,0.13,54.0,54.0,0.75,0
8,48,0,1,0.115,46.0,46.0,0.5,0
9,45,0,0,0.11,44.0,44.0,0.75,0
10,53,0,0,0.13,52.0,52.0,0.75,0
11,28,0,1,0.065,26.0,26.0,0.5,0
12,28,0,1,0.065,26.0,26.0,0.25,0
13,45,0,0,0.1,44.0,44.0,0.75,0
14,50,0,0,0.1225,49.0,49.0,0.75,0
15,19,0,1,0.0425,17.0,17.0,0.25,0
16,17,0,1,0.0375,15.0,15.0,0.5,0
17,45,0,0,0.11,44.0,44.0,0.75,0
18,42,0,0,0.0975,41.0,41.0,0.75,0
19,17,0,1,0.0375,15.0,15.0,0.25,0
20,37,0,1,0.0825,35.0,35.0,0.25,0
21,25,0,1,0.0575,23.0,23.0,0.25,0
22,33,0,1,0.0775,31.0,31.0,0.25,0
23,35,0,1,0.0825,33.0,33.0,0.0,0
24,44,0,0,0.1075,43.0,43.0,0.75,0
25,45,0,1,0.1025,43.0,43.0,0.5,0
26,39,0,1,0.0875,37.0,37.0,0.5,0
27,39,0,1,0.0925,37.0,37.0,0.5,0
28,46,0,0,0.11,45.0,45.0,0.75,0
29,49,0,0,0.12,48.0,48.0,0.75,0
30,34,0,1,0.0675,32.0,32.0,0.5,0
31,4,0,1,0.005,2.0,2.0,0.0,0
32,46,0,1,0.09,44.0,44.0,0.25,0
33,5,0,1,0.0075,3.0,3.0,0.0,0
34,29,0,1,0.0675,27.0,27.0,0.25,0
35,4,0,1,0.005,2.0,2.0,0.0,0
36,10,0,1,0.02,8.0,8.0,0.0,0
37,54,0,0,0.1325,53.0,53.0,0.75,0
38,41,0,0,0.0975,40.0,40.0,0.75,0
39,7,0,1,0.0125,5.0,5.0,0.0,0
