i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	16	0	1	0.035	14.0	14.0	0.3333333333333333
2	40	0	1	0.095	38.0	38.0	0.3333333333333333
3	26	0	1	0.06	24.0	24.0	0.3333333333333333
4	9	0	1	0.0175	7.0	7.0	0.0
5	49	0	0	0.12	48.0	48.0	0.6666666666666666
6	33	0	1	0.0775	31.0	31.0	0.6666666666666666
7	5	0	1	0.0075	3.0	3.0	0.0
8	44	0	1	0.105	42.0	42.0	0.0
9	44	1	0	0.11	44.0	44.0	1.0
10	18	0	1	0.04	16.0	16.0	0.0
11	28	1	0	0.07	28.0	28.0	1.0
12	33	0	0	0.08	32.0	32.0	0.6666666666666666
13	15	0	1	0.0325	13.0	13.0	0.0
14	40	0	0	0.0975	39.0	39.0	0.6666666666666666
15	17	0	1	0.0375	15.0	15.0	0.0
16	39	0	1	0.0925	37.0	37.0	0.6666666666666666
17	23	1	0	0.0575	23.0	23.0	1.0
18	4	0	1	0.005	2.0	2.0	0.0
19	19	0	1	0.0425	17.0	17.0	0.0
20	25	0	1	0.0575	23.0	23.0	0.3333333333333333
21	27	0	1	0.0625	25.0	25.0	0.3333333333333333
22	17	1	0	0.0425	17.0	17.0	1.0
23	19	0	1	0.0425	17.0	17.0	0.0
24	45	0	0	0.11	44.0	44.0	0.6666666666666666
25	36	0	1	0.075	34.0	34.0	0.3333333333333333
26	22	0	1	0.05	20.0	20.0	0.0
27	13	0	1	0.0275	11.0	11.0	0.0
28	19	0	1	0.0425	17.0	17.0	0.0
29	24	0	1	0.055	22.0	22.0	0.0
30	30	0	1	0.07	28.0	28.0	0.3333333333333333
31	7	0	1	0.0125	5.0	5.0	0.0
32	24	0	1	0.055	22.0	22.0	0.3333333333333333
33	44	0	1	0.1025	42.0	42.0	0.6666666666666666
34	20	0	1	0.045	18.0	18.0	0.0
35	6	0	1	0.01	4.0	4.0	0.0
36	22	0	1	0.05	20.0	20.0	0.3333333333333333
37	10	0	1	0.02	8.0	8.0	0.0
38	41	0	1	0.0975	39.0	39.0	0.3333333333333333
39	9	0	1	0.0175	7.0	7.0	0.0
40	15	0	1	0.0325	13.0	13.0	0.0
41	13	0	1	0.0275	11.0	11.0	0.0
42	34	1	0	0.085	34.0	34.0	1.0
43	7	0	1	0.0125	5.0	5.0	0.0
44	48	0	0	0.1175	47.0	47.0	0.6666666666666666
45	14	0	1	0.03	12.0	12.0	0.0
46	12	0	1	0.025	10.0	10.0	0.0
47	60	0	0	0.1475	59.0	59.0	0.6666666666666666
48	9	0	1	0.0175	7.0	7.0	0.0
49	38	1	0	0.095	38.0	38.0	1.0
50	27	0	1	0.0625	25.0	25.0	0.3333333333333333
51	22	0	1	0.05	20.0	20.0	0.0
52	15	0	1	0.0325	13.0	13.0	0.0
53	52	0	0	0.12	51.0	51.0	0.6666666666666666
54	46	0	0	0.1025	45.0	45.0	0.6666666666666666
55	23	0	1	0.0525	21.0	21.0	0.3333333333333333
56	8	0	1	0.015	6.0	6.0	0.0
57	7	0	1	0.0125	5.0	5.0	0.0
58	29	0	1	0.0675	27.0	27.0	0.0
59	31	1	0	0.0775	31.0	31.0	1.0
60	21	0	1	0.0475	19.0	19.0	0.0
61	10	0	1	0.02	8.0	8.0	0.0
62	32	0	1	0.075	30.0	30.0	0.3333333333333333
63	4	0	1	0.005	2.0	2.0	0.0
64	28	0	1	0.065	26.0	26.0	0.0
65	23	0	1	0.0525	21.0	21.0	0.6666666666666666
66	33	1	0	0.0825	33.0	33.0	1.0
67	45	1	0	0.11	45.0	45.0	1.0
68	19	0	1	0.0425	17.0	17.0	0.3333333333333333
69	43	0	0	0.1	42.0	42.0	0.6666666666666666
70	7	0	1	0.0125	5.0	5.0	0.0
71	27	0	1	0.0625	25.0	25.0	0.6666666666666666
72	34	0	1	0.0725	32.0	32.0	0.3333333333333333
73	4	0	1	0.005	2.0	2.0	0.0
74	4	0	1	0.005	2.0	2.0	0.0
75	20	0	1	0.045	18.0	18.0	0.0
76	38	0	1	0.09	36.0	36.0	0.6666666666666666
77	47	0	0	0.115	46.0	46.0	0.6666666666666666
