i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	10	0	1	0.02	8.0	8.0	0.0
2	39	0	1	0.0925	37.0	37.0	0.5
3	43	0	1	0.1025	41.0	41.0	0.0
4	22	1	0	0.055	22.0	22.0	1.0
5	31	0	1	0.0725	29.0	29.0	0.0
6	34	1	0	0.075	34.0	34.0	1.0
7	30	0	1	0.07	28.0	28.0	0.0
8	5	0	1	0.0075	3.0	3.0	0.0
9	26	0	1	0.06	24.0	24.0	0.5
10	17	0	1	0.03	15.0	15.0	0.5
11	29	1	0	0.0725	29.0	29.0	1.0
12	22	0	1	0.05	20.0	20.0	0.5
13	48	1	0	0.12	48.0	48.0	1.0
14	9	1	0	0.02	9.0	9.0	1.0
15	9	0	1	0.0175	7.0	7.0	0.0
16	24	0	1	0.055	22.0	22.0	0.0
17	19	0	1	0.0425	17.0	17.0	0.0
18	24	0	1	0.055	22.0	22.0	0.0
19	25	0	1	0.0575	23.0	23.0	0.5
20	6	0	1	0.01	4.0	4.0	0.0
21	25	0	1	0.0575	23.0	23.0	0.0
22	28	0	1	0.065	26.0	26.0	0.0
23	39	0	0	0.0875	38.0	38.0	0.5
24	23	0	1	0.0525	21.0	21.0	0.0
25	17	1	0	0.0425	17.0	17.0	1.0
26	23	0	1	0.0525	21.0	21.0	0.5
27	56	0	0	0.1375	55.0	55.0	0.5
28	45	0	0	0.11	44.0	44.0	0.5
29	33	1	0	0.0825	33.0	33.0	1.0
30	11	0	1	0.0225	9.0	9.0	0.0
31	32	0	1	0.075	30.0	30.0	0.5
32	9	0	1	0.0175	7.0	7.0	0.0
33	29	0	1	0.0675	27.0	27.0	0.5
34	8	0	1	0.015	6.0	6.0	0.0
35	28	0	1	0.065	26.0	26.0	0.5
36	41	0	1	0.0975	39.0	39.0	0.5
37	48	0	0	0.1175	47.0	47.0	0.5
38	28	0	1	0.065	26.0	26.0	0.0
39	18	0	1	0.035	16.0	16.0	0.5
40	27	0	1	0.0625	25.0	25.0	0.0
41	40	0	1	0.095	38.0	38.0	0.0
42	43	0	0	0.105	42.0	42.0	0.5
43	9	0	1	0.0175	7.0	7.0	0.0
44	35	1	0	0.0875	35.0	35.0	1.0
45	4	0	1	0.005	2.0	2.0	0.0
46	55	0	1	0.1275	53.0	53.0	0.5
47	16	0	1	0.035	14.0	14.0	0.0
48	26	1	0	0.065	26.0	26.0	1.0
49	26	0	1	0.0575	24.0	24.0	0.0
50	15	0	1	0.0325	13.0	13.0	0.0
51	37	0	1	0.0875	35.0	35.0	0.0
52	43	0	0	0.105	42.0	42.0	0.5
53	31	0	1	0.0725	29.0	29.0	0.5
54	13	0	1	0.0275	11.0	11.0	0.0
55	31	1	0	0.0775	31.0	31.0	1.0
56	29	1	0	0.0725	29.0	29.0	1.0
57	16	0	1	0.0325	14.0	14.0	0.5
58	27	1	0	0.0675	27.0	27.0	1.0
59	42	0	1	0.0975	40.0	40.0	0.5
60	31	1	0	0.0775	31.0	31.0	1.0
61	24	0	1	0.055	22.0	22.0	0.0
62	17	0	1	0.035	15.0	15.0	0.0
63	30	0	1	0.055	28.0	28.0	0.5
64	42	0	0	0.1	41.0	41.0	0.5
65	13	0	1	0.0275	11.0	11.0	0.0
66	5	0	1	0.0075	3.0	3.0	0.0
67	16	0	1	0.035	14.0	14.0	0.0
68	23	0	1	0.0525	21.0	21.0	0.0
69	40	0	0	0.0975	39.0	39.0	0.5
70	8	0	1	0.015	6.0	6.0	0.0
71	43	0	1	0.1025	41.0	41.0	0.5
72	8	0	1	0.015	6.0	6.0	0.0
73	33	0	0	0.08	32.0	32.0	0.5
74	48	0	1	0.1125	46.0	46.0	0.0
75	22	0	1	0.05	20.0	20.0	0.0
76	7	0	1	0.0125	5.0	5.0	0.0
77	28	0	1	0.065	26.0	26.0	0.0
78	28	1	0	0.07	28.0	28.0	1.0
79	21	0	1	0.0475	19.0	19.0	0.0
80	22	0	1	0.05	20.0	20.0	0.0
81	20	0	1	0.045	18.0	18.0	0.5
82	47	0	0	0.115	46.0	46.0	0.5
83	48	0	0	0.1125	47.0	47.0	0.5
84	28	0	1	0.065	26.0	26.0	0.0
85	28	0	1	0.065	26.0	26.0	0.5
86	6	0	1	0.01	4.0	4.0	0.0
87	49	0	0	0.12	48.0	48.0	0.5
88	11	0	1	0.0225	9.0	9.0	0.0
89	22	0	1	0.0475	20.0	20.0	0.0
90	19	0	1	0.0425	17.0	17.0	0.5
91	46	0	0	0.1125	45.0	45.0	0.5
92	6	0	1	0.01	4.0	4.0	0.0
93	15	0	1	0.0325	13.0	13.0	0.0
94	22	0	1	0.05	20.0	20.0	0.0
95	19	0	1	0.04	17.0	17.0	0.0
96	27	0	1	0.0625	25.0	25.0	0.0
97	31	1	0	0.0775	31.0	31.0	1.0
98	33	1	0	0.0825	33.0	33.0	1.0
99	34	0	1	0.08	32.0	32.0	0.0
100	23	1	0	0.0575	23.0	23.0	1.0
101	11	0	1	0.0225	9.0	9.0	0.0
102	10	0	1	0.02	8.0	8.0	0.0
103	16	0	1	0.035	14.0	14.0	0.0
104	17	0	1	0.0375	15.0	15.0	0.5
105	24	0	1	0.055	22.0	22.0	0.0
106	13	1	0	0.0325	13.0	13.0	1.0
107	41	0	1	0.0975	39.0	39.0	0.0
108	20	0	1	0.045	18.0	18.0	0.0
109	24	0	1	0.055	22.0	22.0	0.5
110	16	0	1	0.035	14.0	14.0	0.0
111	46	0	1	0.11	44.0	44.0	0.5
112	26	0	1	0.06	24.0	24.0	0.5
113	6	0	1	0.01	4.0	4.0	0.0
114	17	0	1	0.035	15.0	15.0	0.5
115	21	0	1	0.0475	19.0	19.0	0.0
116	58	0	0	0.1425	57.0	57.0	0.5
117	51	0	0	0.125	50.0	50.0	0.5
118	41	1	0	0.1025	41.0	41.0	1.0
119	31	1	0	0.0775	31.0	31.0	1.0
120	15	0	1	0.0325	13.0	13.0	0.0
121	17	0	1	0.0325	15.0	15.0	0.5
122	4	0	1	0.005	2.0	2.0	0.0
123	43	0	0	0.105	42.0	42.0	0.5
124	2	0	1	0.0	0.0	0.0	0.0
125	40	0	0	0.08	39.0	39.0	0.5
126	59	1	0	0.1475	59.0	59.0	1.0
127	22	0	1	0.05	20.0	20.0	0.0
128	12	0	1	0.025	10.0	10.0	0.0
129	22	1	0	0.055	22.0	22.0	1.0
130	41	0	1	0.0975	39.0	39.0	0.0
131	26	0	1	0.06	24.0	24.0	0.5
132	14	1	0	0.035	14.0	14.0	1.0
133	26	0	1	0.06	24.0	24.0	0.0
134	35	1	0	0.0875	35.0	35.0	1.0
135	28	0	1	0.065	26.0	26.0	0.0
136	42	0	1	0.0925	40.0	40.0	0.0
137	25	0	1	0.0575	23.0	23.0	0.5
138	19	0	1	0.0425	17.0	17.0	0.0
139	8	0	1	0.015	6.0	6.0	0.0
140	3	0	1	0.0025	1.0	1.0	0.0
141	30	0	1	0.07	28.0	28.0	0.5
142	18	0	1	0.04	16.0	16.0	0.0
143	14	0	1	0.03	12.0	12.0	0.0
144	41	0	0	0.1	40.0	40.0	0.5
145	32	0	1	0.075	30.0	30.0	0.5
146	22	0	1	0.05	20.0	20.0	0.5
147	20	0	1	0.045	18.0	18.0	0.0
148	36	0	1	0.0825	34.0	34.0	0.5
149	9	0	1	0.0175	7.0	7.0	0.0
150	19	1	0	0.0475	19.0	19.0	1.0
151	35	0	1	0.0825	33.0	33.0	0.5
152	8	0	1	0.015	6.0	6.0	0.0
153	30	0	1	0.07	28.0	28.0	0.5
154	33	1	0	0.0825	33.0	33.0	1.0
155	49	0	0	0.12	48.0	48.0	0.5
156	27	0	1	0.0625	25.0	25.0	0.0
157	18	1	0	0.045	18.0	18.0	1.0
158	31	0	1	0.0725	29.0	29.0	0.0
159	17	1	0	0.0425	17.0	17.0	1.0
160	28	1	0	0.0575	28.0	28.0	1.0
161	28	0	1	0.065	26.0	26.0	0.5
162	19	0	1	0.0425	17.0	17.0	0.5
163	8	0	1	0.015	6.0	6.0	0.0
164	21	0	1	0.0475	19.0	19.0	0.0
165	12	0	1	0.025	10.0	10.0	0.0
166	10	0	1	0.02	8.0	8.0	0.0
167	24	0	1	0.055	22.0	22.0	0.5
168	38	0	0	0.0925	37.0	37.0	0.5
169	7	0	1	0.0125	5.0	5.0	0.0
170	40	0	1	0.095	38.0	38.0	0.5
171	17	0	1	0.0375	15.0	15.0	0.0
172	52	0	0	0.125	51.0	51.0	0.5
173	4	0	1	0.005	2.0	2.0	0.0
174	27	0	1	0.0625	25.0	25.0	0.5
175	35	1	0	0.0875	35.0	35.0	1.0
