lidbetter
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
1,69,0,1,0.1675,67.0,67.0,0.8,0
2,17,0,1,0.0375,15.0,15.0,0.0,0
3,64,0,1,0.1525,62.0,62.0,0.4,0
4,21,0,1,0.0475,19.0,19.0,0.2,0
5,50,0,1,0.105,48.0,48.0,0.6,0
6,33,0,1,0.0775,31.0,31.0,0.4,0
7,40,0,1,0.095,38.0,38.0,0.2,0
8,31,0,1,0.0625,29.0,29.0,0.4,0
9,28,0,1,0.065,26.0,26.0,0.2,0
10,25,0,1,0.0575,23.0,23.0,0.4,0
11,9,0,1,0.0175,7.0,7.0,0.0,0
12,71,1,0,0.1675,71.0,71.0,1.0,1
13,17,0,1,0.0375,15.0,15.0,0.0,0
14,7,0,1,0.0125,5.0,5.0,0.0,0
15,28,0,1,0.065,26.0,26.0,0.6,0
16,45,0,1,0.1075,43.0,43.0,0.2,0
17,54,1,0,0.1075,54.0,54.0,1.0,1
18,29,0,1,0.0675,27.0,27.0,0.2,0
19,38,0,1,0.09,36.0,36.0,0.2,0
20,65,0,1,0.155,63.0,63.0,0.6,0
21,28,0,1,0.065,26.0,26.0,0.2,0
22,63,1,0,0.1575,63.0,63.0,1.0,1
23,38,0,1,0.09,36.0,36.0,0.2,0
24,22,0,1,0.05,20.0,20.0,0.4,0
25,60,0,1,0.1425,58.0,58.0,0.6,0
26,79,1,0,0.165,79.0,79.0,1.0,1
27,78,1,0,0.1925,78.0,78.0,1.0,1
28,20,0,1,0.045,18.0,18.0,0.2,0
29,30,0,1,0.07,28.0,28.0,0.2,0
30,23,0,1,0.0525,21.0,21.0,0.0,0
31,21,0,1,0.0475,19.0,19.0,0.4,0
32,42,0,1,0.1,40.0,40.0,0.2,0
33,69,0,1,0.165,67.0,67.0,0.6,0
34,62,1,0,0.1525,62.0,62.0,1.0,1
35,41,0,1,0.0925,39.0,39.0,0.6,0
36,56,1,0,0.135,56.0,56.0,1.0,1
37,28,0,1,0.065,26.0,26.0,0.0,0
38,3,0,1,0.0025,1.0,1.0,0.0,0
39,32,0,1,0.075,30.0,30.0,0.0,0
40,23,0,1,0.0525,21.0,21.0,0.0,0
41,63,0,1,0.1475,61.0,61.0,0.8,0
42,4,0,1,0.005,2.0,2.0,0.0,0
43,74,1,0,0.17,74.0,74.0,1.0,1
44,47,0,1,0.1125,45.0,45.0,0.2,0
45,12,0,1,0.025,10.0,10.0,0.2,0
46,31,0,1,0.0725,29.0,29.0,0.2,0
47,84,1,0,0.1775,84.0,84.0,1.0,1
48,77,1,0,0.1925,77.0,77.0,1.0,1
49,92,1,0,0.2275,92.0,92.0,1.0,1
50,56,1,0,0.14,56.0,56.0,1.0,1
51,9,0,1,0.0175,7.0,7.0,0.0,0
52,32,0,1,0.075,30.0,30.0,0.6,0
53,30,0,1,0.07,28.0,28.0,0.0,0
54,36,0,1,0.085,34.0,34.0,0.0,0
55,35,0,1,0.0825,33.0,33.0,0.2,0
56,30,0,1,0.065,28.0,28.0,0.6,0
57,65,1,0,0.1625,65.0,65.0,1.0,1
58,22,0,1,0.05,20.0,20.0,0.0,0
59,68,1,0,0.165,68.0,68.0,1.0,1
60,91,1,0,0.2175,91.0,91.0,1.0,1
61,20,0,1,0.045,18.0,18.0,0.0,0
62,37,0,1,0.0875,35.0,35.0,0.2,0
63,33,0,1,0.0775,31.0,31.0,0.0,0
64,66,0,1,0.145,64.0,64.0,0.8,0
65,11,0,1,0.0225,9.0,9.0,0.0,0
66,49,0,1,0.1175,47.0,47.0,0.2,0
67,67,0,1,0.1625,65.0,65.0,0.6,0
68,69,1,0,0.1625,69.0,69.0,1.0,1
69,39,0,1,0.0925,37.0,37.0,0.2,0
70,31,0,1,0.0725,29.0,29.0,0.2,0
71,22,0,1,0.05,20.0,20.0,0.2,0
72,35,1,0,0.0875,35.0,35.0,1.0,1
73,7,0,1,0.0125,5.0,5.0,0.0,0
74,35,0,1,0.0825,33.0,33.0,0.2,0
75,53,0,1,0.1275,51.0,51.0,0.2,0
76,30,0,1,0.07,28.0,28.0,0.2,0
77,19,0,1,0.0425,17.0,17.0,0.0,0
78,92,1,0,0.22,92.0,92.0,1.0,1
79,26,0,1,0.06,24.0,24.0,0.0,0
80,35,0,1,0.0625,33.0,33.0,0.4,0
81,63,1,0,0.1575,63.0,63.0,1.0,1
82,11,0,1,0.0225,9.0,9.0,0.2,0
83,32,0,1,0.075,30.0,30.0,0.4,0
84,19,0,1,0.0425,17.0,17.0,0.0,0
85,66,1,0,0.1625,66.0,66.0,1.0,1
