lidbetter
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
1,66,0,10,0.155,31.9,319.0,0.5,0
2,29,1,3,0.0725,23.7,237.0,1.0,1
3,56,1,9,0.14,34.1,341.0,1.0,1
4,99,1,7,0.2075,62.9,629.0,1.0,1
5,52,1,5,0.1275,38.1,381.0,1.0,1
6,50,1,7,0.11,32.9,329.0,1.0,1
7,55,1,9,0.1375,20.9,209.0,1.0,1
8,39,0,10,0.0925,31.9,319.0,0.5,0
9,108,1,9,0.25,44.2,442.0,1.0,1
10,56,1,9,0.1375,26.1,261.0,1.0,1
11,49,1,9,0.1175,22.2,222.0,1.0,1
12,61,1,8,0.1525,26.1,261.0,1.0,1
13,57,1,6,0.1375,38.0,380.0,1.0,1
14,45,0,10,0.1075,17.8,178.0,0.5,0
15,54,0,10,0.1275,19.0,190.0,0.5,0
16,65,1,3,0.1625,59.2,592.0,1.0,1
17,74,1,9,0.175,36.6,366.0,1.0,1
18,19,0,10,0.0425,12.4,124.0,0.5,0
19,83,1,7,0.19,53.5,535.0,1.0,1
20,52,1,8,0.13,40.0,400.0,1.0,1
21,84,1,8,0.2075,52.0,520.0,1.0,1
22,44,1,7,0.11,28.6,286.0,1.0,1
23,75,1,6,0.185,52.5,525.0,1.0,1
24,20,1,8,0.05,12.0,120.0,1.0,1
25,87,1,7,0.1825,42.5,425.0,1.0,1
26,84,1,5,0.175,60.5,605.0,1.0,1
27,30,1,4,0.075,29.1,291.0,1.0,1
28,17,1,5,0.0425,16.1,161.0,1.0,1
29,38,1,7,0.095,29.5,295.0,1.0,1
30,86,1,6,0.21,57.8,578.0,1.0,1
31,89,1,8,0.2025,42.0,420.0,1.0,1
32,69,1,9,0.17,35.9,359.0,1.0,1
33,53,0,10,0.1225,11.6,116.0,0.5,0
34,36,0,10,0.0575,10.9,109.0,0.5,0
35,70,0,10,0.17,34.2,342.0,0.5,0
36,31,0,10,0.0725,24.5,245.0,0.0,0
37,69,1,7,0.17,49.7,497.0,1.0,1
38,16,1,8,0.04,12.8,128.0,1.0,1
39,58,0,10,0.14,38.0,380.0,0.0,0
40,22,0,10,0.05,12.0,120.0,0.0,0
41,75,1,6,0.1625,59.2,592.0,1.0,1
42,40,1,9,0.1,18.5,185.0,1.0,1
43,51,1,8,0.1275,46.3,463.0,1.0,1
44,40,1,8,0.1,13.4,134.0,1.0,1
45,20,1,4,0.05,19.0,190.0,1.0,1
46,75,1,7,0.1725,43.0,430.0,1.0,1
47,40,1,8,0.1,33.2,332.0,1.0,1
48,75,0,10,0.1825,43.2,432.0,0.5,0
49,31,1,7,0.0775,21.9,219.0,1.0,1
50,39,0,10,0.0925,28.2,282.0,0.0,0
51,56,1,8,0.14,33.7,337.0,1.0,1
52,66,1,8,0.1625,31.6,316.0,1.0,1
53,26,0,10,0.06,19.8,198.0,0.0,0
54,47,1,9,0.1175,23.6,236.0,1.0,1
55,78,1,4,0.1625,65.3,653.0,1.0,1
56,48,0,10,0.1025,19.8,198.0,0.5,0
57,29,1,8,0.0725,10.6,106.0,1.0,1
58,43,1,3,0.1075,36.7,367.0,1.0,1
59,83,1,5,0.2025,70.3,703.0,1.0,1
60,49,0,10,0.1175,29.7,297.0,0.5,0
61,71,1,7,0.175,31.3,313.0,1.0,1
62,86,1,8,0.2,43.6,436.0,1.0,1
63,27,1,4,0.0675,25.9,259.0,1.0,1
64,19,0,10,0.0425,12.5,125.0,0.5,0
65,24,1,8,0.06,7.2,72.0,1.0,1
66,25,1,8,0.0625,11.0,110.0,1.0,1
67,82,1,9,0.1975,33.1,331.0,1.0,1
68,38,1,7,0.095,26.2,262.0,1.0,1
69,73,1,7,0.18,57.5,575.0,1.0,1
70,91,1,6,0.225,63.9,639.0,1.0,1
71,51,1,8,0.1175,32.2,322.0,1.0,1
72,40,1,9,0.1,30.7,307.0,1.0,1
73,57,1,9,0.1425,37.0,370.0,1.0,1
74,25,1,6,0.0625,22.4,224.0,1.0,1
75,47,1,9,0.1175,36.4,364.0,1.0,1
76,59,1,6,0.115,42.7,427.0,1.0,1
77,67,1,3,0.1525,60.6,606.0,1.0,1
78,35,1,6,0.0875,23.8,238.0,1.0,1
79,75,1,5,0.1675,50.2,502.0,1.0,1
80,74,1,9,0.1525,27.1,271.0,1.0,1
81,74,1,7,0.17,46.3,463.0,1.0,1
82,23,1,6,0.0575,12.2,122.0,1.0,1
83,23,1,9,0.0575,12.3,123.0,1.0,1
84,58,1,6,0.1425,43.4,434.0,1.0,1
