	Unnamed: 0	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
0	0	1	45	0	1	0.1075	43.0	43.0	0.75
1	1	2	48	0	1	0.115	46.0	46.0	0.5
2	2	3	4	0	1	0.005	2.0	2.0	0.0
3	3	4	69	0	1	0.165	67.0	67.0	0.5
4	4	5	31	0	1	0.0725	29.0	29.0	0.25
5	5	6	20	0	1	0.045	18.0	18.0	0.0
6	6	7	62	1	0	0.1525	62.0	62.0	1.0
7	7	8	58	0	1	0.14	56.0	56.0	0.75
8	8	9	7	0	1	0.0125	5.0	5.0	0.0
9	9	10	62	0	1	0.12	60.0	60.0	0.75
10	10	11	56	0	1	0.135	54.0	54.0	0.75
11	11	12	7	0	1	0.0125	5.0	5.0	0.0
12	12	13	58	0	1	0.1375	56.0	56.0	0.5
13	13	14	34	0	1	0.08	32.0	32.0	0.0
14	14	15	29	0	1	0.0675	27.0	27.0	0.5
15	15	16	48	1	0	0.12	48.0	48.0	1.0
16	16	17	26	0	1	0.06	24.0	24.0	0.25
17	17	18	49	0	1	0.11	47.0	47.0	0.75
18	18	19	54	1	0	0.12	54.0	54.0	1.0
19	19	20	23	0	1	0.0525	21.0	21.0	0.25
20	20	21	37	1	0	0.0875	37.0	37.0	1.0
21	21	22	62	1	0	0.135	62.0	62.0	1.0
22	22	23	87	0	1	0.2125	85.0	85.0	0.5
23	23	24	78	0	1	0.16	76.0	76.0	0.75
24	24	25	33	0	1	0.0775	31.0	31.0	0.0
25	25	26	20	0	1	0.045	18.0	18.0	0.0
26	26	27	65	1	0	0.16	65.0	65.0	1.0
27	27	28	32	0	1	0.075	30.0	30.0	0.0
28	28	29	94	1	0	0.2025	94.0	94.0	1.0
29	29	30	19	0	1	0.0425	17.0	17.0	0.0
30	30	31	62	1	0	0.1525	62.0	62.0	1.0
31	31	32	29	0	1	0.0675	27.0	27.0	0.0
32	32	33	41	0	1	0.0975	39.0	39.0	0.25
33	33	34	37	0	1	0.0875	35.0	35.0	0.75
34	34	35	78	1	0	0.195	78.0	78.0	1.0
35	35	36	33	0	1	0.0775	31.0	31.0	0.0
36	36	37	30	0	1	0.07	28.0	28.0	0.5
37	37	38	29	0	1	0.0675	27.0	27.0	0.0
38	38	39	32	0	1	0.075	30.0	30.0	0.0
39	39	40	18	0	1	0.04	16.0	16.0	0.0
40	40	41	16	0	1	0.035	14.0	14.0	0.25
41	41	42	24	0	1	0.055	22.0	22.0	0.25
42	42	43	32	0	1	0.075	30.0	30.0	0.25
43	43	44	46	0	1	0.11	44.0	44.0	0.5
44	44	45	30	0	1	0.07	28.0	28.0	0.0
45	45	46	13	0	1	0.0275	11.0	11.0	0.0
46	46	47	6	0	1	0.01	4.0	4.0	0.0
47	47	48	60	1	0	0.145	60.0	60.0	1.0
48	48	49	52	0	1	0.125	50.0	50.0	0.5
49	49	50	24	0	1	0.055	22.0	22.0	0.5
50	50	51	17	0	1	0.0375	15.0	15.0	0.0
51	51	52	34	0	1	0.08	32.0	32.0	0.25
52	52	53	10	0	1	0.02	8.0	8.0	0.0
53	53	54	29	0	1	0.0675	27.0	27.0	0.75
54	54	55	45	0	1	0.1075	43.0	43.0	0.75
55	55	56	76	0	1	0.1825	74.0	74.0	0.5
56	56	57	22	0	1	0.05	20.0	20.0	0.0
57	57	58	81	1	0	0.195	81.0	81.0	1.0
58	58	59	23	0	1	0.0525	21.0	21.0	0.0
59	59	60	71	0	1	0.1625	69.0	69.0	0.75
60	60	61	40	0	1	0.095	38.0	38.0	0.0
61	61	62	19	0	1	0.0425	17.0	17.0	0.0
62	62	63	3	0	1	0.0025	1.0	1.0	0.0
63	63	64	9	0	1	0.0175	7.0	7.0	0.0
64	64	65	78	1	0	0.19	78.0	78.0	1.0
65	65	66	52	0	1	0.125	50.0	50.0	0.5
66	66	67	38	0	1	0.09	36.0	36.0	0.5
67	67	68	58	1	0	0.145	58.0	58.0	1.0
68	68	69	65	1	0	0.1625	65.0	65.0	1.0
69	69	70	52	1	0	0.1275	52.0	52.0	1.0
70	70	71	26	0	1	0.06	24.0	24.0	0.0
71	71	72	23	0	1	0.0525	21.0	21.0	0.0
72	72	73	42	1	0	0.105	42.0	42.0	1.0
73	73	74	12	0	1	0.025	10.0	10.0	0.0
74	74	75	46	0	1	0.11	44.0	44.0	0.25
75	75	76	19	0	1	0.0425	17.0	17.0	0.0
76	76	77	65	0	1	0.1575	63.0	63.0	0.75
77	77	78	11	0	1	0.0225	9.0	9.0	0.25
