	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found	all_hiders_found
0	1	77	True	1	0.9575	71.3	713.0	1.0	1
1	2	115	True	3	0.9625	87.8	878.0	1.0	1
2	3	32	True	0	0.5725	32.0	320.0	1.0	1
3	4	25	True	0	0.3975	25.0	250.0	1.0	1
4	5	251	False	7	0.9075	96.0	960.0	0.5	0
5	6	117	True	4	0.9875	91.2	912.0	1.0	1
6	7	327	False	2	0.935	159.2	1592.0	0.0	0
7	8	132	True	6	0.8025	86.2	862.0	1.0	1
8	9	68	True	1	0.955	63.2	632.0	1.0	1
9	10	40	True	0	0.7725	40.0	400.0	1.0	1
10	11	251	False	5	0.965	116.5	1165.0	0.75	0
11	12	365	False	2	0.95	179.2	1792.0	0.75	0
12	13	28	True	0	0.4725	28.0	280.0	1.0	1
13	14	146	True	4	0.94	111.5	1115.0	1.0	1
14	15	327	False	3	0.9525	148.9	1489.0	0.5	0
15	16	289	False	8	0.93	93.3	933.0	0.5	0
16	17	51	True	1	0.9225	49.6	496.0	1.0	1
17	18	57	True	1	0.9025	53.1	531.0	1.0	1
18	19	57	True	2	0.9625	55.2	552.0	1.0	1
19	20	332	False	7	0.99	129.0	1290.0	0.75	0
20	21	119	True	5	0.9575	85.6	856.0	1.0	1
21	22	31	True	0	0.5475	31.0	310.0	1.0	1
22	23	65	True	1	0.9475	60.5	605.0	1.0	1
23	24	77	True	1	0.9575	71.3	713.0	1.0	1
24	25	114	True	2	0.975	92.2	922.0	1.0	1
25	26	113	True	2	0.9525	96.0	960.0	1.0	1
26	27	53	True	0	0.975	53.0	530.0	1.0	1
27	28	213	False	6	0.925	121.1	1211.0	0.75	0
28	29	52	True	1	0.9675	51.8	518.0	1.0	1
29	30	42	True	0	0.8175	42.0	420.0	1.0	1
30	31	45	True	0	0.875	45.0	450.0	1.0	1
31	32	85	True	2	0.9825	72.1	721.0	1.0	1
32	33	48	True	0	0.9225	48.0	480.0	1.0	1
33	34	74	True	2	0.965	67.3	673.0	1.0	1
34	35	137	False	7	0.9225	75.8	758.0	0.5	0
35	36	327	False	3	0.975	160.3	1603.0	0.75	0
36	37	51	True	3	0.865	46.6	466.0	1.0	1
