	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found	all_hiders_found
0	1	80	False	1	0.1	79.0	79.0	0.4	0
1	2	1404	False	1	0.695	1403.0	1403.0	0.2	0
2	3	1537	False	1	0.7875	1536.0	1536.0	0.8	0
3	4	376	False	1	0.205	375.0	375.0	0.2	0
4	5	965	False	1	0.665	964.0	964.0	0.0	0
5	6	377	False	1	0.3025	376.0	376.0	0.2	0
6	7	450	False	1	0.2275	449.0	449.0	0.4	0
7	8	282	False	1	0.2575	281.0	281.0	0.0	0
8	9	601	False	1	0.4425	600.0	600.0	0.4	0
9	10	722	False	1	0.335	721.0	721.0	0.2	0
10	11	212	False	1	0.2	211.0	211.0	0.2	0
11	12	30	False	1	0.0575	29.0	29.0	0.0	0
12	13	406	False	1	0.2975	405.0	405.0	0.2	0
13	14	299	False	1	0.27	298.0	298.0	0.2	0
14	15	1545	False	1	0.6025	1544.0	1544.0	0.2	0
15	16	1151	False	1	0.7025	1150.0	1150.0	0.6	0
16	17	574	False	1	0.3525	573.0	573.0	0.2	0
17	18	1648	False	1	0.8225	1647.0	1647.0	0.4	0
18	19	77	False	1	0.0825	76.0	76.0	0.2	0
19	20	914	False	1	0.63	913.0	913.0	0.6	0
20	21	1302	False	1	0.6525	1301.0	1301.0	0.0	0
21	22	548	False	1	0.2725	547.0	547.0	0.0	0
22	23	440	False	1	0.3125	439.0	439.0	0.0	0
23	24	402	False	1	0.36	401.0	401.0	0.0	0
24	25	205	False	1	0.19	204.0	204.0	0.2	0
25	26	57	False	1	0.065	56.0	56.0	0.0	0
26	27	680	False	1	0.3425	679.0	679.0	0.0	0
27	28	788	False	1	0.4575	787.0	787.0	0.4	0
28	29	265	False	1	0.19	264.0	264.0	0.2	0
29	30	72	False	1	0.0925	71.0	71.0	0.0	0
30	31	185	False	1	0.16	184.0	184.0	0.0	0
31	32	662	False	1	0.5675	661.0	661.0	0.2	0
32	33	297	False	1	0.26	296.0	296.0	0.0	0
33	34	238	False	1	0.255	237.0	237.0	0.2	0
34	35	9	False	1	0.01	8.0	8.0	0.2	0
35	36	138	False	1	0.14	137.0	137.0	0.0	0
36	37	143	False	1	0.135	142.0	142.0	0.0	0
37	38	297	False	1	0.215	296.0	296.0	0.2	0
38	39	204	False	1	0.23	203.0	203.0	0.0	0
